year, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, NorESM2-LM, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM
2.015000000000000000e+03, 6.758849240353477238e-10, 0.000000000000000000e+00, 1.403816809351653689e-10, 2.403521597141163592e-10, 6.895505964340437633e-10, 1.875656912621842631e-09, 1.279112597631839750e-09, 2.800304741185546438e-10, 9.630405684638460602e-10
2.016000000000000000e+03, 6.784618045500177054e-10, 2.227754930803534181e-10, 1.398119549037943492e-10, 2.691842204162127542e-10, 6.669361134144283935e-10, 1.969049265059752087e-09, 1.223239055750210873e-09, 2.940064557385374340e-10, 9.176561064908151404e-10
2.017000000000000000e+03, 6.856034132891309685e-10, 2.183271632841624231e-10, 1.365303463194471217e-10, 2.587855496922867657e-10, 7.037705124459203776e-10, 1.967808684643218686e-09, 1.188714478460921928e-09, 3.014814554510360961e-10, 8.954702915790878511e-10
2.018000000000000000e+03, 6.779286778286926315e-10, 2.067345937306649218e-10, 1.336386529322918882e-10, 2.467213530688789689e-10, 6.985712566308823288e-10, 1.980013321160887992e-09, 1.210046425179759036e-09, 2.906283223764243669e-10, 9.276117475180563640e-10
2.019000000000000000e+03, 6.891167802411111770e-10, 1.969037427837017910e-10, 1.308091946520244702e-10, 2.389742819720787573e-10, 7.255013472404555210e-10, 1.936397330465245202e-09, 1.185772279416688728e-09, 3.078424211098021923e-10, 9.617310902921583758e-10
2.020000000000000000e+03, 6.676479953366194205e-10, 1.890435789943094162e-10, 1.284420522234752436e-10, 2.283647640076047212e-10, 7.227432383448173712e-10, 1.977035673537006488e-09, 1.144556358612162927e-09, 2.956736394542239630e-10, 9.844475861285809734e-10
2.021000000000000000e+03, 6.462629801377530120e-10, 1.812682241147266361e-10, 1.272548165622679706e-10, 2.187210418643672102e-10, 7.485259255887412957e-10, 1.986644089584033512e-09, 1.130624224498793971e-09, 3.142183234960473626e-10, 9.375426433287516203e-10
2.022000000000000000e+03, 6.539316736016307549e-10, 1.745455738893965155e-10, 1.265894216993905082e-10, 2.101151544643754232e-10, 7.573260063852213638e-10, 1.921135679025757463e-09, 1.232308278448110578e-09, 2.936197028790817618e-10, 9.346639258191507221e-10
2.023000000000000000e+03, 6.345407794516409029e-10, 1.677316178778305310e-10, 1.264816926036198073e-10, 2.021669948857737652e-10, 7.273431580712989554e-10, 1.860143272753721521e-09, 1.186448692087553777e-09, 3.156931039699159639e-10, 9.668508293487642212e-10
2.024000000000000000e+03, 6.322339951775620828e-10, 1.617948884965167608e-10, 1.288606818434404828e-10, 1.946501154753991962e-10, 7.156376993977585538e-10, 1.951110197927170128e-09, 1.203592477268090921e-09, 3.124018066762136858e-10, 9.579605147604993532e-10
2.025000000000000000e+03, 6.378499179311986233e-10, 1.574114383174471736e-10, 1.335440661851049457e-10, 1.890717472976570465e-10, 7.564526957033088884e-10, 1.964614938847147197e-09, 1.104851935285782011e-09, 3.442940239306178001e-10, 9.920719836824480257e-10
2.026000000000000000e+03, 6.258884168617522254e-10, 1.532944743410052131e-10, 1.283928045456700590e-10, 1.792738703856317984e-10, 6.964835978585338957e-10, 1.901900047132557555e-09, 1.238106207894820222e-09, 3.202437149286341942e-10, 9.773606981719288193e-10
2.027000000000000000e+03, 6.219080117550435839e-10, 1.501337907782969329e-10, 1.238759115568617506e-10, 1.751856801906587775e-10, 7.099953884237506473e-10, 1.952902869308112544e-09, 1.251314610040125865e-09, 3.537241109725952437e-10, 1.000905037841011908e-09
2.028000000000000000e+03, 6.200609074098542569e-10, 1.518029479595348971e-10, 1.207756200457965964e-10, 1.765360363406186343e-10, 6.845717059538652779e-10, 1.882282040358360518e-09, 1.214416363302857272e-09, 3.349139717022776664e-10, 9.935214108698049944e-10
2.029000000000000000e+03, 6.155695904464287652e-10, 1.503479349704533993e-10, 1.182999563822637050e-10, 1.768400840964823242e-10, 7.242419217817265100e-10, 1.877247863521320571e-09, 1.228676023439595444e-09, 3.462014199648980443e-10, 9.736792628211835455e-10
2.030000000000000000e+03, 6.235859034790025944e-10, 1.489897206448378883e-10, 1.166336305941845689e-10, 1.755033630899257488e-10, 7.673190691315266208e-10, 1.939272106674416874e-09, 1.195009826262741806e-09, 3.376411069026083582e-10, 9.476567022723366893e-10
2.031000000000000000e+03, 6.166474493635869333e-10, 1.488715365788311690e-10, 1.150961467028359990e-10, 1.745897638418752826e-10, 7.000819125944762429e-10, 2.003569120947289045e-09, 1.184419922875586058e-09, 3.423729580840899315e-10, 9.619216547468727585e-10
2.032000000000000000e+03, 6.036344894315482040e-10, 1.482672562750124424e-10, 1.140995091136616664e-10, 1.734011539655348970e-10, 6.959204835334314194e-10, 1.998459834598086106e-09, 1.151562811422449982e-09, 3.466985027447577289e-10, 9.800686176831700493e-10
2.033000000000000000e+03, 6.094770213318698807e-10, 1.482017432007833796e-10, 1.133264116724845003e-10, 1.721079103268658566e-10, 7.160706682691635244e-10, 1.975969767173171221e-09, 1.153384904085695177e-09, 3.718158537444022888e-10, 1.016186164796699851e-09
2.034000000000000000e+03, 6.129174032285603640e-10, 1.477320695497920198e-10, 1.122157514158154974e-10, 1.720254501867219061e-10, 7.141866262188712617e-10, 1.965211513308635167e-09, 1.234495321852866027e-09, 3.269621963081249095e-10, 1.011124777140682412e-09
2.035000000000000000e+03, 6.009772812909018982e-10, 1.469224462474691473e-10, 1.119814481725400074e-10, 1.720317653340387737e-10, 6.888434967799026634e-10, 2.074670932858981910e-09, 1.247301117215299828e-09, 3.739027606523755448e-10, 9.782156809377382098e-10
2.036000000000000000e+03, 6.081525185796658210e-10, 1.469996583332132237e-10, 1.115708757938981250e-10, 1.717270865688932037e-10, 7.369673553752939059e-10, 1.983662258001529872e-09, 1.282910688781150651e-09, 3.393955066560862800e-10, 9.698018977920403815e-10
2.037000000000000000e+03, 6.053935653460045571e-10, 1.463488285482177890e-10, 1.114319893884959999e-10, 1.712240869551564113e-10, 7.149583357061261491e-10, 2.003453575129361996e-09, 1.189727511944909716e-09, 3.360667346207406794e-10, 9.858751831492456940e-10
2.038000000000000000e+03, 6.087625675487714855e-10, 1.462171422369700862e-10, 1.118107729801292475e-10, 1.712912918553758774e-10, 7.327491148096446117e-10, 1.952047640079833608e-09, 1.254655394373218726e-09, 3.293913759137833836e-10, 9.686914211321346106e-10
2.039000000000000000e+03, 6.022001271959859456e-10, 1.462847020668693821e-10, 1.120063180741088851e-10, 1.708409634752957004e-10, 7.076662739519732782e-10, 1.921185181777973126e-09, 1.253398582763871729e-09, 3.407533011783367783e-10, 9.734736874036283784e-10
2.040000000000000000e+03, 6.082915095684769154e-10, 1.455995115403258294e-10, 1.122979071393181042e-10, 1.704309300724871621e-10, 7.403658560180862883e-10, 1.907957715806738034e-09, 1.231772919353470833e-09, 3.819002855822054621e-10, 9.603737585712910226e-10
2.041000000000000000e+03, 6.255842809642959984e-10, 1.446707101762093608e-10, 1.123331946264569491e-10, 1.696088820365922058e-10, 8.339206942960913691e-10, 1.932852368712929725e-09, 1.260754094671818736e-09, 3.428632094418397942e-10, 9.732784618510731900e-10
2.042000000000000000e+03, 6.366567973760490577e-10, 1.429327882577129259e-10, 1.120488874165268757e-10, 1.686826655980137520e-10, 7.828835265487978582e-10, 1.954722369925070732e-09, 1.229728568839466936e-09, 3.940223197730572555e-10, 1.011782041773983933e-09
2.043000000000000000e+03, 6.387713298834742272e-10, 1.421340042493679832e-10, 1.122915245348540745e-10, 1.685982277945875854e-10, 7.331030412242244930e-10, 1.981214366162042693e-09, 1.283312188521604516e-09, 3.550974126696822953e-10, 1.027401233250408376e-09
2.044000000000000000e+03, 6.280652801042739209e-10, 1.422705233642983438e-10, 1.142413103209106168e-10, 1.685746803887464596e-10, 7.001762772790609558e-10, 1.890368272076960670e-09, 1.175818598196998500e-09, 3.815309182321085340e-10, 1.039932399995865220e-09
2.045000000000000000e+03, 6.230068903074700683e-10, 1.449015046969465318e-10, 1.142414184201198396e-10, 1.695327341569979721e-10, 7.653939378457016234e-10, 1.941359684408999043e-09, 1.314272114572838207e-09, 3.651073707366330932e-10, 1.019119116904648066e-09
