year, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, NorESM2-LM, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM
2.046000000000000000e+03, 6.270475289500004837e-10, 1.432471768952907882e-10, 1.146645016044305301e-10, 1.586221923898086466e-10, 7.702608152872520095e-10, 2.016707330071392361e-09, 1.291135235552608887e-09, 3.390219933714485458e-10, 1.028444422712343488e-09
2.047000000000000000e+03, 6.340120507521404392e-10, 1.424935902569197990e-10, 1.148122317847038064e-10, 1.546868043739895525e-10, 7.514756055080668839e-10, 1.917539176886998869e-09, 1.223614398818637020e-09, 3.722331525485285646e-10, 1.068655187231014126e-09
2.048000000000000000e+03, 6.345260060409771963e-10, 1.417850053741326160e-10, 1.150361266634634721e-10, 1.546995043344307930e-10, 7.822867978242814219e-10, 1.979153818156320493e-09, 1.266493514762501227e-09, 3.717777541428685322e-10, 1.038666332571005640e-09
2.049000000000000000e+03, 6.228189894279304440e-10, 1.415266426149611854e-10, 1.152585273096559225e-10, 1.544783785650739340e-10, 8.437062063926361355e-10, 1.871859221939115283e-09, 1.200292703835832367e-09, 3.602283941311826734e-10, 1.007832022009675753e-09
2.050000000000000000e+03, 6.128211024328541920e-10, 1.413970067097034797e-10, 1.086989385507380968e-10, 1.543298668210445467e-10, 8.098918061996026140e-10, 1.957902614099951183e-09, 1.289571791379032334e-09, 3.661905364911500209e-10, 1.039954749445456232e-09
2.051000000000000000e+03, 6.110042614790661569e-10, 1.297274054206557167e-10, 1.090787436517353117e-10, 1.400778448814674086e-10, 7.744621931013105994e-10, 1.879142846452291696e-09, 1.251335376131165886e-09, 3.760624051414093211e-10, 1.044689460624413531e-09
2.052000000000000000e+03, 6.098355349572884244e-10, 1.293335701575341568e-10, 1.092469566864531098e-10, 1.399165526850503748e-10, 7.002594275482101569e-10, 1.991976386283366902e-09, 1.297269788035446980e-09, 3.730825904278265256e-10, 1.045420403245696062e-09
2.053000000000000000e+03, 6.070416651706013256e-10, 1.294194551818457116e-10, 1.096770928962987173e-10, 1.402805340194381148e-10, 7.262475036465049401e-10, 1.943014492079576560e-09, 1.299647126603863160e-09, 3.714039040132894932e-10, 1.011679872850104159e-09
2.054000000000000000e+03, 6.092013411034740317e-10, 1.294477047483352257e-10, 1.100816809886336891e-10, 1.400206888827206544e-10, 7.695989061411718509e-10, 1.921587080946472877e-09, 1.315494726649403963e-09, 3.757578457587656091e-10, 1.025607578115847909e-09
2.055000000000000000e+03, 6.259883508760996786e-10, 1.290696069276969045e-10, 1.105292804253451920e-10, 1.396605885454597134e-10, 7.644788483074555763e-10, 1.911831852019296121e-09, 1.350277355078463994e-09, 3.609471259271376794e-10, 1.016938440816636008e-09
2.056000000000000000e+03, 6.326479451618956122e-10, 1.328102874277178231e-10, 1.106639755817679472e-10, 1.392088139759081614e-10, 8.139241417126782380e-10, 1.943565676900504953e-09, 1.247186229747322658e-09, 3.282934598197353904e-10, 1.028933932859849390e-09
2.057000000000000000e+03, 6.376159000470014906e-10, 1.314179114595803200e-10, 1.107263271884198216e-10, 1.390340625990012792e-10, 8.371130902797364874e-10, 1.925055749508589223e-09, 1.327351562547472158e-09, 4.185505272370493540e-10, 1.065208465045921317e-09
2.058000000000000000e+03, 6.315325008097890994e-10, 1.305865559472600892e-10, 1.109189689481106073e-10, 1.384260538361063017e-10, 8.143285840598800996e-10, 1.945423352708268240e-09, 1.332039184955651820e-09, 3.570960309680716842e-10, 1.025938842508598169e-09
2.059000000000000000e+03, 6.238296389169577980e-10, 1.300302870263457865e-10, 1.112451022415630214e-10, 1.384073190443145213e-10, 8.122591038408997139e-10, 1.990735447648006941e-09, 1.286461718817600045e-09, 4.689437176743003988e-10, 1.081121317728033648e-09
2.060000000000000000e+03, 6.290730388707999025e-10, 1.296163798144810097e-10, 1.115162090317622448e-10, 1.379471646932769934e-10, 8.750706655635181608e-10, 1.875122325906288393e-09, 1.380396676833381395e-09, 3.696015879121161516e-10, 1.097402972397715303e-09
2.061000000000000000e+03, 6.333143650707370362e-10, 1.293631741280961200e-10, 1.111053634006401055e-10, 1.377803765227051472e-10, 9.277287612445499124e-10, 1.953358834062374072e-09, 1.341235065475320160e-09, 4.445847364124505272e-10, 1.036518969809990840e-09
2.062000000000000000e+03, 6.379240622055364798e-10, 1.287317179231211884e-10, 1.110688816346440024e-10, 1.364456967870213571e-10, 8.922432526979666285e-10, 1.987125684070344171e-09, 1.263247439568806181e-09, 3.674351588173806255e-10, 1.073656826993243487e-09
2.063000000000000000e+03, 6.383805709700767641e-10, 1.283297370127604576e-10, 1.113174283118164576e-10, 1.357592413589097124e-10, 8.759096579919546079e-10, 1.967428140405357465e-09, 1.282812447397218294e-09, 4.397558885195491376e-10, 1.036340661228177098e-09
2.064000000000000000e+03, 6.471418576741532138e-10, 1.280166363905880009e-10, 1.111907202972887976e-10, 1.354147401555844760e-10, 9.389964393006140631e-10, 1.941563693823160716e-09, 1.363377903834224972e-09, 3.853537231407179266e-10, 9.737626405207893255e-10
2.065000000000000000e+03, 6.454429270018467704e-10, 1.278859059547535945e-10, 1.110976627239173532e-10, 1.351622877394193187e-10, 9.576820450351413787e-10, 1.982982029635891904e-09, 1.402874939699284091e-09, 4.358950922683117989e-10, 1.001000926784555982e-09
2.066000000000000000e+03, 6.438682092348991464e-10, 1.278305380283442225e-10, 1.107629122659791648e-10, 1.351060296113703421e-10, 8.882547987484526634e-10, 2.005316849694451980e-09, 1.411492204934116773e-09, 4.072501964473151829e-10, 1.094092338827677010e-09
2.067000000000000000e+03, 6.439751597454319933e-10, 1.274157821169029214e-10, 1.112071340704522875e-10, 1.343149401624078737e-10, 9.101568479923332026e-10, 2.022918799514680220e-09, 1.474637879193590775e-09, 4.343145962700542697e-10, 1.084360518339610290e-09
2.068000000000000000e+03, 6.391540117303007342e-10, 1.273452369930814244e-10, 1.114714948959153797e-10, 1.345434590028936019e-10, 8.590952344613086885e-10, 2.058240789524635971e-09, 1.451257644930787694e-09, 4.470473611691119502e-10, 1.055589923660029083e-09
2.069000000000000000e+03, 6.441609849014697820e-10, 1.274825462614857939e-10, 1.113420043164184725e-10, 1.349801057943643782e-10, 8.158261047106838443e-10, 2.005931580037928223e-09, 1.375591099744246241e-09, 4.463201530205898123e-10, 1.028682895581622515e-09
2.070000000000000000e+03, 6.474507642965463426e-10, 1.272725197241053816e-10, 1.113329288364200927e-10, 1.344996450620962897e-10, 8.595630272771472763e-10, 2.097502243976691366e-09, 1.411221376884575347e-09, 4.046399753489087145e-10, 1.069846649587383233e-09
2.071000000000000000e+03, 6.340166529126501912e-10, 1.274054849872750417e-10, 1.107712317638929226e-10, 1.342380903095114843e-10, 9.350749008824191845e-10, 2.107045168693670333e-09, 1.459970584873121346e-09, 4.399474482874601944e-10, 9.978198107946165332e-10
2.072000000000000000e+03, 6.429813507793629586e-10, 1.271770654293765565e-10, 1.097252748167238259e-10, 1.340137721186412655e-10, 1.036703321048677713e-09, 2.047618180818170306e-09, 1.405400187139663358e-09, 3.939880202999416569e-10, 1.039005549020733899e-09
2.073000000000000000e+03, 6.762116854413837239e-10, 1.267529087665217007e-10, 1.087713089460196949e-10, 1.334215839551304663e-10, 1.134835275142104175e-09, 2.187865582401187002e-09, 1.554219901200495913e-09, 4.229915749275194257e-10, 1.079119135369719196e-09
2.074000000000000000e+03, 6.790183229584888645e-10, 1.266907577418078653e-10, 1.087836903024135699e-10, 1.329853603764006613e-10, 1.058997524898555190e-09, 2.096562722793430871e-09, 1.463869680728828066e-09, 4.439545389107598447e-10, 1.070901169835518376e-09
2.075000000000000000e+03, 6.819905867980298413e-10, 1.269268715285450481e-10, 1.078434940318451353e-10, 1.330724700824111804e-10, 1.069173473969268242e-09, 2.068959039617886110e-09, 1.564088230473063659e-09, 4.641274044680086624e-10, 1.079548871261679761e-09
2.076000000000000000e+03, 6.950804601613492551e-10, 1.266453411524103695e-10, 1.070684916570931756e-10, 1.325471617305744019e-10, 1.104995607494973363e-09, 2.225309036132579814e-09, 1.581487298652525525e-09, 4.327336998255355159e-10, 1.082117422650497269e-09
2.077000000000000000e+03, 7.174124137302700169e-10, 1.263554114268069570e-10, 1.062318519324447805e-10, 1.324651050083708294e-10, 1.011802985512789653e-09, 2.205036857545723834e-09, 1.634785455888701360e-09, 4.465526056428438233e-10, 1.132672995768452631e-09
2.078000000000000000e+03, 7.271954093426648544e-10, 1.255977517568852905e-10, 1.057565606442887139e-10, 1.319053675229578853e-10, 1.022204913506852886e-09, 2.238130440862077191e-09, 1.694265579253994901e-09, 4.430445762631665370e-10, 1.204106064280627531e-09
2.079000000000000000e+03, 7.239311781865627252e-10, 1.254367924916185813e-10, 1.048362227421960895e-10, 1.317119945719943377e-10, 1.086067695769252868e-09, 2.242018061218769693e-09, 1.767253739945992329e-09, 4.826877402618850492e-10, 1.182061433391612059e-09
2.080000000000000000e+03, 7.389819613982424400e-10, 1.250312414950890444e-10, 1.044277839307944594e-10, 1.311062340208188798e-10, 1.128152382927931645e-09, 2.313173709506282330e-09, 1.630602015530084753e-09, 4.613509406974797410e-10, 1.124390269866594012e-09
2.081000000000000000e+03, 7.431930909593318222e-10, 1.250101685068263922e-10, 1.035594470074309896e-10, 1.309550136577415978e-10, 1.117275813050173130e-09, 2.233658171651342258e-09, 1.663985351481831539e-09, 4.512859463080762578e-10, 1.186147346728457319e-09
2.082000000000000000e+03, 7.634508811440912654e-10, 1.242965170844050693e-10, 1.032450767944135520e-10, 1.303976728244520899e-10, 1.220277892766892636e-09, 2.229348902536086562e-09, 1.691276103308646529e-09, 4.770723366136691580e-10, 1.208230855712824813e-09
2.083000000000000000e+03, 7.723869097964773230e-10, 1.239204863796659812e-10, 1.022857782707184128e-10, 1.302655321376987522e-10, 1.268020757999475688e-09, 2.292067613059309535e-09, 1.621517371676497891e-09, 4.645693547737684295e-10, 1.108652006516850545e-09
2.084000000000000000e+03, 7.773306022045104973e-10, 1.231010416426447024e-10, 1.017694845879386801e-10, 1.296660686709150617e-10, 1.192444036449728481e-09, 2.359827351589532279e-09, 1.753387205409164207e-09, 4.563006559856419874e-10, 1.138671764165561976e-09
2.085000000000000000e+03, 7.743393565561139408e-10, 1.229405016187525427e-10, 1.008924258468060647e-10, 1.296324802013134331e-10, 1.119704074595599698e-09, 2.317284428481344135e-09, 1.638777268375138144e-09, 4.662993032575048917e-10, 1.161030692296334490e-09
2.086000000000000000e+03, 7.576349515411451437e-10, 1.224118718451344075e-10, 1.003489350860330977e-10, 1.292170864242829909e-10, 1.187407988730687501e-09, 2.352255310889513527e-09, 1.775994644997380006e-09, 4.543788496096123497e-10, 1.191574295484803790e-09
2.087000000000000000e+03, 7.679774054038601695e-10, 1.215983889784112769e-10, 1.001293409520511786e-10, 1.285238406090610266e-10, 1.171776344393986818e-09, 2.451133677572291746e-09, 1.739357718296199488e-09, 4.970980109744408848e-10, 1.228186375512916456e-09
2.088000000000000000e+03, 7.790115996766253971e-10, 1.213320666040801007e-10, 9.966206723927364292e-11, 1.283755431333432913e-10, 1.138521597767334068e-09, 2.380315812720744329e-09, 1.813646502148924613e-09, 4.773530666307859735e-10, 1.222476283033624589e-09
2.089000000000000000e+03, 7.904737821349415250e-10, 1.207923526200050253e-10, 9.900160357040415199e-11, 1.279323719588773786e-10, 1.180312286360932733e-09, 2.378955612612012115e-09, 1.782678620551035821e-09, 5.054332312712022699e-10, 1.155641987793707191e-09
2.090000000000000000e+03, 8.003811080638694839e-10, 1.201365587349603157e-10, 1.016628294891396059e-10, 1.274742063515831528e-10, 1.303828696418431646e-09, 2.415085437363106752e-09, 1.797351917324029436e-09, 4.802145785173822232e-10, 1.214047383998545661e-09
2.091000000000000000e+03, 7.975035374388650218e-10, 1.273325374619366855e-10, 1.052244562630925873e-10, 1.335873436603972441e-10, 1.288597723754837760e-09, 2.506113114842965203e-09, 1.788442433802631527e-09, 4.796936786983978875e-10, 1.170360893664705328e-09
2.092000000000000000e+03, 7.820565334392560345e-10, 1.362358645311351817e-10, 1.046805161497752748e-10, 1.409799274741730957e-10, 1.246873394986662109e-09, 2.419909733029981617e-09, 1.775503908792232518e-09, 4.857000933203125696e-10, 1.113212971564745430e-09
2.093000000000000000e+03, 8.056603156519843217e-10, 1.355714311490481064e-10, 1.038323235019538188e-10, 1.402900669109540661e-10, 1.327609251633801959e-09, 2.433751516107296666e-09, 1.752724464515681883e-09, 4.849789641841895590e-10, 1.154743125346323409e-09
2.094000000000000000e+03, 7.980428633880939336e-10, 1.347066914871539100e-10, 1.032652135459194474e-10, 1.392694290947322143e-10, 1.351983408578774678e-09, 2.367076544746470666e-09, 1.705283653060084835e-09, 4.723252073718126104e-10, 1.169196258285112255e-09
2.095000000000000000e+03, 7.919548570409364917e-10, 1.341139528578297703e-10, 1.029849412192945293e-10, 1.385137322753729020e-10, 1.339572077604100223e-09, 2.399491760667618647e-09, 1.827413333234601222e-09, 4.967685754157171868e-10, 1.235001557105629789e-09
2.096000000000000000e+03, 7.955052763853977822e-10, 1.335970415562821937e-10, 1.026398066136380033e-10, 1.377535796368886632e-10, 1.359474562153902738e-09, 2.404657157978180343e-09, 1.674780143860010705e-09, 4.581352377968168714e-10, 1.197941929736276226e-09
2.097000000000000000e+03, 7.891568629296279168e-10, 1.324786500170763945e-10, 1.022334330886145179e-10, 1.371059814446192004e-10, 1.340651595213022261e-09, 2.396001286309126472e-09, 1.741781227682147131e-09, 5.008551908980918517e-10, 1.170617133563612853e-09
2.098000000000000000e+03, 7.753547715502306281e-10, 1.308358559794227154e-10, 1.018539714214669275e-10, 1.362845477356250195e-10, 1.213337535541798907e-09, 2.444797926407994822e-09, 1.705164039072530085e-09, 4.408203433916391367e-10, 1.172276491069510707e-09
2.099000000000000000e+03, 7.651092992455731710e-10, 1.292275671008914264e-10, 1.093008861890353859e-10, 1.354658831898850547e-10, 1.203082784002737451e-09, 2.405163514214096568e-09, 1.778644355969422006e-09, 4.585816639711642889e-10, 1.152635257944158022e-09
2.100000000000000000e+03, 7.632027712048334833e-10, 1.382490190705597438e-10, 1.093702642702481036e-10, 1.403693205120749703e-10, 1.264748764288931330e-09, 2.476028162910036132e-09, 1.629648787950991152e-09, 5.112846382770688180e-10, 1.157339442058933861e-09
