year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CMCC-ESM2, GFDL-ESM4, CESM2-WACCM, CanESM5, UKESM1-0-LL
2.015000000000000000e+03, 1.236221824229940200e-09, 1.454495613057835653e-09, 1.939069999444727929e-10, -9.735675920378129954e-10, 3.233821432007449232e-10, 9.555834759937998038e-10, -3.999147209624724538e-11, 1.007161738838044877e-09
2.016000000000000000e+03, 7.702910906384525630e-10, 1.427556896893476086e-09, 8.049190321940476354e-10, -2.203735314050389649e-11, -6.371368940854087893e-10, 2.395689617428024976e-10, 9.712391455508148805e-10, 4.760081726773147151e-10
2.017000000000000000e+03, 1.475254195901191793e-09, 1.231658056038594106e-09, 1.049371929936944959e-10, -1.506193296640052078e-09, -2.182620989193453482e-10, -3.759715388658418365e-11, 9.310504183483246458e-10, 3.961616621807343061e-10
2.018000000000000000e+03, 7.691222907305197948e-10, 1.231977616602287460e-09, 1.502076493180688049e-09, -8.280368921097140894e-10, 1.465950599773218172e-10, 3.789097811748777781e-11, 3.927572675907754972e-10, 2.805490814866330000e-10
2.019000000000000000e+03, 6.195019534660517707e-10, 9.849973573545765567e-10, 5.584322862319651143e-10, 6.943470354563452424e-11, -4.843061294075833601e-10, 3.128661270082441163e-10, 1.948793522626748911e-10, 8.453534268604008911e-10
2.020000000000000000e+03, 1.399152083358776631e-09, 1.058809270405831189e-09, -7.539748517139700605e-10, -1.046735016665806168e-09, 2.604461825588660170e-10, 9.056264665183869750e-10, 7.884988787446986107e-10, 5.280159873107241864e-10
2.021000000000000000e+03, 1.543266053051029394e-09, 1.439259053718600740e-09, 1.372142330984493013e-09, -9.320194770645629513e-11, 3.181196370696027504e-10, 3.200110430147092646e-10, 5.228767155171960273e-10, 1.188293815785725396e-09
2.022000000000000000e+03, 1.194275105106263081e-09, 1.642501924085309942e-09, 2.525488545428412777e-11, -2.135780067661181914e-09, -1.278133690043353785e-10, 3.968009429399668346e-11, 9.306814069320036625e-10, 2.070434860405222850e-10
2.023000000000000000e+03, 1.160717684395976200e-09, 1.460506845786609743e-09, 1.270184898650895266e-09, 2.719126681083403524e-10, 8.131132062735810177e-11, 6.500597607674685048e-10, 7.819577443523551563e-10, 1.254646543051870770e-09
2.024000000000000000e+03, 8.399724089661428610e-10, 1.234901687999336537e-09, 9.200498517734997344e-10, 2.529056532178134576e-10, 7.259031949219014433e-10, 5.900768186663344163e-10, 1.066824957125326320e-09, 6.298130688084025347e-10
2.025000000000000000e+03, 9.567855406852057585e-10, 1.065511611427200173e-09, 3.975310110762403241e-10, -1.093751908566827802e-09, 3.523111101807765267e-10, 5.172518637793398917e-10, 6.704942598030628556e-10, 1.243087185041262941e-09
2.026000000000000000e+03, 8.218909653999671581e-10, 1.504983831936360753e-09, 1.131604419260415067e-09, -1.405885881872955119e-09, 4.110163645975210378e-10, 1.907905984792457162e-09, 1.105461079061902407e-09, 5.518466679325765876e-10
2.027000000000000000e+03, 1.465406921526452570e-09, 1.237829503170513909e-09, 8.836588085948063582e-10, -2.331747056802833165e-10, 4.475960309929424697e-10, 1.129875504326334560e-09, 8.944758255036537412e-10, 1.724928875471075235e-09
