year, TaiESM1, GFDL-ESM4, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 1.119085646949204323e-10, 2.891634447506199908e-10, 2.686950310187674301e-10, 2.866289047576033078e-10, 2.072262628612206380e-10
2.016000000000000000e+03, 1.859397688378871746e-10, 3.593381142835571588e-10, 2.849864054366845447e-10, 3.821465786085196008e-10, 3.070592923827505338e-10
2.017000000000000000e+03, 1.307453672995840949e-10, 2.542319500768032661e-10, 2.241905581718802754e-10, 2.651382580486123618e-10, 2.104682379074248170e-10
2.018000000000000000e+03, 1.399620449059685234e-10, 4.142250531897322084e-10, 2.308505028137362928e-10, 4.043386196639055840e-10, 3.382243276144861814e-10
2.019000000000000000e+03, 1.255513613965572092e-10, 4.677298267667584677e-10, 4.026197413577160400e-10, 6.410109379942005368e-10, 4.136903856338329388e-10
2.020000000000000000e+03, 9.252904814329015398e-11, 3.000945511462993940e-10, 6.834431685318729340e-10, 9.578936916002630035e-11, 2.315167820880682227e-10
2.021000000000000000e+03, 1.378204488702257432e-10, 1.864252989787868530e-10, 4.546518911248715095e-10, 1.930994203142719309e-10, 2.226043821807314629e-10
2.022000000000000000e+03, 2.112571050599742960e-10, 4.485304127704251203e-10, 3.362948712008792707e-10, 2.617479522685981671e-10, 3.519481387347705872e-10
2.023000000000000000e+03, 1.595468161781686599e-10, 3.579873856965754684e-10, 3.460931104218486086e-10, 2.282005905790483643e-10, 2.890826392829391739e-10
2.024000000000000000e+03, 9.237388011887414258e-11, 4.068897906910860064e-10, 3.759429631653662071e-10, 1.520071621001373769e-10, 3.288683771181921261e-10
2.025000000000000000e+03, 1.744454734040424642e-10, 2.749460997619574420e-10, 5.214472128003373216e-10, 2.854617349666412943e-10, 3.301827097818596168e-10
2.026000000000000000e+03, 1.742192444880445717e-10, 4.567314196018010448e-10, 4.479146226333270620e-10, 1.671798103124531735e-10, 2.479725545364714359e-10
2.027000000000000000e+03, 1.788697190220144793e-10, 2.711057218279836109e-10, 2.266505426593513564e-10, 1.715197123666211376e-10, 3.216133451715024068e-10
2.028000000000000000e+03, 1.145253825431112426e-10, 2.815159495728504221e-10, 4.024400606120065504e-10, 2.963310945372122137e-10, 4.090488268017803061e-10
2.029000000000000000e+03, 1.181640947296273840e-10, 3.056199133703961449e-10, 3.998455320558055334e-10, 2.012347067178890141e-10, 4.014962776206835539e-10
2.030000000000000000e+03, 1.387130388479906036e-10, 3.995763492362577341e-10, 3.229171070534323765e-10, 2.310625027406392560e-10, 5.307510722660346759e-10
2.031000000000000000e+03, 2.021551523307479055e-10, 3.126416673239585452e-10, 4.557212186193567275e-10, 2.476583461350155887e-10, 2.976383694391843613e-10
2.032000000000000000e+03, 1.386063641533264518e-10, 5.456620423576765501e-10, 3.056720408164991043e-10, 2.201499827369549693e-10, 3.698047509906900963e-10
2.033000000000000000e+03, 2.137221743641901376e-10, 5.022113836431393825e-10, 2.161305338728792379e-10, 1.901464606422522980e-10, 2.211700650543209533e-10
2.034000000000000000e+03, 1.574611225203161795e-10, 4.505700930757125103e-10, 2.813945815360698782e-10, 2.252745013574752217e-10, 3.432561195555171814e-10
2.035000000000000000e+03, 1.553638412766834438e-10, 5.321480934684097077e-10, 2.939140555530379045e-10, 2.067252399383789074e-10, 5.299536402208438825e-10
2.036000000000000000e+03, 1.517298351589275464e-10, 5.136248476090653820e-10, 5.465023009039137469e-10, 2.166630084272651101e-10, 4.215234442141941865e-10
2.037000000000000000e+03, 1.177378459137726857e-10, 5.129911580091431507e-10, 2.825015339432954511e-10, 3.064456463954438178e-10, 3.417951346151845037e-10
2.038000000000000000e+03, 1.110311989795863109e-10, 5.957192843304795014e-10, 2.530996181909389889e-10, 1.120705523409575825e-10, 3.100995350668713393e-10
2.039000000000000000e+03, 1.006293236202466572e-10, 3.578092318248127614e-10, 3.144790972410460898e-10, 2.516066414533793389e-10, 3.732399328651467887e-10
2.040000000000000000e+03, 1.168002672426913592e-10, 4.089973606811591016e-10, 3.096730113866059573e-10, 6.286416757338074609e-10, 3.946172459465782493e-10
2.041000000000000000e+03, 2.077852589062569627e-10, 5.486394438934633188e-10, 2.456728861915298082e-10, 1.745792795746250883e-10, 4.304981059711280800e-10
2.042000000000000000e+03, 1.518445750666187487e-10, 6.403536299503150920e-10, 3.652639397781900327e-10, 4.863932962401693604e-10, 4.342086905672577156e-10
2.043000000000000000e+03, 1.996963989948152204e-10, 5.428070583934072597e-10, 4.061704082293096469e-10, 1.962229784521604414e-10, 3.345259042482673989e-10
2.044000000000000000e+03, 1.906233466011307264e-10, 3.030066072979315690e-10, 3.448311027024628332e-10, 2.610125263056869053e-10, 4.053432417654705829e-10
2.045000000000000000e+03, 1.700265801159330818e-10, 5.081204365667993732e-10, 4.131379813234226293e-10, 9.510805173303334609e-11, 4.681811956494395361e-10
2.046000000000000000e+03, 9.782611422579421767e-11, 3.905135252899586155e-10, 3.723676670239698910e-10, 1.663042698714841598e-10, 3.709891876113703853e-10
2.047000000000000000e+03, 1.877912144613201477e-10, 5.456499102976161567e-10, 3.856337784993498981e-10, 2.137880467152517429e-10, 3.952153800939264120e-10
2.048000000000000000e+03, 1.853566250492366370e-10, 4.684715926286615826e-10, 4.310027065199416505e-10, 2.164035134212681733e-10, 4.118953766094900564e-10
2.049000000000000000e+03, 1.741483361765554559e-10, 6.052049980117403726e-10, 5.167397847430972335e-10, 4.050709814049422308e-10, 4.930095326880324969e-10
2.050000000000000000e+03, 1.241322613968837089e-10, 3.872270962483634030e-10, 4.990258588021586652e-10, 2.301917270993189854e-10, 3.541241668610208833e-10
2.051000000000000000e+03, 1.604860877779069655e-10, 5.850722725582352394e-10, 5.185838797031470034e-10, 5.205587416970380382e-10, 4.246062291598720490e-10
2.052000000000000000e+03, 1.435657348310713417e-10, 7.077271632244659982e-10, 4.236198898029792858e-10, 2.408117893671916636e-10, 4.692775834759103661e-10
2.053000000000000000e+03, 1.344663959474273366e-10, 5.356645039941886980e-10, 2.527044776477819235e-10, 1.980951308032031147e-10, 5.345979984632891676e-10
2.054000000000000000e+03, 9.550885329965795637e-11, 4.802261036680380273e-10, 3.274049769028002282e-10, 3.691263251445001949e-10, 4.414461129704760466e-10
2.055000000000000000e+03, 1.517055432784371670e-10, 4.755988266596794064e-10, 4.726525731953099796e-10, 1.489416193689019923e-10, 3.198611188542492776e-10
2.056000000000000000e+03, 1.801417118080230805e-10, 5.783381807129552928e-10, 2.917135380006758391e-10, 2.793745719203729219e-10, 6.047749664972946834e-10
2.057000000000000000e+03, 1.643104134672732667e-10, 7.698221413100802322e-10, 3.909021586899003551e-10, 3.271741016593107971e-10, 6.591175964932790021e-10
2.058000000000000000e+03, 1.620885329087106213e-10, 3.539448706037400536e-10, 3.540227929753095239e-10, 2.253650236617656565e-10, 5.462070926917465069e-10
2.059000000000000000e+03, 1.512163370941864496e-10, 5.298964524533032417e-10, 4.453972124278100590e-10, 3.076583063473989437e-10, 4.961535060689433667e-10
2.060000000000000000e+03, 1.954197367953630182e-10, 4.727253072080215946e-10, 5.476051134967441878e-10, 2.293219324338162617e-10, 4.734794468924239208e-10
2.061000000000000000e+03, 1.874202248957826662e-10, 3.619021292400041218e-10, 4.064026927179205905e-10, 4.781927786032179135e-10, 3.643656815099806669e-10
2.062000000000000000e+03, 1.194351770691865023e-10, 5.858931331754496072e-10, 3.717275025527916568e-10, 5.271134484109533864e-10, 6.038313291520372008e-10
2.063000000000000000e+03, 2.384743176504911977e-10, 1.022770253566535469e-09, 3.980610657098914753e-10, 2.202355985443814281e-10, 3.929671416188763316e-10
2.064000000000000000e+03, 1.598429354114041538e-10, 9.505253648774353619e-10, 3.042003425912956343e-10, 2.006249361109024898e-10, 3.676277962375017474e-10
2.065000000000000000e+03, 2.269786509393089096e-10, 4.037052715703707186e-10, 2.517468201718054482e-10, 4.136332583131141807e-10, 3.466016519105303042e-10
2.066000000000000000e+03, 1.438981033024856673e-10, 4.591401963283351404e-10, 3.919064701268956952e-10, 2.602524077679973968e-10, 4.249390982008524981e-10
2.067000000000000000e+03, 1.619782315310692748e-10, 5.088974257408938631e-10, 2.726763912707834410e-10, 3.202690514152701269e-10, 6.051969984212142493e-10
2.068000000000000000e+03, 1.979019137633812533e-10, 7.525322476210839581e-10, 3.015656763563098942e-10, 4.038174346380213246e-10, 4.289236461981116195e-10
2.069000000000000000e+03, 1.275291720742182488e-10, 7.311888631302793505e-10, 4.754404232789607747e-10, 3.619880027328922385e-10, 5.197223048140207135e-10
2.070000000000000000e+03, 1.497418010294928571e-10, 8.238487816331467798e-10, 4.035855139307471798e-10, 3.918733143748786671e-10, 2.767130096117538737e-10
2.071000000000000000e+03, 1.668488339321330457e-10, 6.748996372000434280e-10, 8.379569894941328382e-10, 4.839194913561765963e-10, 3.634929828071432276e-10
2.072000000000000000e+03, 2.083719325346775577e-10, 8.373861834673869441e-10, 4.325587377038000501e-10, 3.859469045058861032e-10, 5.545103167764291348e-10
2.073000000000000000e+03, 1.637659383229663254e-10, 6.600540946268652912e-10, 3.672593998743626350e-10, 2.353828509744673032e-10, 3.467464431923849041e-10
2.074000000000000000e+03, 1.059180876206216019e-10, 5.351451643802457074e-10, 5.831909322986546196e-10, 4.017230420726479337e-10, 4.955520453892757669e-10
2.075000000000000000e+03, 2.712547204752827849e-10, 8.411112634514779342e-10, 5.280283156452356463e-10, 3.266959383607960606e-10, 7.402978829369244972e-10
2.076000000000000000e+03, 1.259478339404038522e-10, 5.185810651872816217e-10, 6.454020308782845653e-10, 3.442132176600570759e-10, 5.288224783567305684e-10
