year, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, CNRM-ESM2-1, UKESM1-0-LL
2.031000000000000000e+03, 1.215658267201844556e+00, 1.224039739439023222e+00, 1.435353990083639175e+00, 4.399154603932576846e-01, 1.608501602289085675e+00, 3.936604237541811713e-02, 1.116019358890421920e+00, 3.028786029212604536e-02, 9.842425490507721378e-03
2.032000000000000000e+03, 1.214918962655372692e+00, 1.217680118405381373e+00, 1.426017983359657793e+00, 4.359233901369514719e-01, 1.594711990603246532e+00, 3.754697979038382899e-02, 1.107177910965160716e+00, 2.858466706313660816e-02, 9.663431253943293581e-03
2.033000000000000000e+03, 1.213860788727759266e+00, 1.214673327667243674e+00, 1.422020777944813519e+00, 4.321761442023803745e-01, 1.588092659166986609e+00, 3.584360181764652264e-02, 1.098869650123683428e+00, 2.681731318400006753e-02, 9.560413703528534285e-03
2.034000000000000000e+03, 1.215427253777291661e+00, 1.205708075070657248e+00, 1.410973983186684100e+00, 4.282692840914691934e-01, 1.580912828830002059e+00, 3.424660709601269615e-02, 1.091218807121499657e+00, 2.529178986379013866e-02, 9.486944936251281990e-03
2.035000000000000000e+03, 1.218297820566889067e+00, 1.192543285473411929e+00, 1.408456256848583221e+00, 4.240115414550317263e-01, 1.569006618763974847e+00, 3.271052198229308650e-02, 1.084130090165911442e+00, 2.365326469899303036e-02, 9.375807831345459378e-03
2.036000000000000000e+03, 1.220464210050707932e+00, 1.185241466525733145e+00, 1.415984428178704846e+00, 4.201498150558459210e-01, 1.564485857190522466e+00, 3.127549629288044197e-02, 1.077766578580027224e+00, 2.225281109949241859e-02, 9.283552936519369470e-03
2.037000000000000000e+03, 1.219873165822465744e+00, 1.181996720936976386e+00, 1.408731223717968328e+00, 4.162685080522728343e-01, 1.556567403981574893e+00, 2.989483585831118062e-02, 1.071682024523682220e+00, 2.118551746358054294e-02, 9.230956723917422765e-03
2.038000000000000000e+03, 1.220741713239610560e+00, 1.173342421626763166e+00, 1.414120857818285337e+00, 4.130607033072091760e-01, 1.550893476724446662e+00, 2.858671970673911170e-02, 1.065684718173735668e+00, 2.012613006899817772e-02, 9.117664450083251201e-03
2.039000000000000000e+03, 1.221677280135142096e+00, 1.168436315160098715e+00, 1.417400049598988909e+00, 4.089920097192027981e-01, 1.542087841538126725e+00, 2.732781182904917699e-02, 1.059969573831731848e+00, 1.964682441658607143e-02, 8.952805990617119028e-03
2.040000000000000000e+03, 1.217947754155768836e+00, 1.161051154555688303e+00, 1.427978291278789280e+00, 4.062054390619088129e-01, 1.538474630972564983e+00, 2.612437623224334385e-02, 1.054662292373938381e+00, 1.884239040465782514e-02, 8.794331880375226562e-03
2.041000000000000000e+03, 1.215695692932957206e+00, 1.156449679859295809e+00, 1.414975665856434750e+00, 4.023424027376730217e-01, 1.539204966741519076e+00, 2.491524901303153114e-02, 1.049863198917745599e+00, 1.819815219939855885e-02, 9.059178462965890646e-03
2.042000000000000000e+03, 1.216491036125950442e+00, 1.156373333369101974e+00, 1.421223043369701955e+00, 3.986930604896561370e-01, 1.538201654903599280e+00, 2.379064099636881910e-02, 1.045283066819547413e+00, 1.782316748352518951e-02, 9.141240897808742411e-03
2.043000000000000000e+03, 1.218379489045823272e+00, 1.153069268719121521e+00, 1.413272057355009048e+00, 3.960765409100731049e-01, 1.534296519026441041e+00, 2.275987185951552916e-02, 1.040965057048260256e+00, 1.696026388581119843e-02, 9.159154556801982205e-03
2.044000000000000000e+03, 1.220769029479570555e+00, 1.150041786332482996e+00, 1.418683940087818174e+00, 3.932720430841674109e-01, 1.525688131473313058e+00, 2.180026588935480084e-02, 1.037060779060922533e+00, 1.739070607684946312e-02, 9.045253614774730749e-03
2.045000000000000000e+03, 1.221235697912935736e+00, 1.142835742493781392e+00, 1.417337750788429718e+00, 3.913731879178535822e-01, 1.518391177245949963e+00, 2.093013695064253887e-02, 1.032705917549396668e+00, 1.757312120693209009e-02, 8.994095215540459307e-03
2.046000000000000000e+03, 1.223471953175177651e+00, 1.138223491176056035e+00, 1.406366052423150048e+00, 3.882800102452666491e-01, 1.514069592613630055e+00, 1.999153214325849817e-02, 1.027619812795666165e+00, 1.625093485636690260e-02, 9.139484709591463515e-03
2.047000000000000000e+03, 1.228064873055732198e+00, 1.138647044099418526e+00, 1.390279959587105596e+00, 3.850716487175780967e-01, 1.511014979657452573e+00, 1.911700469338654604e-02, 1.022377741913145899e+00, 1.498759846503093171e-02, 9.096094663312381465e-03
2.048000000000000000e+03, 1.231715742440592010e+00, 1.127810595635134305e+00, 1.381075481231922364e+00, 3.821589932108527266e-01, 1.505618619038704420e+00, 1.829764869045826664e-02, 1.017172784888616954e+00, 1.359524375062906576e-02, 9.009154849414512806e-03
2.049000000000000000e+03, 1.233198447959154676e+00, 1.117085233179438752e+00, 1.370728304142993625e+00, 3.791860889136602908e-01, 1.496308295419378931e+00, 1.753659914312660079e-02, 1.012299933762357274e+00, 1.229652271402991055e-02, 9.098419428195291675e-03
2.050000000000000000e+03, 1.240535302595619171e+00, 1.117097494719723860e+00, 1.356671894659615241e+00, 3.750001917424559683e-01, 1.490394854024010396e+00, 1.682512823246216579e-02, 1.009977349569685989e+00, 1.183654746500543108e-02, 9.057237839590771139e-03
2.051000000000000000e+03, 1.243815894605144523e+00, 1.113502878285363540e+00, 1.347924883097869619e+00, 3.721349484569967947e-01, 1.487570994741463037e+00, 1.614841849212183406e-02, 1.006976299589807722e+00, 1.335943934730120242e-02, 8.893809856265273012e-03
2.052000000000000000e+03, 1.245069323185863164e+00, 1.109826666304518428e+00, 1.332066093420556818e+00, 3.698139363320875339e-01, 1.484135195497352511e+00, 1.553747566029985323e-02, 1.001756380688256121e+00, 1.581900074944429455e-02, 8.643535329341365744e-03
2.053000000000000000e+03, 1.245283613943421130e+00, 1.100803562974675298e+00, 1.323892187329238412e+00, 3.674177592936109793e-01, 1.480744277527262120e+00, 1.497906914160746124e-02, 9.969630636363030485e-01, 1.879545125308290654e-02, 8.341199509943917484e-03
2.054000000000000000e+03, 1.246883773113185212e+00, 1.099372188001154438e+00, 1.308780863360635927e+00, 3.645965840573401340e-01, 1.479717917667225935e+00, 1.446758344866336428e-02, 9.925547102435694491e-01, 2.190012578920627964e-02, 8.244737061524022234e-03
2.055000000000000000e+03, 1.269326267929589358e+00, 1.094454298624006894e+00, 1.302802181236537793e+00, 3.623219518166022057e-01, 1.500791789758566308e+00, 1.400344597137475125e-02, 9.904061577596494637e-01, 2.513981144328943443e-02, 8.221687015099246598e-03
2.056000000000000000e+03, 1.283626224952130634e+00, 1.096872302642542651e+00, 1.312762917281091068e+00, 3.664730586868686357e-01, 1.522269611858884097e+00, 1.357972051839000278e-02, 9.910329177170547066e-01, 3.837763033672950824e-02, 8.272223912593223635e-03
2.057000000000000000e+03, 1.297791022002313444e+00, 1.102377680526751114e+00, 1.304333799990738285e+00, 3.702295829416160089e-01, 1.537801569203734342e+00, 1.329157297772585317e-02, 9.920899207951564547e-01, 4.905050015430168636e-02, 8.368284669522959782e-03
2.058000000000000000e+03, 1.311079085298751057e+00, 1.095065317982921949e+00, 1.314776104317585181e+00, 3.720825380664330995e-01, 1.547934335073637424e+00, 1.313163459918066135e-02, 9.922631698023032243e-01, 6.135838649191972805e-02, 8.329293998886766470e-03
2.059000000000000000e+03, 1.321479050500852015e+00, 1.102580135988450172e+00, 1.320154441422669356e+00, 3.759542436120256736e-01, 1.556526702447066812e+00, 1.309819599149274205e-02, 9.923835962030359559e-01, 7.412865930433205908e-02, 8.250255728167872962e-03
2.060000000000000000e+03, 1.327080031027782603e+00, 1.104640732696267946e+00, 1.329031190731569279e+00, 3.818160092208509049e-01, 1.564209698257664760e+00, 1.316652647890232883e-02, 9.930571416105936633e-01, 8.778002088072368869e-02, 8.173669639627550304e-03
