year, IPSL-CM6A-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, GFDL-ESM4, CNRM-ESM2-1, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM
2.015000000000000000e+03, 1.300103986215894865e-09, 1.048003312889136491e-09, 9.790333820489919741e-11, 2.435668476028490376e-10, 8.537578836952754514e-10, 9.383708669776437403e-11, 1.360564799510619628e-12, 7.228677652677002318e-10, 1.197738345995540624e-09
2.016000000000000000e+03, 1.248862186560438466e-09, 1.043331456818590618e-09, 2.116844746556560761e-10, 2.435098115309867727e-10, 8.862289400579097591e-10, 9.284278792595338267e-11, 1.551792175280348229e-12, 7.209325718929207172e-10, 1.152211843113149473e-09
2.017000000000000000e+03, 1.214654010428910534e-09, 1.036327814291421334e-09, 1.407063437168590045e-10, 2.431141298418469384e-10, 9.983818790179979766e-10, 9.136635664109662102e-11, 1.668890851378161515e-12, 7.264450638530308946e-10, 1.128891185129331159e-09
2.018000000000000000e+03, 1.236161150816447069e-09, 1.031283082444885587e-09, 1.115447822759864118e-10, 2.414745788771529073e-10, 8.558688205125917062e-10, 9.064934637165570231e-11, 1.680831051255288401e-12, 7.176817625465896974e-10, 1.157842231574682445e-09
2.019000000000000000e+03, 1.212168588059584507e-09, 1.027243408688561338e-09, 9.808013204239960846e-11, 2.386695730583588787e-10, 9.437549166269305184e-10, 7.651194182108544678e-11, 1.704812211014390029e-12, 7.281401230760793993e-10, 1.188191091296939072e-09
2.020000000000000000e+03, 1.168916026855690479e-09, 1.001207294452141266e-09, 9.051048605582699035e-11, 2.345356607389529604e-10, 8.815144686203361992e-10, 4.511445273215382371e-11, 1.740203640779922869e-12, 7.037183377865433394e-10, 1.206583628264660919e-09
2.021000000000000000e+03, 1.146216598645470188e-09, 9.912681676406136580e-10, 9.235457953965436019e-11, 2.293479388176795130e-10, 9.649432801273456036e-10, 4.291633217329608428e-11, 1.634924376008745511e-12, 6.802603516399343618e-10, 1.153993952146825768e-09
2.022000000000000000e+03, 1.247696501364856142e-09, 9.878196286895155532e-10, 8.516923337663606885e-11, 2.238815865610935969e-10, 8.973884407805288864e-10, 4.001339567174345037e-11, 1.667220028096727785e-12, 6.875599775645715847e-10, 1.145526264165609145e-09
2.023000000000000000e+03, 1.201742869087147664e-09, 9.898293904202003636e-10, 8.696888716098704929e-11, 2.184633502102986985e-10, 9.272063037652449871e-10, 3.723877362999016509e-11, 1.704890016373022222e-12, 6.668153058526771640e-10, 1.172239978771085051e-09
2.024000000000000000e+03, 1.218281175412054457e-09, 9.899859486189694021e-10, 8.025735599135021247e-11, 2.130354189753785753e-10, 9.541752761538702711e-10, 3.440416658553425905e-11, 1.578519229832316215e-12, 6.643504047186009426e-10, 1.157958880308061060e-09
