year, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM
2.025000000000000000e+03, 3.392607824723382621e-11, 1.237983091916126058e-09, 1.451421209641838248e-11, 1.572207473110267499e-12, 2.022535325385485745e-10, 2.455795920420862941e-10, 2.307156153966428888e-10, 4.430039492205590833e-11, 3.520992296196763897e-11, 1.300007142190361461e-09
2.026000000000000000e+03, 3.468582177660491894e-11, 1.195282217870146197e-09, 1.755158181313732333e-11, 1.747953054491133093e-12, 2.118681674668673513e-10, 2.458249653702221322e-10, 2.276782852326412074e-10, 4.805927219140784224e-11, 3.879447141084841435e-11, 1.252431351699617520e-09
2.027000000000000000e+03, 3.457861624999272278e-11, 1.231344075482710414e-09, 1.725207531853946442e-11, 2.135010487817786076e-12, 2.101416135873988971e-10, 2.413121005489507254e-10, 2.229335582587434123e-10, 4.871591121669077210e-11, 3.559087594070755639e-11, 1.315092200470726084e-09
2.028000000000000000e+03, 3.475698685623576760e-11, 1.270450917668742461e-09, 1.703557276815139151e-11, 2.139039301840970567e-12, 2.068818487410875715e-10, 2.342935276527423867e-10, 2.191218018035221494e-10, 4.805124465751769952e-11, 3.264495509125083056e-11, 1.344498843483347993e-09
2.029000000000000000e+03, 3.512503787749208670e-11, 1.268592467451444230e-09, 1.674667675552796042e-11, 2.060910656667206117e-12, 2.020394975094458001e-10, 2.321498828743301570e-10, 2.177988037041859129e-10, 4.788367095908831883e-11, 2.956598308001090158e-11, 1.324122404525188025e-09
2.030000000000000000e+03, 3.742299451947497074e-11, 1.288377607899902942e-09, 1.647259351870110305e-11, 2.167248932774650246e-12, 1.978571749888887478e-10, 2.533059735239841222e-10, 2.223140708855350411e-10, 4.817219503198544638e-11, 2.591818072358405920e-11, 1.293349100772828651e-09
2.031000000000000000e+03, 3.825742862448471505e-11, 1.285389944786495696e-09, 1.208882047811402204e-11, 2.070348670486920350e-12, 2.212192844709530457e-10, 2.511080798324376639e-10, 2.177100457586589970e-10, 4.713696697396895441e-11, 2.005373983063095531e-11, 1.317443506879264554e-09
2.032000000000000000e+03, 3.769921164568930193e-11, 1.269564727206908946e-09, 1.204039429868072065e-11, 1.951891645623442531e-12, 2.206451912732848660e-10, 2.464276260570690600e-10, 2.106147763180323609e-10, 4.660031531171154987e-11, 2.068329018032598020e-11, 1.248733503021567908e-09
2.033000000000000000e+03, 3.815979046779554442e-11, 1.265735115814312648e-09, 1.204317711650657000e-11, 2.020791038761793856e-12, 2.173259369040044373e-10, 2.395852433124743236e-10, 2.095169111268132740e-10, 4.698612246860053894e-11, 2.080811181329486616e-11, 1.291340502252097614e-09
2.034000000000000000e+03, 3.894886338933468381e-11, 1.301431487819805169e-09, 1.217821243169373439e-11, 2.168663824199449067e-12, 2.167274487667335987e-10, 2.374163035751210354e-10, 2.090960222545313826e-10, 4.715967175772829811e-11, 2.321326874903119196e-11, 1.311607034340915008e-09
2.035000000000000000e+03, 4.112110695455435640e-11, 1.303819468324832978e-09, 1.159414941077237300e-11, 2.198606054613878354e-12, 2.141715729800768562e-10, 2.528192372133750693e-10, 2.018450264749278078e-10, 4.698304208015331713e-11, 2.289010951343788490e-11, 1.324008740042400485e-09
2.036000000000000000e+03, 4.351949900464939838e-11, 1.316585955623108096e-09, 1.301153646269028717e-11, 2.258790004870119471e-12, 2.203172779015455907e-10, 2.505599327009081815e-10, 2.067642605552735971e-10, 4.896671463459992792e-11, 2.429824337929227978e-11, 1.331490376688303378e-09
2.037000000000000000e+03, 4.490686727328786388e-11, 1.290172936795778346e-09, 1.378245901397657925e-11, 2.422947390562936714e-12, 2.186598951688480826e-10, 2.454513812228515612e-10, 2.006886658106020573e-10, 5.111032126619551278e-11, 2.609891898588652348e-11, 1.292810249719358796e-09
2.038000000000000000e+03, 4.579091897207310778e-11, 1.349090366469637333e-09, 1.393218403236400975e-11, 2.413401415555926486e-12, 2.195785957394994185e-10, 2.488881256372253344e-10, 1.962326409443298626e-10, 5.181516754987720148e-11, 2.661386456839748441e-11, 1.300119459148331664e-09
