year, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, INM-CM5-0, ACCESS-ESM1-5, GFDL-ESM4, CanESM5, INM-CM4-8, MPI-ESM1-2-LR, NorESM2-MM
2.015000000000000000e+03, 4.428021469480231787e+01, 1.531911041799265760e+01, 3.462634307100503861e+01, 3.243943071265215394e+01, 3.303804129864853678e+01, 2.009619779976657838e+01, 3.310147961717478893e+01, 3.046575697534346716e+01, 3.088163142166692055e+01, 3.639028192582265575e+01, 4.667089056118852142e+01, 2.473983567401889516e+01, 2.980070155032985468e+01, 3.737915417522542327e+01, 3.172537493903752193e+01, 3.038853843099699148e+01
2.016000000000000000e+03, 4.460876753417926466e+01, 1.537059901910713045e+01, 3.468199879383869444e+01, 3.270984137780394718e+01, 3.294610666665406029e+01, 2.032815925388277023e+01, 3.224290186443297301e+01, 3.052052266232690414e+01, 3.090206915623379658e+01, 3.663348505957091561e+01, 4.660156499910436168e+01, 2.472631514592141500e+01, 3.019222415444504648e+01, 3.737946492625384565e+01, 3.188102834363983007e+01, 3.064543364896461597e+01
2.017000000000000000e+03, 4.497804967446697333e+01, 1.539243785763283157e+01, 3.476121305483370350e+01, 3.299866526577001480e+01, 3.280164362665937006e+01, 2.053591445294251372e+01, 3.221061894267415937e+01, 3.041406068217795422e+01, 3.077132978099105642e+01, 3.666011782320014589e+01, 4.677547809903174425e+01, 2.479061183419081260e+01, 3.047583442032975753e+01, 3.745208850917368437e+01, 3.201605530854499904e+01, 3.091040928625767847e+01
2.018000000000000000e+03, 4.530027904218264467e+01, 1.549105622165404128e+01, 3.483950343313305353e+01, 3.318874409290527439e+01, 3.274508632189782986e+01, 2.052531289172708640e+01, 3.258482850241772155e+01, 3.046938503879044546e+01, 3.125828693022022264e+01, 3.676463276627735866e+01, 4.709252867100270379e+01, 2.477922539561237514e+01, 3.059764001970049918e+01, 3.773968212864595984e+01, 3.223884868137134418e+01, 3.103374358593686821e+01
2.019000000000000000e+03, 4.538558741162354693e+01, 1.551285315807893106e+01, 3.494366108829490969e+01, 3.345422510796188931e+01, 3.275913208779630281e+01, 2.079943021927412872e+01, 3.280097643860872836e+01, 3.076399536440492000e+01, 3.165844387036621654e+01, 3.692413744549184429e+01, 4.745234341862336436e+01, 2.476313679917141641e+01, 3.078443029005508791e+01, 3.782936326125604865e+01, 3.238944498115387916e+01, 3.101552356323254500e+01
2.020000000000000000e+03, 4.569365058593213291e+01, 1.557053851582454662e+01, 3.512269015029427521e+01, 3.365267340540091823e+01, 3.302233565522121239e+01, 2.089227877968158253e+01, 3.285352976519412493e+01, 3.107436696574184154e+01, 3.165496977394903766e+01, 3.703514778716245104e+01, 4.774412914840493727e+01, 2.493642536806227383e+01, 3.101626096047647252e+01, 3.792412266694530132e+01, 3.238266037571662537e+01, 3.092790286675345968e+01
2.021000000000000000e+03, 4.616477602898589083e+01, 1.568890598591709029e+01, 3.528557600279083317e+01, 3.398889129045265634e+01, 3.348389032261211895e+01, 2.099289736028528353e+01, 3.276780183260926549e+01, 3.127462563589638833e+01, 3.195897552791548080e+01, 3.716012884268037197e+01, 4.793304770089801536e+01, 2.510404528416830061e+01, 3.124902276494540132e+01, 3.801937507189035159e+01, 3.254636721715991854e+01, 3.096184506384859603e+01
2.022000000000000000e+03, 4.651199366070881069e+01, 1.589701739572864980e+01, 3.536334591843507980e+01, 3.435616932499884513e+01, 3.375487761760189898e+01, 2.121530293074403062e+01, 3.303189328506017830e+01, 3.132500423490387931e+01, 3.127193307439122449e+01, 3.727025101972610344e+01, 4.815247866243036867e+01, 2.507378771050528599e+01, 3.164317031318732276e+01, 3.825771361869343679e+01, 3.267539037944775515e+01, 3.135422634437605893e+01
2.023000000000000000e+03, 4.675531474982256697e+01, 1.603874684738751810e+01, 3.548536231350003334e+01, 3.480103273620405702e+01, 3.392921013253435802e+01, 2.119271948676470174e+01, 3.381587959846459057e+01, 3.149785944119817671e+01, 3.138191481109410574e+01, 3.743379850272637555e+01, 4.836396952406646221e+01, 2.518804315622266188e+01, 3.186675437772491648e+01, 3.841239799232223362e+01, 3.280741775386967873e+01, 3.154305056229788207e+01
2.024000000000000000e+03, 4.692748533411560174e+01, 1.612494382306414664e+01, 3.563302580306116596e+01, 3.509541879480716631e+01, 3.413976813573027158e+01, 2.146578068920911164e+01, 3.383245926128454784e+01, 3.164489507058446449e+01, 3.206245279886352506e+01, 3.762051272672983515e+01, 4.859441890108084294e+01, 2.539317180667834606e+01, 3.215083696908278910e+01, 3.853780806384723689e+01, 3.310712718854023962e+01, 3.167879615976504581e+01
