year, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM
2.015000000000000000e+03, 1.087841962461699618e-10, -1.487577803766371775e-09, 6.895505964340437633e-10, 2.427453290759565838e-10
2.016000000000000000e+03, 1.081626948481415847e-10, -1.430921507995734926e-09, 6.669361134144283935e-10, 2.506681548552619268e-10
2.017000000000000000e+03, 1.080043590445897956e-10, -1.390474594187166994e-09, 7.037705124459203776e-10, 2.488868964913396206e-10
2.018000000000000000e+03, 1.070156127788194166e-10, -1.405878830023165263e-09, 6.985712566308823288e-10, 2.452684103137884028e-10
2.019000000000000000e+03, 9.273195336679052971e-11, -1.375453263827894386e-09, 7.255013472404555210e-10, 2.413124039733921166e-10
2.020000000000000000e+03, 6.133940045013626467e-11, -1.325726161797215097e-09, 7.227432383448173712e-10, 2.369418237691676286e-10
2.021000000000000000e+03, 4.705604258839740915e-11, -1.297169302587054684e-09, 7.485259255887412957e-10, 2.238116544727175502e-10
2.022000000000000000e+03, 4.466229364705656989e-11, -1.393491640456008726e-09, 7.573260063852213638e-10, 2.182723524620921450e-10
2.023000000000000000e+03, 4.108003646902088438e-11, -1.342653706862041020e-09, 7.273431580712989554e-10, 2.128292758543480204e-10
2.024000000000000000e+03, 3.845295554389241705e-11, -1.355533803443624383e-09, 7.156376993977585538e-10, 2.076778651131198720e-10
2.025000000000000000e+03, 3.520992296196763897e-11, -1.253398873183121036e-09, 7.564526957033088884e-10, 2.023947331656540300e-10
2.026000000000000000e+03, 3.879447141084841435e-11, -1.386669925428763184e-09, 6.964835978585338957e-10, 2.122796968349365633e-10
2.027000000000000000e+03, 3.559087594070755639e-11, -1.397930502350052488e-09, 7.099953884237506473e-10, 2.105996070733832386e-10
2.028000000000000000e+03, 3.264495509125083056e-11, -1.360147645628123379e-09, 6.845717059538652779e-10, 2.073350455547477544e-10
2.029000000000000000e+03, 2.956598308001090158e-11, -1.373406897152445590e-09, 7.242419217817265100e-10, 2.024529295085187816e-10
2.030000000000000000e+03, 2.591818072358405920e-11, -1.339398964093163122e-09, 7.673190691315266208e-10, 1.982384969219458514e-10
2.031000000000000000e+03, 2.005373983063095531e-11, -1.323962683919560376e-09, 7.000819125944762429e-10, 2.220946765794784994e-10
2.032000000000000000e+03, 2.068329018032598020e-11, -1.291532233401157395e-09, 6.959204835334314194e-10, 2.215509098257757252e-10
2.033000000000000000e+03, 2.080811181329486616e-11, -1.293200073902079517e-09, 7.160706682691635244e-10, 2.182047946830193895e-10
2.034000000000000000e+03, 2.321326874903119196e-11, -1.373853128880489676e-09, 7.141866262188712617e-10, 2.176249936232930257e-10
2.035000000000000000e+03, 2.289010951343788490e-11, -1.386362612708427970e-09, 6.888434967799026634e-10, 2.150474941225964233e-10
2.036000000000000000e+03, 2.429824337929227978e-11, -1.423214880862027575e-09, 7.369673553752939059e-10, 2.213214686042955158e-10
2.037000000000000000e+03, 2.609891898588652348e-11, -1.330757834441944912e-09, 7.149583357061261491e-10, 2.196426476402261490e-10
2.038000000000000000e+03, 2.661386456839748441e-11, -1.395963252736576931e-09, 7.327491148096446117e-10, 2.205903785920998724e-10
2.039000000000000000e+03, 3.065382807336715128e-11, -1.394360054495662467e-09, 7.076662739519732782e-10, 2.186027476240809041e-10
2.040000000000000000e+03, 3.170904018470499232e-11, -1.372865234000632444e-09, 7.403658560180862883e-10, 2.197386339293101612e-10
2.041000000000000000e+03, 2.763388802993787443e-11, -1.399102079332401779e-09, 8.339206942960913691e-10, 2.272712810993456488e-10
2.042000000000000000e+03, 3.035734711038334219e-11, -1.368918765725159716e-09, 7.828835265487978582e-10, 2.302962149785744339e-10
2.043000000000000000e+03, 3.396879173194551217e-11, -1.424011183989180672e-09, 7.331030412242244930e-10, 2.367590332023884737e-10
2.044000000000000000e+03, 3.156479714859110839e-11, -1.318767181796021320e-09, 7.001762772790609558e-10, 2.369010417567807221e-10
2.045000000000000000e+03, 3.135996107259579936e-11, -1.457902664515707343e-09, 7.653939378457016234e-10, 2.402253659125893246e-10
2.046000000000000000e+03, 2.170031874308399284e-11, -1.434064621738999393e-09, 7.702608152872520095e-10, 2.293582539199993405e-10
2.047000000000000000e+03, 2.355972525172447317e-11, -1.366599030058258369e-09, 7.514756055080668839e-10, 2.293241379096359597e-10
2.048000000000000000e+03, 2.343696013428262164e-11, -1.409617672052581171e-09, 7.822867978242814219e-10, 2.209237763497147280e-10
2.049000000000000000e+03, 2.296911017542716786e-11, -1.343226879061831272e-09, 8.437062063926361355e-10, 2.223830514033458253e-10
2.050000000000000000e+03, 1.757335861941275339e-11, -1.430669920377773839e-09, 8.098918061996026140e-10, 2.259736715424744570e-10
2.051000000000000000e+03, 3.555405614965367614e-11, -1.393880022353022615e-09, 7.744621931013105994e-10, 2.392682638307002437e-10
2.052000000000000000e+03, 4.296936573596802340e-11, -1.439887217259540809e-09, 7.002594275482101569e-10, 2.350073484585967821e-10
2.053000000000000000e+03, 4.629057998334963101e-11, -1.442624606278943099e-09, 7.262475036465049401e-10, 2.400624160807574313e-10
2.054000000000000000e+03, 5.019215963918114429e-11, -1.458701227882839533e-09, 7.695989061411718509e-10, 2.415407786312387382e-10
