year, MIROC-ES2L, CMCC-ESM2, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5, CNRM-ESM2-1
2.015000000000000000e+03, 1.308540635275742671e-09, -1.995622868747930462e-10, 7.844478463745088917e-10, 5.810646210174468997e-10, 6.188555346224712887e-10, 1.957654813584927445e-10, 6.196162153880656526e-10, 1.471991458582385612e-09
2.016000000000000000e+03, 6.279779384561611286e-10, -1.668497726125218881e-10, -3.533825027357607489e-10, 9.714656348439253398e-10, 5.918156240425770917e-10, 4.834944172928679095e-10, 1.031467010755588001e-09, 1.391275127930253689e-09
2.017000000000000000e+03, 8.260529882451680094e-10, -2.779191704368432135e-10, 5.830254337677547640e-10, 1.651821918437343183e-09, 8.254224825495721841e-10, 4.273019195364475555e-10, 5.948277594453359550e-10, 1.272271523930423479e-09
2.018000000000000000e+03, 1.571247676437357485e-10, 2.345547729108205882e-10, 7.545400765411925622e-10, 1.331784204752188003e-09, 4.489164469306478946e-10, 8.048086570817570109e-10, 4.428703574886920090e-10, 1.418832543953847531e-09
2.019000000000000000e+03, 1.153731215448498817e-09, 2.535724244328081288e-10, 5.952505201901878762e-10, 1.047159979807982475e-09, 3.456127331803790920e-10, 6.948548172827298861e-10, 8.656049363713969553e-10, 1.865156762848152669e-09
2.020000000000000000e+03, 1.571944620435469033e-10, 1.087065084330030130e-10, 1.038194440630929777e-09, 1.058789834688881045e-09, 1.007038010450368302e-09, 7.012810016632908365e-10, 7.438221431143435278e-10, 1.528194354873550901e-09
2.021000000000000000e+03, 1.447973419875242810e-09, -8.295870223125595791e-10, 7.789047565191514760e-10, 1.606019043317503661e-09, 4.680768090006231906e-10, 5.506951335575717649e-10, 7.251785241716011751e-10, 1.037939295132831659e-09
2.022000000000000000e+03, 4.268135152293060889e-10, -7.837941231011065163e-10, 9.592730935482028697e-10, 1.294720384700633421e-09, 3.172571194863068711e-10, 9.311223792813594839e-10, 4.948937632798657721e-10, 1.499508278043367452e-09
2.023000000000000000e+03, 1.271648456329783092e-09, 2.087942791611832818e-10, 7.533001388627291013e-10, 8.916523174550820781e-10, 1.107773095199188633e-09, 9.507241373472781361e-10, 6.464999130026853757e-10, 1.186081372518685561e-09
2.024000000000000000e+03, 1.047078756660769603e-09, -1.189134082081522810e-10, 2.918726160275453281e-10, 1.009397611817305623e-09, 9.924906045617982362e-10, 4.769440305257534864e-10, 7.416202799002263797e-10, 8.585111070868593566e-10
2.025000000000000000e+03, 1.760144700078132412e-10, -2.865994670837078930e-10, 7.091400502362677111e-10, 8.364401809147831071e-10, 4.432138385776652700e-10, 6.164362915769893453e-10, 6.832480897800079704e-10, 1.659735262718311615e-09
2.026000000000000000e+03, 1.251528608472323275e-09, 1.087691531793959106e-09, -6.243961361088868207e-12, 1.551066165151050912e-09, 6.260190134995505464e-10, 8.494707371005566446e-10, 8.884401162313345254e-10, 1.714645178571720784e-09
2.027000000000000000e+03, 1.374149497484865222e-09, -1.857271733249304300e-10, 5.128604083984207475e-10, 1.123182258040861162e-09, 4.423617629329660857e-10, 7.978140459548297656e-10, 1.016334802040193107e-10, 1.168471659967080228e-09
2.028000000000000000e+03, 1.298657657693810381e-09, -3.639603236287572138e-10, 2.909442390117465884e-10, 1.352407795077233323e-09, 7.929714032515236701e-10, 1.314141112075280512e-09, 9.649560175012782396e-10, 1.630234131165679936e-09
2.029000000000000000e+03, 1.800578481583087882e-09, -4.584799014936019689e-12, 2.145311253216057846e-10, 1.454386601586776362e-09, 7.584725112335116663e-10, 1.712253861809508448e-09, 1.248906876839513010e-09, 1.545657069747133154e-09
2.030000000000000000e+03, 1.655885017416101904e-09, -3.501630143653155843e-10, 8.241279116966481686e-10, 1.505433139987358167e-09, 7.882123099374158899e-10, 8.598531915959249750e-10, 1.093303982152389596e-09, 1.623161218284236396e-09
2.031000000000000000e+03, 1.160545619681535277e-09, -2.167275764297218087e-10, 7.290791318306201589e-10, 1.168287852757369186e-09, 7.947591257789008553e-10, 1.141943313480753010e-09, 7.718254750514190112e-10, 1.462494459828745487e-09
2.032000000000000000e+03, 1.562646877547005958e-09, -3.652489772516314213e-10, 1.025775491095859337e-09, 1.395850802238136849e-09, 6.274349729412370052e-10, 1.140450990618778445e-09, 8.390149834038277854e-10, 1.843016138111427631e-09
2.033000000000000000e+03, 7.451231125940420264e-10, -1.817546838763458384e-10, 6.936305385366218939e-10, 1.597362973894671707e-09, 5.708243295532871636e-10, 7.813646139222662364e-10, 1.018550627937320171e-09, 1.496022583545282958e-09
2.034000000000000000e+03, 9.314847937199602650e-10, 8.393715640423309326e-10, 7.669592376805643992e-10, 1.073878295317223115e-09, 7.588511759227554210e-10, 7.043291750103028782e-10, 1.080766471727744525e-09, 1.187220300121935163e-09
2.035000000000000000e+03, 9.527266731872660014e-10, -3.160375332279098874e-10, 7.856459327623453948e-10, 1.277252511665026812e-09, 7.190169587208451787e-10, 1.136400250127640795e-09, 6.294484080336836155e-10, 1.278323765584171603e-09
2.036000000000000000e+03, 1.682447786593370999e-09, -3.461596629862450101e-10, 1.028013235169698467e-09, 1.411619773703263760e-09, 4.789105995370735799e-10, 1.136432656294712723e-09, 9.769002902274486710e-10, 1.279212046469543724e-09
2.037000000000000000e+03, 4.959201589377529268e-10, 7.518484651022383147e-10, 8.148143555541898805e-10, 1.109809810382748565e-09, -8.961705454296403151e-11, 1.379862860588374347e-09, 1.191692649700534628e-09, 1.290959648759014375e-09
2.038000000000000000e+03, 1.143084002087088541e-09, -2.411776025625921463e-10, 6.122294632650770281e-10, 1.362813298311314077e-09, 5.032792372809681656e-10, 1.087938531458300121e-09, 1.588101308034153958e-09, 1.523420047169407293e-09
2.039000000000000000e+03, 7.131057877546473786e-10, 5.959396704261302506e-10, 6.423456810733669831e-10, 1.150006376780128996e-09, 9.762482183551165543e-10, 7.990889054389400426e-10, 1.121884606248035009e-09, 1.647180675844682825e-09
2.040000000000000000e+03, 1.348794799985209941e-09, 6.905160135357219238e-10, 8.688204552212415158e-10, 6.679860242634562148e-10, 6.533633080356431896e-10, 1.242956476093172460e-09, 1.229069913947909299e-09, 1.995461808894645218e-09
2.041000000000000000e+03, 9.103540697924141650e-10, -3.120863839592780907e-10, 1.109099461600854736e-09, 1.857747661537845225e-09, 7.103696627784047934e-10, 6.845859849104186277e-10, 1.731574670246018163e-09, 1.738678702605562512e-09
2.042000000000000000e+03, 1.682802907666349326e-09, -3.691858374896663022e-10, 1.570586923651693227e-09, 1.501576232625534189e-09, 1.594483526602500925e-10, 1.011220744045800075e-09, 1.040801795883392496e-09, 2.008731532585537406e-09
2.043000000000000000e+03, 1.532125810610329539e-09, -9.200948070400415016e-10, 6.003042521251928386e-10, 1.149091682134560713e-09, 4.146389030263946830e-10, 1.247851391947331409e-09, 1.444210606476150773e-09, 1.591660725445263347e-09
2.044000000000000000e+03, 1.378758553547061367e-09, -2.312181077702004344e-10, 8.443100430240664668e-10, 1.224057656527071164e-09, 1.311691611479393276e-09, 7.744166490051225460e-10, 1.924002479843522098e-09, 1.098949078896249328e-09
2.045000000000000000e+03, 1.940599123005858859e-09, -9.208861536706771436e-11, 4.231937243141822401e-10, 8.941578037271689927e-10, 4.670686856771974188e-10, 1.540112941452265736e-09, 8.454022660644258917e-10, 1.229112507171587543e-09
2.046000000000000000e+03, 1.156719911364267252e-09, -2.473727209520744558e-10, 1.107420019442219058e-09, 1.184199477713358112e-09, 5.286753793938071753e-10, 9.672004740156663168e-10, 7.488634925711798571e-10, 1.950673146747960533e-09
2.047000000000000000e+03, 1.134568014585768928e-09, -4.525621413751509654e-10, 6.857908026975354597e-10, 9.703515257992007469e-10, 5.543654353114068780e-10, 1.059552009932551472e-09, 5.091078798093404307e-10, 1.646536197085253141e-09
2.048000000000000000e+03, 1.122952192590372719e-09, 2.193225851721117135e-10, 8.804103668325989345e-10, 7.584375038465658809e-10, 5.837954639980097081e-10, 5.920203546331319755e-10, 1.657514318955556273e-09, 1.166959182755898764e-09
2.049000000000000000e+03, 1.124371147033075683e-09, 2.712882735071803544e-09, 5.868721264475482009e-10, 5.876683997469543923e-10, 9.955029489910431750e-10, 8.963711316198308245e-10, 1.174921049372547767e-09, 1.902184842046324681e-09
2.050000000000000000e+03, 1.383476620202313180e-09, 1.280616017621021653e-09, 4.959371700651868504e-10, 8.401293786105104877e-10, 6.250424958717779454e-10, 1.264153033966087719e-09, 1.163603435260174041e-09, 1.834702453614386819e-09
2.051000000000000000e+03, 1.424496562949879477e-09, -1.010573731870638583e-09, 1.389581050871109070e-09, 9.558874093255466409e-10, 7.370716929637199962e-10, 4.045460302460047135e-10, 1.072533057415937604e-09, 1.369311697385141695e-09
2.052000000000000000e+03, 1.614253884697579999e-09, -6.671018835738871914e-10, 1.219679138483956572e-09, 1.246006000685606881e-09, 3.025522206980879306e-10, 6.874812411688789253e-10, 1.225670380461447466e-09, 1.942011681266917307e-09
2.053000000000000000e+03, 1.370843624584022359e-09, -1.683697779078994588e-10, 3.139636859639778248e-10, 5.612886802232054295e-10, 1.019620635416190007e-09, 9.613984891114608911e-10, 1.222799500272286560e-09, 1.247978042847648277e-09
2.054000000000000000e+03, 1.367553236850253243e-09, 3.294693089776868377e-10, 8.760752500286413083e-10, 5.125337493814056383e-10, 4.854127524274471514e-10, 9.302829655959487772e-10, 1.104546841478210489e-09, 1.394131978088235630e-09
2.055000000000000000e+03, 8.184121583546005278e-10, 1.340240714054559129e-10, 1.035606081063407902e-09, 8.228591814611916568e-10, 6.894077447876038884e-10, 1.146184285401720499e-09, 1.209200946522160488e-09, 7.418378988463351774e-10
2.056000000000000000e+03, 7.831281868271979712e-10, -6.195363904044447492e-10, 3.775632377787453754e-10, 4.556725371873838084e-10, 9.820447424760424034e-10, 9.438327136246865352e-10, 9.449749590372929415e-10, 7.304380086508815927e-10
2.057000000000000000e+03, 7.577225223353992917e-10, 5.410285106242194651e-10, 9.694922570771371077e-10, 9.288805378578758327e-10, 3.870291293002832754e-10, 1.170952102856591754e-09, 1.689066823754306592e-09, 1.501161830475117550e-09
2.058000000000000000e+03, 1.046505780333713359e-09, 8.270943923314353345e-10, 6.844330278987291551e-10, 7.919239346386032852e-10, 7.635499031088752876e-10, 8.392221063253532303e-10, 1.194142316924250249e-09, 2.217722447951213442e-09
2.059000000000000000e+03, 3.994431667330831290e-10, -9.021385833961547495e-11, 4.583900914420683130e-10, 9.142261728154771893e-10, 3.665410947953037406e-10, 4.916038615292766978e-10, 9.735896370185556893e-10, 1.181139134151061943e-09
2.060000000000000000e+03, 1.717698678998767027e-09, 5.483780975559045374e-11, 5.687999193539391601e-10, 7.798622708981220138e-10, 2.592822384394605040e-10, 1.244556010206838271e-09, 1.217326962986631013e-09, 1.529315354381481421e-09
2.061000000000000000e+03, 9.117271759873729715e-10, -9.895270930793944909e-11, 7.087385127140797361e-10, 8.147262280080316209e-10, 2.079347226205549522e-10, 7.703013558356996993e-10, 1.200096117909695469e-09, 1.653512712416820627e-09
2.062000000000000000e+03, 1.300530093368499529e-09, -1.089168534304240356e-10, 7.507721009837862005e-10, 8.266137778982903879e-10, 7.907290771581432036e-10, 1.231353487814208658e-09, 1.441065322881830982e-09, 1.678636914495590964e-09
2.063000000000000000e+03, 1.559521923503492754e-09, 6.824236204774315920e-10, 3.378503859011785206e-10, 3.566914107565933209e-10, 3.219929586410359258e-10, 9.257284667527415935e-10, 1.278680896872423953e-09, 1.402735218400021623e-09
2.064000000000000000e+03, 5.985761583102048090e-10, 5.756338606222090169e-10, 3.596230295516223536e-10, 8.542660993208821172e-10, 9.514553790703840660e-10, 1.355349799269304853e-09, 1.062765082436071352e-09, 1.163776359674997641e-09
2.065000000000000000e+03, 8.002735366118332829e-10, 2.665688000654525744e-11, 5.452324190983965148e-10, 8.460911201155029994e-10, 6.349368266366428123e-10, 1.159895787997900894e-09, 1.559313959723012912e-09, 1.296152838507194750e-09
2.066000000000000000e+03, 1.175709328339063495e-09, -1.187891857172091463e-10, 4.760621734504770712e-10, 3.170074474924172636e-10, 4.571826841480440200e-10, -1.847945169315826822e-10, 1.234670717926447566e-09, 1.049652698694646771e-09
2.067000000000000000e+03, 6.595255792073990046e-10, 1.477304835500407447e-10, 9.441126298184109951e-10, 4.028596085647020115e-10, 4.462232898964170419e-10, 6.445312186581504047e-10, 1.263062183041337115e-09, 1.262613144310628397e-09
2.068000000000000000e+03, 1.456311939411700946e-09, 1.382043313476661390e-09, 1.194360923397441875e-09, 4.416224351094472776e-10, 4.600454911721351403e-10, 8.106457378910644964e-10, 1.209943636047311801e-09, 8.384277155796925412e-10
2.069000000000000000e+03, 1.262071980307536752e-09, 1.650379582680286748e-10, 1.073632667165999240e-09, 6.738742654042281162e-10, 5.041656137408611586e-10, 7.556405681780532691e-10, 1.177284258656446560e-09, 6.101465648392888451e-10
2.070000000000000000e+03, 2.985701336669867232e-10, -3.903733999094972029e-10, 5.462719386943303253e-10, 8.285010486810893682e-10, -3.567445417387482889e-11, 9.590385711096142654e-10, 8.537099972221606626e-10, 9.301881204194815598e-10
2.071000000000000000e+03, 9.286872822783201118e-10, -5.524999435207345759e-10, 6.704830509281115211e-11, 4.622626628088646240e-10, 7.919970352571778772e-10, 9.246741264375011911e-10, 6.873273197894641265e-10, 7.819540912585723568e-10
2.072000000000000000e+03, 4.794066101239210616e-10, 1.266079783789653001e-09, 5.413876569535382106e-10, 5.442570843923754369e-10, 9.296715930843297599e-10, 6.343947036166239592e-10, 1.263603552222787908e-09, 1.226420979637614875e-09
2.073000000000000000e+03, 4.287295081757207460e-10, -1.911021550423218184e-10, 4.031241176057473786e-10, 5.568421772284431640e-10, 3.513964753337379188e-10, 1.482684229383703415e-09, 1.012085381890704989e-09, 1.361289200927479895e-09
2.074000000000000000e+03, 4.274695433152199969e-10, 3.463905606129608080e-11, 6.862382834311111526e-10, 5.487931429448979685e-10, 3.113002741958429104e-10, 1.438004733055947197e-09, 9.001078156097864770e-10, 1.183139058850521966e-09
