year, NorESM2-MM, ACCESS-ESM1-5, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, CanESM5, CMCC-CM2-SR5
2.053000000000000000e+03, 1.023891559100119508e+01, 1.180862165077809856e+01, 5.582930640715857606e+01, 5.473629990511975052e+01, 7.218698337827811429e+01, 9.823489883629777708e+00, 1.664323424874114465e+01, 8.679667374140068503e+00, 1.561602400540228253e+00, 1.734991897437421215e+01, 6.769578918665087031e+01, 1.670230401104469209e+01, 9.560907261031292848e+00
2.054000000000000000e+03, 1.038590937065352016e+01, 1.185991990099359406e+01, 5.605296573949429728e+01, 5.486877119196258690e+01, 7.236364230998026414e+01, 9.902598870135243203e+00, 1.665575274822301211e+01, 8.655548303511318764e+00, 1.481785069815608757e+00, 1.724503316727316715e+01, 6.786404836097318594e+01, 1.647144234723804601e+01, 9.599305723665606749e+00
2.055000000000000000e+03, 1.041488314342417887e+01, 1.186226464023202531e+01, 5.616969841118842766e+01, 5.494625726404142796e+01, 7.251563084018090422e+01, 9.974063128572563386e+00, 1.667246927679203594e+01, 8.476896207023948193e+00, 1.523322169706230911e+00, 1.713310083899506608e+01, 6.802203429392071143e+01, 1.648854100219381635e+01, 9.678041039371123588e+00
2.056000000000000000e+03, 1.028991478781303570e+01, 1.180911394866734376e+01, 5.627348945186417950e+01, 5.505402279892144435e+01, 7.247603292073088710e+01, 1.018171628383410088e+01, 1.680995744151305615e+01, 8.496523011768198685e+00, 1.546761283465254877e+00, 1.685563534842611944e+01, 6.809134606543680945e+01, 1.668358949884554221e+01, 9.990041894156867386e+00
2.057000000000000000e+03, 1.025766167582277966e+01, 1.172193458291139834e+01, 5.656771890958690818e+01, 5.524648336007609828e+01, 7.236228280952990133e+01, 1.020225073739778310e+01, 1.680514385498005581e+01, 8.778051264926290287e+00, 1.484913460560096210e+00, 1.611746936742243719e+01, 6.823471746912349545e+01, 1.627495382132343238e+01, 9.959092296711613557e+00
2.058000000000000000e+03, 1.033709961165504865e+01, 1.166062295831737039e+01, 5.683228389558618687e+01, 5.532512986833178559e+01, 7.270531100206734720e+01, 1.031982639675739399e+01, 1.685081232370377080e+01, 8.747966715490711920e+00, 1.506468031537158137e+00, 1.579787274054124246e+01, 6.832321827150063598e+01, 1.667513393903519869e+01, 9.789285877352284615e+00
2.059000000000000000e+03, 1.028645859200399748e+01, 1.164156511053756482e+01, 5.715404586496831030e+01, 5.548702346626060233e+01, 7.312712238719407765e+01, 1.030477662208119760e+01, 1.694632208320381039e+01, 8.596308468110404277e+00, 1.524849251489106106e+00, 1.638884297679458868e+01, 6.843205992033831819e+01, 1.692090007183762523e+01, 9.588781537997386195e+00
2.060000000000000000e+03, 1.035797915346619291e+01, 1.171509791952038171e+01, 5.729250633967187412e+01, 5.557043667038789181e+01, 7.316506239718090399e+01, 1.034747920128320686e+01, 1.689799695097341825e+01, 8.645564000442476527e+00, 1.420002432162623229e+00, 1.692278133269568130e+01, 6.852246490878243890e+01, 1.688686328813198756e+01, 9.725428170491813518e+00
2.061000000000000000e+03, 1.031290906532912643e+01, 1.180400684199408445e+01, 5.753763480735020153e+01, 5.560033579866125564e+01, 7.330151005587873669e+01, 1.047959950364352366e+01, 1.694664585744435215e+01, 8.954779084488540875e+00, 1.513707342018226987e+00, 1.707131148692687361e+01, 6.874012405302232764e+01, 1.676350009652569995e+01, 9.577109214888881894e+00
2.062000000000000000e+03, 1.043951346190570106e+01, 1.186566750316070262e+01, 5.778996792849584807e+01, 5.559373081656767113e+01, 7.354163223921119652e+01, 1.053288531466067646e+01, 1.702675386960430970e+01, 9.165891468165810352e+00, 1.513290695823887866e+00, 1.719205556741530927e+01, 6.901427698677331080e+01, 1.664755462457412349e+01, 9.490671002396963374e+00
2.063000000000000000e+03, 1.048644312566177739e+01, 1.182869034097195637e+01, 5.801901288529813172e+01, 5.570885867302690997e+01, 7.380529194580979890e+01, 1.045368230572565871e+01, 1.709501796227536374e+01, 9.154655140190920193e+00, 1.492883071744255385e+00, 1.735845733586405970e+01, 6.933081731538516124e+01, 1.654309229161262351e+01, 9.873775232164792470e+00
2.064000000000000000e+03, 1.045388896188442018e+01, 1.184469946600684942e+01, 5.822194255024841425e+01, 5.580802596281890970e+01, 7.390492453314865884e+01, 1.034523651069581973e+01, 1.707147341634252058e+01, 9.133052826940712521e+00, 1.506474392394507200e+00, 1.715683177042785346e+01, 6.941392928094698789e+01, 1.657561405502072560e+01, 9.935089574148996405e+00
2.065000000000000000e+03, 1.038747926223869733e+01, 1.179513498170114971e+01, 5.856539630540309105e+01, 5.599194895055677534e+01, 7.399515943279621411e+01, 1.034087900986451913e+01, 1.717227432403568699e+01, 9.039852153184709138e+00, 1.513072871160914490e+00, 1.678423104906984165e+01, 6.943335115883405706e+01, 1.663045367596877711e+01, 9.734818564968721333e+00
2.066000000000000000e+03, 1.052795039129181554e+01, 1.178126852726256679e+01, 5.896907297984768803e+01, 5.609395286111143974e+01, 7.412614049177196307e+01, 1.029074130517798835e+01, 1.723541743084550149e+01, 9.123492144968137652e+00, 1.495259974395088065e+00, 1.645479286766897076e+01, 6.962406946038551325e+01, 1.687544225587042135e+01, 9.765844195980880826e+00
2.067000000000000000e+03, 1.074457693422782789e+01, 1.186109384694652036e+01, 5.913470917355011380e+01, 5.612978202632019986e+01, 7.422999894128641074e+01, 1.023051781050306452e+01, 1.720002714331166516e+01, 9.273478210116632425e+00, 1.407569782620558430e+00, 1.633765965129293463e+01, 7.000627742717188084e+01, 1.700332732150462434e+01, 9.764577615780812181e+00
2.068000000000000000e+03, 1.080462799426906706e+01, 1.186215493510580998e+01, 5.940709539927522798e+01, 5.621046693357791924e+01, 7.426342169616879119e+01, 1.028893817716874004e+01, 1.725537465825997785e+01, 9.479597225258217463e+00, 1.410376866747906410e+00, 1.650608132904307013e+01, 7.011020500186056381e+01, 1.722716784426391712e+01, 9.784658322369315542e+00
2.069000000000000000e+03, 1.078050994882887004e+01, 1.174681237743838125e+01, 5.972315107794278788e+01, 5.627573546295815987e+01, 7.420241863637382096e+01, 1.048282709519444467e+01, 1.724050240491805042e+01, 9.679554977583745057e+00, 1.550717473327445584e+00, 1.681046343911253160e+01, 7.003001119556427057e+01, 1.730007329237837155e+01, 9.764767045611147722e+00
2.070000000000000000e+03, 1.080640851998354002e+01, 1.173810473374404495e+01, 5.983897705451057902e+01, 5.631335711134625654e+01, 7.416627200509415729e+01, 1.076394581553152641e+01, 1.734111521027105240e+01, 9.648826392767251292e+00, 1.512589574150376981e+00, 1.669402952378834826e+01, 7.015951049916769477e+01, 1.730390757897188081e+01, 1.005911099575722645e+01
2.071000000000000000e+03, 1.052193046035702828e+01, 1.180701631747415981e+01, 6.003990565112614064e+01, 5.628723481786451543e+01, 7.427914693018185233e+01, 1.085950597886057167e+01, 1.747151480068267304e+01, 9.543085927643378596e+00, 1.546024994576513212e+00, 1.680924243838157395e+01, 7.031377480544229286e+01, 1.758640503578073577e+01, 1.006904652725840243e+01
2.072000000000000000e+03, 1.034939424603475189e+01, 1.189719241582703546e+01, 6.028858583223993151e+01, 5.641383017794790788e+01, 7.438438225977540696e+01, 1.086528298739500009e+01, 1.748057786580642059e+01, 9.543412506996885369e+00, 1.541096402025157408e+00, 1.743164487051325651e+01, 7.046272497573853855e+01, 1.780134234064929899e+01, 9.982366501055901509e+00
2.073000000000000000e+03, 1.028171712069027244e+01, 1.185915595275120715e+01, 6.054330475982391135e+01, 5.660999820182335895e+01, 7.451955618594475084e+01, 1.077476700266009324e+01, 1.756128513208427577e+01, 9.507787018451375971e+00, 1.541619761791441556e+00, 1.746832183092022106e+01, 7.058140877335402763e+01, 1.784970399418482501e+01, 1.013022351639193097e+01
2.074000000000000000e+03, 1.052384598326018228e+01, 1.187838419663361833e+01, 6.080956155504420479e+01, 5.666865668441152337e+01, 7.450662191168579795e+01, 1.067370397624418743e+01, 1.763668184815272255e+01, 9.531919725746952565e+00, 1.476428809454549240e+00, 1.724941796120977244e+01, 7.073036821390648754e+01, 1.756594229019540165e+01, 1.008923453226618960e+01
2.075000000000000000e+03, 1.051016164459866964e+01, 1.181721778214429897e+01, 6.099115248696840297e+01, 5.679247557378569411e+01, 7.454947132370953966e+01, 1.066791648393281733e+01, 1.769238696932838550e+01, 9.486299564675748641e+00, 1.490617359182247137e+00, 1.716162869480688613e+01, 7.074010555703303282e+01, 1.764574579299997836e+01, 1.010912074129823424e+01
2.076000000000000000e+03, 1.040879562067934039e+01, 1.181528800925947387e+01, 6.123767783038128698e+01, 5.682772099709499258e+01, 7.456132399024821211e+01, 1.081743062877219508e+01, 1.777049833766093556e+01, 9.391620650198740705e+00, 1.521569957874668422e+00, 1.697299360899618037e+01, 7.076631138515574548e+01, 1.742651963194916931e+01, 9.790184570471421210e+00
2.077000000000000000e+03, 1.044371587669333756e+01, 1.178053227977914119e+01, 6.155655551843671702e+01, 5.685599489750615021e+01, 7.455243862823314771e+01, 1.092433127787085567e+01, 1.782623998202167215e+01, 9.491799723349148010e+00, 1.482093184748332515e+00, 1.686279773392744019e+01, 7.073593044703224564e+01, 1.744778380454732769e+01, 9.779764499044695469e+00
2.078000000000000000e+03, 1.062159932370063409e+01, 1.177425834468125743e+01, 6.184871761114592204e+01, 5.692550025075009046e+01, 7.462866455478257421e+01, 1.101719269910507037e+01, 1.785379921465012387e+01, 9.657158558758277778e+00, 1.521806127830219957e+00, 1.691406485990825104e+01, 7.076709227392940704e+01, 1.751189392088724617e+01, 9.860167934070451778e+00
2.079000000000000000e+03, 1.070464213646712537e+01, 1.176958816622578041e+01, 6.203499342011907203e+01, 5.698649581051027013e+01, 7.470148955847527361e+01, 1.110749653388986147e+01, 1.782216443896083646e+01, 9.729696281471323260e+00, 1.525891463942065984e+00, 1.687547991083505750e+01, 7.100429707180254013e+01, 1.745127983163574115e+01, 9.844489186202983078e+00
2.080000000000000000e+03, 1.074682351857864937e+01, 1.171635623641986612e+01, 6.214500836219190205e+01, 5.705241378285405318e+01, 7.501488278092942608e+01, 1.102848127777708775e+01, 1.779594193773237976e+01, 9.761127613255226265e+00, 1.592352441211444036e+00, 1.669390393764366110e+01, 7.129586788752988014e+01, 1.764819659692944853e+01, 9.805366800725920484e+00
