year, MPI-ESM1-2-LR, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, CanESM5, NorESM2-MM, GFDL-ESM4, TaiESM1, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, MIROC-ES2L, CMCC-CM2-SR5, EC-Earth3-Veg
2.015000000000000000e+03, 5.699886554813377693e+00, 3.076448638999989438e+00, 4.477344197484036670e+00, 5.065941792617184802e+00, 5.721475837603023251e+00, 4.458259396874619362e+00, 4.582064090429144088e+00, 2.427399024071481115e+00, 3.767606028866205659e+00, 5.496292922797970881e+00, 4.609100067376814991e+00, 6.339446302059331906e+00, 4.838042473176408009e+00, 3.436338998032947067e+00
2.016000000000000000e+03, 5.727098939297784241e+00, 2.995970885233870451e+00, 4.582468702256131898e+00, 5.018531711046631649e+00, 5.501263778443180819e+00, 3.884336657941617421e+00, 4.530084461523288475e+00, 2.448599496656737262e+00, 4.127302055589424867e+00, 5.773797343261871440e+00, 4.801331992753842037e+00, 6.170358438246778654e+00, 4.898769632402900420e+00, 3.694626801620719103e+00
2.017000000000000000e+03, 5.938411236214744982e+00, 3.114025745845202309e+00, 4.796258017959520892e+00, 5.300245160073879802e+00, 5.836605158232407220e+00, 3.927639023694986520e+00, 4.271912800811674238e+00, 2.501668414920838579e+00, 4.003790644163931489e+00, 5.692436405810438416e+00, 4.593581217240461534e+00, 6.291655783369764166e+00, 4.756131674462036329e+00, 3.829780707921828231e+00
2.018000000000000000e+03, 5.670293152384401125e+00, 3.220058169444615093e+00, 4.766394643675959664e+00, 5.063968247047859528e+00, 5.619950692027722461e+00, 3.886882942188502277e+00, 4.288008455889236181e+00, 2.426970642733785155e+00, 4.108941535028313830e+00, 5.593012481958909099e+00, 4.608015891614512860e+00, 6.292465901188689870e+00, 4.754432746271352705e+00, 2.894575525282526929e+00
2.019000000000000000e+03, 5.732043795696762700e+00, 3.277910549778505267e+00, 4.614648021720584303e+00, 5.118390080699930955e+00, 5.574296321229592621e+00, 3.809414138752395207e+00, 4.753733145119042547e+00, 2.526412152308102232e+00, 3.689367587392212489e+00, 5.820783372549347412e+00, 4.658675257945910531e+00, 6.472953292482007903e+00, 4.855023102928474721e+00, 3.617032718129429281e+00
2.020000000000000000e+03, 5.718201692430587180e+00, 3.206298716695586748e+00, 4.451973429704360719e+00, 5.364071624166729002e+00, 5.766477483116829283e+00, 4.117896988622960386e+00, 4.709567440071300126e+00, 2.400800837269749355e+00, 3.889810107933298511e+00, 5.799973362827469892e+00, 4.644537809960484154e+00, 6.435051121192499224e+00, 4.885104877864447914e+00, 3.620636869231669053e+00
2.021000000000000000e+03, 5.868407161635459168e+00, 3.274597734734514987e+00, 4.621958160223457845e+00, 5.586115738489734639e+00, 5.600833220684286573e+00, 4.013759273654136983e+00, 4.760313771580160669e+00, 2.486874944441566093e+00, 3.988020820459420968e+00, 6.064017200730876134e+00, 4.642509591955369608e+00, 6.610332346781533808e+00, 4.634719079106274897e+00, 4.010242304230355437e+00
2.022000000000000000e+03, 5.848970374975120734e+00, 3.285325365187369062e+00, 4.711617280221298110e+00, 5.346274401744219418e+00, 5.876737232132168920e+00, 4.356240447122675441e+00, 4.608328397219025874e+00, 2.574359371775375216e+00, 4.085564669648736214e+00, 5.616074482914361177e+00, 4.792779036717308649e+00, 6.577760992535553797e+00, 4.675001368995638451e+00, 3.513421617054362400e+00
2.023000000000000000e+03, 5.484901617474265301e+00, 3.313662330075203055e+00, 4.546222634603580559e+00, 5.484127581625280357e+00, 6.105652218900982753e+00, 4.349840995535884325e+00, 4.893698320946382907e+00, 2.544833860173448592e+00, 4.229904911993678240e+00, 5.736815000422797794e+00, 4.793286101498139828e+00, 6.518874898079698887e+00, 4.937360155611161261e+00, 3.685495345182820959e+00
2.024000000000000000e+03, 5.875194357998208439e+00, 3.273729875198716943e+00, 4.648418681904974648e+00, 5.635471967628654433e+00, 6.122303137552990826e+00, 4.103525809840152583e+00, 4.846593736290109256e+00, 2.542868744844832385e+00, 3.958904096981255449e+00, 5.673670698727526940e+00, 4.863799811493210612e+00, 6.596077500401166027e+00, 5.019190224538829348e+00, 3.637839732042551955e+00
