year, CMCC-CM2-SR5, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, CanESM5, INM-CM5-0
2.027000000000000000e+03, 1.510653151903150970e+00, 1.826412201803653490e+00, 1.746343800376288780e+00, 1.743366749923777714e+00, 1.484013852989804816e+00, 2.002320768123897476e+00, 1.512567170243213965e+00, 1.655910664133223076e+00, 1.931647024791856904e+00, 1.636383601114206110e+00, 1.688298829338462426e+00, 1.630399738636096441e+00, 1.558210822568966369e+00, 1.944342985922607792e+00, 1.608230720943494507e+00, 1.779718101888251081e+00
2.028000000000000000e+03, 1.574678072758777247e+00, 1.831354283545903794e+00, 1.736321014997088019e+00, 1.748176284140749104e+00, 1.499863465267749163e+00, 2.001496035414153329e+00, 1.469864597430012410e+00, 1.541732448933149202e+00, 1.854229353186860330e+00, 1.747026668047595876e+00, 1.709467307201702591e+00, 1.586182388868792703e+00, 1.595776988400165797e+00, 1.939627587514122897e+00, 1.656222024793621239e+00, 1.810821562769207249e+00
2.029000000000000000e+03, 1.712660528984996100e+00, 1.789645748445023221e+00, 1.760241910762521123e+00, 1.653935907913707037e+00, 1.543530819681959931e+00, 2.135305661610750416e+00, 1.592077052196056997e+00, 1.690927720438045290e+00, 1.888683297913027692e+00, 1.708298342189286112e+00, 1.719592040537998079e+00, 1.664897057594549867e+00, 1.555134635945463861e+00, 1.960673469890324983e+00, 1.667983363402625097e+00, 1.784378047996335370e+00
2.030000000000000000e+03, 1.624752872880440790e+00, 1.779859387786660196e+00, 1.790424403449444091e+00, 1.768881059990799587e+00, 1.372529430866380462e+00, 2.061791884248754148e+00, 1.488725341456728080e+00, 1.669978048033356366e+00, 1.910650003048768752e+00, 1.602906935925948462e+00, 1.684712044098619854e+00, 1.633800663620173621e+00, 1.536649320012636544e+00, 1.913052635843848659e+00, 1.739649512285308841e+00, 1.651301475007172392e+00
2.031000000000000000e+03, 1.562503232147421484e+00, 1.787416086332437093e+00, 1.730900264423839374e+00, 1.693086331570291092e+00, 1.546243356937395008e+00, 2.019585755755602730e+00, 1.469401276844566562e+00, 1.604305145877445771e+00, 1.928853628866669778e+00, 1.613931825419945953e+00, 1.663734899829944824e+00, 1.621523212648648293e+00, 1.610972869309068578e+00, 1.959678321887100783e+00, 1.690194542490393914e+00, 1.792277878092674470e+00
2.032000000000000000e+03, 1.612501919536015516e+00, 1.795782362462161164e+00, 1.720441258938653073e+00, 1.711910949607370780e+00, 1.434770417002208198e+00, 2.013872287404104178e+00, 1.597770977302657380e+00, 1.633024627416529206e+00, 1.845924285325733605e+00, 1.734128483996520975e+00, 1.722399054490775239e+00, 1.572941910222148909e+00, 1.475902534284122991e+00, 1.924444117066968385e+00, 1.738533897640500703e+00, 1.782749368906389797e+00
2.033000000000000000e+03, 1.624597598825985756e+00, 1.755018516638072068e+00, 1.752005107793393357e+00, 1.639963047687936104e+00, 1.360073424525996888e+00, 2.043848612953246047e+00, 1.451390391121807122e+00, 1.662855394934872111e+00, 1.940066267420702095e+00, 1.733619951693826655e+00, 1.759380878459935182e+00, 1.621124153257472722e+00, 1.553686410007792507e+00, 1.941327294694313421e+00, 1.682496241573075313e+00, 1.803421454118143918e+00
2.034000000000000000e+03, 1.675158617247490378e+00, 1.736978086403513588e+00, 1.703163581697375140e+00, 1.720155366834936084e+00, 1.475433864690461450e+00, 2.043224292152783672e+00, 1.407040117250211164e+00, 1.625804439520559752e+00, 1.796938913696329632e+00, 1.617200595126428553e+00, 1.704407951653010400e+00, 1.574687456105290151e+00, 1.600907546119371361e+00, 1.835191150368514990e+00, 1.632213027045357645e+00, 1.776253141866501073e+00
2.035000000000000000e+03, 1.672694264600659064e+00, 1.861278711496649585e+00, 1.806657094452834400e+00, 1.708416377156553700e+00, 1.485850821594759896e+00, 2.052498812490803903e+00, 1.538481440997939931e+00, 1.570932317802061107e+00, 1.835720149823445224e+00, 1.710039135207361838e+00, 1.748518745927339912e+00, 1.625367728971134129e+00, 1.631545274855664696e+00, 1.874180588273399506e+00, 1.631087533432341585e+00, 1.766928831931197763e+00
2.036000000000000000e+03, 1.720287466641523322e+00, 1.761694692271461804e+00, 1.774549623000447829e+00, 1.682459651078321627e+00, 1.541791885456885725e+00, 1.993476881922619182e+00, 1.523714223770102016e+00, 1.682864050561824643e+00, 1.913510013093030704e+00, 1.678615712621480238e+00, 1.699039798553193759e+00, 1.644598532598499530e+00, 1.579983994914248457e+00, 1.939748682988689632e+00, 1.778852478657513059e+00, 1.901547194533275809e+00
