year, INM-CM5-0, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, TaiESM1, INM-CM4-8, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4
2.015000000000000000e+03, 2.695894003454736776e+02, 2.713892783338605454e+02, 2.707327964876794795e+02, 2.717037480761165966e+02, 2.700066048540680868e+02, 2.690113807379519812e+02, 2.700981179919469355e+02, 2.705299516841840273e+02, 2.675144473369879279e+02, 2.685264358880021405e+02, 2.692824954303926575e+02, 2.714973728673918458e+02, 2.715506109717615573e+02, 2.698532706214278392e+02, 2.706396026157136703e+02, 2.694243096380369593e+02
2.016000000000000000e+03, 2.704931329026989602e+02, 2.719856607361437568e+02, 2.717548734386309661e+02, 2.720081855020434318e+02, 2.712070917603548423e+02, 2.691277980853916461e+02, 2.697520132218454592e+02, 2.692176269124061037e+02, 2.680083647127050313e+02, 2.694744023897794705e+02, 2.688302490975342494e+02, 2.706732393011486693e+02, 2.714242530869192365e+02, 2.696407834715564604e+02, 2.704509762131639263e+02, 2.689736579016167184e+02
2.017000000000000000e+03, 2.703636990848141295e+02, 2.713964908434534209e+02, 2.713120783058863026e+02, 2.722450776465615263e+02, 2.709298135927169255e+02, 2.689673476114996902e+02, 2.704549325177484889e+02, 2.690963455252958738e+02, 2.691472509913141948e+02, 2.696737164045861732e+02, 2.687725924765961736e+02, 2.721010246428710957e+02, 2.726029279066721074e+02, 2.710547990086750474e+02, 2.710724005549471372e+02, 2.679008637805068247e+02
2.018000000000000000e+03, 2.702898409962774622e+02, 2.715348325106018024e+02, 2.700358535713087917e+02, 2.711664108643636837e+02, 2.694414867710988233e+02, 2.676491102941720897e+02, 2.710854016387895058e+02, 2.696516010845507481e+02, 2.678437246309315469e+02, 2.683281376929466546e+02, 2.691018951331785161e+02, 2.716127362335919884e+02, 2.726331853789505431e+02, 2.700049737608151190e+02, 2.703759156935975057e+02, 2.682406512026960854e+02
2.019000000000000000e+03, 2.706565480662112009e+02, 2.723121038795978279e+02, 2.718054338056527968e+02, 2.703519621571369953e+02, 2.707893092719661468e+02, 2.693540388440338802e+02, 2.719515741463488325e+02, 2.694344950323479679e+02, 2.686691887198053337e+02, 2.695527762315511495e+02, 2.685800175983833356e+02, 2.706339957256794264e+02, 2.708300507687839058e+02, 2.703685805048409065e+02, 2.711287976590885478e+02, 2.691403332889040598e+02
2.020000000000000000e+03, 2.709611258269894165e+02, 2.717678447967702482e+02, 2.713544370330495781e+02, 2.718389231403987196e+02, 2.717797627720037781e+02, 2.701130059830399546e+02, 2.698757733858757888e+02, 2.702637364848807806e+02, 2.689336111899064576e+02, 2.698399433725126073e+02, 2.693243194533603742e+02, 2.707521574123043138e+02, 2.710174660104767099e+02, 2.700509761391221559e+02, 2.702297308016290458e+02, 2.698876778397718113e+02
2.021000000000000000e+03, 2.711433595060037760e+02, 2.716385425771124460e+02, 2.730228220903943566e+02, 2.714367337483328697e+02, 2.699426126689455714e+02, 2.692998070728193056e+02, 2.706308017214228698e+02, 2.698718363729545899e+02, 2.692833901255859814e+02, 2.693203840525602004e+02, 2.694343165623275240e+02, 2.707885802123270764e+02, 2.716461463792536506e+02, 2.701103068882216007e+02, 2.713035164643559369e+02, 2.693639023730018494e+02
2.022000000000000000e+03, 2.708254000101885026e+02, 2.725706710115957776e+02, 2.718105100920216728e+02, 2.724420935192981119e+02, 2.708334611498179925e+02, 2.690925374792158777e+02, 2.710843674590212231e+02, 2.709424856139713711e+02, 2.684988736714254856e+02, 2.693821070837522029e+02, 2.704661080979432768e+02, 2.709492569695562452e+02, 2.711884567063157760e+02, 2.697314746580159408e+02, 2.714143644727361107e+02, 2.700093056378553911e+02
2.023000000000000000e+03, 2.689935233890025188e+02, 2.727685913892062786e+02, 2.706477222763371628e+02, 2.736764634039456041e+02, 2.713561802220978052e+02, 2.696022723835180273e+02, 2.714616037160462838e+02, 2.707500913362203505e+02, 2.683645932343694085e+02, 2.707980622096519028e+02, 2.696399134194163594e+02, 2.710300057406367387e+02, 2.720420974237557061e+02, 2.686704750272275533e+02, 2.712085242050039824e+02, 2.708351461384604590e+02
2.024000000000000000e+03, 2.706595068507843962e+02, 2.722444075202519684e+02, 2.714757259291757805e+02, 2.722075254229006305e+02, 2.718490919173155476e+02, 2.683827395258857109e+02, 2.715242080119595016e+02, 2.700029498810490622e+02, 2.684517699827270008e+02, 2.704189724767697385e+02, 2.696378377505942012e+02, 2.704064574122429008e+02, 2.712225781181314801e+02, 2.700850818620043583e+02, 2.711055351421497335e+02, 2.698726742678500159e+02
2.025000000000000000e+03, 2.713871194714787407e+02, 2.717289870194342143e+02, 2.701358042455493091e+02, 2.719156865611686271e+02, 2.709345886833024792e+02, 2.706940454929026600e+02, 2.709400890671066691e+02, 2.693139061577438724e+02, 2.686497282849754242e+02, 2.706441847116959707e+02, 2.703637682245720271e+02, 2.710668827661802993e+02, 2.711905347986867696e+02, 2.695641204773489221e+02, 2.708823586664642562e+02, 2.705269694507607596e+02
2.026000000000000000e+03, 2.704731971894164531e+02, 2.725497147110431229e+02, 2.715255878762800421e+02, 2.728107722169349358e+02, 2.702468568866169107e+02, 2.697390278140973123e+02, 2.699483510841870952e+02, 2.702793988113086243e+02, 2.694833579944612438e+02, 2.715682076656207755e+02, 2.694477018591341562e+02, 2.710700513186245644e+02, 2.710401184300271211e+02, 2.695875354392465511e+02, 2.711631046607200233e+02, 2.691692924916925449e+02
2.027000000000000000e+03, 2.711227453364975872e+02, 2.728439483130547387e+02, 2.722690544683670737e+02, 2.718593980367242011e+02, 2.703925210883862746e+02, 2.695947617452867462e+02, 2.698395317784618328e+02, 2.705241146805296921e+02, 2.686570623397605573e+02, 2.687618439441280316e+02, 2.695752258721888666e+02, 2.716704769598975417e+02, 2.720081858235777190e+02, 2.705332619366442941e+02, 2.716035476926393812e+02, 2.699576714756703382e+02
2.028000000000000000e+03, 2.714743107614521023e+02, 2.714985572223428107e+02, 2.717908039823205968e+02, 2.723385240442820532e+02, 2.719663146392688304e+02, 2.699159273005967066e+02, 2.703343743025490085e+02, 2.691099308258574752e+02, 2.698771559415995398e+02, 2.705729714801277623e+02, 2.696946099293484735e+02, 2.701976969868524066e+02, 2.710520721592106383e+02, 2.705298431666492434e+02, 2.706863501814806909e+02, 2.697409525723821275e+02
2.029000000000000000e+03, 2.709132963731374844e+02, 2.718942668228481239e+02, 2.716228806638022775e+02, 2.725895022410739443e+02, 2.719909767501593478e+02, 2.700277575277040114e+02, 2.708758576835158465e+02, 2.695120157083541699e+02, 2.695123137333019372e+02, 2.716279438677610756e+02, 2.707394165591462070e+02, 2.694563795969314128e+02, 2.712259478847381047e+02, 2.708455952815999694e+02, 2.715968358502317415e+02, 2.701982671784722356e+02
2.030000000000000000e+03, 2.707247669232724547e+02, 2.722527935113099034e+02, 2.713944112705273142e+02, 2.728960753048862102e+02, 2.708823107043622826e+02, 2.699426100598156495e+02, 2.712618471638583628e+02, 2.695647852581676602e+02, 2.690863491176826301e+02, 2.703060775010453654e+02, 2.705045152912821891e+02, 2.704758887728903574e+02, 2.714355923860126723e+02, 2.703572926991815280e+02, 2.725618609313144702e+02, 2.703856895546873602e+02
2.031000000000000000e+03, 2.711471681562845788e+02, 2.722266805760806392e+02, 2.721305541384260778e+02, 2.718564409026195676e+02, 2.709884516427218273e+02, 2.701486408188953874e+02, 2.708578843546483199e+02, 2.698938010522346076e+02, 2.692351702479734286e+02, 2.706801658029230566e+02, 2.699853664245499658e+02, 2.709814894125847218e+02, 2.715785734023704094e+02, 2.701976320301034207e+02, 2.715760815018170433e+02, 2.698666304874387833e+02
