year, GFDL-ESM4, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1
2.062000000000000000e+03, 5.019730597465556425e-10, 4.440576182360981014e-10, 2.113703095363016520e-10, 2.833346638288114532e-10, 5.104687466185336435e-10
2.063000000000000000e+03, 3.327561361999084500e-10, 3.302442752639764501e-10, 1.814698563573739378e-10, 2.557999422685087885e-10, 6.483222398271645829e-10
2.064000000000000000e+03, 4.353693925381496212e-10, 1.806561282981331994e-10, 2.237703292235447035e-10, 1.080894721865692339e-10, 7.789964228777515021e-10
2.065000000000000000e+03, 6.497337262171246556e-10, 4.241211013854695910e-10, 2.227374897859195925e-10, 1.152327009976416702e-10, 8.323285101378227035e-10
2.066000000000000000e+03, 8.150929066537663172e-10, 4.556392355639031316e-10, 1.945761591963283467e-10, 1.287026233937451069e-10, 6.417960871574081467e-10
2.067000000000000000e+03, 5.693009053557061588e-10, 5.206387092864468261e-10, 1.819865436618212218e-10, 2.108893637402379158e-10, 6.975293212051457385e-10
2.068000000000000000e+03, 5.416948566965739420e-10, 5.968854426619723124e-10, 2.122680542273807660e-10, 2.426976663708336856e-10, 8.605929269385947779e-10
2.069000000000000000e+03, 4.249126660801639445e-10, 7.222181743608679926e-10, 1.939933505434993853e-10, 2.543773125892775786e-10, 9.987336489864289693e-10
2.070000000000000000e+03, 3.934061106485176444e-10, 2.687987301090416581e-10, 1.973649347616234688e-10, 1.693995916954535808e-10, 1.325618806871248778e-09
2.071000000000000000e+03, 4.559035451053469521e-10, 3.824103442868275325e-10, 2.258774004282978082e-10, 1.613430424627217524e-10, 7.575169860177900089e-10
2.072000000000000000e+03, 4.592668420698678431e-10, 1.691131637860681028e-10, 2.156740305464608483e-10, 2.682233821076688073e-10, 6.996498221581197839e-10
2.073000000000000000e+03, 3.641515297613294115e-10, 3.072405869590286843e-10, 1.975581100270017038e-10, 1.500578151687809650e-10, 7.979967821012890423e-10
2.074000000000000000e+03, 2.826750278531597756e-10, 1.947080895892878055e-10, 1.912483294162218233e-10, 2.464093463476181054e-10, 8.253287977816045942e-10
2.075000000000000000e+03, 4.562603358323024916e-10, 3.342937002814796686e-10, 2.151506515251971295e-10, 1.696646048920904645e-10, 1.000605887513058549e-09
2.076000000000000000e+03, 4.285538263652085715e-10, 1.951655222644546014e-10, 2.074221838993497876e-10, 1.473434007741167727e-10, 7.945436600974797164e-10
2.077000000000000000e+03, 5.357649723338610756e-10, 3.849214287399313828e-10, 1.931232769186766679e-10, 1.156794175368327997e-10, 7.961844364198740733e-10
2.078000000000000000e+03, 4.234064296799626405e-10, 4.118682961593367451e-10, 2.048495422196575301e-10, 2.197119535057913143e-10, 5.690634355613304469e-10
2.079000000000000000e+03, 4.594328238267772761e-10, 2.376530422558587892e-10, 2.123417852712824154e-10, 2.092965984508790698e-10, 7.369161686950025123e-10
2.080000000000000000e+03, 4.309554243144433771e-10, 3.111641104016345437e-10, 1.803025923187701894e-10, 9.470427019913141798e-11, 7.844698611734276408e-10
2.081000000000000000e+03, 3.595430509812765764e-10, 2.444027378484954290e-10, 2.238473058016590627e-10, 1.346474534382986741e-10, 9.324513355338893256e-10
2.082000000000000000e+03, 4.510397454759661630e-10, 3.534340152421072210e-10, 2.018110085889680145e-10, 1.494306933296775125e-10, 6.735603158256983624e-10
2.083000000000000000e+03, 2.874335683592564835e-10, 3.769911800415059500e-10, 2.316542117754100442e-10, 9.356942828959833557e-11, 1.159019172328606709e-09
2.084000000000000000e+03, 4.176820443970584454e-10, 3.621732627157952993e-10, 2.006235287460520777e-10, 1.142491353666825267e-10, 4.783145235849053896e-10
2.085000000000000000e+03, 4.885807159090093127e-10, 2.154601481918634637e-10, 2.124061410299522698e-10, 9.885575697103021716e-11, 8.638132221302696755e-10
2.086000000000000000e+03, 4.838126366012141051e-10, 3.841689469056014985e-10, 2.129929168100971705e-10, 1.807067804401309047e-10, 1.228919212217866156e-09
2.087000000000000000e+03, 5.455433291351469009e-10, 5.187982476313648706e-10, 2.173682883301808143e-10, 2.988920847258420201e-10, 5.934202439190439527e-10
2.088000000000000000e+03, 6.595146704934101853e-10, 5.745041182699176085e-10, 2.303778385292160836e-10, 1.414100282269579870e-10, 6.013410813190386105e-10
2.089000000000000000e+03, 6.042498482163117855e-10, 5.641776193655193375e-10, 2.003692601427325104e-10, 1.305799626645773708e-10, 7.843544543244126206e-10
2.090000000000000000e+03, 6.887867308683988865e-10, 5.682797352007148425e-10, 1.964064605737429891e-10, 2.897430305459211909e-10, 9.824465235265499810e-10
2.091000000000000000e+03, 6.690626075809881654e-10, 3.104116793828966942e-10, 2.155166515681338640e-10, 1.489668028913156276e-10, 8.680027032587735971e-10
2.092000000000000000e+03, 5.175118889543467677e-10, 3.324178651589932412e-10, 1.944388172318605981e-10, 2.194094369657320524e-10, 6.933137985568406594e-10
2.093000000000000000e+03, 7.301451967796129187e-10, 5.796870229449809968e-10, 2.193806901490292991e-10, 1.937935266287586115e-10, 9.395439234534709228e-10
2.094000000000000000e+03, 4.980539702011340899e-10, 5.007765701922151891e-10, 2.167747448440497624e-10, 2.766121541377858830e-10, 7.900304293128447935e-10
2.095000000000000000e+03, 5.480425152835228107e-10, 3.294564585704388751e-10, 2.209438363679072466e-10, 1.009743013873626929e-10, 7.814211871755929390e-10
2.096000000000000000e+03, 5.502504488754702663e-10, 4.328896861966194651e-10, 2.298846463585323557e-10, 2.142554922006625143e-10, 9.971751090765924288e-10
2.097000000000000000e+03, 6.176953192192709392e-10, 3.142053730352853837e-10, 2.400161478990971369e-10, 1.929614185077804090e-10, 7.441112831093059988e-10
2.098000000000000000e+03, 5.704277803471408192e-10, 1.309610066972708166e-10, 1.960675922382578795e-10, 1.319375033106332277e-10, 8.060907119995998538e-10
2.099000000000000000e+03, 6.701690977349509693e-10, 6.655782413768483423e-10, 1.962816632129076076e-10, 1.614310195676576119e-10, 9.948997863187528758e-10
2.100000000000000000e+03, 7.897181251020611220e-10, 3.297346973160734398e-10, 2.487214994682724905e-10, 7.722824953814485430e-11, 7.163531094878066745e-10
