year, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-LM, TaiESM1, CanESM5, UKESM1-0-LL, ACCESS-ESM1-5, INM-CM5-0, CNRM-ESM2-1, MIROC-ES2L, IPSL-CM6A-LR, EC-Earth3-Veg, GFDL-ESM4
2.036000000000000000e+03, 2.313028666973601655e-01, 3.487956435695667712e-01, 1.826470958542171785e-01, 2.528642481512552442e-01, 5.450053758601376419e-01, 4.483398860885415282e-01, 5.442487507817043990e-02, 5.181960194272339226e-01, 7.470513351141713221e-01, 4.749346588395645385e-01, 6.950755195869384728e-01, 6.784239147879645992e-01, 8.924531547675740306e-01, 5.428475095884210955e-01, 5.924264261285853150e-01, 6.028198422399152490e-01
2.037000000000000000e+03, -6.687797302592713988e-01, 2.429344905374732910e-01, 4.177369460928167522e-01, -4.770000910430619717e-02, 4.319771272514222882e-01, 6.526160480607733350e-01, 6.602887576718054208e-02, 6.321324639096304043e-01, 5.873287665801141255e-01, 5.384227690002717504e-01, 1.894017955562234956e-01, 6.846541987792624795e-01, 2.630604728916929869e-01, 6.226551461847581459e-01, 7.575706640602559994e-02, 7.319472098282326922e-01
2.038000000000000000e+03, 1.222793168438896239e-01, 1.803183819338477767e-01, 1.890219401737931737e-01, 2.661226208522334824e-01, 3.245759269668873626e-01, 1.548680200306930266e-01, 1.425260125965124025e-01, 8.424071366371257419e-01, 7.212221824747740984e-01, 2.710094655287725862e-01, 3.032344814460670723e-01, 8.079384454825345729e-01, 6.063480435803414448e-01, 4.064217798290845063e-01, 2.355347947245363116e-01, 5.770961704310088036e-01
2.039000000000000000e+03, -5.074056913077826803e-01, 4.972552202434774027e-01, 5.496350922130172068e-01, 5.174235266799530608e-01, 3.405421616850458078e-01, 5.962171349186552449e-01, 1.030313488718168913e-01, 5.951028401056837058e-01, 6.086014202745223534e-01, 8.283735985160639581e-02, 6.031193884371787162e-01, 8.735742956406256088e-01, 3.782664252857822484e-01, 6.644027108221662870e-01, 6.140004063068710272e-01, 4.238761049712801432e-01
2.040000000000000000e+03, -1.062430289796127414e-01, 1.676591257168778826e-01, 3.637711553296995026e-01, 3.466986361342093148e-01, 4.606086794929872830e-01, 5.623914518964763243e-01, 2.496919306013521689e-01, 6.519592054346634580e-01, 3.535086859505278123e-01, 2.464968259456850330e-01, 3.211997679918847104e-01, 1.058283508145816842e+00, 7.154671806001366985e-01, 6.202273919639245126e-01, 7.604357881649562723e-01, 6.593253218123429349e-01
2.041000000000000000e+03, -1.253324860630811166e-01, 1.986887561565323090e-01, 3.800943820748103330e-01, 3.758782425994973142e-01, 5.879935668690768891e-01, 3.348207450733742263e-01, 1.961712263065329420e-01, 9.185124730115469260e-01, 9.831492139106383643e-01, 4.459504271875605608e-01, 4.355038589067444232e-01, 9.220998310917708496e-01, 4.828966271736669369e-01, 5.244501503952508914e-01, -2.189092636312703066e-01, 3.631381174568553694e-01
2.042000000000000000e+03, 8.035155306536533037e-02, 5.275057293176148576e-01, 6.855352274150658953e-01, 8.410177098084342662e-02, 8.326530120057340500e-01, 3.622450711591613248e-01, 5.156294419677669855e-03, 5.520925247283094972e-01, 7.946577047555700712e-01, 1.948221552691915548e-01, 1.323117622305527152e-01, 1.065321041852113071e+00, 8.926415284719049215e-01, 5.918352635353950619e-01, 3.192194358759775641e-01, 5.364012781742296676e-01
2.043000000000000000e+03, 5.746498353409702498e-01, 3.739744308447658927e-01, 5.459014141063399661e-01, 2.194000834834645697e-01, 3.182537280329104101e-01, -9.670824069425874858e-02, 1.348974394939035926e-01, 7.660804229224752460e-01, 6.081173495148722852e-01, 3.247255478515902460e-01, 5.067875159175887489e-01, 8.441295587787729371e-01, 8.127149764027052914e-01, 4.097662502437305898e-01, 2.625038047592581636e-01, 6.619218262216781667e-01
2.044000000000000000e+03, 1.992639295721219256e-02, 1.363318998621138034e-01, 6.109581569092371600e-01, 6.953780922568950640e-01, 4.476143853000694728e-01, 3.305924831799444408e-01, 1.179095356031543695e-01, 1.020585658942642970e+00, 6.477905195152749984e-01, 4.446930076887690153e-01, 1.879866339593683766e-01, 5.828223227845999999e-01, 7.313614309941405267e-01, 5.360172292161708985e-01, 3.825319491685262863e-01, 4.107887252231223196e-01
2.045000000000000000e+03, -8.061366437652667249e-02, 3.827482245627299995e-01, 3.432840935730224752e-01, 2.470473684749414645e-01, 2.243578651430778448e-01, 6.269772057688856037e-01, 1.963958485475687799e-01, 4.484429920553622551e-01, 4.732023406874952820e-01, 1.087190051162777449e-01, 1.724773938785583161e-01, 6.518538667076658744e-01, 1.029389335744269163e+00, 4.325639980772496562e-01, 4.680684874513245108e-01, 8.169517439114671875e-01
