year, MIROC-ES2L, IPSL-CM6A-LR, ACCESS-ESM1-5, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-CM2-SR5
2.015000000000000000e+03, 7.668716856603856602e-01, 1.141519346002088098e-01, 1.345046254034423017e+00, 6.145464861417778042e-03, 9.232822515522215445e-01, 2.301652480039529866e-02, 1.137915605966541635e-02, 1.230117269046373307e+00, 6.208654884919848627e-01
2.016000000000000000e+03, 7.709643254361712161e-01, 1.159619039708974231e-01, 1.550203316437615220e+00, 6.080267781273172335e-03, 9.317800611513645803e-01, 2.209058110936732225e-02, 1.059446004257591847e-02, 1.225316117590492748e+00, 6.220653472916184423e-01
2.017000000000000000e+03, 7.693443174239985582e-01, 1.165016009791079860e-01, 1.505986187322396974e+00, 6.017362848198043110e-03, 9.277418179775017704e-01, 2.119235124564414902e-02, 9.794244976435216229e-03, 1.234708164041569578e+00, 6.256034824562269892e-01
2.018000000000000000e+03, 7.659930480662500152e-01, 1.171998540213273904e-01, 1.476965042219417601e+00, 5.954414269785875818e-03, 9.264597072846776360e-01, 2.032812308994617553e-02, 9.003896254891737005e-03, 1.227570800891223168e+00, 6.314786393622744409e-01
2.019000000000000000e+03, 7.619741887676230174e-01, 1.179416527010005294e-01, 1.455229467375830144e+00, 5.891584421847573423e-03, 9.300189610460738443e-01, 1.949595539064557376e-02, 8.151295464146010930e-03, 1.219449463646823606e+00, 6.358200916408950354e-01
2.020000000000000000e+03, 7.595780594125918217e-01, 1.191342442542132063e-01, 1.435866462512304098e+00, 5.831185756396803713e-03, 9.310691822332363143e-01, 1.869532117011475300e-02, 7.149530071624440181e-03, 1.220895224072642948e+00, 6.394469360807151226e-01
2.021000000000000000e+03, 7.580234623958238549e-01, 1.193378085188931820e-01, 1.418245115957173397e+00, 5.770371742067198322e-03, 9.275153460443238407e-01, 1.794386712859101507e-02, 6.796326847320466498e-03, 1.224515831467347438e+00, 6.422104019716906587e-01
2.022000000000000000e+03, 7.589850486443234789e-01, 1.197864417630006700e-01, 1.401331566122468564e+00, 5.709878981890193113e-03, 9.317247098301085773e-01, 1.722290218954816363e-02, 6.393075853288568942e-03, 1.221732399608929764e+00, 6.443784045640696956e-01
2.023000000000000000e+03, 7.596879108173467676e-01, 1.208430356732218269e-01, 1.386406584566356237e+00, 5.650347203607875360e-03, 9.267666418868195644e-01, 1.653254659620432068e-02, 6.059065546240935060e-03, 1.217534653248818488e+00, 6.461445196572860317e-01
2.024000000000000000e+03, 7.622471019573417994e-01, 1.218793573459624191e-01, 1.371903433387465565e+00, 5.592992637759803057e-03, 9.243821739242298330e-01, 1.587193603480116857e-02, 5.761792675449683120e-03, 1.218525239926443682e+00, 6.475483681332445673e-01
2.025000000000000000e+03, 7.650360809698513176e-01, 1.227981210655810784e-01, 1.357396454512742601e+00, 5.534583206438978796e-03, 9.269604201697907442e-01, 1.523697259744029656e-02, 5.473632490382711845e-03, 1.220224708894229959e+00, 6.487395489828530204e-01
2.026000000000000000e+03, 7.669753452000613869e-01, 1.238934775604279420e-01, 1.343734044533409833e+00, 5.476675809460274276e-03, 9.271061496208822250e-01, 1.464238406026209180e-02, 5.194888245020401474e-03, 1.217115864224739274e+00, 6.496769917137297234e-01
2.027000000000000000e+03, 7.695810456283932455e-01, 1.252171585757249628e-01, 1.330622387402148998e+00, 5.420749283269969861e-03, 9.263846050437433144e-01, 1.407198393030952011e-02, 4.913657248753663595e-03, 1.217720634273184110e+00, 6.503358621693497987e-01
2.028000000000000000e+03, 7.737643442354765755e-01, 1.264146617156347019e-01, 1.317474751441298109e+00, 5.366520497408507236e-03, 9.282721476913418091e-01, 1.352397714492152916e-02, 4.635252245760714158e-03, 1.221765374943906801e+00, 6.508071498871170757e-01
2.029000000000000000e+03, 7.806019924552306533e-01, 1.277066466514889254e-01, 1.305650286779962865e+00, 5.311622071547109601e-03, 9.350886514745447853e-01, 1.300048292574236194e-02, 4.358362088715744993e-03, 1.221887761551457396e+00, 6.512073301320541185e-01
2.030000000000000000e+03, 7.907284558078532255e-01, 1.289768074633425021e-01, 1.294001059463516734e+00, 5.257725208621778258e-03, 9.318359533664133387e-01, 1.250767198964087244e-02, 4.081389168428309865e-03, 1.221729043626130107e+00, 6.515170115295022546e-01
2.031000000000000000e+03, 8.003636493378712968e-01, 1.305384823705973973e-01, 1.293478135157080100e+00, 5.206061567769944450e-03, 9.303973642008972478e-01, 1.204340469733768647e-02, 3.864751654028901820e-03, 1.229296781875832023e+00, 6.519477109960197803e-01
2.032000000000000000e+03, 8.062820678837763211e-01, 1.322040840239656345e-01, 1.283423355375087782e+00, 5.155440165832321682e-03, 9.298030786677170534e-01, 1.159116739664124533e-02, 3.642109118091789097e-03, 1.229651963633523692e+00, 6.528446242980413539e-01
2.033000000000000000e+03, 8.092345129814582094e-01, 1.334599056846830223e-01, 1.276969533512790411e+00, 5.108889515501434213e-03, 9.277078956736914961e-01, 1.115558586998804599e-02, 3.420228582687073488e-03, 1.224897296574170236e+00, 6.548845582315382385e-01
2.034000000000000000e+03, 8.114723163527582939e-01, 1.346460939484501462e-01, 1.269166489488640082e+00, 5.061187584302029481e-03, 9.223201646159714384e-01, 1.073696705970828523e-02, 3.189456335816834211e-03, 1.217345456611347299e+00, 6.572987464100609190e-01
2.035000000000000000e+03, 8.153166668992849475e-01, 1.357698608889615077e-01, 1.264662353899548952e+00, 5.012015506553703370e-03, 9.201867951083450015e-01, 1.033695264705371090e-02, 2.959218373509882750e-03, 1.224851664415640418e+00, 6.592192899759999891e-01
2.036000000000000000e+03, 8.153123502803203415e-01, 1.377963817544793912e-01, 1.255478278035277340e+00, 4.963691856868987333e-03, 9.233835498839895184e-01, 9.968671662496098040e-03, 2.818443134731326259e-03, 1.225661764842786772e+00, 6.606226558228767143e-01
2.037000000000000000e+03, 8.145123826652531651e-01, 1.399851913326939090e-01, 1.247903030422476078e+00, 4.915947424463822969e-03, 9.251166084549812263e-01, 9.622196315651983245e-03, 2.677190652527243041e-03, 1.230384827968441064e+00, 6.617200731337088415e-01
2.038000000000000000e+03, 8.147611918198011116e-01, 1.421211457896371377e-01, 1.241411885678136207e+00, 4.868721601094016908e-03, 9.234258004353517180e-01, 9.290306623387679930e-03, 2.531162366941142831e-03, 1.227996076461515873e+00, 6.623440572556487105e-01
2.039000000000000000e+03, 8.145950158990937773e-01, 1.446668898274525161e-01, 1.233786360493838163e+00, 4.820840657232415907e-03, 9.279426965287205231e-01, 8.979913844085153293e-03, 2.379654919494182327e-03, 1.228856913312069254e+00, 6.623515007117986020e-01
2.040000000000000000e+03, 8.156070165731738042e-01, 1.469596057944482226e-01, 1.228061633200039804e+00, 4.776272406799279835e-03, 9.241709999787690588e-01, 8.686904702574063664e-03, 2.225566113498013074e-03, 1.232606736715925466e+00, 6.620608309778949208e-01
2.041000000000000000e+03, 8.192223056519279956e-01, 1.490488215678889838e-01, 1.236644266636514056e+00, 4.737947475248119669e-03, 9.208312757875061205e-01, 8.400007274216778758e-03, 2.431543763759425481e-03, 1.233351351210614677e+00, 6.617831371598595913e-01
2.042000000000000000e+03, 8.241891656692421630e-01, 1.513430569174977203e-01, 1.234445679668466189e+00, 4.699462385766866972e-03, 9.247018019805385292e-01, 8.138441350416509776e-03, 2.631951770219949013e-03, 1.236608467827701396e+00, 6.617270155263346165e-01
2.043000000000000000e+03, 8.293720500104009297e-01, 1.535047890116404135e-01, 1.240888177560555805e+00, 4.659887260438279159e-03, 9.243156843664920297e-01, 7.890313010894971918e-03, 2.792097284043401108e-03, 1.232273990577613665e+00, 6.617815078819667685e-01
2.044000000000000000e+03, 8.263602049877099009e-01, 1.548861220336943401e-01, 1.239349833431916625e+00, 4.617373689912456294e-03, 9.214205823647582116e-01, 7.662411263128739332e-03, 2.739018623295025583e-03, 1.236092159400361545e+00, 6.618142259830213092e-01
2.045000000000000000e+03, 8.249982248962256515e-01, 1.569316641923613198e-01, 1.245731528020789236e+00, 4.572502179850570191e-03, 9.197394102736472510e-01, 7.428018178491327395e-03, 2.963976503056253015e-03, 1.235413196165907612e+00, 6.618357711896201145e-01
2.046000000000000000e+03, 8.253478678332885066e-01, 1.588252854858323571e-01, 1.238533816387295872e+00, 4.534310221978412811e-03, 9.185968557905627163e-01, 7.195018709076666380e-03, 2.937096957404795785e-03, 1.234385306056414722e+00, 6.619398537858324216e-01
2.047000000000000000e+03, 8.264943366173589379e-01, 1.607482021667885896e-01, 1.232457606262504113e+00, 4.488396674324921821e-03, 9.108395988595417991e-01, 6.979015935740547419e-03, 2.911349814657762398e-03, 1.236264067118028276e+00, 6.620142710167804534e-01
2.048000000000000000e+03, 8.266981752259731087e-01, 1.624573710365204149e-01, 1.227038030408384772e+00, 4.436782820503225484e-03, 9.111732637933872558e-01, 6.782071384691832835e-03, 2.906670455412471276e-03, 1.237226209914221720e+00, 6.620397491978707860e-01
2.049000000000000000e+03, 8.247443426790804777e-01, 1.639266473723464679e-01, 1.221971534400506654e+00, 4.389083199536421460e-03, 9.140976765844518459e-01, 6.597551640430972253e-03, 2.906707588650698192e-03, 1.240112663990434294e+00, 6.618229507446717896e-01
2.050000000000000000e+03, 8.443680005190902227e-01, 1.675941095820071280e-01, 1.218174206665108672e+00, 4.350449473373351958e-03, 9.084861617120902899e-01, 6.435581232678171115e-03, 2.888140112708274115e-03, 1.242124494424123649e+00, 6.622419891429808247e-01
2.051000000000000000e+03, 8.580653918613946329e-01, 1.700841347896768219e-01, 1.207858226478769614e+00, 4.319989572872944168e-03, 9.133098675445096015e-01, 6.269085374422577774e-03, 4.285476832191206439e-03, 1.239463622952406752e+00, 6.636566746144414441e-01
2.052000000000000000e+03, 8.683125646017064714e-01, 1.723571283071311799e-01, 1.198459978732454134e+00, 4.286137112285981488e-03, 9.141800085800170228e-01, 6.112111120812701789e-03, 5.545202466879576610e-03, 1.244161781101660091e+00, 6.653069719547507477e-01
2.053000000000000000e+03, 8.757825959953038364e-01, 1.746831917522987665e-01, 1.189721744152750560e+00, 4.245053441721442777e-03, 9.136114905918057971e-01, 5.963892891715930414e-03, 6.683677389636004731e-03, 1.244982590017013946e+00, 6.667156588709723941e-01
2.054000000000000000e+03, 8.821474895716266973e-01, 1.768436524879161698e-01, 1.181687297024920147e+00, 4.207490098337995227e-03, 9.182022724552870718e-01, 5.853968888471139734e-03, 7.710239766645863788e-03, 1.246082269817539112e+00, 6.678901819361957592e-01
