year, CNRM-ESM2-1, NorESM2-LM, CMCC-CM2-SR5, CESM2-WACCM, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, CanESM5, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR
2.015000000000000000e+03, 3.953361220972757337e+02, 9.934516617811004835e+02, 8.586913908299225113e+02, 6.096219081659202175e+02, 9.126481520250305834e+01, 5.959192382946159796e+02, 1.276667865072177790e+02, 2.360003319869589973e+02, 1.965785172418204922e+02, 6.525004322483367503e+01, 3.215059031099015669e+02, 3.521059466720000160e+02, 2.468778292851051219e+02, 6.656416443934818972e+01
2.016000000000000000e+03, 3.955929000913174036e+02, 9.934647793523459995e+02, 8.586652314778104937e+02, 6.096142600413492119e+02, 9.117508429802374792e+01, 5.959204932291993373e+02, 1.277641947248259413e+02, 2.358886225540354076e+02, 1.966774474958002088e+02, 6.523532782176775413e+01, 3.216033775903962919e+02, 3.522523185383605551e+02, 2.470078437415955079e+02, 6.668874043780532190e+01
2.017000000000000000e+03, 3.958277685753893138e+02, 9.934302405995770187e+02, 8.586326038966558372e+02, 6.096101399544124888e+02, 9.116791926797074552e+01, 5.959830625547372165e+02, 1.278243735022948044e+02, 2.357855593555873384e+02, 1.967105575515662110e+02, 6.521476767146064901e+01, 3.216275436352732982e+02, 3.523323130804748189e+02, 2.472753246752268694e+02, 6.681214198008595417e+01
2.018000000000000000e+03, 3.960873359766208637e+02, 9.933941350812583551e+02, 8.586361114253347750e+02, 6.095580909920602153e+02, 9.121256140737339990e+01, 5.960258875321850383e+02, 1.278970512494067009e+02, 2.357371773034248008e+02, 1.967429254659589049e+02, 6.523085485611446188e+01, 3.216391985896528922e+02, 3.523878394597257397e+02, 2.475590511655517219e+02, 6.694948665892970041e+01
2.019000000000000000e+03, 3.963432893818854836e+02, 9.933622631521319590e+02, 8.585780245409048348e+02, 6.095013723385126241e+02, 9.117505636551652515e+01, 5.960294524708909876e+02, 1.279464331852740884e+02, 2.357005892015854442e+02, 1.967813954741826876e+02, 6.525099035933295966e+01, 3.217150215751224778e+02, 3.524758224952431078e+02, 2.479853491819105784e+02, 6.708088333030106298e+01
2.020000000000000000e+03, 3.965935766461046796e+02, 9.933969642151674861e+02, 8.584936503055739649e+02, 6.094577414188999001e+02, 9.105487033657792040e+01, 5.960561678151070737e+02, 1.279848723745397336e+02, 2.356746926444383803e+02, 1.968352656725015208e+02, 6.522534456600011765e+01, 3.217689298554884658e+02, 3.525988823874506011e+02, 2.481121509690448477e+02, 6.721752296228191881e+01
2.021000000000000000e+03, 3.968053538995842473e+02, 9.934633780147917150e+02, 8.584430578684753073e+02, 6.094330520047184336e+02, 9.098076006222275680e+01, 5.960947728056747792e+02, 1.281456662356420111e+02, 2.356244344363503842e+02, 1.969030837265844127e+02, 6.519556742671451843e+01, 3.217734153368480179e+02, 3.527674279227205716e+02, 2.482570236638634640e+02, 6.735154375053772924e+01
2.022000000000000000e+03, 3.969821208502781928e+02, 9.934882421437200719e+02, 8.583717516889180388e+02, 6.094172750013859741e+02, 9.093502319171052761e+01, 5.961474988672429163e+02, 1.281926796534001483e+02, 2.355805552407988728e+02, 1.969674199563086461e+02, 6.523369318134268724e+01, 3.217665397458938514e+02, 3.528870849082693439e+02, 2.486333909743226798e+02, 6.749356904466885965e+01
2.023000000000000000e+03, 3.972808534904627322e+02, 9.934714131989792349e+02, 8.582847283741850788e+02, 6.094095852500902311e+02, 9.087973463333551649e+01, 5.961321214098356904e+02, 1.283074552740598904e+02, 2.355596013943315086e+02, 1.970227952211890283e+02, 6.524934886951669455e+01, 3.217781179294577214e+02, 3.529384110339938729e+02, 2.488806634342473956e+02, 6.761506264779137609e+01
2.024000000000000000e+03, 3.975490962835781943e+02, 9.934354996485546963e+02, 8.581778050769786432e+02, 6.094405661389374700e+02, 9.080090088338120324e+01, 5.960848624130238704e+02, 1.284495242932272561e+02, 2.355478381374575463e+02, 1.970756260808579157e+02, 6.525764258209599689e+01, 3.218029591222629051e+02, 3.530002151716016670e+02, 2.490529952145652430e+02, 6.774630613442897697e+01
