year, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, INM-CM4-8, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, TaiESM1, CanESM5, IPSL-CM6A-LR, CMCC-ESM2
2.015000000000000000e+03, 9.705394089184045114e-01, 1.797905220133153126e+00, 1.324726289259132939e+00, 1.278793586761036716e+00, 7.262680068846451009e-01, 1.431616578549157914e+00, 1.161618289886722000e+00, 1.393119557732541258e+00, 9.630685854173038907e-01, 9.603463934829619131e-01, 2.382756992444773125e+00, 1.287365791073042498e+00, 1.124593072993375520e+00, 9.604428736106515041e-01, 9.082698844751185829e-01, 2.039695889862150224e+00
2.016000000000000000e+03, 1.019101189507733540e+00, 1.803620560519556770e+00, 1.219988275482128959e+00, 1.331875492566433339e+00, 6.861807112847145840e-01, 1.419511622659004546e+00, 1.198353635173748710e+00, 1.316185958638189657e+00, 9.022160295488851345e-01, 9.896890291867749267e-01, 2.400047390585293261e+00, 1.251202963414603131e+00, 1.149765363060038403e+00, 9.571304333542821619e-01, 9.030716266065503817e-01, 1.950426719841809486e+00
2.017000000000000000e+03, 1.014782507386625676e+00, 1.906296430189787783e+00, 1.183700246316208959e+00, 1.364142513901473563e+00, 6.897479491062251666e-01, 1.455890836856092996e+00, 1.172903995133118382e+00, 1.380797390178078565e+00, 9.201352625255454498e-01, 1.020813472332282590e+00, 2.375620717560647854e+00, 1.261619993650215044e+00, 1.185308611852972094e+00, 9.757807706179602025e-01, 9.105798915182973241e-01, 2.003876673064027170e+00
2.018000000000000000e+03, 1.031294910952268884e+00, 1.853314393743693778e+00, 1.214855851147766064e+00, 1.374493214252580309e+00, 6.727636685077257317e-01, 1.420624910721151490e+00, 1.169535705687657856e+00, 1.416935231949425500e+00, 9.543092281784539832e-01, 1.000851328423477460e+00, 2.375813839537472827e+00, 1.285094180737716307e+00, 1.152499326374421429e+00, 9.531133911216134180e-01, 9.368159974633877285e-01, 1.978108569871097400e+00
2.019000000000000000e+03, 9.832979124558441919e-01, 1.855682493895711938e+00, 1.227012730451008782e+00, 1.351450730288586310e+00, 7.458820243602090061e-01, 1.429275875555334085e+00, 1.219559233246469754e+00, 1.422971743584161342e+00, 9.459993673637350220e-01, 1.018085331981223529e+00, 2.431332042628196355e+00, 1.299516730484505223e+00, 1.162620973480740671e+00, 9.598386605165786234e-01, 9.626042414353456200e-01, 1.918849087646620211e+00
2.020000000000000000e+03, 9.921933735138755983e-01, 1.873676412477612407e+00, 1.276729092813044808e+00, 1.316345794305897821e+00, 7.052355446018117036e-01, 1.441972004616514536e+00, 1.186463982077168078e+00, 1.456378926469400703e+00, 9.516779896645790604e-01, 1.025045557446063293e+00, 2.442080150577604858e+00, 1.300354601467168969e+00, 1.153596413086498407e+00, 9.697457445564158229e-01, 9.501998587402449292e-01, 1.838213999958589362e+00
2.021000000000000000e+03, 1.019673544750500094e+00, 1.914337955640819544e+00, 1.204852276378576281e+00, 1.294962569675441433e+00, 7.763382714812656626e-01, 1.449661717693366159e+00, 1.205426946904428087e+00, 1.472263206311355876e+00, 9.565440908425129063e-01, 1.051465184396222829e+00, 2.440726164375142559e+00, 1.307451989001317205e+00, 1.207126365765291531e+00, 9.724136326955165055e-01, 9.757352549522069207e-01, 1.905078471641866722e+00
2.022000000000000000e+03, 1.106499390047871012e+00, 1.903347278012838206e+00, 1.235055335001566279e+00, 1.295238519809458699e+00, 7.177506221318964430e-01, 1.449900010244019599e+00, 1.163046384739807593e+00, 1.464520767014524383e+00, 9.903570908464073286e-01, 1.030264424887868735e+00, 2.459875985926210706e+00, 1.334632262134396452e+00, 1.180589766317926337e+00, 9.852581866337096761e-01, 9.736928923517206291e-01, 1.999476394927180767e+00
2.023000000000000000e+03, 1.068965622497273893e+00, 1.901225605105467453e+00, 1.292278782124298697e+00, 1.320041766304840269e+00, 7.257757916425054967e-01, 1.447527875015329313e+00, 1.156960415839488387e+00, 1.466040048608785229e+00, 9.619267521050922642e-01, 9.244143518040941476e-01, 2.496388432963926540e+00, 1.352906153131777645e+00, 1.182372951464713218e+00, 1.011249003490768628e+00, 9.758658515431762881e-01, 1.975027839999557111e+00
2.024000000000000000e+03, 1.095028533828416695e+00, 1.897662496024048906e+00, 1.333328659599405830e+00, 1.351303179439937496e+00, 7.473538039534907140e-01, 1.468851804727815846e+00, 1.140465348906873677e+00, 1.442983271224890673e+00, 9.517378017814575042e-01, 1.007273911763220564e+00, 2.492302292778842077e+00, 1.344910685753146318e+00, 1.176628639986720959e+00, 1.018126284630178180e+00, 9.625931165926606692e-01, 1.891530884862437256e+00
