year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.039000000000000000e+03, 7.746747711557733798e-10, 3.266922372442765199e-10, 3.442395935539831830e-10, 3.398516612014296627e-10, 1.789865836285026787e-10, 1.875887856956136959e-10, 3.346475778678475188e-10, 1.789865836285026787e-10, 1.510153634123883653e-10, 3.442395935539831830e-10, 8.735010224825060999e-11, 7.746747711557733798e-10
2.040000000000000000e+03, 4.312208040978612668e-10, 3.545913766118868310e-10, 2.534041675912659167e-10, 3.408666516985063549e-10, 1.972733836471065232e-10, 3.267397780841550439e-10, 3.625445409142826596e-10, 1.972733836471065232e-10, 2.100310366043658671e-10, 2.534041675912659167e-10, 1.638769525222848166e-10, 4.312208040978612668e-10
2.041000000000000000e+03, 5.169008213357040353e-10, 3.866810852021504586e-10, 9.578319877163044761e-11, 4.532263524089896918e-10, 1.775986262783550983e-10, 1.195429959245327511e-10, 3.945409587142255965e-10, 1.775986262783550983e-10, 2.817709671531629295e-10, 9.578319877163044761e-11, 1.013199112380881833e-10, 5.169008213357040353e-10
2.042000000000000000e+03, 5.170543997047202456e-10, 2.699007515491588437e-10, 2.794188875368042741e-10, 4.365042736805359879e-10, 1.912409739122047141e-10, 1.611656670370344631e-10, 2.780979949666994798e-10, 1.912409739122047141e-10, 1.715277568506386000e-10, 2.794188875368042741e-10, 1.383419081116415690e-10, 5.170543997047202456e-10
2.043000000000000000e+03, 9.163708237924607158e-10, 2.821891964988937316e-10, 3.039074002879050579e-10, 3.067418444230179650e-10, 2.034824221529208738e-10, 1.329745749148772393e-10, 2.904332422524056300e-10, 2.034824221529208738e-10, 2.794907289122234029e-10, 3.039074002879050579e-10, 1.019176163755345719e-10, 9.163708237924607158e-10
2.044000000000000000e+03, 8.692174573941840773e-10, 3.233864476772356489e-10, 2.306997799755140236e-10, 3.521311127757812883e-10, 1.861348825665420973e-10, 1.634298448836822814e-10, 3.312220383111507290e-10, 1.861348825665420973e-10, 2.023058914076144015e-10, 2.306997799755140236e-10, 1.205211289302379783e-10, 8.692174573941840773e-10
2.045000000000000000e+03, 1.267565840603638645e-09, 2.705715427040147126e-10, 2.502977228998688191e-10, 4.403118440712220157e-10, 1.745463447898552412e-10, 1.057937114071985207e-10, 2.788976682331159488e-10, 1.745463447898552412e-10, 2.311646660279630717e-10, 2.502977228998688191e-10, 2.609815252715862279e-10, 1.267565840603638645e-09
2.046000000000000000e+03, 6.376287962718165664e-10, 3.273334551286236704e-10, 2.006378669030029995e-10, 2.836026375150031393e-10, 1.988939742880968009e-10, 2.296434636532802969e-10, 3.351600751131059698e-10, 1.988939742880968009e-10, 1.597220418992168003e-10, 2.006378669030029995e-10, 7.004242794468635864e-11, 6.376287962718165664e-10
2.047000000000000000e+03, 6.356018503722272717e-10, 3.205484785682830144e-10, 4.128658089010809820e-10, 4.420510810195646164e-10, 1.839933520377645162e-10, 8.751490424426101026e-11, 3.286400867948917982e-10, 1.839933520377645162e-10, 2.416662000175703319e-10, 4.128658089010809820e-10, 4.229359568891410098e-11, 6.356018503722272717e-10
2.048000000000000000e+03, 8.795827281003888616e-10, 3.884368291404965785e-10, 4.551483687615174788e-10, 2.759843350324947965e-10, 1.706243795561220325e-10, 9.525666851585452093e-11, 3.968373252897556527e-10, 1.706243795561220325e-10, 2.283555676524872343e-10, 4.551483687615174788e-10, 1.120717383335119226e-10, 8.795827281003888616e-10
2.049000000000000000e+03, 5.923588159042854306e-10, 4.357502356574503702e-10, 4.270617468282944981e-10, 4.205336535538483462e-10, 2.159847714180445007e-10, 1.257945575059984522e-10, 4.441306560083494701e-10, 2.159847714180445007e-10, 2.406157168610472745e-10, 4.270617468282944981e-10, 1.356205431124811338e-10, 5.923588159042854306e-10
2.050000000000000000e+03, 6.022988611396467107e-10, 3.577632159027490564e-10, 2.414170269041903592e-10, 2.948204831527417149e-10, 1.852544573170386712e-10, 3.008880859295728356e-10, 3.662706261524093769e-10, 1.852544573170386712e-10, 2.180554790379274997e-10, 2.414170269041903592e-10, 2.975172198227632623e-10, 6.022988611396467107e-10
2.051000000000000000e+03, 5.586520312814710743e-10, 4.574666952241175396e-10, 4.595320851417138720e-10, 2.558004033566927829e-10, 2.019401822563897146e-10, 1.499387681303621016e-10, 4.662211252451097618e-10, 2.019401822563897146e-10, 1.517640553860329354e-10, 4.595320851417138720e-10, 1.765807145472278849e-10, 5.586520312814710743e-10
