year, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, 1.901437617689574842e-10, 3.387069085635356733e-10, 4.323577984660541096e-10, 4.279570482352131402e-10, 7.633369350220961838e-11, 6.406316881856392664e-11, 4.735239770930659342e-10, 1.352003044430665575e-13, 8.596785096202725782e-12
2.016000000000000000e+03, 2.177580366817597113e-10, 3.302103991227292726e-10, 4.254706301340501958e-10, 4.332134687549270140e-10, 7.706517918426670904e-11, 1.928680434255367491e-10, 5.107119219708771915e-10, 1.329726235617650682e-13, 8.644050343928643653e-12
2.017000000000000000e+03, 1.984348244620744376e-10, 3.908326431175155753e-10, 4.470580451601763728e-10, 4.270781937700635044e-10, 7.856770229727245095e-11, 1.168183196277415855e-10, 5.213936907030716673e-10, 1.334288066822798075e-13, 8.566007241777756652e-12
2.018000000000000000e+03, 1.933033921079906915e-10, 3.156610080687443301e-10, 4.358732747666821535e-10, 4.219990647728160466e-10, 8.078632926989453901e-11, 8.687996223696019941e-11, 5.541425345925972455e-10, 1.319607615351543102e-13, 8.390855033990598218e-12
2.019000000000000000e+03, 2.086199256172234851e-10, 3.815154285027779170e-10, 4.222323869201346394e-10, 4.177866414979492665e-10, 8.240433465571117885e-11, 7.472934277395790380e-11, 5.572927160169637033e-10, 1.289870515254463355e-13, 8.051695336904693953e-12
2.020000000000000000e+03, 2.115082455759449386e-10, 3.700747969966432928e-10, 4.267926309336911411e-10, 4.177814519177495174e-10, 8.370582771862753191e-11, 6.846919413292814141e-11, 5.637185882912594237e-10, 1.289460894886464324e-13, 7.485794413134825452e-12
2.021000000000000000e+03, 1.951333512244458220e-10, 3.341972245761404411e-10, 4.356382729853704699e-10, 4.191881293552855773e-10, 8.468396071704192452e-11, 6.480709677126755645e-11, 5.566960495885596736e-10, 1.266737404067937206e-13, 3.563527656199113775e-12
2.022000000000000000e+03, 2.143404996489049316e-10, 3.629410078914720452e-10, 4.320405393699892763e-10, 4.212922537813671901e-10, 8.542497578916166951e-11, 6.192160329508478547e-11, 4.738580471012880813e-10, 1.234679271304954195e-13, 3.566479860098913884e-12
2.023000000000000000e+03, 1.963477694184278626e-10, 3.782916633200942143e-10, 4.253947957793495911e-10, 4.239888996716849444e-10, 8.599072056643838832e-11, 6.028845864783324542e-11, 5.423387324192335679e-10, 1.205440765108821576e-13, 3.225447140043560307e-12
2.024000000000000000e+03, 1.890920999350415198e-10, 3.852358425966355753e-10, 4.286062262085470824e-10, 4.280718223700729351e-10, 8.643406016822330451e-11, 5.849399388327827722e-11, 5.392999971909337125e-10, 1.203223044044337899e-13, 3.098332227898333691e-12
2.025000000000000000e+03, 2.030303695315240008e-10, 3.206167129369456596e-10, 4.330413597843764981e-10, 4.316119712109041244e-10, 8.678145366865481026e-11, 5.644837149147438814e-11, 4.971898168463392155e-10, 1.169185947544927562e-13, 3.017922751394578955e-12
2.026000000000000000e+03, 2.064487090132856254e-10, 3.376842843767779080e-10, 4.279516013740408297e-10, 4.326207189268581144e-10, 8.704232638328332877e-11, 5.484606503058056343e-11, 4.836601725435777936e-10, 1.129423203831172737e-13, 2.992820102857641457e-12
2.027000000000000000e+03, 2.058268596778186300e-10, 3.764402740479018072e-10, 4.298598960022898368e-10, 4.363958379038258830e-10, 8.719299505505934048e-11, 5.337787593185617215e-11, 5.328658970098526976e-10, 1.114083790708367150e-13, 2.978705944203249556e-12
2.028000000000000000e+03, 2.164230223886600007e-10, 4.000063908144850384e-10, 4.383208374697361500e-10, 4.423089243864425178e-10, 8.726765053777622415e-11, 5.169610564929283070e-11, 6.098704067937548368e-10, 1.117876019006533808e-13, 2.961210382321150909e-12
2.029000000000000000e+03, 2.479840486785739095e-10, 4.296011666594399222e-10, 4.390004082089467653e-10, 4.523112204091516743e-10, 8.730509855927050678e-11, 5.077165170538546583e-11, 6.123845080704426499e-10, 1.097754436333822713e-13, 2.944007801907376343e-12
2.030000000000000000e+03, 2.363880808433813332e-10, 5.139486002007384715e-10, 4.392739277337242194e-10, 4.655060510851615061e-10, 8.736036371274130458e-11, 4.963522629238661330e-11, 6.397671309145096779e-10, 1.079708153555518070e-13, 2.925143905788337320e-12
2.031000000000000000e+03, 2.316453986516970265e-10, 4.058426031276050700e-10, 4.537215828323133783e-10, 4.734120030301977497e-10, 8.747375802100655611e-11, 5.508454017438369225e-11, 4.800242293456381868e-10, 1.084430184527039129e-13, 2.889417078077484220e-12
2.032000000000000000e+03, 2.296253803237736992e-10, 5.059058172044657317e-10, 4.537924900789317135e-10, 4.748481576676113812e-10, 8.773811913573074071e-11, 5.192910361276529172e-11, 5.053106169695134557e-10, 1.096053122831001265e-13, 2.880776785231076631e-12
2.033000000000000000e+03, 2.154389616239487427e-10, 4.535069431024953478e-10, 4.439499442629990990e-10, 4.724195594635685261e-10, 8.837431636256078256e-11, 5.202560253992642954e-11, 5.075731572773088026e-10, 1.172708343913384742e-13, 2.875231956937709577e-12
2.034000000000000000e+03, 1.892806528443584457e-10, 3.613141964146251443e-10, 4.287997065515722332e-10, 4.734339060923055561e-10, 8.907120575192061852e-11, 5.091781775289091136e-11, 6.223055733631416379e-10, 1.225831834954808410e-13, 2.881534065556658206e-12
2.035000000000000000e+03, 1.799161120486382091e-10, 3.803710101175082459e-10, 4.435456901646852647e-10, 4.778692556907453548e-10, 8.951569497800179832e-11, 5.197809572032730477e-11, 5.305456662896814019e-10, 1.229438247289705826e-13, 2.882361471573449844e-12
2.036000000000000000e+03, 1.913580986962815807e-10, 4.835623333979565971e-10, 4.441291429953955234e-10, 4.716594555588511367e-10, 8.980471242814935278e-11, 4.946629098944007924e-11, 5.486938686708123324e-10, 1.210917124654620500e-13, 2.876043022644294286e-12
2.037000000000000000e+03, 1.975117009139161065e-10, 4.867313680973267400e-10, 4.518807701892243503e-10, 4.710940924547227755e-10, 9.002003527303116624e-11, 4.876082451814077119e-11, 5.560723443865054998e-10, 1.183624691705558586e-13, 2.894053355350278203e-12
2.038000000000000000e+03, 1.902060860147028615e-10, 4.860177373468501414e-10, 4.458341496536838581e-10, 4.705824127898139836e-10, 9.007276389576289799e-11, 4.870951671372559001e-11, 4.886768630478670983e-10, 1.163065960376606923e-13, 2.913776685026333580e-12
2.039000000000000000e+03, 2.099936081718145949e-10, 4.235952722533520065e-10, 4.462028629395813058e-10, 4.704383258143916397e-10, 8.989672951548670494e-11, 4.770800237577247404e-11, 5.491951780944518987e-10, 1.128582260147072471e-13, 2.935146452497820533e-12
2.040000000000000000e+03, 1.996348863691713563e-10, 4.040600094592179997e-10, 4.524169721705543124e-10, 4.717215413089731343e-10, 8.966654759263068314e-11, 4.802753854686159630e-11, 6.273218272871105775e-10, 1.145611346011798431e-13, 2.956051886932494717e-12
2.041000000000000000e+03, 1.923239292084593382e-10, 3.965251051801390879e-10, 4.525598610143786507e-10, 4.785746420490004339e-10, 8.944885945804789653e-11, 5.663853493240721276e-11, 6.286722394927262285e-10, 1.261654702202524657e-13, 2.959104766965881187e-12
2.042000000000000000e+03, 2.126121529925276884e-10, 3.828331752305932834e-10, 4.574946356767482105e-10, 4.840703381787581150e-10, 8.936808059814648954e-11, 5.496933966819271667e-11, 5.987795359994771341e-10, 1.371643130460596752e-13, 3.113682718387833702e-12
2.043000000000000000e+03, 2.143862816729211616e-10, 4.571249275984875860e-10, 4.477304948233559382e-10, 4.886553789611255070e-10, 8.937938934982023414e-11, 5.946866158266213168e-11, 5.652328534994391767e-10, 1.456237035504303199e-13, 3.275347969026485132e-12
2.044000000000000000e+03, 2.049125536703650177e-10, 5.450713220277639411e-10, 4.543720815487292422e-10, 4.766273354370465176e-10, 8.935897668090667731e-11, 5.739595213567786654e-11, 5.699679601784061682e-10, 1.482182143092268656e-13, 3.450085039084518845e-12
2.045000000000000000e+03, 2.121639339075539362e-10, 3.818622707993401869e-10, 4.525563248488454646e-10, 4.750787677549456647e-10, 8.932725148049206640e-11, 6.129045456691837174e-11, 4.997057551622001251e-10, 1.455589884983002534e-13, 1.796243374370749367e-12
2.046000000000000000e+03, 2.190017624882607427e-10, 4.451819103575347433e-10, 4.502777757280919069e-10, 4.765381716456705619e-10, 8.928509927768984765e-11, 5.550521487695934077e-11, 6.063275225877096725e-10, 1.542255358734634404e-13, 1.952093676312735750e-12
2.047000000000000000e+03, 1.964781811347118490e-10, 3.725761123481237161e-10, 4.537425337890689478e-10, 4.786249552472703362e-10, 8.921383807875914931e-11, 5.309312689808346756e-11, 6.379709220012824118e-10, 1.486922806606412601e-13, 2.008362221849737778e-12
2.048000000000000000e+03, 2.073641670848035419e-10, 4.223216299710256396e-10, 4.554179891406128573e-10, 4.760306918955271098e-10, 8.913134601956735319e-11, 5.205297824420084595e-11, 6.388962480009866109e-10, 1.305700542914147563e-13, 2.063559748524326752e-12
2.049000000000000000e+03, 2.286687234938574475e-10, 3.635251708932116758e-10, 4.609167783410229250e-10, 4.717523616916738092e-10, 8.902188051889289871e-11, 5.152066394240406240e-11, 6.648785365773007399e-10, 1.193844008149420177e-13, 2.115279020910994294e-12
2.050000000000000000e+03, 2.129417889207343925e-10, 3.904856547977758400e-10, 4.644406235720130280e-10, 5.112251915918489928e-10, 8.906894315672587153e-11, 5.181205527597766100e-11, 5.829299405004858505e-10, 1.240872098498651177e-13, 2.160789222870822241e-12
2.051000000000000000e+03, 2.120878684803365939e-10, 4.293022651244088580e-10, 4.574909881541023168e-10, 5.220315726991325969e-10, 8.937967441699709976e-11, 4.786292748601804663e-11, 6.015010992720093860e-10, 1.425003162450509108e-13, 1.801660053877062626e-12
2.052000000000000000e+03, 1.995762575258433181e-10, 4.650713268843557300e-10, 4.646572238773244895e-10, 5.270632152564971160e-10, 8.973667410636536918e-11, 4.596431262197702277e-11, 6.386963657008410951e-10, 1.542982346774472510e-13, 2.252453712966182799e-12
2.053000000000000000e+03, 1.851827347057981540e-10, 4.263629437990182285e-10, 4.645193737085367876e-10, 5.285638183775976634e-10, 9.001330240167987572e-11, 4.494478915387100079e-11, 6.370721665578810300e-10, 1.510339393426876826e-13, 2.677942026204112192e-12
2.054000000000000000e+03, 1.958050742717684391e-10, 4.354892941868352652e-10, 4.651709941958361990e-10, 5.327881643638468981e-10, 9.022001500748147570e-11, 4.442398588887121915e-11, 5.593841218125292590e-10, 1.534041631480660583e-13, 3.134364233213680532e-12
2.055000000000000000e+03, 1.873424477835967181e-10, 5.535033274354006965e-10, 4.704829959397004569e-10, 5.436896671807603222e-10, 9.021193330280368262e-11, 4.388668600512200210e-11, 7.057486180535160357e-10, 1.567330308951994833e-13, 3.602014707262898823e-12
2.056000000000000000e+03, 2.035745885859350284e-10, 5.245945819807114567e-10, 4.745480625185361692e-10, 5.465109192691821769e-10, 9.003475902024719609e-11, 5.076367066862267770e-11, 6.824687384954272182e-10, 1.539152807130105595e-13, 4.187888925565208338e-12
2.057000000000000000e+03, 2.034629524514822213e-10, 5.171412628228288691e-10, 4.814897655017390631e-10, 5.533529295844835832e-10, 8.991053013628986936e-11, 5.335199297881993263e-11, 6.854808527983201211e-10, 1.544577927991710006e-13, 4.452211167290389057e-12
2.058000000000000000e+03, 1.943759529072252207e-10, 4.787333042887467848e-10, 4.766592778613117919e-10, 5.564812500531180346e-10, 8.978230100255476288e-11, 5.445983851395244864e-11, 6.248314263095043974e-10, 1.512898347537884742e-13, 4.710285233623688865e-12
2.059000000000000000e+03, 1.989621338601888549e-10, 5.486403663028250284e-10, 4.697872288482828848e-10, 5.562360387859405768e-10, 8.964327983345543617e-11, 5.471277868717788211e-11, 4.842899498930332158e-10, 1.469234521700146747e-13, 4.960746753312748072e-12
2.060000000000000000e+03, 2.093389325682198844e-10, 4.061165767644032682e-10, 4.811939503771920719e-10, 5.488133650147436543e-10, 8.950416618784443440e-11, 5.498771460714971098e-11, 5.691582071843487618e-10, 1.445741966396554616e-13, 5.214967654836036123e-12
2.061000000000000000e+03, 2.198093048889267763e-10, 4.604823556515869108e-10, 4.897613214939097542e-10, 5.515983429815836704e-10, 8.933498070884603697e-11, 6.531744083320451256e-11, 5.911703182433550128e-10, 1.610417510871139047e-13, 5.044354049887086538e-12
2.062000000000000000e+03, 2.188656766748064225e-10, 4.204823051926838244e-10, 4.805049393609975259e-10, 5.424462236391885888e-10, 8.916393356034622944e-11, 6.912956876237056637e-11, 5.727113213506839564e-10, 1.692295230180651350e-13, 4.854083379525407168e-12
2.063000000000000000e+03, 2.162315684043971370e-10, 5.661475334945930489e-10, 4.688268513221873618e-10, 5.377690835029668243e-10, 8.924449587073915236e-11, 7.217736247475982676e-11, 6.825443266190409602e-10, 1.643457595435823039e-13, 4.657646610158596324e-12
2.064000000000000000e+03, 2.037864809618038811e-10, 5.183066244578989153e-10, 4.859362617721042497e-10, 5.371049035538515795e-10, 8.953092884808454516e-11, 7.342381437544994671e-11, 5.344261711684197916e-10, 1.837713749281774782e-13, 4.560985770131356602e-12
2.065000000000000000e+03, 2.074941541215795035e-10, 5.501931987398686357e-10, 4.879512805901989195e-10, 5.319783326806980424e-10, 8.974453698105015195e-11, 7.536944851434856779e-11, 6.528149920647613451e-10, 1.828078240279412953e-13, 4.563702994326811805e-12
2.066000000000000000e+03, 2.089214948765576443e-10, 5.035424458353317889e-10, 4.738734011593183267e-10, 5.258321301722683340e-10, 8.981733745027082976e-11, 8.756746438805538056e-11, 6.085519358064434729e-10, 1.567761018195897546e-13, 4.844908235902037704e-12
2.067000000000000000e+03, 2.153822013864005251e-10, 4.750535969944495203e-10, 4.712505344923007413e-10, 5.136892268526326672e-10, 8.983985737563103798e-11, 9.218255101010918531e-11, 6.205806290389884461e-10, 1.517250406665350695e-13, 4.874385643135775888e-12
2.068000000000000000e+03, 2.273144387942936217e-10, 4.446224995762126059e-10, 4.751398276983725747e-10, 4.822426146208227312e-10, 8.997550606717068414e-11, 9.480701644016577412e-11, 5.656008384259660877e-10, 1.572334726072040187e-13, 4.919984822646511378e-12
2.069000000000000000e+03, 2.025956446152297424e-10, 5.700043256643007157e-10, 4.782476676018686145e-10, 4.719819208244391598e-10, 8.980870910138532639e-11, 9.678547402880725697e-11, 6.870653675991174113e-10, 1.719308003151302546e-13, 4.938749991424777052e-12
2.070000000000000000e+03, 2.184238427533467699e-10, 5.227119554565683051e-10, 4.847734111952345881e-10, 4.829326692711051008e-10, 8.904596149420687009e-11, 9.998365156595788726e-11, 6.477075760263617565e-10, 1.715180169165471319e-13, 4.939097000114689836e-12
2.071000000000000000e+03, 2.189856176339342977e-10, 5.897487740705779795e-10, 4.865561137210708107e-10, 4.902283971604691568e-10, 8.805591403395082453e-11, 9.735475913435963765e-11, 6.794526017679388797e-10, 1.651892021377182824e-13, 4.952961058059966838e-12
2.072000000000000000e+03, 2.064548324805580403e-10, 4.914916573301276216e-10, 4.927642873991496063e-10, 4.611520199923921693e-10, 8.687051585605086993e-11, 9.731340508662879568e-11, 7.757218732142154541e-10, 1.541286225643988310e-13, 5.296653375171399237e-12
2.073000000000000000e+03, 1.987204270170473207e-10, 4.413413577673298295e-10, 4.912204136549756553e-10, 4.363297907762384640e-10, 8.548147495381624794e-11, 9.625794571639256026e-11, 6.936102209917920301e-10, 1.395368185197648338e-13, 5.584670100909187340e-12
2.074000000000000000e+03, 1.892972049015475067e-10, 4.645841826467357215e-10, 4.850452327087938337e-10, 4.507567425948225243e-10, 8.433537638126665609e-11, 9.850387919308977119e-11, 5.779110240155556428e-10, 1.404747326446540646e-13, 5.766052730104688283e-12
