year, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CanESM5, UKESM1-0-LL, TaiESM1, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5
2.025000000000000000e+03, 5.608548224395403459e+00, 6.943274387113162582e+00, 5.290697098036947210e+00, 4.522224411516057252e+00, 4.964671412863324917e+00, 5.184160632424549497e+00, 6.305793243946859583e+00, 6.255866142913227179e+00, 2.776448872413800562e+00, 4.692482441365102730e+00, 6.799702274698769422e+00, 4.188068342697806479e+00, 6.579541497903056424e+00, 5.003780990492344039e+00, 5.039262560560517024e+00, 5.141039723375637749e+00
2.026000000000000000e+03, 5.709154441493017096e+00, 7.607320506611106481e+00, 4.880991549001384655e+00, 4.094914679450187833e+00, 4.569076421204030680e+00, 5.163820245298486711e+00, 6.499161496970915941e+00, 6.492824804777382219e+00, 2.958005052891765185e+00, 4.827788373649771536e+00, 7.022259097639421910e+00, 3.894342300587846140e+00, 6.465164709053828673e+00, 4.402849426628241858e+00, 5.079020446647264819e+00, 5.058637276841353447e+00
2.027000000000000000e+03, 5.562375625104391652e+00, 7.554395008841243708e+00, 5.160652188581283717e+00, 4.605917269290513261e+00, 4.645537107919688324e+00, 5.426300080274808479e+00, 6.091513557122823386e+00, 6.139216087763503360e+00, 2.761112862110851385e+00, 4.844138957149861646e+00, 7.107648411669908128e+00, 4.112692550933594759e+00, 6.735017451910685793e+00, 5.222123810627651075e+00, 5.187739068654718011e+00, 5.302784219488829720e+00
2.028000000000000000e+03, 5.834596222539227384e+00, 7.649025276691414632e+00, 5.075104614303211470e+00, 4.543572027754831488e+00, 5.064588616185493386e+00, 5.535787163173015557e+00, 6.625156487213734735e+00, 6.712659838538141521e+00, 2.816419386661754842e+00, 4.407326760437753066e+00, 7.146661668366419029e+00, 4.240582539599232703e+00, 6.981378336794879402e+00, 4.882211207893936589e+00, 5.337741158188324064e+00, 5.199058461457823910e+00
2.029000000000000000e+03, 6.350056626657934800e+00, 8.087768057573448743e+00, 4.826511908517000293e+00, 4.298671998457600729e+00, 4.829898337144442166e+00, 5.413051500712942499e+00, 6.830205041954718226e+00, 6.653676224176141574e+00, 2.987151557212745612e+00, 4.743410970273024496e+00, 7.033868841407622696e+00, 4.391567293275396189e+00, 7.010814138352361446e+00, 5.057825829322948330e+00, 5.484692060525414803e+00, 5.242002678011879802e+00
2.030000000000000000e+03, 5.866645636458625468e+00, 8.065182134000357550e+00, 5.210565054101174987e+00, 4.562926673816327217e+00, 5.110845540620495342e+00, 4.901947878634911326e+00, 6.936481296126866702e+00, 6.476631702246835154e+00, 2.884251481569005904e+00, 5.132160367379802857e+00, 7.100239894392107232e+00, 4.295628460847475516e+00, 6.770364871363929282e+00, 4.958036022471698168e+00, 5.167024684150854696e+00, 5.187007662533689611e+00
2.031000000000000000e+03, 6.267763624245023202e+00, 7.648330470991017371e+00, 5.352433137635598470e+00, 5.027955551696368985e+00, 5.031817747514105932e+00, 5.420730415965493876e+00, 6.480135904029071803e+00, 6.265755908069520430e+00, 2.845933120253020476e+00, 4.865877365970399104e+00, 7.010938261793512538e+00, 4.088178875308210003e+00, 7.024260214486464982e+00, 4.657340367097241085e+00, 5.473440016784070217e+00, 5.283097592331063908e+00
2.032000000000000000e+03, 6.300029084774852350e+00, 7.673177966065519939e+00, 5.377051056797823136e+00, 4.035182266039210042e+00, 4.664420872120381034e+00, 5.265979408728196809e+00, 6.497589008720814796e+00, 6.683107135061244541e+00, 3.010437435106064097e+00, 4.859689540500142790e+00, 7.290454701721139408e+00, 4.250970869984356248e+00, 6.659575548890263264e+00, 4.983299103848469969e+00, 5.683192172809769183e+00, 5.491126545246102886e+00
2.033000000000000000e+03, 6.035276448705648278e+00, 7.509060243500481846e+00, 5.480330369664252466e+00, 5.186995721864362530e+00, 4.798770002405017721e+00, 5.264431574832750371e+00, 6.870248876589323928e+00, 6.845749175646650642e+00, 2.820843274214878349e+00, 4.944043536450267062e+00, 7.118144429827262698e+00, 4.257172500810809446e+00, 6.615545779785035663e+00, 5.145686933220235737e+00, 5.340893181971564374e+00, 5.276588988148791515e+00
2.034000000000000000e+03, 6.002607188382278025e+00, 7.664274619318879544e+00, 5.516535450615826619e+00, 4.565723888542892794e+00, 4.600737254917946828e+00, 5.499832007313820270e+00, 6.681428748566262676e+00, 6.423715157541378673e+00, 2.854699449382052556e+00, 5.089758999936644379e+00, 7.135245825203771375e+00, 4.623390498830799444e+00, 6.761309725475167731e+00, 5.013079445837242076e+00, 5.370038528246418252e+00, 5.126741632068690713e+00
2.035000000000000000e+03, 6.139908908166596291e+00, 7.536465622189045810e+00, 5.649283142160707705e+00, 4.946514157517293953e+00, 4.870798123614385133e+00, 5.234183773934596218e+00, 6.498034163860721080e+00, 6.819074414437779730e+00, 2.943332780447097008e+00, 4.735225976501910239e+00, 6.728472812921637569e+00, 4.476218003137645951e+00, 6.645701639319216092e+00, 5.089429813154590754e+00, 5.499125450569488649e+00, 5.367931759195035291e+00
2.036000000000000000e+03, 6.158940261633286006e+00, 8.106754850757823760e+00, 5.650962745412408950e+00, 5.000608007986533821e+00, 4.824424591815903440e+00, 5.589422084457753570e+00, 7.271858791317228565e+00, 6.598618106231901592e+00, 2.918531439382932913e+00, 4.763745767841699674e+00, 6.853585830692741077e+00, 4.374999924832720488e+00, 6.944656980572823990e+00, 5.035188949827551497e+00, 5.822860013140770619e+00, 5.377817485717699242e+00
2.037000000000000000e+03, 6.456062390382478533e+00, 7.711136552582760650e+00, 5.514948553631535688e+00, 5.096030126674570226e+00, 4.547941540835290120e+00, 5.363503293579372944e+00, 7.257859655911715890e+00, 6.625502996837061787e+00, 2.833249638173085394e+00, 4.942378934176788086e+00, 7.084700319969686078e+00, 4.513517780350985831e+00, 6.486381471019077694e+00, 4.967967764272626319e+00, 5.675582493541343254e+00, 5.364857049599558003e+00
2.038000000000000000e+03, 6.160028531157938581e+00, 7.698167238055621198e+00, 5.395873456961071568e+00, 4.717537272120770453e+00, 4.950632019716643129e+00, 5.335367705490734025e+00, 7.450075856235543803e+00, 6.796899334799562098e+00, 2.884879923099973986e+00, 4.742991947920230267e+00, 6.905033306794172709e+00, 4.329231652541768227e+00, 6.777328916695081418e+00, 4.894275715475468580e+00, 5.392709010478988318e+00, 5.125253655100116212e+00
