year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM
2.025000000000000000e+03, 8.666377639530802159e-11, 4.923585869010834014e-10, 4.293634764023072212e-10, 2.488873111583480747e-10, 1.045114204420097265e-10, 3.259697815058935388e-10, 1.092543514721001080e-10, 5.742553716358710037e-11, 1.126061105140747235e-10
2.026000000000000000e+03, 9.006876635957014288e-11, 4.789242238447089321e-10, 4.242162916640471745e-10, 2.338885718078952474e-10, 1.047003337076393035e-10, 3.184738812003082455e-10, 1.211484074219011525e-10, 5.767981333750024626e-11, 1.126984486785693226e-10
2.027000000000000000e+03, 8.941462787388291342e-11, 5.281131925900442484e-10, 4.261713682212843604e-10, 2.231551152100778315e-10, 1.048617215551920775e-10, 3.463769213685487419e-10, 1.540500771314736760e-10, 5.797402964825930110e-11, 1.124948163294348818e-10
2.028000000000000000e+03, 9.999033391020619135e-11, 6.050439942475914721e-10, 4.346703916585709432e-10, 3.013925386856682438e-10, 1.048156723750990096e-10, 3.132977781056583549e-10, 1.738502854371548489e-10, 5.833666463926229193e-11, 1.125906729373593084e-10
2.029000000000000000e+03, 1.315263937552993563e-10, 6.074755607554479506e-10, 4.353951592804304811e-10, 2.699365989503427017e-10, 1.049845698670259187e-10, 3.635942438844631107e-10, 1.936681264487236710e-10, 5.868869002670804600e-11, 1.126297899049238972e-10
2.030000000000000000e+03, 1.199101573707936708e-10, 6.347843534173534900e-10, 4.341539871224029840e-10, 2.345578837100887135e-10, 1.052667157140358748e-10, 3.591387541593618813e-10, 2.613747202121601776e-10, 5.906751461167749211e-11, 1.125947401461254539e-10
2.031000000000000000e+03, 1.150793798664822658e-10, 4.742397049675333028e-10, 4.475496640925186861e-10, 2.410473778026811144e-10, 1.055215562232724305e-10, 3.439937159389562088e-10, 1.736921096169760465e-10, 5.780880895768795003e-11, 1.123072525178386006e-10
2.032000000000000000e+03, 1.129077693185006853e-10, 4.993713099218267245e-10, 4.474388957448292994e-10, 2.755347365286478444e-10, 1.071149074971305603e-10, 3.545161362721451354e-10, 2.577385619368973543e-10, 5.741468312510532988e-11, 1.127526240707021394e-10
2.033000000000000000e+03, 9.811187830164369795e-11, 5.015567396738767311e-10, 4.374859082241559126e-10, 2.388773810161607442e-10, 1.086772646215844097e-10, 3.307113695206107236e-10, 2.010412781085702591e-10, 5.780874441007960696e-11, 1.159581111118560617e-10
2.034000000000000000e+03, 7.155172471906380365e-11, 6.162244475881657478e-10, 4.222538281732487162e-10, 2.397323606364450427e-10, 1.085691132228015937e-10, 3.574254326098846858e-10, 1.327254537153371041e-10, 5.810073784706941162e-11, 1.157848833795014769e-10
2.035000000000000000e+03, 6.204234059401802399e-11, 5.242905807408421418e-10, 4.346060656887276473e-10, 2.974456709026480601e-10, 1.086226156889220255e-10, 3.538859299658019963e-10, 1.430823128625113080e-10, 5.831942039903774352e-11, 1.156202998797423653e-10
2.036000000000000000e+03, 7.318393612626914331e-11, 5.403148032333796847e-10, 4.334865015324142166e-10, 2.438064874517945256e-10, 1.085799097081994644e-10, 3.575852839518093827e-10, 2.377051844316208381e-10, 5.852827902363961882e-11, 1.152647656244249076e-10
2.037000000000000000e+03, 7.913445307047642881e-11, 5.475881395876630324e-10, 4.407523260168927487e-10, 2.875182861974507123e-10, 1.084552602368244170e-10, 3.292485123733783628e-10, 2.401250436314115090e-10, 5.877884344416056285e-11, 1.151070633027225987e-10
2.038000000000000000e+03, 7.173666248132360435e-11, 4.799286972190348231e-10, 4.344396400253568599e-10, 2.783128736088860372e-10, 1.085631765232134598e-10, 3.204214942691605000e-10, 2.355042138826415572e-10, 5.906488050634201691e-11, 1.148959277828926450e-10
2.039000000000000000e+03, 9.148049737572317952e-11, 5.401745969259928663e-10, 4.345517145150433964e-10, 2.263796807824886327e-10, 1.089284358672936380e-10, 3.773003816377807693e-10, 1.846088743808169248e-10, 5.936510780149073215e-11, 1.151713975000950195e-10
2.040000000000000000e+03, 8.152083633982640844e-11, 6.180345190051590367e-10, 4.400865489486248661e-10, 2.605604297013790932e-10, 1.078818503443146683e-10, 3.695459365922470620e-10, 1.738020608919511651e-10, 5.964741771979365758e-11, 1.150363921321187437e-10
2.041000000000000000e+03, 7.469149635470382281e-11, 6.183228351069483579e-10, 4.396428232475941577e-10, 2.646963597051765381e-10, 1.078037104539817566e-10, 3.320368552753142182e-10, 1.686362097417572582e-10, 6.097922777789010120e-11, 1.123795244558799026e-10
