year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, TaiESM1, CanESM5
2.045000000000000000e+03, 1.344933036265696913e+01, 1.049052460714837132e+01, 1.125664365099889785e+01, 1.178293934428779011e+01, 1.327176164036635164e+01, 1.142309615038275616e+01, 1.093514265167165256e+01, 1.049700043023086415e+01, 1.185463031547291024e+01, 9.466361792150348009e+00, 1.003407848573501049e+01, 1.367539156384624377e+01, 1.015381867422736129e+01, 1.005536923789860815e+01, 8.053455967198999588e+00, 1.172066065135505220e+01
2.046000000000000000e+03, 1.287553952753852826e+01, 1.127137818275650183e+01, 1.073766883615311762e+01, 1.233958520368723732e+01, 1.366183876934132257e+01, 1.168999693702772547e+01, 1.081643051962516644e+01, 1.041141539996339027e+01, 1.218880241026520395e+01, 9.505059822849275974e+00, 1.024199205949405034e+01, 1.284889813984910489e+01, 1.071268548120503183e+01, 1.018951688071707018e+01, 8.414380871003031004e+00, 1.246870427405939452e+01
2.047000000000000000e+03, 1.323533036926651896e+01, 1.095118564898721836e+01, 1.018252646709330556e+01, 1.177895068645480059e+01, 1.355886204786633265e+01, 1.220202843152531536e+01, 1.167814813203646196e+01, 1.036126748471804859e+01, 1.214180025502273352e+01, 9.601081938483728706e+00, 9.910131428512805485e+00, 1.288087700002378000e+01, 1.081511207421392484e+01, 1.074115928663842112e+01, 8.352983961448964934e+00, 1.168618931356473212e+01
2.048000000000000000e+03, 1.293101489968718276e+01, 1.125435206445805747e+01, 1.052476290791179458e+01, 1.330416709505308503e+01, 1.352864583801142828e+01, 1.187278908084731910e+01, 1.192056965317467565e+01, 1.047176579989623768e+01, 1.132083670972131451e+01, 9.946006226181070886e+00, 9.796114606312450235e+00, 1.220786368727121385e+01, 1.115154877702626379e+01, 1.026623252870357561e+01, 8.047736864044166438e+00, 1.327973039529410215e+01
2.049000000000000000e+03, 1.324256329290402689e+01, 1.075099987577155858e+01, 1.086915862688668355e+01, 1.172942389392534501e+01, 1.268276164890673385e+01, 1.181632790430562530e+01, 1.104898540437116417e+01, 1.074884177960917953e+01, 1.209772211610398074e+01, 9.907286840642289150e+00, 1.007150955873259868e+01, 1.340057694797342336e+01, 1.139532757693430653e+01, 1.086266427792427613e+01, 8.272875506374495203e+00, 1.288572000421717512e+01
2.050000000000000000e+03, 1.323392568183151496e+01, 1.074381113822134282e+01, 1.106075862456658498e+01, 1.219166764353519028e+01, 1.400183699241982538e+01, 1.134914224924851212e+01, 1.109852836597248249e+01, 1.066625228257838387e+01, 1.240851786858033101e+01, 9.630137941637848087e+00, 1.003377126957866139e+01, 1.242736813228402326e+01, 1.097581839656259284e+01, 9.249237476489611254e+00, 7.972161008677791649e+00, 1.295711680088169970e+01
2.051000000000000000e+03, 1.316336365448627532e+01, 1.071873603035890632e+01, 1.145671842956967090e+01, 1.294865889728081854e+01, 1.341675643944507890e+01, 1.172600769592620473e+01, 1.082572453751094699e+01, 1.079702155469965774e+01, 1.125273279714889618e+01, 9.759906995684936248e+00, 9.959128594392529621e+00, 1.293608004404500100e+01, 1.061018059108504907e+01, 9.822990232554097645e+00, 8.121402304051594356e+00, 1.302007885738950144e+01
2.052000000000000000e+03, 1.322506311333135720e+01, 1.177304832295306625e+01, 1.102196313526654592e+01, 1.305824805606527050e+01, 1.404322496051710623e+01, 1.139077245145147188e+01, 1.162648630791094284e+01, 1.058934830416950845e+01, 1.214133344221837341e+01, 1.001599490180925756e+01, 1.047505712657661547e+01, 1.238566107838297903e+01, 1.046468935826046653e+01, 9.471446482825475854e+00, 8.245636165347216107e+00, 1.293944322050368534e+01
2.053000000000000000e+03, 1.359179532784370714e+01, 1.052495281435296803e+01, 9.990140693613469125e+00, 1.195536325800782151e+01, 1.320906944565059327e+01, 1.197815401768009202e+01, 1.145311786304121604e+01, 1.059858817734721370e+01, 1.189663606872780477e+01, 9.844349671471590568e+00, 1.016909117682279096e+01, 1.354797546649978912e+01, 1.088008821083929334e+01, 9.979044124123706894e+00, 7.977201370741577868e+00, 1.354811330693944704e+01
2.054000000000000000e+03, 1.337212412010665474e+01, 1.080562991583900434e+01, 1.074560774035926514e+01, 1.260771596765879821e+01, 1.330008522200841448e+01, 1.234620152453674535e+01, 1.118225952371705034e+01, 1.067433357410971695e+01, 1.192516252456146475e+01, 9.965939285540418524e+00, 1.025040671913701296e+01, 1.311619109272255379e+01, 1.073172450480955931e+01, 9.903133211572164640e+00, 8.339021645776860225e+00, 1.363675496873221249e+01
2.055000000000000000e+03, 1.335439857981444334e+01, 1.042355766497116321e+01, 1.177783837341816664e+01, 1.240133667820308361e+01, 1.336452790772742993e+01, 1.205178048892132026e+01, 1.134918480472910218e+01, 1.058275273433526564e+01, 1.263613846560193466e+01, 9.934082374624548351e+00, 1.004013655980873665e+01, 1.291635379361469482e+01, 1.127231331711437434e+01, 9.569357338272331148e+00, 8.098330256700039698e+00, 1.303057920041040951e+01
2.056000000000000000e+03, 1.307649418711182498e+01, 1.075608494767224244e+01, 1.112501845725694949e+01, 1.181201725934313806e+01, 1.377805132446315639e+01, 1.138381622891101763e+01, 1.126584535120377417e+01, 1.082164822237693436e+01, 1.298909848629624619e+01, 9.936747781407490265e+00, 9.999007970221233776e+00, 1.266482882149911582e+01, 1.070959823640638575e+01, 1.058852846130115211e+01, 8.125922432699873355e+00, 1.315714832186078453e+01
2.057000000000000000e+03, 1.309066066895960390e+01, 1.141642260149454913e+01, 1.037025867912369925e+01, 1.274459653151487970e+01, 1.352646179406019655e+01, 1.157748375903733695e+01, 1.108171760594486521e+01, 1.043722889437223778e+01, 1.234526801477998070e+01, 9.643888472333989270e+00, 1.015749782918182298e+01, 1.281005631597069616e+01, 1.138032682051934508e+01, 1.169389058873721687e+01, 8.187566458801413205e+00, 1.416161839567402048e+01
2.058000000000000000e+03, 1.346944101740934840e+01, 1.141860829999269278e+01, 1.084841109495708267e+01, 1.220282272451288463e+01, 1.345732694416891384e+01, 1.222152409848929544e+01, 1.172157999826143104e+01, 1.063273059154338895e+01, 1.279257679180070362e+01, 1.001283050709560385e+01, 1.071518698103472111e+01, 1.356400135560127396e+01, 1.129736751151185992e+01, 1.108844185917598679e+01, 8.098671520697049431e+00, 1.295882883540678598e+01
2.059000000000000000e+03, 1.270540532754503893e+01, 1.074129098292922890e+01, 1.132775935892921382e+01, 1.243799290296670534e+01, 1.428281360340373851e+01, 1.237448632152591088e+01, 1.174363062284893111e+01, 1.059569795775101397e+01, 1.252828478175359272e+01, 1.022827433699793609e+01, 9.654837140111027338e+00, 1.220067818174067398e+01, 9.951383310331845422e+00, 1.032324597460555715e+01, 8.318108070290950451e+00, 1.319221119396084241e+01
2.060000000000000000e+03, 1.379420744350746553e+01, 1.079895053194849552e+01, 1.133098644645345665e+01, 1.200360569771046038e+01, 1.428688619629734191e+01, 1.188997699641353911e+01, 1.132697750915212609e+01, 1.061382346214479178e+01, 1.329679453110427012e+01, 9.933239305172220313e+00, 1.001783677923003602e+01, 1.209358899627226513e+01, 1.068876284449347658e+01, 1.034107958836099783e+01, 8.621023199598569775e+00, 1.386365056858852007e+01
2.061000000000000000e+03, 1.314849770151162822e+01, 1.154620576547357302e+01, 1.062302461815797550e+01, 1.212319148201344809e+01, 1.453051615067979085e+01, 1.262744046734832182e+01, 1.170955217069846555e+01, 1.085405242705526696e+01, 1.258350877205242746e+01, 1.002023748197493624e+01, 1.012422288303311291e+01, 1.300981513489371011e+01, 1.073788433047634250e+01, 1.072176701553366129e+01, 8.251586216568483678e+00, 1.379390967293894832e+01
2.062000000000000000e+03, 1.311217868417969612e+01, 1.133119029694696778e+01, 1.138006382184431864e+01, 1.275301883023205285e+01, 1.363751482085574729e+01, 1.282108598719999648e+01, 1.087662978400158664e+01, 1.069438051805216183e+01, 1.280722608426507847e+01, 9.467783653782317899e+00, 1.030299290126307987e+01, 1.306242580082249738e+01, 1.050736684157297951e+01, 1.010452727390973315e+01, 8.047096056547161425e+00, 1.394258535232487972e+01
2.063000000000000000e+03, 1.360049752528448863e+01, 1.146262440447652509e+01, 1.156681797641608966e+01, 1.202498568204300611e+01, 1.328603052857565281e+01, 1.168683037945767111e+01, 1.146551454206853826e+01, 1.070641739018412686e+01, 1.291567345323586480e+01, 9.479343117215753622e+00, 1.082055096821000717e+01, 1.284290316324778480e+01, 1.144941950937654873e+01, 1.023941703289330540e+01, 8.651771700201242865e+00, 1.403240235985849438e+01
2.064000000000000000e+03, 1.326398734990771544e+01, 1.086401841649528599e+01, 1.045132199214302560e+01, 1.220587528663290300e+01, 1.462121017166642467e+01, 1.188120661829300850e+01, 1.092222966694005848e+01, 1.115794043870613095e+01, 1.304342687066835005e+01, 9.410104664095728211e+00, 1.079854282751741046e+01, 1.309103610259542805e+01, 1.134260977690105676e+01, 1.069909689553403354e+01, 8.306169021384995688e+00, 1.358565881516226881e+01
2.065000000000000000e+03, 1.311874165747542698e+01, 1.122662792709028778e+01, 1.110112174019604048e+01, 1.167598234461925699e+01, 1.314952979518363385e+01, 1.184620190068511114e+01, 1.223206681913923966e+01, 1.070251083437123185e+01, 1.295479800475640708e+01, 9.455238312030513015e+00, 1.071938652617019549e+01, 1.295606018099582890e+01, 1.070241773798351481e+01, 1.094645352830198171e+01, 8.373902590986304517e+00, 1.396153801372276426e+01
2.066000000000000000e+03, 1.305376661266628346e+01, 1.102948243062807343e+01, 1.170388681696991284e+01, 1.213894844838916853e+01, 1.264126831395061323e+01, 1.234566464962703414e+01, 1.170490345309445246e+01, 1.081837241035719899e+01, 1.242321978206443767e+01, 9.491736030844842631e+00, 1.004104429986774250e+01, 1.289414020810959727e+01, 1.104507931959706113e+01, 1.144943594885003080e+01, 8.133345637895653013e+00, 1.345787831008039603e+01
2.067000000000000000e+03, 1.272909620443533818e+01, 1.100758433441783879e+01, 1.137648160528576469e+01, 1.260788375182274379e+01, 1.322802102487714926e+01, 1.245593784296564621e+01, 1.098565508803143054e+01, 1.097164112574327355e+01, 1.293252627105363572e+01, 9.435210168335380843e+00, 1.027527918025151443e+01, 1.267805049268917372e+01, 1.096690512807557738e+01, 1.166376720804885636e+01, 8.687879737679129022e+00, 1.365085901008818325e+01
2.068000000000000000e+03, 1.397292283917361289e+01, 1.116617223490444921e+01, 1.150736809709850306e+01, 1.340166464832582882e+01, 1.400108878878245378e+01, 1.252860651579321249e+01, 1.173096099542468806e+01, 1.075239549875595202e+01, 1.264715221563569791e+01, 9.803126062804357943e+00, 1.006468122884393956e+01, 1.317972245730873482e+01, 1.055852677516302052e+01, 1.123480044633813790e+01, 8.670124401417794502e+00, 1.330991360825084158e+01
2.069000000000000000e+03, 1.380397828228243995e+01, 1.089713876246156765e+01, 1.106382505583163933e+01, 1.301344875623375152e+01, 1.394091358274561010e+01, 1.235940193077022720e+01, 1.137720294046451031e+01, 9.916625376724327978e+00, 1.254486094026025711e+01, 1.009761439481450651e+01, 9.770093794413600818e+00, 1.308220330820774180e+01, 1.111846227868751846e+01, 1.119908641132387572e+01, 8.024206325424026787e+00, 1.382325066416400716e+01
2.070000000000000000e+03, 1.287842688173687300e+01, 1.094220237430032938e+01, 1.108960940584122845e+01, 1.353703973070992461e+01, 1.403408465159255591e+01, 1.144919131437078619e+01, 1.064393831540519919e+01, 1.078294577236912843e+01, 1.283691637278396591e+01, 1.006888366883736197e+01, 1.044777665214565587e+01, 1.248568262464384127e+01, 1.108264675547085432e+01, 1.170917941382530714e+01, 8.211582232795931802e+00, 1.314218871303176961e+01
2.071000000000000000e+03, 1.332121530615570215e+01, 1.036933701738030500e+01, 1.076081317306099194e+01, 1.196320495817557727e+01, 1.381758353400590345e+01, 1.198699510585932870e+01, 1.132691925503685937e+01, 1.027111130700586905e+01, 1.260441581795125821e+01, 1.019238607533737273e+01, 9.969429215987283044e+00, 1.342547808037521584e+01, 1.065311887508034872e+01, 1.060869815862911381e+01, 8.380757019832596910e+00, 1.287140394430250012e+01
2.072000000000000000e+03, 1.286522936519050120e+01, 1.067820413416589354e+01, 1.134562534496569697e+01, 1.277234789324534781e+01, 1.394667301430583528e+01, 1.163347003176338212e+01, 1.131162887783242077e+01, 1.038284389337520253e+01, 1.249979349302544307e+01, 9.903825016330291220e+00, 1.039715567570963017e+01, 1.264414569441573555e+01, 1.170102458307514404e+01, 1.002181995087512334e+01, 8.314963417351298958e+00, 1.341735857707878665e+01
2.073000000000000000e+03, 1.287738597236984894e+01, 1.138406373403967464e+01, 1.097367027937221451e+01, 1.234143917049762251e+01, 1.407200928022040465e+01, 1.180280470770113865e+01, 1.158458158606894095e+01, 1.049486883512515156e+01, 1.341159287943432332e+01, 9.666277400363348704e+00, 1.010417667895588600e+01, 1.280770006804142191e+01, 1.187711052500968023e+01, 1.096826548148182745e+01, 8.250704107823830569e+00, 1.373392237866449506e+01
2.074000000000000000e+03, 1.277495441135577003e+01, 1.198471952749304315e+01, 1.173763997027242212e+01, 1.303495018703381625e+01, 1.421136789248109089e+01, 1.176233678641096780e+01, 1.019032911864577606e+01, 1.040241872502056886e+01, 1.362860142354700876e+01, 9.453168173518703199e+00, 1.030547960911308181e+01, 1.287285906557220549e+01, 1.146826204277340011e+01, 1.070629466352341197e+01, 8.417347749772705612e+00, 1.361693063806390924e+01
