year, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CMCC-CM2-SR5, CNRM-ESM2-1, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR, CanESM5
2.025000000000000000e+03, 6.139699584222949369e+01, 2.386765148349210719e+01, 5.660732758001468312e+01, 5.121074958888939932e+01, 9.009581527684214564e+01, 3.992396266437329899e+01, 6.832787120861274843e+01, 2.654909138174854633e+01, 2.394028975928326375e+01, 6.558619855224507944e+01, 4.351035995524586752e+01, 6.256771538735267768e+01, 5.997250891927877348e+01, 5.689807245078518605e+01, 3.580773720975136598e+01, 5.607845106426263015e+01
2.026000000000000000e+03, 6.155011198475117595e+01, 2.401491258064092449e+01, 5.676996628448860349e+01, 5.154236126850170763e+01, 9.034737149232638842e+01, 3.987332807617108443e+01, 6.881477005593738738e+01, 2.690646181545182358e+01, 2.414555619556552202e+01, 6.597411706438917633e+01, 4.391820964872370325e+01, 6.269995676647142346e+01, 5.989515859770830986e+01, 5.697781253760012277e+01, 3.595728100067394450e+01, 5.650366737485477842e+01
2.027000000000000000e+03, 6.183513287083308541e+01, 2.412038720068388642e+01, 5.709325965213732701e+01, 5.200365910332671859e+01, 9.071162636070077667e+01, 3.991875955239728313e+01, 6.931220753530047318e+01, 2.705301825128437443e+01, 2.438082314756491087e+01, 6.634927399234253187e+01, 4.430973432031694159e+01, 6.292724555952417376e+01, 6.001674445446506923e+01, 5.723737016239216047e+01, 3.615833338283390219e+01, 5.677381495780612397e+01
2.028000000000000000e+03, 6.220476165222109444e+01, 2.433722323153294909e+01, 5.723689436409242148e+01, 5.250210988965553582e+01, 9.100412154096851225e+01, 3.983214259485693987e+01, 6.968540185419412580e+01, 2.717975903405281102e+01, 2.473665555776456060e+01, 6.677842231549912810e+01, 4.473555285096483658e+01, 6.321000111808906041e+01, 6.030240588287534109e+01, 5.758037306515772258e+01, 3.648351742336350156e+01, 5.716569237354159583e+01
2.029000000000000000e+03, 6.244353565881534252e+01, 2.476607620745507532e+01, 5.735264735121684510e+01, 5.313268295662825125e+01, 9.127567523250894510e+01, 4.009489189745630711e+01, 7.005264681119277270e+01, 2.735266153719984672e+01, 2.516120342297895718e+01, 6.750307187171749490e+01, 4.521319950271479371e+01, 6.333055169204740764e+01, 6.045180597924252908e+01, 5.785342993469996742e+01, 3.675853295250185937e+01, 5.780370051713350676e+01
2.030000000000000000e+03, 6.244009024882597458e+01, 2.511187869040094611e+01, 5.784817353690053920e+01, 5.391015556837157163e+01, 9.151295050801007847e+01, 4.042149885391942377e+01, 7.041309675802871482e+01, 2.746730083626720642e+01, 2.552594816342346817e+01, 6.801996986660142852e+01, 4.552064284159087748e+01, 6.351695801014454901e+01, 6.061437342083709723e+01, 5.812200324221204539e+01, 3.693983962723254422e+01, 5.853012715800000620e+01
2.031000000000000000e+03, 6.252519072195043748e+01, 2.552638519416474949e+01, 5.833985560180747854e+01, 5.431665458316206241e+01, 9.176630714588719684e+01, 4.063367248903409035e+01, 7.086578935611127861e+01, 2.750562377138577119e+01, 2.578944843559660072e+01, 6.847948962762252734e+01, 4.586212307237821051e+01, 6.393530155301349538e+01, 6.058031635620979216e+01, 5.864170715634180198e+01, 3.721888250158280442e+01, 5.907399416075209331e+01
2.032000000000000000e+03, 6.277352140708603656e+01, 2.582865557402591250e+01, 5.851434197938084480e+01, 5.461778209788905514e+01, 9.219395062866581725e+01, 4.135263544704730521e+01, 7.127346488153052917e+01, 2.773186477306377284e+01, 2.608150757055994973e+01, 6.908411387002585968e+01, 4.623082343715644527e+01, 6.439779856787943402e+01, 6.068389788555902697e+01, 5.887077139509690227e+01, 3.731925225363356446e+01, 5.940871030650541229e+01
2.033000000000000000e+03, 6.294490745993122971e+01, 2.601570305705139319e+01, 5.889403613891541767e+01, 5.482045392198786260e+01, 9.249853703718167708e+01, 4.143496912053601733e+01, 7.177867130620305147e+01, 2.787461891769425648e+01, 2.642901754057363206e+01, 6.949495522971922412e+01, 4.676098575828764581e+01, 6.484094624197594214e+01, 6.092790254233302250e+01, 5.926862361123844636e+01, 3.745076849314113332e+01, 5.991298044847285098e+01
2.034000000000000000e+03, 6.320082628137225811e+01, 2.613723140390315436e+01, 5.925219714489626455e+01, 5.496891369334110777e+01, 9.267942349749374387e+01, 4.139970953682781385e+01, 7.216230671402307451e+01, 2.791336992693447172e+01, 2.688891158540657500e+01, 6.985585666637376789e+01, 4.716003062705375015e+01, 6.526773526772008438e+01, 6.109193455154709795e+01, 5.969832640396472812e+01, 3.752250865169596494e+01, 6.034619517062484562e+01
