year, NorESM2-MM, CNRM-ESM2-1, CMCC-ESM2, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR
2.015000000000000000e+03, 1.701137703592834818e-10, 1.030187095822725485e-11, 7.985397324702731839e-11, 9.886193930355889279e-11, 7.347042114242175426e-12, 1.137358358488440908e-10, 3.753653220297306994e-11, 1.352003032011322645e-13, 1.700170701687597599e-10, 1.008538491565989335e-11
2.016000000000000000e+03, 1.577807634969552272e-10, 9.166778138635214088e-12, 8.055589848768780274e-11, 8.684095156115267823e-11, 6.775045557440560848e-12, 1.165506420065333017e-10, 4.199546233119298552e-11, 1.329726249201180147e-13, 1.987783698667192961e-10, 5.091794080057147587e-12
2.017000000000000000e+03, 1.614588493895084729e-10, 9.039106844122379342e-12, 8.212036532293275278e-11, 8.214426379647349577e-11, 6.265496140227711779e-12, 1.173971395446794980e-10, 2.214539890930574544e-11, 1.334288058403415890e-13, 2.066590649524208912e-10, 5.145849167098114314e-12
2.018000000000000000e+03, 1.669598879408763329e-10, 8.854797487795191556e-12, 8.408368301238782651e-11, 7.850465589980266865e-11, 5.786535932253788089e-12, 1.178545560498052995e-10, 2.113513578144965157e-11, 1.319607620291156335e-13, 1.896020556968521811e-10, 5.193708999288026823e-12
2.019000000000000000e+03, 1.582615299537383434e-10, 8.513295362034916321e-12, 8.598849412225685667e-11, 7.569423448184312468e-11, 5.351970309012903849e-12, 1.180887820085927626e-10, 2.079570180400126545e-11, 1.289870496274735790e-13, 1.906874267125880931e-10, 5.265767696998146586e-12
2.020000000000000000e+03, 1.497010279989884191e-10, 7.960243898586074740e-12, 8.658692657118446356e-11, 7.311861713532761254e-11, 4.738334491221109781e-12, 1.186829334396844465e-10, 2.119895232287099582e-11, 1.289460883441134643e-13, 1.833878320896591035e-10, 5.308575186674709658e-12
2.021000000000000000e+03, 1.486233508867023916e-10, 3.939661094415184703e-12, 8.808737359659209238e-11, 7.154332160920176136e-11, 4.279370274250548039e-12, 1.185948157531577140e-10, 2.162091320815040368e-11, 1.266737386605697315e-13, 1.980531563984872968e-10, 5.268590811111034842e-12
2.022000000000000000e+03, 1.524824837462351396e-10, 3.938664939780232536e-12, 8.891273999510841399e-11, 6.987849176713759786e-11, 4.027845711484851072e-12, 1.186807623557638008e-10, 2.127928227801723164e-11, 1.234679286677060040e-13, 1.996025266429303302e-10, 4.549261139647859476e-12
2.023000000000000000e+03, 1.658019874838571816e-10, 3.573677343149997653e-12, 8.914636724478079928e-11, 6.867144193640139062e-11, 3.812934990538312788e-12, 1.187265215879716002e-10, 2.155976573382762695e-11, 1.205440760651894029e-13, 2.306001268205484518e-10, 4.751493358031290334e-12
2.024000000000000000e+03, 1.657945888873091103e-10, 3.386865233943041541e-12, 8.934537588306026191e-11, 6.771321387652146245e-11, 3.654321190232177969e-12, 1.186913369334299992e-10, 2.177830271606434565e-11, 1.203223032778257611e-13, 2.161192522408873572e-10, 4.760940225985990239e-12
2.025000000000000000e+03, 1.605403441444454455e-10, 3.289964402838823242e-12, 8.986156987177154910e-11, 6.740202071368424396e-11, 3.677620814126963997e-12, 1.187075079375956647e-10, 2.196123339807015417e-11, 1.169185948390705602e-13, 1.855228537286475383e-10, 4.831229454121132445e-12
2.026000000000000000e+03, 1.643847061929815159e-10, 3.382742673512884065e-12, 8.986661197163981992e-11, 6.740917339993245308e-11, 3.733056422475874320e-12, 1.191136510251402003e-10, 2.246865229277339000e-11, 1.129423218125600047e-13, 1.789873290212159386e-10, 4.735951613744540035e-12
2.027000000000000000e+03, 1.702049371851471299e-10, 3.311105243733801210e-12, 9.006082336784463393e-11, 6.690150616753173275e-11, 3.686883124835520632e-12, 1.193323135435301706e-10, 2.252990743840523024e-11, 1.114083783638068254e-13, 1.900718232771894074e-10, 4.752707092720845540e-12
2.028000000000000000e+03, 1.716910709802856833e-10, 3.295676941090710459e-12, 9.039644562200470640e-11, 6.647410632113642886e-11, 3.648925786482633959e-12, 1.195218733998471205e-10, 2.255016016847259683e-11, 1.117876029519928585e-13, 1.854529063337283193e-10, 4.826421446178426353e-12
2.029000000000000000e+03, 1.838801199354856321e-10, 3.264702704573875766e-12, 9.013548461481995787e-11, 6.610384072989660185e-11, 3.605692235206924314e-12, 1.195044134907753393e-10, 2.304985853774311361e-11, 1.097754431637366955e-13, 2.127051818259175707e-10, 4.908942323508387380e-12
2.030000000000000000e+03, 1.902677179691677929e-10, 3.253805836127978244e-12, 9.251744078575003366e-11, 6.670418939648368873e-11, 5.119793928488900585e-12, 1.198267921704462498e-10, 2.377778700835553200e-11, 1.079708156609059163e-13, 2.559931358671080195e-10, 4.982779669210955191e-12
2.031000000000000000e+03, 1.822418231274755194e-10, 3.675294203105376358e-12, 9.307755306751225155e-11, 6.661699786449659444e-11, 6.170082375403121763e-12, 1.226560089108166009e-10, 2.479111803253847250e-11, 1.084430189671937699e-13, 2.491972103844041768e-10, 5.784522146913078784e-12
2.032000000000000000e+03, 1.825275138059140003e-10, 3.683412551418825798e-12, 9.383632780367941793e-11, 6.655200548324654550e-11, 6.351021117171024668e-12, 1.237287591550396608e-10, 2.520699640280272447e-11, 1.096053106770739615e-13, 2.136797610543517278e-10, 5.939305499785895013e-12
2.033000000000000000e+03, 1.818927496078620308e-10, 3.792617292320040902e-12, 9.516610213542872864e-11, 6.633292870574074272e-11, 6.462788605291661151e-12, 1.247560594333628411e-10, 2.490172606485453741e-11, 1.172708331495552134e-13, 2.144739857370699382e-10, 6.016413466163220423e-12
2.034000000000000000e+03, 1.730876620839395497e-10, 3.714083235812424438e-12, 9.447190306845232779e-11, 6.606772048120204614e-11, 6.542341007581963285e-12, 1.251357551017918177e-10, 2.496131574930407825e-11, 1.225831834938821671e-13, 2.001332119777443994e-10, 6.081127059898058025e-12
2.035000000000000000e+03, 1.667849625892885605e-10, 3.720127853592369259e-12, 9.369588807041412585e-11, 6.641734386898834940e-11, 8.934695670020119685e-12, 1.228834400560951386e-10, 2.534721136823400043e-11, 1.229438248703625277e-13, 2.044925338776261622e-10, 6.255084843657018325e-12
2.036000000000000000e+03, 1.725879165115047167e-10, 4.149661342135738535e-12, 9.420686118205526113e-11, 6.656308406420039280e-11, 1.063742406924463891e-11, 1.239290709444536511e-10, 2.599947383496894797e-11, 1.210917130606085043e-13, 2.327743539042684562e-10, 8.379067112918902467e-12
2.037000000000000000e+03, 1.841286687485500078e-10, 4.204928132346669703e-12, 9.419778251257956035e-11, 6.650706224455276407e-11, 1.112539912500323817e-11, 1.243208486732158713e-10, 2.651817542253979864e-11, 1.183624693795775937e-13, 2.334194223475488744e-10, 8.484204720513234264e-12
2.038000000000000000e+03, 1.854343420214142702e-10, 4.243170730147999333e-12, 9.422851446004733081e-11, 6.662343411583625664e-11, 1.139317077786265365e-11, 1.244459930463832233e-10, 2.664923705827781325e-11, 1.163065961177475680e-13, 2.320541992577709758e-10, 8.748164396130062031e-12
2.039000000000000000e+03, 1.746732146098863759e-10, 4.274945254650937862e-12, 9.437919309847322252e-11, 6.685914755635079196e-11, 1.164843494775187608e-11, 1.244952931344810336e-10, 2.816430777555389345e-11, 1.128582245957831748e-13, 2.342610721613154955e-10, 9.020582295674271946e-12
2.040000000000000000e+03, 1.789804142372995371e-10, 4.353488726623639152e-12, 9.473443975384699512e-11, 6.791427186506815168e-11, 1.232801723153632084e-11, 1.242976598956015281e-10, 2.899966051142030871e-11, 1.145611351739474116e-13, 2.129523729495598108e-10, 9.287306383825518993e-12
2.041000000000000000e+03, 1.925609098268370029e-10, 6.880284001993186731e-12, 9.398682955116291601e-11, 6.851524798682127745e-11, 1.291764711809961929e-11, 1.240966598881032986e-10, 2.947874937059844657e-11, 1.261654712351137908e-13, 2.139869503817475874e-10, 1.034940974079388396e-11
2.042000000000000000e+03, 1.851696517040730839e-10, 7.370792147679000235e-12, 9.435479572985271741e-11, 6.879786379547610926e-11, 1.322676317046302005e-11, 1.243188123827718857e-10, 3.193472923551029130e-11, 1.371643136547387670e-13, 2.325984318790561677e-10, 1.085090632931302206e-11
2.043000000000000000e+03, 1.804509924829325067e-10, 7.507347349590728562e-12, 9.471046943780831391e-11, 6.910569602930364018e-11, 1.337592823195154117e-11, 1.247608520480530849e-10, 3.199546646529588578e-11, 1.456237041730893648e-13, 2.252327176535810367e-10, 1.121579928270707635e-11
2.044000000000000000e+03, 1.826941547363028525e-10, 7.627107744036733507e-12, 9.503094122265345993e-11, 6.912217121299128752e-11, 1.376489326842392160e-11, 1.250914188652883151e-10, 3.266536310575454430e-11, 1.482182157482593053e-13, 2.127920793583349911e-10, 1.170918497620708718e-11
2.045000000000000000e+03, 1.922364947764463221e-10, 5.877310138992189602e-12, 9.616938733681652396e-11, 6.917990207392175360e-11, 1.361621811453673479e-11, 1.247917458077048345e-10, 3.138412929429778025e-11, 1.455589885713196169e-13, 1.920747911366224445e-10, 1.226013511744774358e-11
2.046000000000000000e+03, 1.841915079984837818e-10, 4.339527038514462800e-12, 9.619622924428849955e-11, 6.935499846245944023e-11, 1.354908380678912570e-11, 1.252113016598094250e-10, 3.089394797490453626e-11, 1.542255357469102340e-13, 1.931302107109950964e-10, 1.210431302853844751e-11
2.047000000000000000e+03, 1.838796457417875634e-10, 4.546442083060786362e-12, 9.624910812329193520e-11, 6.909012309344826489e-11, 1.371576634471711988e-11, 1.241242454338251812e-10, 3.161666644617910047e-11, 1.486922807138774058e-13, 2.145697374147132415e-10, 1.244516797052432726e-11
2.048000000000000000e+03, 1.850168765149773986e-10, 4.810821716419618427e-12, 9.638416218418893332e-11, 6.882824013824822246e-11, 1.387586910431687286e-11, 1.239400944937658501e-10, 3.222565975743341181e-11, 1.305700538332613062e-13, 2.237778258584418938e-10, 1.268291738480359593e-11
2.049000000000000000e+03, 1.871583046210553527e-10, 5.072011999250596031e-12, 9.632336005058045063e-11, 6.907638570994532156e-11, 1.412287418748921674e-11, 1.235929013924223642e-10, 3.252830252494530721e-11, 1.193844002879339100e-13, 2.256898327725500164e-10, 1.296010010354008194e-11
2.050000000000000000e+03, 2.281685795037122925e-10, 5.476155134055541556e-12, 1.024402386779994992e-10, 7.368034872355295540e-11, 1.660240003650420302e-11, 1.232490618333624775e-10, 3.365159307464209348e-11, 1.240872102615872751e-13, 2.193094842266422171e-10, 1.334652293566609296e-11
2.051000000000000000e+03, 2.242622848357144118e-10, 1.399006728450816086e-11, 1.033810869241392240e-10, 7.618534230011135949e-11, 1.826891490667250649e-11, 1.319756312929584840e-10, 3.257842412842757755e-11, 1.425003155872587527e-13, 2.109172284802860693e-10, 1.394221247641979174e-11
2.052000000000000000e+03, 1.973739823223339807e-10, 1.448679571120373162e-11, 1.046340208960836320e-10, 7.815429509948266063e-11, 1.866899370961627443e-11, 1.337790705200262677e-10, 3.256772409921524313e-11, 1.542982373222173599e-13, 1.965916653287718667e-10, 1.409618135912291943e-11
2.053000000000000000e+03, 1.922677945528518542e-10, 1.506405109188975586e-11, 1.051018976239975703e-10, 7.944388527614004266e-11, 1.897713897459420881e-11, 1.346356366095504800e-10, 3.201072697881196323e-11, 1.510339408072242352e-13, 2.001042465559555030e-10, 1.427166520065063366e-11
2.054000000000000000e+03, 1.942289625232042158e-10, 1.560821669284052200e-11, 1.046930437050843546e-10, 8.082971841036493427e-11, 1.927764245487368480e-11, 1.352203817609043230e-10, 3.440501253675369657e-11, 1.534041647180860115e-13, 2.092536297479747043e-10, 1.445716190947600747e-11
2.055000000000000000e+03, 1.940190495959705059e-10, 1.657847555590879963e-11, 9.946110911771925113e-11, 7.930591108820942279e-11, 2.169291655594235571e-11, 1.360093299868432190e-10, 3.573461192649765053e-11, 1.567330304184095036e-13, 2.201133409687077439e-10, 1.462276426721047958e-11
2.056000000000000000e+03, 1.872803700717445980e-10, 1.139699060683632973e-11, 9.991534382318894503e-11, 7.982467438599431913e-11, 2.331229864849577404e-11, 1.344153394614984010e-10, 3.601340542027704176e-11, 1.539152785955847014e-13, 2.173205402313284064e-10, 1.899207874471737265e-11
2.057000000000000000e+03, 1.977431380444378445e-10, 1.172684222141004242e-11, 1.003955771552062988e-10, 8.046162999931466464e-11, 2.386400984817668565e-11, 1.348123207228061802e-10, 3.782350994596750444e-11, 1.544577906947903017e-13, 2.049601701440980586e-10, 1.948256620584121191e-11
2.058000000000000000e+03, 1.932961726918940160e-10, 1.203823860631952317e-11, 9.947663771488383193e-11, 8.051959228783267476e-11, 2.418959604958621298e-11, 1.347669430658130387e-10, 3.927299326202428322e-11, 1.512898356752061833e-13, 2.174206463133044105e-10, 2.002622109919737358e-11
