year, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL
2.030000000000000000e+03, 3.253805836127978244e-12, -7.284839276159058108e-10, 1.198910169527419289e-10, 2.345578837100887135e-10
2.031000000000000000e+03, 3.675294203105376358e-12, -5.687309632390582250e-10, 1.227728034994067815e-10, 2.410473778026811144e-10
2.032000000000000000e+03, 3.683412551418825798e-12, -5.940574928521259901e-10, 1.238632195639058544e-10, 2.755347365286478444e-10
2.033000000000000000e+03, 3.792617292320040902e-12, -5.964144018398345237e-10, 1.248985333056868469e-10, 2.388773810161607442e-10
2.034000000000000000e+03, 3.714083235812424438e-12, -7.109745589495373070e-10, 1.252778042906186168e-10, 2.397323606364450427e-10
2.035000000000000000e+03, 3.720127853592369259e-12, -6.192003187716532002e-10, 1.229795153464031646e-10, 2.974456709026480601e-10
2.036000000000000000e+03, 4.149661342135738535e-12, -6.373172528280935804e-10, 1.240394391574573563e-10, 2.438064874517945256e-10
2.037000000000000000e+03, 4.204928132346669703e-12, -6.447244965784175545e-10, 1.244348340860847533e-10, 2.875182861974507123e-10
2.038000000000000000e+03, 4.243170730147999333e-12, -5.773400291338418337e-10, 1.245606122717578070e-10, 2.783128736088860372e-10
2.039000000000000000e+03, 4.274945254650937862e-12, -6.379078407969094382e-10, 1.246100203243903626e-10, 2.263796807824886327e-10
2.040000000000000000e+03, 4.353488726623639152e-12, -7.160547568127246530e-10, 1.244162513080457655e-10, 2.605604297013790932e-10
2.041000000000000000e+03, 6.880284001993186731e-12, -7.169277076238723625e-10, 1.242206322887742464e-10, 2.646963597051765381e-10
2.042000000000000000e+03, 7.370792147679000235e-12, -6.869688189579302440e-10, 1.244507487299482581e-10, 2.511258721242442709e-10
2.043000000000000000e+03, 7.507347349590728562e-12, -6.534059530029595541e-10, 1.249044138201539049e-10, 2.367247620934086278e-10
2.044000000000000000e+03, 7.627107744036733507e-12, -6.569805514870695394e-10, 1.252435994165662842e-10, 2.397034567900879096e-10
2.045000000000000000e+03, 5.877310138992189602e-12, -5.866721149583255175e-10, 1.249585501814515061e-10, 2.750559005404185650e-10
2.046000000000000000e+03, 4.339527038514462800e-12, -6.932228783408561393e-10, 1.254013776307859773e-10, 2.930381724128440423e-10
2.047000000000000000e+03, 4.546442083060786362e-12, -7.247846439456815526e-10, 1.243064754514502813e-10, 2.884694288108154575e-10
2.048000000000000000e+03, 4.810821716419618427e-12, -7.256228567555554229e-10, 1.241293612536372553e-10, 2.593974611000264070e-10
2.049000000000000000e+03, 5.072011999250596031e-12, -7.515491236941693462e-10, 1.237846531860031176e-10, 2.062838851495494186e-10
2.050000000000000000e+03, 5.476155134055541556e-12, -6.754256665585679579e-10, 1.234423299948525358e-10, 2.800625469771774313e-10
2.051000000000000000e+03, 1.399006728450816086e-11, -6.942017876186924487e-10, 1.322972622105210404e-10, 2.458385748161759747e-10
2.052000000000000000e+03, 1.448679571120373162e-11, -7.312859976351590071e-10, 1.341065052334604396e-10, 2.769700188990505346e-10
2.053000000000000000e+03, 1.506405109188975586e-11, -7.295550197819533874e-10, 1.349588608761207595e-10, 2.310670968512391741e-10
