year, UKESM1-0-LL, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM5-0
2.029000000000000000e+03, 2.768543016415695206e+02, 2.778771537482291478e+02, 2.787268910994078510e+02, 2.790625144280291465e+02, 2.776252371632256768e+02, 2.773420453616247983e+02, 2.777541513394197068e+02, 2.772429126728928281e+02, 2.772570626709479029e+02, 2.771429435638663676e+02, 2.808866109973651533e+02, 2.777896590841830857e+02, 2.767194610415471061e+02, 2.769204540001871351e+02, 2.789851774996843687e+02, 2.779436117521274241e+02
2.030000000000000000e+03, 2.769655310932911334e+02, 2.785820877966173725e+02, 2.794241660252922088e+02, 2.787432191122862264e+02, 2.784477291716533500e+02, 2.771782126356183653e+02, 2.782619778103411932e+02, 2.772871339573404725e+02, 2.773120902071703995e+02, 2.766155719127803536e+02, 2.802198635197509589e+02, 2.771804443970720513e+02, 2.768978875378608677e+02, 2.772391506580040641e+02, 2.784419183060633713e+02, 2.778251541826536481e+02
2.031000000000000000e+03, 2.774885356340050748e+02, 2.785487654169605207e+02, 2.792063143225673230e+02, 2.786821614528363966e+02, 2.779328261617409908e+02, 2.768193776543591866e+02, 2.782876267387825351e+02, 2.770093444209134077e+02, 2.771868244574397409e+02, 2.776727736152938064e+02, 2.802451457933971142e+02, 2.774764289772815005e+02, 2.771309280498986141e+02, 2.778214542628955996e+02, 2.784281276041371598e+02, 2.774829661660292004e+02
2.032000000000000000e+03, 2.770509012792737167e+02, 2.787861172878938305e+02, 2.790769243628730010e+02, 2.785504921486528360e+02, 2.771674745481985838e+02, 2.772139429921815577e+02, 2.785689107673114222e+02, 2.769718340411268400e+02, 2.773881922564967226e+02, 2.773635168168293603e+02, 2.801911608297091902e+02, 2.771939109956283005e+02, 2.770250456445033933e+02, 2.773869232162092544e+02, 2.786511491683672830e+02, 2.776655465388511175e+02
2.033000000000000000e+03, 2.770763453717221978e+02, 2.784675608381668326e+02, 2.790645682267643792e+02, 2.792459284666479675e+02, 2.778377802621969295e+02, 2.772662897868544292e+02, 2.783384365933892468e+02, 2.769557034222335687e+02, 2.771826899559226263e+02, 2.770559280296569682e+02, 2.809332400474389715e+02, 2.768389707165634945e+02, 2.772261975677715213e+02, 2.771250316361114869e+02, 2.789157238726909895e+02, 2.775783212495304042e+02
2.034000000000000000e+03, 2.779941585608593186e+02, 2.782816310915037548e+02, 2.792234137310490496e+02, 2.787498888176473315e+02, 2.788996245060322394e+02, 2.765085716586212357e+02, 2.782649279489344281e+02, 2.775680752251266199e+02, 2.773170933438714769e+02, 2.767808384231620948e+02, 2.806879135006565775e+02, 2.768011883353581197e+02, 2.780401200914740230e+02, 2.768450373098850719e+02, 2.789253522295767311e+02, 2.772575424101647741e+02
2.035000000000000000e+03, 2.769552546325745084e+02, 2.787665752477599312e+02, 2.789685924214468287e+02, 2.792819261326773130e+02, 2.779721119703616523e+02, 2.776068822410434223e+02, 2.782478775316706674e+02, 2.768704059119915541e+02, 2.775887811575536261e+02, 2.770217869978365570e+02, 2.805168430105604216e+02, 2.769464893977161069e+02, 2.770709741293539423e+02, 2.773352494944856517e+02, 2.791119518638054160e+02, 2.778978483126079482e+02
2.036000000000000000e+03, 2.774838995366209815e+02, 2.785937932443802083e+02, 2.789239466677889254e+02, 2.788239415335278295e+02, 2.781534049509201054e+02, 2.773560719037016042e+02, 2.789852888157502093e+02, 2.769068261139084939e+02, 2.773288616787569936e+02, 2.772585751023148077e+02, 2.798883389900949510e+02, 2.771476661439647273e+02, 2.772657279006378985e+02, 2.772989555695006061e+02, 2.790551336084173499e+02, 2.777150568936153263e+02
2.037000000000000000e+03, 2.778067849515948069e+02, 2.786052284622257389e+02, 2.795849092193915908e+02, 2.793905028489436404e+02, 2.782895731910550126e+02, 2.773988210572983917e+02, 2.790329572175428439e+02, 2.774369421594180949e+02, 2.775749553179543341e+02, 2.769887255338725822e+02, 2.803847152266999956e+02, 2.779712272046872386e+02, 2.778240326534770475e+02, 2.775409822796837034e+02, 2.793332429665227323e+02, 2.781954805067861116e+02
2.038000000000000000e+03, 2.771954663255598348e+02, 2.789555563789899111e+02, 2.799654245780383235e+02, 2.794398869901162357e+02, 2.779515054711538369e+02, 2.776314723015250365e+02, 2.785888597173268408e+02, 2.777279161313402369e+02, 2.782499823681926614e+02, 2.767720090506573456e+02, 2.810002958075662605e+02, 2.781128027692631690e+02, 2.774137847449919150e+02, 2.769488488073716326e+02, 2.787858083108677647e+02, 2.778290940552878396e+02
2.039000000000000000e+03, 2.771878870800963455e+02, 2.789443429041130571e+02, 2.793818703067065030e+02, 2.793924942202051511e+02, 2.785775853686804453e+02, 2.770544087166817349e+02, 2.783300217307908611e+02, 2.772467566532349679e+02, 2.776188016939879049e+02, 2.765512360518401920e+02, 2.809636277633023838e+02, 2.773443017995339233e+02, 2.774620053959867505e+02, 2.769639002413194362e+02, 2.792357120474035241e+02, 2.778108284535887833e+02
2.040000000000000000e+03, 2.774021173380826895e+02, 2.787383951263375934e+02, 2.792489878238260985e+02, 2.794110429519543004e+02, 2.786836115997899128e+02, 2.765479018501315522e+02, 2.781937419289201898e+02, 2.769122403635632281e+02, 2.783654519423960778e+02, 2.772160972244768686e+02, 2.811152070166367594e+02, 2.775478994306655522e+02, 2.772195589659029906e+02, 2.772406835065125392e+02, 2.792536699396533209e+02, 2.778196196484090592e+02
2.041000000000000000e+03, 2.764182212899659703e+02, 2.786107332739673552e+02, 2.799695643039608512e+02, 2.795838077835480817e+02, 2.775603099991198519e+02, 2.774888112097509634e+02, 2.785018985412757502e+02, 2.773177880663557175e+02, 2.774209360455766955e+02, 2.772997650698829943e+02, 2.804413406036269407e+02, 2.780581781611728047e+02, 2.770235335307287414e+02, 2.771024365446967295e+02, 2.791304454059746831e+02, 2.781517510580622456e+02
2.042000000000000000e+03, 2.772704431783740233e+02, 2.790558508590141287e+02, 2.791604288589094836e+02, 2.786530679185012787e+02, 2.791272416180493110e+02, 2.776501216271608428e+02, 2.785007153502802453e+02, 2.776930248829065135e+02, 2.777211310749963218e+02, 2.769694952099196144e+02, 2.810874649520463322e+02, 2.779472677320510456e+02, 2.770160852285566762e+02, 2.780318926197453493e+02, 2.792366660962783271e+02, 2.775283278820886608e+02
2.043000000000000000e+03, 2.777293483664122391e+02, 2.790347572925793997e+02, 2.792966234516601958e+02, 2.798078382108029700e+02, 2.780619645370888975e+02, 2.771845977732202755e+02, 2.780646869039630928e+02, 2.775286004182853503e+02, 2.776645048641639164e+02, 2.770899263803855206e+02, 2.811267894846187119e+02, 2.782310524982434004e+02, 2.770566881378878179e+02, 2.774090897297749052e+02, 2.794183040641291313e+02, 2.773396691059700743e+02
2.044000000000000000e+03, 2.779384997513956819e+02, 2.786790716623397088e+02, 2.798325157436688642e+02, 2.794894156401734335e+02, 2.788754195384321406e+02, 2.775296902184601890e+02, 2.788466577527943286e+02, 2.771089873076949175e+02, 2.780674308821470504e+02, 2.776542065221512416e+02, 2.812034371244121758e+02, 2.780852943007490694e+02, 2.773399583518248619e+02, 2.773696013027022786e+02, 2.791886647214703885e+02, 2.779442149122659771e+02
2.045000000000000000e+03, 2.778319472403488817e+02, 2.794001236021774730e+02, 2.799065791456969237e+02, 2.793254823479196034e+02, 2.785713634729999058e+02, 2.770364062667601388e+02, 2.782536136411067673e+02, 2.772905176602886854e+02, 2.771205573052641853e+02, 2.775024592554535730e+02, 2.808614572134349601e+02, 2.776494550374416121e+02, 2.777764837152419659e+02, 2.779288129142399839e+02, 2.790599794339682376e+02, 2.777023309324445677e+02
2.046000000000000000e+03, 2.782546048901150471e+02, 2.789532186874358786e+02, 2.802792848946976960e+02, 2.802239852001359850e+02, 2.782666703950807801e+02, 2.770169123700179625e+02, 2.783950962398566844e+02, 2.775780352833672282e+02, 2.780167627582916907e+02, 2.774129240779400902e+02, 2.808122199782288817e+02, 2.779156862033415223e+02, 2.773984092202699685e+02, 2.775301075406738391e+02, 2.792257801708361171e+02, 2.779341548422876258e+02
2.047000000000000000e+03, 2.775291845714457395e+02, 2.798571726915988052e+02, 2.794446534373258260e+02, 2.802203757350774254e+02, 2.786698399573656388e+02, 2.775172590536218422e+02, 2.780484252551592590e+02, 2.772427017052639826e+02, 2.775230433675806125e+02, 2.776576174630577611e+02, 2.808402525952247970e+02, 2.777094304568708480e+02, 2.779102166748068612e+02, 2.773901661356206887e+02, 2.791957258164289897e+02, 2.780261191404518968e+02
2.048000000000000000e+03, 2.773721424942760336e+02, 2.792108764438282833e+02, 2.796655777501901525e+02, 2.799566237738847576e+02, 2.791977052767967393e+02, 2.770047826349703541e+02, 2.786084778016686414e+02, 2.769859502961837165e+02, 2.780261203043567093e+02, 2.782159204781524977e+02, 2.806240437829737289e+02, 2.776859554253146030e+02, 2.777955435759737384e+02, 2.780267000552657919e+02, 2.790210096750710704e+02, 2.780455454681495553e+02
2.049000000000000000e+03, 2.780566885316764001e+02, 2.795705370910543479e+02, 2.790562126394293045e+02, 2.799327673104966721e+02, 2.790822028926363032e+02, 2.775696824627285082e+02, 2.788728261850554304e+02, 2.774193683802533883e+02, 2.776459676832981245e+02, 2.770312646121396938e+02, 2.806285141920155866e+02, 2.785376452334777468e+02, 2.777962420272447162e+02, 2.777724202474070125e+02, 2.793230050463579914e+02, 2.776694160408719654e+02
2.050000000000000000e+03, 2.781540208787935740e+02, 2.791046137042898181e+02, 2.798957210430859845e+02, 2.792796805689993676e+02, 2.797454406886481024e+02, 2.775687607372369712e+02, 2.787165807439837408e+02, 2.777477069433501242e+02, 2.774990562657574173e+02, 2.777425756191518644e+02, 2.807472386137175135e+02, 2.780241781567299313e+02, 2.772648462248976671e+02, 2.769293024097546549e+02, 2.794233359301416613e+02, 2.777670167779855888e+02
2.051000000000000000e+03, 2.780254227317168443e+02, 2.790324043604186386e+02, 2.793422096173246700e+02, 2.802588633570559864e+02, 2.787528165468423254e+02, 2.767899350324270813e+02, 2.783069879580660881e+02, 2.773515511636505266e+02, 2.778878816074233100e+02, 2.770225364786402338e+02, 2.805306459858392145e+02, 2.783427696240024147e+02, 2.786152322781108523e+02, 2.779056143208887306e+02, 2.795953157483037330e+02, 2.783283127665627035e+02
2.052000000000000000e+03, 2.780972634297169179e+02, 2.791194400602984160e+02, 2.795662517064981785e+02, 2.803108268348956926e+02, 2.792586185622917014e+02, 2.765006588230730813e+02, 2.784041794555516844e+02, 2.777130721595635805e+02, 2.779435108765762834e+02, 2.781797563971900900e+02, 2.805604388816871051e+02, 2.777031918957874268e+02, 2.774062689462585354e+02, 2.780859145771428302e+02, 2.799808209327021018e+02, 2.781467475943212548e+02
2.053000000000000000e+03, 2.788578336377829601e+02, 2.792007643656844493e+02, 2.791957825223828422e+02, 2.799858334966297093e+02, 2.787361524384097038e+02, 2.773380053880849232e+02, 2.787770250143845487e+02, 2.773564369648930210e+02, 2.775143925019764310e+02, 2.773079424348636621e+02, 2.807159206328945515e+02, 2.778530064271026845e+02, 2.777050864865905737e+02, 2.775912180473025614e+02, 2.796586951949739728e+02, 2.774371174455139908e+02
2.054000000000000000e+03, 2.782379955366452577e+02, 2.793263208638945230e+02, 2.795780184570676852e+02, 2.801599030974288098e+02, 2.789410166222413068e+02, 2.774861388586649582e+02, 2.786867429004142878e+02, 2.771066123460951189e+02, 2.777664566502448338e+02, 2.778049523686062230e+02, 2.803481323096063420e+02, 2.778038117003241609e+02, 2.774342249462137602e+02, 2.774731871448709626e+02, 2.794473214418591169e+02, 2.774900401018621778e+02
2.055000000000000000e+03, 2.785069410810677937e+02, 2.794244981069128926e+02, 2.800155408983112579e+02, 2.806848858917926464e+02, 2.792243632331175149e+02, 2.776036094825932992e+02, 2.790770470788010584e+02, 2.771163160314184211e+02, 2.781573942381210713e+02, 2.776155546129038498e+02, 2.813767395634023387e+02, 2.775652381816537400e+02, 2.776039977354768666e+02, 2.770144454732272834e+02, 2.793035104286308297e+02, 2.774227383565620926e+02
2.056000000000000000e+03, 2.782089335755960633e+02, 2.797739786527325805e+02, 2.798903836326726946e+02, 2.802100311651915376e+02, 2.795963900180835822e+02, 2.780633822296309177e+02, 2.788386725575253422e+02, 2.773574578519134661e+02, 2.776727565167553848e+02, 2.768252496361838553e+02, 2.814260500536923360e+02, 2.777020285694215431e+02, 2.776689816351736795e+02, 2.774002813491621851e+02, 2.791194835736105802e+02, 2.778633013931790288e+02
2.057000000000000000e+03, 2.783287695553373737e+02, 2.800190737678323103e+02, 2.793072353710839479e+02, 2.800715785384243190e+02, 2.790642912320365099e+02, 2.777116411901718607e+02, 2.787364352470279982e+02, 2.774008168084707222e+02, 2.780691626382298409e+02, 2.769800655979152566e+02, 2.813703589448966227e+02, 2.775692344916239449e+02, 2.778130169483534360e+02, 2.779232639879580233e+02, 2.795370149552149428e+02, 2.775816448455180989e+02
2.058000000000000000e+03, 2.784736007465050989e+02, 2.801050389817842756e+02, 2.796212063111257748e+02, 2.809177929628847323e+02, 2.780807978051963687e+02, 2.777052123915117363e+02, 2.786863053521109919e+02, 2.772495058532198868e+02, 2.778790194506680109e+02, 2.779769416300253511e+02, 2.810111354590921451e+02, 2.783836831369028459e+02, 2.777007371377600293e+02, 2.776848198769897635e+02, 2.796188221593419030e+02, 2.773820099486877666e+02
2.059000000000000000e+03, 2.782943557564051389e+02, 2.798414177066161983e+02, 2.795666800436745234e+02, 2.802550325464165439e+02, 2.785155467350577965e+02, 2.776338143171658999e+02, 2.788783445782953549e+02, 2.773137667810433413e+02, 2.775305312381705107e+02, 2.779491942260150950e+02, 2.809686493019687532e+02, 2.777493520219709353e+02, 2.783076234313651298e+02, 2.776000167971520796e+02, 2.797355731430471337e+02, 2.779332166763803116e+02
2.060000000000000000e+03, 2.785436245988250903e+02, 2.799853252459578812e+02, 2.796299763868534001e+02, 2.806573935051877129e+02, 2.791152317671392780e+02, 2.783208551497293115e+02, 2.787609532972971351e+02, 2.766633846123719991e+02, 2.782963975633759333e+02, 2.778354474824861313e+02, 2.810023272079643561e+02, 2.779021960904133266e+02, 2.776115383663682792e+02, 2.778344917702697785e+02, 2.792419415382502734e+02, 2.780355598734316800e+02
2.061000000000000000e+03, 2.786827540841665609e+02, 2.797353202904690193e+02, 2.798561647083731714e+02, 2.803253953453096301e+02, 2.788617175181442462e+02, 2.772517790129794548e+02, 2.793536411840140659e+02, 2.774680812878686424e+02, 2.781289217259592306e+02, 2.775708600105173787e+02, 2.810819217565610302e+02, 2.784854084959418401e+02, 2.773044567164017167e+02, 2.776613640304279329e+02, 2.793216176147747092e+02, 2.778918009967212015e+02
