year, IPSL-CM6A-LR, INM-CM5-0, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, UKESM1-0-LL, INM-CM4-8, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, CanESM5, TaiESM1, CMCC-CM2-SR5, NorESM2-MM
2.015000000000000000e+03, 1.745442445225318906e+01, 1.826423118834700432e+01, 2.238220541843321598e+01, 1.358313247485125608e+01, 1.520184058805362071e+01, 1.577964679783288737e+01, 1.905186264047068434e+01, 1.825136358874878084e+01, 1.450556097979700532e+01, 2.306320450919101006e+01, 1.888103413289831778e+01, 1.632844373955027351e+01, 1.767816517870214810e+01, 1.509216358684327552e+01, 1.693369006341611538e+01, 1.663131281959480745e+01
2.016000000000000000e+03, 1.730284065878026212e+01, 1.916895578706511927e+01, 2.219054286023324352e+01, 1.411753263413042347e+01, 1.497214498326705723e+01, 1.589057360774284433e+01, 1.755050071253570110e+01, 1.869850591079693558e+01, 1.497671953467340700e+01, 2.321982810856244583e+01, 1.862253427828245123e+01, 1.684052166284562091e+01, 1.797288955598015647e+01, 1.556922096188374027e+01, 1.785663626886490363e+01, 1.499891846627707359e+01
2.017000000000000000e+03, 1.690966384586893412e+01, 1.948795849746092301e+01, 2.233041429810204193e+01, 1.443354618284332958e+01, 1.545589056464913646e+01, 1.714560292012206943e+01, 1.774978690538919679e+01, 1.900720165986690091e+01, 1.524176022234610350e+01, 2.306171597109138460e+01, 1.811306912641791556e+01, 1.541847231059311873e+01, 1.786192193846928689e+01, 1.481917081763719679e+01, 1.799489606708455725e+01, 1.513640005967016400e+01
2.018000000000000000e+03, 1.804305068428525871e+01, 1.979604485602676789e+01, 2.200953809088593260e+01, 1.428958032446053394e+01, 1.508215295595225669e+01, 1.728413740492480599e+01, 1.847461735776516534e+01, 1.783826890449170222e+01, 1.611727455732752290e+01, 2.386697258467791727e+01, 1.915505444901846133e+01, 1.714215802729633964e+01, 1.780500346093711883e+01, 1.474277277459112412e+01, 1.769884494388398011e+01, 1.512042954683828100e+01
2.019000000000000000e+03, 1.740680397615153652e+01, 2.085621983698652571e+01, 2.204607348887163454e+01, 1.435988642301837181e+01, 1.533459846680100647e+01, 1.745525985591697804e+01, 1.890089491013993950e+01, 1.915557882980406035e+01, 1.601068374542315098e+01, 2.286046783531363147e+01, 1.839529587592377169e+01, 1.664958626983215240e+01, 1.764950795858669608e+01, 1.571162733464203853e+01, 1.689532219815566094e+01, 1.514216473104486127e+01
2.020000000000000000e+03, 1.812145194549784932e+01, 2.010769828952457416e+01, 2.329962045342186983e+01, 1.424965897330882214e+01, 1.585821228632917546e+01, 1.737958735663007914e+01, 1.883038706970334886e+01, 1.904605575854325394e+01, 1.517207683930786111e+01, 2.242805688026342636e+01, 1.871382468993261838e+01, 1.759235782689299654e+01, 1.809561356784815445e+01, 1.560373090950269948e+01, 1.651405025571957097e+01, 1.521538941088007846e+01
2.021000000000000000e+03, 1.814784769778711038e+01, 1.924787331675380031e+01, 2.202171079265267295e+01, 1.510187999306327811e+01, 1.581017663113484417e+01, 1.704095659890945313e+01, 1.882964729465019005e+01, 1.929305724279048917e+01, 1.608955432814712339e+01, 2.331881766709586756e+01, 1.834384575061044131e+01, 1.724105760821317190e+01, 1.857812760960822729e+01, 1.508615732081020866e+01, 1.888713556235808610e+01, 1.540173009801005932e+01
2.022000000000000000e+03, 1.789249204175133201e+01, 1.941439175064864386e+01, 2.202618143630069980e+01, 1.482322541252558246e+01, 1.528489226695116443e+01, 1.751909263041538622e+01, 1.972369450739962460e+01, 1.927104468509967106e+01, 1.626835030226810019e+01, 2.370840142956148000e+01, 1.863277539217917322e+01, 1.735235749209978806e+01, 1.795229816138190770e+01, 1.576701980142294346e+01, 1.807518999909997959e+01, 1.496907695623569445e+01
2.023000000000000000e+03, 1.814588995287327933e+01, 1.964326785091568439e+01, 2.246760225756004559e+01, 1.462176909856269624e+01, 1.606220549007822385e+01, 1.746098598332730489e+01, 1.824254560488698473e+01, 2.040040225071302515e+01, 1.564521076299635816e+01, 2.338089918152572722e+01, 1.898168549856552900e+01, 1.704193526461984121e+01, 1.792343699088555553e+01, 1.605709807323185956e+01, 1.623557541799024762e+01, 1.479327161049416617e+01
2.024000000000000000e+03, 1.845077850681323284e+01, 1.947191788493509890e+01, 2.328129332853180600e+01, 1.446398709512526182e+01, 1.616014546322931622e+01, 1.693577948250004894e+01, 1.905606673267170237e+01, 1.864709309665575887e+01, 1.605866489111589601e+01, 2.243963384711170406e+01, 1.927271549725324107e+01, 1.822286317274011580e+01, 1.853599497879679348e+01, 1.601893049823545923e+01, 1.621987686866153666e+01, 1.484057916223641627e+01
