year, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM
2.048000000000000000e+03, 3.327696675504923941e-10, 7.754605400620616601e-10, 1.048216136610339059e-09, 3.951871101164524059e-10, 1.024727364640932874e-09, -4.818898544231533502e-10, 6.674942281533412667e-10, 4.421223851291706061e-10
2.049000000000000000e+03, 7.010554989759062191e-10, 1.052470891354949575e-09, 9.883299067517980647e-10, 9.499152408068363701e-10, 1.052170057754938507e-09, -4.108312703021056831e-10, 4.880187307783113657e-10, 8.140670437722783012e-10
2.050000000000000000e+03, -2.810252998376022659e-11, -3.460557942907776960e-10, 6.247815134250095613e-10, 4.353813409974798571e-10, 8.695933693976733531e-10, -9.847925490129612066e-10, 2.372433102620462790e-10, 8.707128748315472236e-10
2.051000000000000000e+03, 3.011797607142468886e-10, 1.230373196442674360e-09, 6.499092961067909707e-10, 5.767865759832863184e-10, 9.698655043144840101e-10, 3.260012382756591953e-10, 8.851760971403098935e-10, 5.122608821168052717e-10
2.052000000000000000e+03, 6.504112265766283833e-10, 9.311866209304569089e-10, -2.473039903508053182e-11, 1.504762965492079775e-09, 7.580401253621674229e-10, 6.085535899871688771e-10, 4.054119616178891706e-10, 6.497369291132331689e-10
2.053000000000000000e+03, 4.559372879430161637e-10, -3.446039005712282032e-11, 4.178670930131476442e-10, 5.135669797277971992e-10, 1.042107556690400449e-09, -5.153885240011642740e-10, 2.596986159510919330e-10, 5.436285540541325021e-10
2.054000000000000000e+03, 6.424335955167514247e-10, 5.055879206252912062e-10, 2.503784677801127362e-10, 6.201614272627808926e-10, 1.174308875688276002e-09, 2.222039743711913277e-10, 6.825392866237209012e-11, 3.131949852814323400e-10
2.055000000000000000e+03, 3.095689636854308063e-10, 1.135026995658034287e-09, 2.115221732447374538e-10, 9.405715794582754844e-10, 7.535452015013165458e-10, -1.558050855623615853e-10, 7.793893457281534572e-10, 7.972812439040821843e-10
2.056000000000000000e+03, -1.533957280286106692e-11, 1.096555824562669919e-09, 3.560135048938636745e-10, 2.555484980833102817e-10, 1.448835348978895888e-09, 1.120262267979470729e-09, 5.792173320208843221e-10, 5.472390387127117816e-10
2.057000000000000000e+03, 8.841738864021063925e-10, 7.644233080740775444e-10, 5.309087398485812429e-11, 7.839808109665203297e-10, 8.113942810221862361e-10, 1.998621336849263354e-10, 1.840825827997514619e-10, 5.777706557218842256e-10
2.058000000000000000e+03, 3.413736778521235744e-10, 3.953505834176756131e-10, -1.916365679246929920e-10, 1.102374099024242709e-09, 1.099592356812491658e-09, -1.278938827356861492e-09, 1.787868771020724953e-10, 4.898697185837118796e-10
2.059000000000000000e+03, 2.920621315069942936e-10, 8.227807095147023215e-10, 4.301448149544757220e-10, 7.524417420747244195e-10, 3.792998831264568793e-10, 9.691689907785860758e-11, 1.315096394275528808e-10, 6.330631882500860006e-10
2.060000000000000000e+03, 2.311777381419503417e-10, 1.253322319746836995e-09, -3.941765769417012516e-10, 1.246719882451469371e-09, 9.463675306889939586e-10, 8.820476113130856043e-10, 2.266821528924195600e-10, 4.587172747758712811e-10
2.061000000000000000e+03, 1.018153658738399860e-09, 4.282455411232962066e-10, -4.518451512231028069e-10, 6.175668542991596650e-10, 8.188319356721826727e-10, 3.628389432508951773e-10, 2.530862369306979497e-10, 5.359156908399721102e-10
