year, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.681540065797073158e+00, 1.347659714204489934e-01, 6.253583187311257952e-01, 2.232272277323936294e+00, 1.316985773501331280e+00, 5.164754905361371162e-02, 8.481146976455646025e-02, 1.416206984980463046e+00, 2.274551823479932455e+00
2.016000000000000000e+03, 2.649326044075833053e+00, 1.203005648478431278e-01, 6.139017279472949173e-01, 2.627023635298956883e+00, 1.313988286406942319e+00, 5.048585762588386761e-02, 8.136713199330702917e-02, 1.408592325819478575e+00, 2.269959756659317485e+00
2.017000000000000000e+03, 2.607513895104292434e+00, 1.079361349529201347e-01, 6.053425769339254581e-01, 2.528625425084623402e+00, 1.310892126100562383e+00, 4.962957869467170269e-02, 8.046806529765077043e-02, 1.404087384234786073e+00, 2.269496050723303515e+00
2.018000000000000000e+03, 2.561647561348666891e+00, 9.807403879596097995e-02, 5.973255370962482491e-01, 2.462723980876420971e+00, 1.308458166878749385e+00, 4.881923499522616144e-02, 7.823907364046077395e-02, 1.416226331797757698e+00, 2.261288093272888489e+00
2.019000000000000000e+03, 2.528392879258025694e+00, 8.859485857111175366e-02, 5.891271721317556942e-01, 2.412646126477806963e+00, 1.309090684643124280e+00, 4.818352550819039737e-02, 7.503492192970694086e-02, 1.422989024204126762e+00, 2.254322039179604165e+00
2.020000000000000000e+03, 2.497064716209128843e+00, 7.898436999442333406e-02, 5.804786641312024154e-01, 2.368260807748222341e+00, 1.311623525428225578e+00, 4.744828912751482275e-02, 7.206964314129572780e-02, 1.417030260834303723e+00, 2.241528825677356895e+00
2.021000000000000000e+03, 2.469475822007295651e+00, 6.479029729065333143e-02, 5.711792381560072407e-01, 2.339746127962198496e+00, 1.314477140222259921e+00, 4.660548789614679666e-02, 6.906557107297507658e-02, 1.424637572782625039e+00, 2.234275838719387952e+00
2.022000000000000000e+03, 2.446874206700478283e+00, 5.821200345682063515e-02, 5.653944797910285258e-01, 2.306376617697411202e+00, 1.317664700093650110e+00, 4.587955389792381516e-02, 6.624978905248922467e-02, 1.400412150797815336e+00, 2.237838226357493188e+00
2.023000000000000000e+03, 2.425465480611833868e+00, 4.785584488185414681e-02, 5.600974562919235344e-01, 2.277100351299391701e+00, 1.321645777200897598e+00, 4.516490644835115947e-02, 6.353536444544401196e-02, 1.396784681126024941e+00, 2.242634857660283920e+00
2.024000000000000000e+03, 2.406944297194589577e+00, 4.523930845576366183e-02, 5.565382643049490152e-01, 2.249561935356645836e+00, 1.326138983239831592e+00, 4.455223233477512840e-02, 6.097763410752852359e-02, 1.419112076498332042e+00, 2.242817711735730413e+00
2.025000000000000000e+03, 2.399436774433232333e+00, 4.332923948511419043e-02, 5.541977722082865876e-01, 2.223282078472757384e+00, 1.330583861233394227e+00, 4.400926305046150983e-02, 5.841908701293606343e-02, 1.425286562781662658e+00, 2.242400679913636452e+00
2.026000000000000000e+03, 2.395550453350387521e+00, 4.187483225334343029e-02, 5.538974270101686415e-01, 2.191836033736796807e+00, 1.336589028859263228e+00, 4.356768835021414960e-02, 5.621216799780506812e-02, 1.411227525116479420e+00, 2.248639075975209067e+00
2.027000000000000000e+03, 2.396159263530908579e+00, 4.046554889446993958e-02, 5.524693033598431224e-01, 2.162287571746997372e+00, 1.343643436397902402e+00, 4.321279283123966725e-02, 5.414870086826468337e-02, 1.400297146595719910e+00, 2.250473802068360119e+00
2.028000000000000000e+03, 2.400954707221714113e+00, 3.893549014832130284e-02, 5.513476828400662999e-01, 2.134052588741158996e+00, 1.350051080684250948e+00, 4.282025243593075292e-02, 5.206934668467532584e-02, 1.415525114399645235e+00, 2.244734623530699302e+00
2.029000000000000000e+03, 2.400618199221637106e+00, 3.736509822178640111e-02, 5.511973207132560004e-01, 2.106675674535050113e+00, 1.356238726782610371e+00, 4.241432395247850956e-02, 5.013620243042953700e-02, 1.432232896396644639e+00, 2.244069398335213794e+00
2.030000000000000000e+03, 2.390261548039146255e+00, 3.601433687081354723e-02, 5.502222514651281537e-01, 2.080609790820604932e+00, 1.361896390361898579e+00, 4.188266100741507014e-02, 4.823654083542873450e-02, 1.428851863727084170e+00, 2.240127514714050250e+00
2.031000000000000000e+03, 2.380255544737677642e+00, 3.568796461379272061e-02, 5.508817340809400998e-01, 2.071670106796240418e+00, 1.366833674946846600e+00, 4.097824864929620892e-02, 4.648246906700111147e-02, 1.419900072233962751e+00, 2.252047857353738358e+00
2.032000000000000000e+03, 2.372847843809346546e+00, 3.537831288931637952e-02, 5.503088401293234622e-01, 2.058101412987873857e+00, 1.371770989499056848e+00, 4.031096216282119976e-02, 4.480630785187092457e-02, 1.435426825565682130e+00, 2.258795294911415397e+00
2.033000000000000000e+03, 2.373925934489868439e+00, 3.498251781178901565e-02, 5.492944637677931174e-01, 2.047413826652633606e+00, 1.376604320953903615e+00, 3.979842065341119423e-02, 4.322207234254783759e-02, 1.452024613905152028e+00, 2.264668553686144392e+00
2.034000000000000000e+03, 2.373820092615180233e+00, 3.443829000335490997e-02, 5.487857793314661059e-01, 2.034812463092023904e+00, 1.381082022301677315e+00, 3.934037920591054727e-02, 4.171741699729585723e-02, 1.472523323151248675e+00, 2.264333102841656675e+00
2.035000000000000000e+03, 2.372585501807107811e+00, 3.379071104338614295e-02, 5.481017394380809371e-01, 2.025010834055462894e+00, 1.385850118381531271e+00, 3.891399131018989654e-02, 4.026226084802462385e-02, 1.472818583890120658e+00, 2.265729696750249822e+00
2.036000000000000000e+03, 2.369333314501401944e+00, 3.450760865839846980e-02, 5.495553941537255627e-01, 2.009804757178026424e+00, 1.390866012452287803e+00, 3.857995490784358467e-02, 3.896204644110887183e-02, 1.474919210417207083e+00, 2.264643210037371013e+00
2.037000000000000000e+03, 2.366531245065429001e+00, 3.501266699091223206e-02, 5.495485960639354683e-01, 1.992709159608947234e+00, 1.395746251936420546e+00, 3.821262555809674250e-02, 3.770288787308838374e-02, 1.480957893805102010e+00, 2.270351834128274682e+00
2.038000000000000000e+03, 2.370564655489339589e+00, 3.529820772834279391e-02, 5.498594457009806646e-01, 1.975623636886430390e+00, 1.400413829010485722e+00, 3.782107802268259988e-02, 3.647969039294714222e-02, 1.467087794578960214e+00, 2.273884470505671551e+00
2.039000000000000000e+03, 2.373944445289648542e+00, 3.534229960614076321e-02, 5.504502119659896442e-01, 1.959896693825001979e+00, 1.405015025739890122e+00, 3.741070528500715225e-02, 3.533184905973365403e-02, 1.480072832997119336e+00, 2.278019336300494135e+00
2.040000000000000000e+03, 2.369238915396365996e+00, 3.523126795381178317e-02, 5.510135102201462187e-01, 1.944966966526832319e+00, 1.409423745496873437e+00, 3.699113861310203422e-02, 3.422894189481743427e-02, 1.472998020794850982e+00, 2.276553057183332118e+00
2.041000000000000000e+03, 2.365327810669914932e+00, 3.529968604901580209e-02, 5.502408088184644885e-01, 1.947234295433055928e+00, 1.413775898820104793e+00, 3.657731239847017424e-02, 3.312574106593559747e-02, 1.470420875474390821e+00, 2.269404590633989027e+00
2.042000000000000000e+03, 2.366334856318528246e+00, 3.517629203265724980e-02, 5.495659358142145345e-01, 1.946737062021608677e+00, 1.418229536224860476e+00, 3.622141264270756916e-02, 3.212769168306340434e-02, 1.463270632954925432e+00, 2.279282931725882921e+00
2.043000000000000000e+03, 2.367114433205828927e+00, 3.532129240519192581e-02, 5.493318516590968148e-01, 1.946105350706772485e+00, 1.422448994312923487e+00, 3.588967143669741233e-02, 3.117170020067410938e-02, 1.478005466118303746e+00, 2.277841724639968035e+00
2.044000000000000000e+03, 2.370415027122384721e+00, 3.551132023554427058e-02, 5.487186953696618907e-01, 1.957819845039575180e+00, 1.426437097060726744e+00, 3.559056183809992946e-02, 3.027306424251701919e-02, 1.488893500908918366e+00, 2.277376521152443267e+00
2.045000000000000000e+03, 2.378145859494319225e+00, 3.540426162961061302e-02, 5.475546196227404350e-01, 1.956312737420991210e+00, 1.429764875178479278e+00, 3.544849650539882296e-02, 2.938987939344174863e-02, 1.477445019569363360e+00, 2.279475343038899204e+00
2.046000000000000000e+03, 2.384545777444703418e+00, 3.334781912497315065e-02, 5.468751292488389648e-01, 1.929558360939965134e+00, 1.432181747901504210e+00, 3.505200137449759890e-02, 2.845049482628193502e-02, 1.484951241254196308e+00, 2.272956789847012438e+00
2.047000000000000000e+03, 2.387514249529747890e+00, 3.161888114285191231e-02, 5.457692682611198220e-01, 1.905619117410856100e+00, 1.434440619419009355e+00, 3.460931874127286950e-02, 2.756569983626034129e-02, 1.497318443575098357e+00, 2.267568667861892262e+00
2.048000000000000000e+03, 2.394818004598618266e+00, 3.027586582464160403e-02, 5.444183030596139172e-01, 1.884311760874844310e+00, 1.436397251819241161e+00, 3.422204134208550047e-02, 2.672147974854222410e-02, 1.505310933219258906e+00, 2.267907710651389408e+00
2.049000000000000000e+03, 2.408571469837088141e+00, 2.899232675812493665e-02, 5.435013587491147602e-01, 1.863983709286586299e+00, 1.438095913711581852e+00, 3.384490758055675591e-02, 2.593739839787473009e-02, 1.507753356767293385e+00, 2.274479687898420366e+00
2.050000000000000000e+03, 2.419599844485943674e+00, 2.775572405203701604e-02, 5.432420467255432150e-01, 1.844901077437665515e+00, 1.439559142623899834e+00, 3.344521530631638928e-02, 2.519386545171560174e-02, 1.513845409990485003e+00, 2.269021570188345382e+00
2.051000000000000000e+03, 2.428347292199470875e+00, 2.574719190846143368e-02, 5.422284449946354057e-01, 1.850519676917441680e+00, 1.441637761161177034e+00, 3.308368519745227831e-02, 2.446368458007447053e-02, 1.512125507383766054e+00, 2.268516500444042627e+00
2.052000000000000000e+03, 2.431941688679727154e+00, 2.464661166355762781e-02, 5.419740408539210907e-01, 1.837775448028915903e+00, 1.444290782027118913e+00, 3.277528367251479613e-02, 2.374521997669145137e-02, 1.506627741347072336e+00, 2.269214504892405060e+00
2.053000000000000000e+03, 2.429569100986577634e+00, 2.325734658826378309e-02, 5.416027535603843424e-01, 1.828643705111199669e+00, 1.446474419737327821e+00, 3.243000320184099422e-02, 2.307663337967591835e-02, 1.503210418905706725e+00, 2.269171575557551890e+00
2.054000000000000000e+03, 2.422368153037571137e+00, 2.291469871180507392e-02, 5.407951253319643881e-01, 1.818595237614364146e+00, 1.448189072739412664e+00, 3.207587063860614651e-02, 2.241103085226317515e-02, 1.514390302903794838e+00, 2.261580905166757915e+00
2.055000000000000000e+03, 2.418861853728131450e+00, 2.286894608375567364e-02, 5.405438929918064961e-01, 1.811941666650200844e+00, 1.450988915667645429e+00, 3.173664492872078219e-02, 2.178621597650647751e-02, 1.518906704949833708e+00, 2.264689101231715629e+00
2.056000000000000000e+03, 2.414160551925426113e+00, 3.144767407897015171e-02, 5.460865621118707880e-01, 1.797975734377843304e+00, 1.454792654559943221e+00, 3.157397475232849582e-02, 2.125771000836879088e-02, 1.519117491861040170e+00, 2.267458376475924631e+00
2.057000000000000000e+03, 2.408606771648892586e+00, 3.964855513958459587e-02, 5.508910535713752443e-01, 1.783382181721965942e+00, 1.457717099283871942e+00, 3.130623366869667717e-02, 2.079280072704201704e-02, 1.507917476902365106e+00, 2.262382424458619923e+00
2.058000000000000000e+03, 2.400279515445726819e+00, 4.730971602974189116e-02, 5.551993278865395842e-01, 1.770372045723429100e+00, 1.459668171232219480e+00, 3.101312953590341925e-02, 2.036296248804327774e-02, 1.527285992852151386e+00, 2.268233702982824784e+00
2.059000000000000000e+03, 2.393334192200768040e+00, 5.413619404568222743e-02, 5.590340363449733951e-01, 1.757925789765793834e+00, 1.461151295412808082e+00, 3.088261401424795619e-02, 2.001432327887155138e-02, 1.532214176912727988e+00, 2.267793378425996931e+00
2.060000000000000000e+03, 2.434435183864835484e+00, 6.021094294954701387e-02, 5.621067102428708440e-01, 1.746474282510256826e+00, 1.467290171551384192e+00, 3.077174164422121633e-02, 1.970403462594033997e-02, 1.522959547104745015e+00, 2.274250912045778783e+00
2.061000000000000000e+03, 2.450056397862597990e+00, 9.483143736369485655e-02, 5.824992526526441283e-01, 1.818912289470347332e+00, 1.477106161453784816e+00, 3.097280511393617555e-02, 1.934450102197301374e-02, 1.542279901440831713e+00, 2.287211042836874153e+00
2.062000000000000000e+03, 2.461418609443727590e+00, 1.256114229525503168e-01, 6.020765545961236365e-01, 1.869358814025402493e+00, 1.485365753178734982e+00, 3.106036266959308345e-02, 1.912433931017249594e-02, 1.546965102202745745e+00, 2.289220947891624114e+00
2.063000000000000000e+03, 2.472402492015365549e+00, 1.530394154893479630e-01, 6.194142462442039365e-01, 1.915376104493584419e+00, 1.492134680894745546e+00, 3.093202172065244449e-02, 1.899746819705688816e-02, 1.559014561245293917e+00, 2.282840188941136716e+00
2.064000000000000000e+03, 2.477066740302687364e+00, 1.765939106120307800e-01, 6.354319266087217200e-01, 1.959584378825316442e+00, 1.498008960546791668e+00, 3.067215312531210505e-02, 1.896472362137672021e-02, 1.573726489526054317e+00, 2.282180376236789598e+00
2.065000000000000000e+03, 2.461902952363929309e+00, 1.959526568439154959e-01, 6.490357862777643705e-01, 2.002074445422816762e+00, 1.498575229544349074e+00, 3.028986285367267148e-02, 1.904171156087545655e-02, 1.607684036513431058e+00, 2.285209565130889686e+00
2.066000000000000000e+03, 2.454873337241345599e+00, 1.898873214096829243e-01, 6.457458385257761613e-01, 2.039756173372325510e+00, 1.494948085803923687e+00, 2.980054153536839182e-02, 1.873733366276996229e-02, 1.592355784259794627e+00, 2.294978326349779163e+00
2.067000000000000000e+03, 2.451186333440120269e+00, 1.831108659120680993e-01, 6.423459907309366779e-01, 2.071225096180321135e+00, 1.491951135793669225e+00, 2.941814854190602513e-02, 1.850612031074850422e-02, 1.571111516197203128e+00, 2.313504559072460776e+00
2.068000000000000000e+03, 2.446272612603407115e+00, 1.756923686333335122e-01, 6.379196480609203856e-01, 2.107263951236600263e+00, 1.488730273382640856e+00, 2.926672923792341535e-02, 1.836230517459174622e-02, 1.571315669373759549e+00, 2.313147004715430555e+00
2.069000000000000000e+03, 2.440295566294018226e+00, 1.675372850168597716e-01, 6.341382513305180435e-01, 2.136638735148114865e+00, 1.485200575509843191e+00, 2.905855815277551962e-02, 1.829416089811402787e-02, 1.576779426704296494e+00, 2.314136759722105641e+00
2.070000000000000000e+03, 2.435381724208404819e+00, 1.569038863781032356e-01, 6.296536464911530739e-01, 2.171047490477910014e+00, 1.483295702594507937e+00, 2.884399963376930998e-02, 1.827997828380247339e-02, 1.582719726600702037e+00, 2.319561381913938458e+00
2.071000000000000000e+03, 2.429165603936952689e+00, 1.606958017539351913e-01, 6.307574972939733460e-01, 2.199722321561529359e+00, 1.483213869818424957e+00, 2.894192383901912635e-02, 1.840860969313578774e-02, 1.577882092043317419e+00, 2.337798741928435398e+00
2.072000000000000000e+03, 2.422549827167694403e+00, 1.637110034548084625e-01, 6.314825093842364456e-01, 2.226021695919643051e+00, 1.483091698588912433e+00, 2.894851836490448110e-02, 1.883508412279055744e-02, 1.551864474796981863e+00, 2.350280698720865313e+00
