year, EC-Earth3-Veg, CNRM-ESM2-1, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, TaiESM1, NorESM2-MM, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, MIROC-ES2L, IPSL-CM6A-LR
2.015000000000000000e+03, 5.896447090759979304e+00, 7.682213639784455594e+00, 7.184379755663552913e+00, 7.378706362963836085e+00, 1.044234936447371531e+01, 9.582616460741453679e+00, 9.446910032905151411e+00, 4.911056276727314263e+00, 6.336581746968163564e+00, 6.739742619353359387e+00, 5.775853704831416913e+00, 5.076316870289939054e+00, 9.808530162960183318e+00, 5.973040265155612261e+00
2.016000000000000000e+03, 6.367588101387892330e+00, 8.086186559547947184e+00, 7.114488577810670122e+00, 7.249557611470489604e+00, 1.014099790579802551e+01, 9.681346481380735725e+00, 8.857226201421177336e+00, 4.933527654152797481e+00, 5.810658821777726857e+00, 6.815232924867851594e+00, 5.719068476867292361e+00, 5.617236551995730132e+00, 9.546844892942491612e+00, 5.975670974597029783e+00
2.017000000000000000e+03, 6.068571596653007383e+00, 7.614297086593209585e+00, 7.128697143747423581e+00, 7.109991138538918953e+00, 1.017146582772728181e+01, 9.547489109837080434e+00, 8.951045784854541054e+00, 4.906539999968668297e+00, 5.633085390452269969e+00, 7.085445957221382152e+00, 5.948479405584373936e+00, 5.782719428655064497e+00, 9.497817479422753451e+00, 6.015467200948196869e+00
2.018000000000000000e+03, 5.889457752183957950e+00, 8.278663497779287894e+00, 7.131627006406963787e+00, 7.212878562506159774e+00, 1.012544854149462914e+01, 9.510679891935566843e+00, 9.187122181735830395e+00, 5.151374965889718105e+00, 5.915276238659857633e+00, 6.875607966219489775e+00, 6.099222794982662066e+00, 5.677153760265634119e+00, 9.916252884719357397e+00, 6.142363734477088499e+00
2.019000000000000000e+03, 6.230298109579221588e+00, 7.730542123382451614e+00, 7.068628870659975583e+00, 7.102762369121906616e+00, 1.016864537781393629e+01, 9.644616751748117167e+00, 9.253415865350017810e+00, 4.845794730320311494e+00, 5.831079384538559118e+00, 7.078183750657257356e+00, 6.068002242616763020e+00, 5.503654871915674818e+00, 9.884638827378813275e+00, 6.136124327179824256e+00
2.020000000000000000e+03, 6.294885750605312857e+00, 8.009518646878307280e+00, 7.109688004649947324e+00, 7.201881824405813148e+00, 1.009190659600663409e+01, 9.651211277747826500e+00, 9.565321998223202726e+00, 5.057675152959280496e+00, 5.875158865748497661e+00, 7.094155532263854091e+00, 5.858876516664777157e+00, 5.515095498580824263e+00, 9.955268804044273168e+00, 6.145887664252654758e+00
2.021000000000000000e+03, 5.930265868259606776e+00, 8.159821759710769840e+00, 7.100609555428253117e+00, 7.325887955255386608e+00, 1.047087895671178082e+01, 1.020106239585227925e+01, 9.482154866943064420e+00, 5.235776879869296963e+00, 5.894104890550925013e+00, 7.306101006632681916e+00, 5.984125457683258098e+00, 5.736559668712154725e+00, 9.730018253539135742e+00, 6.269961650161381961e+00
2.022000000000000000e+03, 5.888343168484270862e+00, 8.114019214229516663e+00, 6.935528595628254855e+00, 7.373545404284210569e+00, 1.049530263999199420e+01, 9.788859617742195596e+00, 9.703994403381013711e+00, 5.001088623456787730e+00, 5.761658653750513004e+00, 7.010059965343484301e+00, 6.082432084872736233e+00, 5.601182306028776203e+00, 9.680011124711727533e+00, 6.081724319875468687e+00
2.023000000000000000e+03, 6.605096779489880277e+00, 7.998569788561137983e+00, 7.078692378876225710e+00, 7.166277243535970065e+00, 9.954963216042560958e+00, 9.619433093415569402e+00, 9.279406165357414693e+00, 5.059242756125748031e+00, 5.680189433400602006e+00, 7.065882573272911138e+00, 5.882620621143984430e+00, 5.664177392508480402e+00, 9.909032889817313006e+00, 6.328456947909035790e+00
2.024000000000000000e+03, 6.313775155759221214e+00, 8.371472868265549039e+00, 7.003247844942050548e+00, 7.332811703759220201e+00, 1.012701408814091941e+01, 9.894657348798666874e+00, 9.557639357987632422e+00, 5.139826728360401553e+00, 5.641243965636745017e+00, 7.240713877276691690e+00, 6.173379958023725855e+00, 5.476369445675060454e+00, 1.019361007932323915e+01, 6.338552549005309622e+00
2.025000000000000000e+03, 6.193534252213454216e+00, 8.613752452851487718e+00, 6.915510051383739309e+00, 7.344305459245020096e+00, 1.045016971544877826e+01, 9.837206071319423373e+00, 9.358550883792789321e+00, 5.052577969385427359e+00, 5.847359188802953689e+00, 7.228301688214587628e+00, 6.113340749890805448e+00, 5.445951077883779412e+00, 9.990660276343882984e+00, 6.166637881949338151e+00
2.026000000000000000e+03, 6.361712557265148504e+00, 8.508350009252453106e+00, 6.922198587154940519e+00, 7.443885660879437260e+00, 1.037005357004908213e+01, 9.719880990294122114e+00, 9.515402144471714507e+00, 5.234763592205798233e+00, 5.808911266538888896e+00, 7.182320130872671626e+00, 5.790757516283090212e+00, 5.676697036107092309e+00, 9.714508900954957227e+00, 6.354082970639846728e+00
2.027000000000000000e+03, 6.512428375157644389e+00, 8.587979658877619826e+00, 7.218801973626643331e+00, 7.549169618969996165e+00, 1.016423929076016286e+01, 9.906273289795567649e+00, 9.758920746550668213e+00, 5.214015647090276317e+00, 6.007805893798580321e+00, 7.216029654590455422e+00, 5.819268384805316607e+00, 5.635406072044896852e+00, 9.919266156102226617e+00, 6.213281256393248242e+00
2.028000000000000000e+03, 6.383946353813789720e+00, 8.572837986456859127e+00, 7.263397710681960717e+00, 7.340301871057341998e+00, 1.051594421525455303e+01, 1.000118931211337703e+01, 9.756857234483385710e+00, 5.223476039944530136e+00, 5.973342076038627546e+00, 7.547147852376308030e+00, 6.142605331662103652e+00, 5.802912027565318098e+00, 1.032495923564775886e+01, 6.333218391390816215e+00
2.029000000000000000e+03, 6.783555058510398084e+00, 7.948624813312131998e+00, 7.515436633862598192e+00, 7.476227333474270154e+00, 1.045468561932718465e+01, 9.827748768796228163e+00, 1.002553796700221156e+01, 5.249298371896944815e+00, 5.829670002017806496e+00, 7.649892812141816378e+00, 5.921417184620238139e+00, 5.586156358091403540e+00, 1.017102878989635784e+01, 6.435456841057209942e+00
