year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.090000000000000000e+03, 7.268001926763456959e-10, 2.464298641316543455e-10, 3.672866719259407334e-10
2.091000000000000000e+03, 7.884954018616781208e-10, 2.680460017891141029e-10, 3.298663453714913858e-10
2.092000000000000000e+03, 7.610413755839035004e-10, 2.610614333247474068e-10, 3.204308160475812945e-10
2.093000000000000000e+03, 7.587429411532013134e-10, 2.255851209906525627e-10, 3.464751933546686150e-10
2.094000000000000000e+03, 7.751422346110707419e-10, 2.323345975860551875e-10, 3.457104724752829893e-10
2.095000000000000000e+03, 7.888001698626174371e-10, 2.766264025997775819e-10, 3.784402758468837682e-10
2.096000000000000000e+03, 7.180208224625560789e-10, 2.546219458707877911e-10, 3.402976625470200302e-10
2.097000000000000000e+03, 7.847032258323669146e-10, 3.112178093845474853e-10, 2.940400991816250671e-10
2.098000000000000000e+03, 7.729809610376964121e-10, 2.325902672904159275e-10, 3.316043408312746091e-10
2.099000000000000000e+03, 7.753116402013494605e-10, 2.216873646425035607e-10, 3.104644157923471087e-10
2.100000000000000000e+03, 7.766798206148080645e-10, 2.676488740019681832e-10, 3.929777952448095014e-10
