year, CMCC-CM2-SR5, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, TaiESM1, CESM2-WACCM, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, NorESM2-MM, MIROC-ES2L, IPSL-CM6A-LR, NorESM2-LM, CanESM5
2.015000000000000000e+03, 7.683752350882397195e+02, 2.638131336297384451e+02, 3.627401828963502339e+02, 3.820714130848759851e+02, 8.147066662317780583e+01, 5.309106511003776632e+02, 1.612520389375104344e+02, 8.548633658006717440e+01, 1.765992177452472447e+02, 3.233556262267206307e+02, 2.773483450051647310e+02, 9.225482353036476013e+01, 6.701181051278451832e+02, 2.082758121404336862e+02
2.016000000000000000e+03, 7.682821768859068925e+02, 2.638140593122548125e+02, 3.629822801405406381e+02, 3.824102988485331593e+02, 8.143011937662299715e+01, 5.309997773538232195e+02, 1.612660092369452514e+02, 8.541760869142316892e+01, 1.766249646859482141e+02, 3.234066216737418813e+02, 2.773303282641008423e+02, 9.234903366396014235e+01, 6.702321405157389336e+02, 2.081787592400671087e+02
2.017000000000000000e+03, 7.681488919560756585e+02, 2.637778002798773400e+02, 3.631492486776227224e+02, 3.827061659185901021e+02, 8.138273272042047779e+01, 5.310684140472212675e+02, 1.613391909436907383e+02, 8.537505868519140506e+01, 1.766112289912776703e+02, 3.234964415366881099e+02, 2.772613987983876882e+02, 9.245441819952856122e+01, 6.703170661003277928e+02, 2.080992720213990594e+02
2.018000000000000000e+03, 7.680565359385891497e+02, 2.637895514747577295e+02, 3.633229843632288407e+02, 3.828885928789269997e+02, 8.158148379224954283e+01, 5.311078542241986042e+02, 1.614951200391128054e+02, 8.530585725382914575e+01, 1.766259232226474865e+02, 3.236381024590697280e+02, 2.772849781285226527e+02, 9.253629637321206758e+01, 6.703498757196472297e+02, 2.080109309725161211e+02
2.019000000000000000e+03, 7.680894780164543363e+02, 2.638345098745797372e+02, 3.634636299628493248e+02, 3.832508781259955413e+02, 8.142453214265105998e+01, 5.311330802044933534e+02, 1.617520131167897830e+02, 8.534309169845519705e+01, 1.766226281245947973e+02, 3.237424009028165983e+02, 2.773406339575029165e+02, 9.265814014429710710e+01, 6.703837602587697120e+02, 2.079349878057558101e+02
2.020000000000000000e+03, 7.681649076661823301e+02, 2.638615130349882065e+02, 3.637390861655852063e+02, 3.833465508830838644e+02, 8.134582378487110077e+01, 5.312074136465164429e+02, 1.618802995049658477e+02, 8.535404719242316673e+01, 1.766520031228883170e+02, 3.238329930187577474e+02, 2.773304733417543844e+02, 9.277479553007565016e+01, 6.704652391430702210e+02, 2.078846653665382576e+02
2.021000000000000000e+03, 7.680434356981303381e+02, 2.638489834215197902e+02, 3.640707063474917504e+02, 3.833619435708270089e+02, 8.153725026695626354e+01, 5.312942856143907875e+02, 1.618745791666862601e+02, 8.526758524931926786e+01, 1.767126128214707990e+02, 3.239186498269713752e+02, 2.772368532652678823e+02, 9.290561083555945743e+01, 6.705259124905514909e+02, 2.078582130875564644e+02
2.022000000000000000e+03, 7.678176101872800245e+02, 2.639087814570366959e+02, 3.643506579084339023e+02, 3.834292953463969411e+02, 8.151788169337130796e+01, 5.313668797254185847e+02, 1.619048016131303029e+02, 8.516692538436360849e+01, 1.767275702071115688e+02, 3.240253139614345059e+02, 2.771402611514317869e+02, 9.303936686069346251e+01, 6.705447163308184599e+02, 2.078113060052892536e+02
2.023000000000000000e+03, 7.678567328706645867e+02, 2.639904049988901420e+02, 3.646313331765064163e+02, 3.836149813455842263e+02, 8.138669761256358015e+01, 5.314668918942866185e+02, 1.620865441551516710e+02, 8.521017806137150785e+01, 1.766899481274372192e+02, 3.241632801231866665e+02, 2.771232315963977726e+02, 9.314639373362570041e+01, 6.705844636240603904e+02, 2.077668933096336730e+02
2.024000000000000000e+03, 7.679957792653187880e+02, 2.639716373463327272e+02, 3.648794035938154252e+02, 3.836538663271232394e+02, 8.139522910070317607e+01, 5.315959149026659816e+02, 1.623641539372769387e+02, 8.515509930628566337e+01, 1.767196429078133804e+02, 3.242870417297768313e+02, 2.772217805880499668e+02, 9.326137985054370461e+01, 6.706401736151717614e+02, 2.077382944405958938e+02
2.025000000000000000e+03, 7.680036808761527709e+02, 2.639384776033126627e+02, 3.650889285320359932e+02, 3.837693582077786232e+02, 8.140301935816964374e+01, 5.316549384203524369e+02, 1.623686695477534556e+02, 8.493548637831480619e+01, 1.767846992062001164e+02, 3.243849563598794248e+02, 2.772295040522745353e+02, 9.338755094506372245e+01, 6.707482538482316841e+02, 2.076834086659335412e+02
2.026000000000000000e+03, 7.678806539859883742e+02, 2.639417871554482531e+02, 3.653770852844307342e+02, 3.839470283713901040e+02, 8.138523067192964788e+01, 5.317264465097596258e+02, 1.624628251770187433e+02, 8.484447982201427862e+01, 1.768661209487396491e+02, 3.244749414993921732e+02, 2.771917444559454680e+02, 9.352616181699241338e+01, 6.708296876177607828e+02, 2.076568428018246379e+02
2.027000000000000000e+03, 7.677614320506449985e+02, 2.639394672154684827e+02, 3.656527779353401115e+02, 3.840122410548092375e+02, 8.139971503568632727e+01, 5.318617044676334444e+02, 1.626966595043187169e+02, 8.487236731883822927e+01, 1.769366878099871201e+02, 3.245805879597634203e+02, 2.771917518811850982e+02, 9.363251051107305045e+01, 6.708664777822242513e+02, 2.076429157470907683e+02
2.028000000000000000e+03, 7.675817127578326335e+02, 2.639142929105371991e+02, 3.658567701293787877e+02, 3.842222474341270981e+02, 8.150625637862052031e+01, 5.319804290817128276e+02, 1.629410444400172082e+02, 8.489608408798234507e+01, 1.769657264915715871e+02, 3.246590912651759027e+02, 2.772615431121863026e+02, 9.374712677356659185e+01, 6.709231764829099802e+02, 2.076563141030727593e+02
2.029000000000000000e+03, 7.675280431731920316e+02, 2.638540838411702225e+02, 3.661603932513341988e+02, 3.843176854956953434e+02, 8.151961008105922701e+01, 5.320242022006954130e+02, 1.630357834656463751e+02, 8.483940239030272323e+01, 1.770526708247256522e+02, 3.247530036658476433e+02, 2.772167949591412253e+02, 9.385777018506780678e+01, 6.709690064876944007e+02, 2.076828019264528962e+02
2.030000000000000000e+03, 7.674782402644848389e+02, 2.637757603377030478e+02, 3.665316307112161667e+02, 3.841869178167247583e+02, 8.156838427661593016e+01, 5.320941584490240075e+02, 1.629736370148378342e+02, 8.484924323444495542e+01, 1.771787403734731470e+02, 3.249083931475689724e+02, 2.771390716315516443e+02, 9.399786784642259363e+01, 6.710297886840354522e+02, 2.076922915482499832e+02
2.031000000000000000e+03, 7.674612710187395805e+02, 2.637480251922700631e+02, 3.668610271597332826e+02, 3.842205466589224443e+02, 8.134586557504430004e+01, 5.321483979961614068e+02, 1.629410366050539380e+02, 8.472076519702950748e+01, 1.772793433495613726e+02, 3.250365091120707461e+02, 2.769992184442930920e+02, 9.411327147634712276e+01, 6.711119899144133569e+02, 2.076911002202255077e+02
