year, NorESM2-MM, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CESM2-WACCM, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.036000000000000000e+03, 1.387907037416227805e-10, 5.995518841578868995e-10, 1.334349421662563444e-10, 9.618296059315807320e-11, 4.950000267377220621e-10, 5.039866768928667696e-10, 6.350456889799587383e-10, 1.159786609081428936e-09, 1.226538020662872615e-09
2.037000000000000000e+03, 1.387073911206423840e-10, 6.041693375426899528e-10, 1.331942580347503455e-10, 9.608737278641276675e-11, 5.027887909151785312e-10, 4.915490224809417194e-10, 6.943443358782021255e-10, 1.084772371974201961e-09, 1.167697417618322535e-09
2.038000000000000000e+03, 1.387551216421451324e-10, 6.057749246525510413e-10, 1.327306330376628132e-10, 9.627972078865142742e-11, 4.522401574740398776e-10, 4.843710358468987500e-10, 8.309332567300126487e-10, 1.142090226604260345e-09, 1.275381554494577957e-09
2.039000000000000000e+03, 1.392392250765840911e-10, 6.085478511033746368e-10, 1.331978345477476210e-10, 9.675082653461125069e-11, 4.819329533970649456e-10, 4.683258479002895881e-10, 7.010321876629856849e-10, 1.119661261195259511e-09, 1.327484617126877224e-09
2.040000000000000000e+03, 1.395021589893581102e-10, 6.047336072976051701e-10, 1.334418300319355466e-10, 9.697050686327283909e-11, 4.516410852865287241e-10, 4.276326896933317733e-10, 7.442640244661117970e-10, 1.125572454064036398e-09, 1.393192811237067352e-09
2.041000000000000000e+03, 1.395744947004741320e-10, 5.936169678549537976e-10, 1.335599548048167132e-10, 9.744102273376190730e-11, 4.356865881436976526e-10, 4.540280473882930537e-10, 7.159982638181289253e-10, 1.166454747053218185e-09, 1.417802321667000131e-09
2.042000000000000000e+03, 1.398045186543057923e-10, 6.061616710203554081e-10, 1.333818748514319892e-10, 9.804960897122255502e-11, 4.056821479465400546e-10, 5.541583653073784888e-10, 7.659419255760841860e-10, 1.125447707823837952e-09, 1.204718159071192003e-09
2.043000000000000000e+03, 1.396366266385722912e-10, 6.026898753426909764e-10, 1.333826221466189887e-10, 9.809121240569200690e-11, 4.413154893450463543e-10, 5.483923335309534593e-10, 7.161013834174207902e-10, 1.078248540562929271e-09, 1.227548130308873489e-09
2.044000000000000000e+03, 1.396747810175649037e-10, 6.002332803082392761e-10, 1.335467806935464271e-10, 9.818229530770784414e-11, 4.645515102514977192e-10, 4.966496303643595584e-10, 7.073030224008359334e-10, 1.100504872548219477e-09, 1.265043640513276002e-09
2.045000000000000000e+03, 1.405743335068567292e-10, 6.017811942586111615e-10, 1.338902351815935730e-10, 9.857738554450270803e-11, 4.194100604561977187e-10, 5.228157357358179814e-10, 6.355897323727544670e-10, 1.208807420155522332e-09, 1.215928475188171686e-09
2.046000000000000000e+03, 1.404811688088529443e-10, 5.917163715201401699e-10, 1.339100160811230654e-10, 9.860128860204006145e-11, 4.338361771426658384e-10, 5.933705104475453327e-10, 7.463878680654855926e-10, 1.205673706877323930e-09, 1.258453550243989977e-09
2.047000000000000000e+03, 1.402599732629409350e-10, 5.832293254564520687e-10, 1.338819690860211484e-10, 9.865117106492887066e-11, 4.649350909714348062e-10, 5.674992460356320935e-10, 6.615644077467381305e-10, 1.117717268713012413e-09, 1.175874694997133945e-09
2.048000000000000000e+03, 1.399043076169675115e-10, 5.834303373691342622e-10, 1.334934264664048799e-10, 9.868198325125153860e-11, 4.838247328634246240e-10, 5.172453709277737367e-10, 7.510267218174193166e-10, 1.170988097846665356e-09, 1.325055379460244041e-09
2.049000000000000000e+03, 1.395772194762688847e-10, 5.920041714667621303e-10, 1.333317207971917522e-10, 9.892358755864409309e-11, 4.867203905454855275e-10, 4.815746443137661400e-10, 6.940707200342035719e-10, 1.138910749411611521e-09, 1.265956550728492358e-09
2.050000000000000000e+03, 1.394534984326986796e-10, 5.845484713900563616e-10, 1.331875832887920049e-10, 9.990704042815052478e-11, 5.006952944344125340e-10, 4.620670435698752968e-10, 7.984605521802561070e-10, 1.126347809243748996e-09, 1.337569949966620314e-09
2.051000000000000000e+03, 1.456836609858317611e-10, 5.856579673867248689e-10, 1.360615276486110616e-10, 9.952576645614992780e-11, 4.771334386446481324e-10, 5.295303687494163664e-10, 6.077070848966196957e-10, 1.100022476251647987e-09, 1.161296084799725041e-09
2.052000000000000000e+03, 1.447926726463515793e-10, 5.884916675288625398e-10, 1.355126988967512317e-10, 9.910276279813888652e-11, 4.462417119541844898e-10, 4.845044249604044110e-10, 8.342875580222187121e-10, 1.144275724611178774e-09, 1.199667106923256220e-09
2.053000000000000000e+03, 1.436877929222676496e-10, 5.895375842653791491e-10, 1.345820866720428800e-10, 9.854765743564037873e-11, 4.259181084268964186e-10, 5.039762121832001477e-10, 6.906565737555969471e-10, 1.139196030095255898e-09, 1.125812790417585881e-09
2.054000000000000000e+03, 1.429958971722920286e-10, 5.808818309300217532e-10, 1.339131615214875792e-10, 9.854633982664529558e-11, 4.515142517609029517e-10, 4.385776229385594833e-10, 7.176580715802573878e-10, 1.160641882623716747e-09, 1.237483247307515477e-09
2.055000000000000000e+03, 1.419464141923991048e-10, 5.822065592830328061e-10, 1.330935732773282919e-10, 9.843546393923702167e-11, 4.601595054321904018e-10, 4.773329354339463833e-10, 7.510907309686604302e-10, 1.164604234666823888e-09, 1.273444404896616669e-09
2.056000000000000000e+03, 1.413828952468432104e-10, 5.821062245654241268e-10, 1.325850991733781154e-10, 9.787794726041237972e-11, 4.486030881414747741e-10, 5.112948426268669781e-10, 7.206452559131109732e-10, 1.168007416472078065e-09, 1.315450122875236960e-09
2.057000000000000000e+03, 1.403258305961864764e-10, 5.737554588674668349e-10, 1.317226213900920625e-10, 9.728412229334179443e-11, 4.051962994102293388e-10, 5.005283408256740846e-10, 8.000029685960266811e-10, 1.108403211040459257e-09, 1.327822421976392458e-09
2.058000000000000000e+03, 1.392621251193116765e-10, 5.823428394630330301e-10, 1.309067160784223907e-10, 9.705177180533844150e-11, 4.561331244212602090e-10, 5.255486187189750236e-10, 7.820345948115322057e-10, 1.169301053395059642e-09, 1.335461638333751490e-09
2.059000000000000000e+03, 1.390366867733023636e-10, 5.831086552896663161e-10, 1.307367041052104103e-10, 9.711078423808177489e-11, 4.645116687582006129e-10, 5.311973319538072065e-10, 7.738058680926855429e-10, 1.132672821164880331e-09, 1.251546999936679903e-09
2.060000000000000000e+03, 1.395558217515360235e-10, 5.861016843657617800e-10, 1.308783095317335059e-10, 9.639994991821306766e-11, 4.295996466640588484e-10, 4.947319318032733000e-10, 7.151168498764290770e-10, 1.164006362354441931e-09, 1.170269439724486735e-09
2.061000000000000000e+03, 1.383516411156541990e-10, 5.955468948968150075e-10, 1.298704809392932144e-10, 9.595332997797743927e-11, 4.561268931821070066e-10, 4.745608069547075393e-10, 7.239940266303165736e-10, 1.122075470058876441e-09, 1.218766744121227302e-09
2.062000000000000000e+03, 1.375517974200662026e-10, 5.927775515834183269e-10, 1.294642634289097139e-10, 9.518549742378052656e-11, 4.439863008374940488e-10, 4.556805138138585093e-10, 7.452831771052101386e-10, 1.147475028016655644e-09, 1.288478755601804932e-09
2.063000000000000000e+03, 1.367429940306363601e-10, 5.799632017184406506e-10, 1.288691486521723456e-10, 9.476599316201659006e-11, 4.583266489337813291e-10, 5.425650970750269104e-10, 7.357195225286822930e-10, 1.110443515359898620e-09, 1.313717705226037133e-09
2.064000000000000000e+03, 1.361078270124150261e-10, 5.763123844268890743e-10, 1.282924241329205127e-10, 9.378062143429178194e-11, 4.839115860856104118e-10, 5.192665383245096870e-10, 8.049888644502532199e-10, 1.159505341322226893e-09, 1.373167580308011350e-09
2.065000000000000000e+03, 1.353818690693958667e-10, 5.782470272925387466e-10, 1.278322296461246320e-10, 9.315841182949285222e-11, 5.699279749900110613e-10, 4.076104645026700696e-10, 7.181657764405525212e-10, 1.185961368894237375e-09, 1.412131325849290293e-09
2.066000000000000000e+03, 1.346883982486469717e-10, 5.902035966649548002e-10, 1.271146225007387794e-10, 9.269974940742996037e-11, 5.347649714522578758e-10, 5.213501478725270437e-10, 8.024539257596356960e-10, 1.157625084432544781e-09, 1.320333454292667844e-09
2.067000000000000000e+03, 1.335866682568868749e-10, 6.149440849034225768e-10, 1.263258283748580785e-10, 9.239005019500633671e-11, 4.813217752284097917e-10, 5.272216654960567377e-10, 6.996881853995546753e-10, 1.135902076725739898e-09, 1.254769279059104489e-09
2.068000000000000000e+03, 1.329825057407390827e-10, 6.140011197109862731e-10, 1.258000363896853449e-10, 9.156234375200137878e-11, 4.908218898622105381e-10, 5.376570168057650785e-10, 8.300398455794077509e-10, 1.181664764268842505e-09, 1.365730093681265765e-09
2.069000000000000000e+03, 1.320912155385698423e-10, 6.145565490848589986e-10, 1.250577369297282521e-10, 9.109306533716491577e-11, 5.155322601592147048e-10, 5.720522364710060271e-10, 7.444585946414961780e-10, 1.088311061270283591e-09, 1.341380988533367662e-09
2.070000000000000000e+03, 1.313977059686099825e-10, 6.031814848525912215e-10, 1.242902670334901361e-10, 9.079373600094712395e-11, 5.407074022780136194e-10, 5.653845171858005920e-10, 7.754251247271206394e-10, 1.123082734572988374e-09, 1.454222996568614620e-09
2.071000000000000000e+03, 1.308058843523621266e-10, 6.068968410537766383e-10, 1.238706117715496451e-10, 8.977109623430757124e-11, 5.240236158901095051e-10, 6.015177302486457640e-10, 8.590266964545989075e-10, 1.201172814628466996e-09, 1.339548763135631856e-09
2.072000000000000000e+03, 1.298176210323026313e-10, 6.099967219451887587e-10, 1.230645209041126080e-10, 8.908227238349319487e-11, 4.441622597992918429e-10, 5.071243692947769630e-10, 7.309329307715631607e-10, 1.186953877950333748e-09, 1.442952185828320653e-09
2.073000000000000000e+03, 1.288899500837463927e-10, 6.229178041452092348e-10, 1.222710206491375876e-10, 8.831825624971798150e-11, 4.335139045779877120e-10, 4.934036610612506407e-10, 7.811690949212158061e-10, 1.130467706539834490e-09, 1.359522469123628525e-09
2.074000000000000000e+03, 1.278819763100943780e-10, 6.188025898935342367e-10, 1.214685697617551396e-10, 8.773591734186515296e-11, 4.874720796642067895e-10, 5.427573348358746627e-10, 6.901237098533168632e-10, 1.159441386017583886e-09, 1.412027554543008457e-09
2.075000000000000000e+03, 1.271035778345192259e-10, 6.037381334379028010e-10, 1.207554816372559895e-10, 8.689354169036263087e-11, 5.121593847102706515e-10, 5.525217967947856849e-10, 7.689888128698918875e-10, 1.188804219039103419e-09, 1.403718194768760741e-09
2.076000000000000000e+03, 1.260942838244715168e-10, 6.032702651883026702e-10, 1.199353245669161591e-10, 8.577372581720165087e-11, 6.052811799429159416e-10, 5.622619844865620994e-10, 8.004074929178393023e-10, 1.209581243979891646e-09, 1.465205236750519442e-09
2.077000000000000000e+03, 1.250249772688651018e-10, 6.007386490547160073e-10, 1.189313169637087181e-10, 8.413434857320518452e-11, 5.770442113642816430e-10, 5.260061140720039467e-10, 8.317315675223856627e-10, 1.243547424641040959e-09, 1.397481976117816544e-09
2.078000000000000000e+03, 1.238492125891347324e-10, 6.004546542951153369e-10, 1.178782657634594886e-10, 8.290108779823225733e-11, 5.698493798207217138e-10, 5.642746336233250906e-10, 7.930584903551041328e-10, 1.168939519828236804e-09, 1.460071030034521703e-09
2.079000000000000000e+03, 1.227433916785400372e-10, 6.126998284951702112e-10, 1.168358347458769716e-10, 8.151300617304259265e-11, 6.053965482786981855e-10, 6.011344633339336604e-10, 7.971763302823409589e-10, 1.233778007624044335e-09, 1.569192067782155230e-09
2.080000000000000000e+03, 1.215592395782789402e-10, 6.264259009544817576e-10, 1.158081129513238346e-10, 8.059613303811523734e-11, 5.880541845215411367e-10, 6.060848675347750457e-10, 8.932936957585261135e-10, 1.234075408613201270e-09, 1.537687778427800689e-09
2.081000000000000000e+03, 1.206288164652149741e-10, 6.249254293173742070e-10, 1.149707368379326711e-10, 7.976182871130585622e-11, 5.703441480050533580e-10, 5.788224098479714990e-10, 8.460008703707791836e-10, 1.243229001341746044e-09, 1.588566564532696851e-09
2.082000000000000000e+03, 1.196447763877224080e-10, 6.444196048855303338e-10, 1.140471119830236914e-10, 7.893816075755926171e-11, 5.182769393946209511e-10, 5.637533370557915735e-10, 8.413347639825857945e-10, 1.230900011927458422e-09, 1.649522585893394295e-09
2.083000000000000000e+03, 1.186078742531031975e-10, 6.290384294298145470e-10, 1.130847314875668871e-10, 7.808316338263968968e-11, 5.507378314472483867e-10, 5.794378712978175747e-10, 8.492463766748165963e-10, 1.257519974763340327e-09, 1.542972066667359432e-09
2.084000000000000000e+03, 1.177735785924029813e-10, 6.320887992980284409e-10, 1.122859278329029077e-10, 7.728839360976903097e-11, 5.904896827915507433e-10, 5.838763642590555443e-10, 7.994170085857054425e-10, 1.269856511880929470e-09, 1.569918903096531550e-09
2.085000000000000000e+03, 1.168334390580377836e-10, 6.244343800183197281e-10, 1.114410853874106906e-10, 7.625428636453496824e-11, 6.023821579647732310e-10, 5.937077277298555730e-10, 8.887024042715922007e-10, 1.220846587464900995e-09, 1.523635482427847941e-09
2.086000000000000000e+03, 1.155317607275260239e-10, 6.244576198458890954e-10, 1.101927559534855379e-10, 7.565558560169670074e-11, 5.698814265609659579e-10, 6.039151013833332313e-10, 8.399323490605361730e-10, 1.256714425109468731e-09, 1.514466290821920632e-09
2.087000000000000000e+03, 1.146242642044955587e-10, 6.324488722882821039e-10, 1.093779840888430888e-10, 7.475229734869541677e-11, 5.846392331155791294e-10, 5.644952336778994795e-10, 8.331841923696238491e-10, 1.274696805298444788e-09, 1.591125433226305044e-09
2.088000000000000000e+03, 1.132966527067901017e-10, 6.329742156880178106e-10, 1.080403137710820399e-10, 7.402240051236097954e-11, 5.673244942653196112e-10, 5.939668850782687053e-10, 8.827722270749046345e-10, 1.200109068855465236e-09, 1.452281119385113533e-09
2.089000000000000000e+03, 1.124424435361403030e-10, 6.269062534191516856e-10, 1.071677535047055094e-10, 7.326205898897540826e-11, 5.942150167329320763e-10, 6.226121345420435326e-10, 9.108426586362420997e-10, 1.206544662131680554e-09, 1.554708631603491063e-09
2.090000000000000000e+03, 1.114543945987738831e-10, 6.201628654689553659e-10, 1.062054492469884704e-10, 7.237518265214581890e-11, 6.380002603914488417e-10, 5.507303514648200541e-10, 8.610579885285397434e-10, 1.279107826423163696e-09, 1.577269846393030163e-09
2.091000000000000000e+03, 1.103454829862367960e-10, 6.299510254006131837e-10, 1.051352068893948278e-10, 7.167173884466855948e-11, 6.107298581480629800e-10, 5.536516126028113568e-10, 8.703768494291021469e-10, 1.282544879646615438e-09, 1.560775089891888846e-09
2.092000000000000000e+03, 1.090369871277372156e-10, 6.293044865224361651e-10, 1.038075219057064434e-10, 7.069435068637324426e-11, 6.201420251254617045e-10, 5.964815619889584845e-10, 8.006100197465918497e-10, 1.187964153130792985e-09, 1.497827991255462605e-09
2.093000000000000000e+03, 1.077132060092514446e-10, 6.325439117556270693e-10, 1.025865200194583114e-10, 6.949317468953045044e-11, 6.428681354566372393e-10, 5.913240495712413000e-10, 8.755171952496326732e-10, 1.189495666466588228e-09, 1.690490638084896121e-09
2.094000000000000000e+03, 1.061880035917215974e-10, 6.379598861627986429e-10, 1.011518957462386465e-10, 6.890815922448655736e-11, 5.772295176975049351e-10, 5.882646877198760203e-10, 8.434310922527178807e-10, 1.199119924523613934e-09, 1.563222271366432563e-09
2.095000000000000000e+03, 1.052546730748296933e-10, 6.421713013999671704e-10, 1.002586003378125013e-10, 6.811753996768347010e-11, 5.890323736827736188e-10, 6.336479763699627315e-10, 8.966925392607981885e-10, 1.269305010224028981e-09, 1.587972230251666243e-09
2.096000000000000000e+03, 1.040032783806291831e-10, 6.139955163041262605e-10, 9.903847820516620342e-11, 6.721037451494548586e-11, 5.693874781198448118e-10, 6.035441723363549227e-10, 8.443413888996716216e-10, 1.292504137831118030e-09, 1.464916936996115485e-09
2.097000000000000000e+03, 1.028112875786439011e-10, 6.074011131055528024e-10, 9.776476049889594513e-11, 6.661386927735663914e-11, 5.614362399917908298e-10, 5.398604267905961825e-10, 7.624345556166140814e-10, 1.272517152624480082e-09, 1.471205620271699114e-09
2.098000000000000000e+03, 1.018592223930296604e-10, 6.224732752535577740e-10, 9.676668288670968937e-11, 6.569015405731478225e-11, 5.569776909250335165e-10, 4.760885138684377661e-10, 8.608644989053790227e-10, 1.152427305068655380e-09, 1.561705500429218633e-09
2.099000000000000000e+03, 1.004923990630457050e-10, 6.141655456886841768e-10, 9.536574542287350426e-11, 5.466069778510061346e-11, 5.505879922478649674e-10, 5.813615682400365660e-10, 8.090308719961526629e-10, 1.170718213308872329e-09, 1.592272449792975179e-09
2.100000000000000000e+03, 9.742567178289335789e-11, 6.010532592709217184e-10, 9.614831704655729521e-11, 5.485049202624710930e-11, 5.820469637466053697e-10, 5.906255402502465800e-10, 9.086209584344154661e-10, 1.223237695209349876e-09, 1.579275998540880610e-09
