year, NorESM2-MM, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CESM2-WACCM, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.015000000000000000e+03, 0.000000000000000000e+00, 6.096286193102841365e-10, 1.222162679633465768e-10, 8.274076373038857507e-11, 4.144047458169872440e-10, 5.228536687756354024e-10, 5.635592851636226173e-10, 1.170383018152099042e-09, 1.176114069520076964e-09
2.016000000000000000e+03, 1.295811917541963758e-10, 6.146991341333725196e-10, 1.214237011619661934e-10, 7.840522070891058445e-11, 4.116544895426865958e-10, 4.430960130174481270e-10, 4.917107987611230119e-10, 1.222325555456797472e-09, 1.233387797682038029e-09
2.017000000000000000e+03, 1.322557360460030146e-10, 6.194257299579961860e-10, 1.201408357942050917e-10, 7.989693803012645418e-11, 4.086889679282457379e-10, 4.596852099034571192e-10, 5.545260367609606778e-10, 1.152063424865242669e-09, 1.163238295966571052e-09
2.018000000000000000e+03, 1.324188400955108707e-10, 6.137202399007893639e-10, 1.218907022551002875e-10, 8.389124226141145938e-11, 4.522843972504581269e-10, 5.101724759806348897e-10, 6.797135023736258924e-10, 1.185714363996350887e-09, 1.255552577413740806e-09
2.019000000000000000e+03, 1.319795618401607999e-10, 6.102772349445603633e-10, 1.243938777400504266e-10, 8.521634434699218596e-11, 4.780392917583514524e-10, 5.086342911098070447e-10, 6.168842330372663486e-10, 1.113094134180453070e-09, 1.133083288946602400e-09
2.020000000000000000e+03, 1.329430733919142890e-10, 5.980150328361425408e-10, 1.254430233603199028e-10, 8.634888794144252299e-11, 4.619677020309596515e-10, 4.773338165501029474e-10, 6.731820361397233759e-10, 1.178843541550191358e-09, 1.302141955350491248e-09
2.021000000000000000e+03, 1.335845378646035245e-10, 5.925369866419656274e-10, 1.262407697629937426e-10, 8.670557418097529957e-11, 4.859836345281939336e-10, 4.929270678298620390e-10, 5.948447783193799047e-10, 1.178210437101954633e-09, 1.246358624494417699e-09
2.022000000000000000e+03, 1.336425186919584086e-10, 6.002467654250461715e-10, 1.265887859477763232e-10, 8.800223780639126188e-11, 4.133904437430317718e-10, 5.278788723107486584e-10, 5.944746061948367060e-10, 1.165389168731290300e-09, 1.232723007258335323e-09
2.023000000000000000e+03, 1.349623603195796630e-10, 6.076948434692569585e-10, 1.280019963967252949e-10, 8.881673194182624593e-11, 3.988609324897988710e-10, 4.732823144848434093e-10, 6.378244509971176809e-10, 1.136517570562105468e-09, 1.245754264423380294e-09
2.024000000000000000e+03, 1.353529260207426902e-10, 6.083898290757946923e-10, 1.286259018892728008e-10, 8.986245420024825945e-11, 4.609872611826901454e-10, 4.848169495577498981e-10, 6.273866512505151156e-10, 1.150147527741309473e-09, 1.167597551743169636e-09
2.025000000000000000e+03, 1.365637600182054089e-10, 6.058991672612421845e-10, 1.301402663638302881e-10, 9.086115364481049715e-11, 4.724111868482478428e-10, 4.740596141623777377e-10, 6.110324852009318017e-10, 1.199287727673156366e-09, 1.237689047586544433e-09
2.026000000000000000e+03, 1.392943726558962535e-10, 6.107326799975125289e-10, 1.320155974887500932e-10, 9.210506944302190549e-11, 4.145867602435863409e-10, 4.860874639186584270e-10, 5.451323368896700366e-10, 1.168969909210828501e-09, 1.229940089132597091e-09
2.027000000000000000e+03, 1.393472960972725936e-10, 6.100815239336969785e-10, 1.321099289550540567e-10, 9.317664711390800959e-11, 3.677333815810013093e-10, 5.072551480053603165e-10, 6.218845099066414570e-10, 1.165786261276749192e-09, 1.165011822536990373e-09
2.028000000000000000e+03, 1.393464628147124435e-10, 5.978544188560973086e-10, 1.321885054128957533e-10, 9.435723671300796649e-11, 4.007881183722844016e-10, 4.924719126548583911e-10, 6.192128016337159739e-10, 1.105828019259896034e-09, 1.196618540148601611e-09
2.029000000000000000e+03, 1.397671778790276904e-10, 5.931190135585297026e-10, 1.326044996057713288e-10, 9.541605430188048405e-11, 4.386102644009650440e-10, 5.135079088084460315e-10, 6.744532145160145905e-10, 1.150044519193706075e-09, 1.328483457986518368e-09
2.030000000000000000e+03, 1.399605105402642260e-10, 5.849053663708853234e-10, 1.329406540787381961e-10, 9.503741443867167184e-11, 4.164267928475417535e-10, 4.946485377662516466e-10, 6.593955134049637497e-10, 1.107072223702001696e-09, 1.282762449104212799e-09
2.031000000000000000e+03, 1.367118888525683525e-10, 5.987517478670226269e-10, 1.321217968342997760e-10, 9.603777699937690181e-11, 3.818178483684168660e-10, 4.613049284544041739e-10, 6.982037702772269668e-10, 1.165572755323025721e-09, 1.342934774680208156e-09
2.032000000000000000e+03, 1.374834334421402489e-10, 6.045901302959401367e-10, 1.324247399602381415e-10, 9.764386703846254252e-11, 4.190669831979713107e-10, 4.492977470737178325e-10, 6.416789500402987683e-10, 1.102606499559407315e-09, 1.290539575285429673e-09
2.033000000000000000e+03, 1.384236748275156852e-10, 6.095555322549414517e-10, 1.328127242118571885e-10, 9.758793689664625165e-11, 4.583709448717556358e-10, 4.252793021523519104e-10, 6.321820941068874146e-10, 1.173035981372533961e-09, 1.296859154333848567e-09
2.034000000000000000e+03, 1.389506910449862569e-10, 6.065366935750001569e-10, 1.334501224608315422e-10, 9.773791396298630522e-11, 5.090198125611997933e-10, 5.191190684380165020e-10, 7.019543985162196477e-10, 1.151405506651445198e-09, 1.307866706302324382e-09
2.035000000000000000e+03, 1.389317100348177868e-10, 6.047935826128645776e-10, 1.333626324534823187e-10, 9.666636118957788009e-11, 5.006585740049351894e-10, 4.612644724626127147e-10, 7.446067593933811186e-10, 1.111323093591938915e-09, 1.205989310723778814e-09
