year, IPSL-CM6A-LR, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL
2.015000000000000000e+03, -1.360583486006089837e-09, 1.167788741947894205e-10, 1.566684156911020700e-10, 5.228536687756354024e-10
2.016000000000000000e+03, -1.407681748476216454e-09, 8.646199007762639262e-11, 1.602962916777391285e-10, 4.430960130174481270e-10
2.017000000000000000e+03, -1.338421426047319694e-09, 7.554156031867498935e-11, 1.596808041171523076e-10, 4.596852099034571192e-10
2.018000000000000000e+03, -1.429465746035479161e-09, 6.528952869859466299e-11, 1.604159725738763004e-10, 5.101724759806348897e-10
2.019000000000000000e+03, -1.306241734242947971e-09, 6.489056831557568498e-11, 1.591508784493531407e-10, 5.086342911098070447e-10
2.020000000000000000e+03, -1.475091148272029911e-09, 6.344386975855213211e-11, 1.596048488194401186e-10, 4.773338165501029474e-10
2.021000000000000000e+03, -1.416132929166321856e-09, 6.036419924797265583e-11, 1.504835842887048598e-10, 4.929270678298620390e-10
2.022000000000000000e+03, -1.403391167631826254e-09, 3.933326435542535530e-11, 1.498276398567850207e-10, 5.278788723107486584e-10
2.023000000000000000e+03, -1.413312960115511332e-09, 3.828448881587094870e-11, 1.505847225187182257e-10, 4.732823144848434093e-10
2.024000000000000000e+03, -1.335139398615135685e-09, 1.688614705147888888e-11, 1.496611126687569385e-10, 4.848169495577498981e-10
2.025000000000000000e+03, -1.401478825484927852e-09, 1.523089712471858937e-11, 1.504180718790994959e-10, 4.740596141623777377e-10
2.026000000000000000e+03, -1.396306152883722555e-09, 1.803271736417376364e-11, 1.555555959624185427e-10, 4.860874639186584270e-10
2.027000000000000000e+03, -1.331840721258886718e-09, 1.870135486216675007e-11, 1.549465637771896471e-10, 5.072551480053603165e-10
2.028000000000000000e+03, -1.364193150108458880e-09, 1.799177088642460451e-11, 1.551893042514814610e-10, 4.924719126548583911e-10
2.029000000000000000e+03, -1.496596517692386523e-09, 1.712765740197166078e-11, 1.568395028849087024e-10, 5.135079088084460315e-10
2.030000000000000000e+03, -1.450556852510939663e-09, 1.765985175313570955e-11, 1.569793273793352995e-10, 4.946485377662516466e-10
2.031000000000000000e+03, -1.512285683851166345e-09, 1.818533895178169205e-11, 1.515526522893972431e-10, 4.613049284544041739e-10
2.032000000000000000e+03, -1.460446996955550726e-09, 1.857940225592925109e-11, 1.521514200576285407e-10, 4.492977470737178325e-10
2.033000000000000000e+03, -1.467428525727599971e-09, 1.887503492272754363e-11, 1.522234165200484767e-10, 4.252793021523519104e-10
2.034000000000000000e+03, -1.478823799394461025e-09, 1.858350479799354021e-11, 1.523546314598328178e-10, 5.191190684380165020e-10
2.035000000000000000e+03, -1.377522184034367891e-09, 1.879849668223543729e-11, 1.530064254362755483e-10, 4.612644724626127147e-10
2.036000000000000000e+03, -1.401183580083982136e-09, 2.375723021266769376e-11, 1.583850862871059141e-10, 5.039866768928667696e-10
2.037000000000000000e+03, -1.342582109119328947e-09, 2.367097593700205247e-11, 1.586602186781239145e-10, 4.915490224809417194e-10
2.038000000000000000e+03, -1.450994552220210640e-09, 2.354999829584853989e-11, 1.590659918809678176e-10, 4.843710358468987500e-10
2.039000000000000000e+03, -1.503435245223484292e-09, 2.360747467525063901e-11, 1.597043190649207732e-10, 4.683258479002895881e-10
2.040000000000000000e+03, -1.569625376584705649e-09, 2.408792752473266811e-11, 1.605209283112935241e-10, 4.276326896933317733e-10
2.041000000000000000e+03, -1.593143446609370337e-09, 2.520475627963730457e-11, 1.583762157072577180e-10, 4.540280473882930537e-10
2.042000000000000000e+03, -1.380216360149483463e-09, 2.586694816817434178e-11, 1.592604330522906739e-10, 5.541583653073784888e-10
2.043000000000000000e+03, -1.403460848969146937e-09, 2.702794077211279119e-11, 1.594391128480276306e-10, 5.483923335309534593e-10
2.044000000000000000e+03, -1.441040837796479603e-09, 2.852008638013012673e-11, 1.598999236255761462e-10, 4.966496303643595584e-10
2.045000000000000000e+03, -1.391770651030617043e-09, 2.871661068383066149e-11, 1.605248297757526429e-10, 5.228157357358179814e-10
2.046000000000000000e+03, -1.434402042253892550e-09, 2.258714782019568360e-11, 1.596266864992650038e-10, 5.933705104475453327e-10
2.047000000000000000e+03, -1.351770080994195948e-09, 2.159322641538080110e-11, 1.606181280048494130e-10, 5.674992460356320935e-10
2.048000000000000000e+03, -1.500339735015681245e-09, 2.090816714279445445e-11, 1.605970940651709070e-10, 5.172453709277737367e-10
2.049000000000000000e+03, -1.440935548229206091e-09, 2.039322430900715704e-11, 1.604575211617353080e-10, 4.815746443137661400e-10
2.050000000000000000e+03, -1.513880829061313501e-09, 2.063497649569825145e-11, 1.614487023891251820e-10, 4.620670435698752968e-10
2.051000000000000000e+03, -1.336427282346892951e-09, 1.867312441902535040e-11, 1.607226130485478938e-10, 5.295303687494163664e-10
2.052000000000000000e+03, -1.373916839544943267e-09, 1.669024254681021267e-11, 1.606463957326950303e-10, 4.845044249604044110e-10
2.053000000000000000e+03, -1.299301964656216930e-09, 1.647133783237227137e-11, 1.605028162500733060e-10, 5.039762121832001477e-10
2.054000000000000000e+03, -1.410402061749842357e-09, 1.442702334972567772e-11, 1.601186791007227898e-10, 4.385776229385594833e-10
2.055000000000000000e+03, -1.445730119508853289e-09, 1.376947611249588085e-11, 1.598951062614987951e-10, 4.773329354339463833e-10
2.056000000000000000e+03, -1.498174880193299114e-09, 4.233419587146158340e-11, 1.687197915786849087e-10, 5.112948426268669781e-10
2.057000000000000000e+03, -1.510427776404204891e-09, 4.574411123412109378e-11, 1.687986141772309839e-10, 5.005283408256740846e-10
2.058000000000000000e+03, -1.518487022688666784e-09, 4.887395685326878159e-11, 1.685906566864256986e-10, 5.255486187189750236e-10
2.059000000000000000e+03, -1.434872564425094357e-09, 5.075303164701242681e-11, 1.697995576675683010e-10, 5.311973319538072065e-10
2.060000000000000000e+03, -1.353469936656724377e-09, 5.227893279421765579e-11, 1.693862715521619761e-10, 4.947319318032733000e-10
2.061000000000000000e+03, -1.439080698050069330e-09, 1.747878802521776830e-10, 1.965519677525212426e-10, 4.745608069547075393e-10
2.062000000000000000e+03, -1.511282953002911799e-09, 1.833441006599994478e-10, 1.985661944583182682e-10, 4.556805138138585093e-10
2.063000000000000000e+03, -1.539015872689179818e-09, 1.933962486215106364e-10, 1.992439200768603974e-10, 5.425650970750269104e-10
2.064000000000000000e+03, -1.601087186954873534e-09, 2.008049040655877011e-10, 2.002071967640825867e-10, 5.192665383245096870e-10
2.065000000000000000e+03, -1.643055302211555112e-09, 2.090360017578731084e-10, 2.022897853527492130e-10, 4.076104645026700696e-10
2.066000000000000000e+03, -1.520174870892356360e-09, 1.364233936692941349e-10, 1.788935441117480612e-10, 5.213501478725270437e-10
2.067000000000000000e+03, -1.454751999412229221e-09, 1.392636369386498670e-10, 1.771832459607790007e-10, 5.272216654960567377e-10
2.068000000000000000e+03, -1.565363002904297083e-09, 1.423854157242937765e-10, 1.757036832651325163e-10, 5.376570168057650785e-10
2.069000000000000000e+03, -1.541356247453867955e-09, 1.444454326115632962e-10, 1.750193138967072282e-10, 5.720522364710060271e-10
2.070000000000000000e+03, -1.654871558636863648e-09, 1.483141325940418864e-10, 1.746520575271789846e-10, 5.653845171858005920e-10
2.071000000000000000e+03, -1.551081513951955351e-09, 2.127278874364458754e-10, 1.835825719475270346e-10, 6.015177302486457640e-10
2.072000000000000000e+03, -1.652610755320421538e-09, 2.130559583013570628e-10, 1.852847643363069922e-10, 5.071243692947769630e-10
2.073000000000000000e+03, -1.568503113395496292e-09, 2.114020488762191439e-10, 1.852906995761856421e-10, 4.934036610612506407e-10
2.074000000000000000e+03, -1.619946692861345656e-09, 2.127346208428614784e-10, 1.827905406121662547e-10, 5.427573348358746627e-10
2.075000000000000000e+03, -1.610248988026471493e-09, 2.290391202611786086e-10, 1.839767532860356701e-10, 5.525217967947856849e-10
2.076000000000000000e+03, -1.705906039970301832e-09, 2.762066296099738479e-10, 2.240904631611789479e-10, 5.622619844865620994e-10
2.077000000000000000e+03, -1.639932574361252512e-09, 2.850431738039686013e-10, 2.260512157661117752e-10, 5.260061140720039467e-10
2.078000000000000000e+03, -1.703948708419301831e-09, 2.928951934695328949e-10, 2.273232294141331625e-10, 5.642746336233250906e-10
2.079000000000000000e+03, -1.814864434346652101e-09, 3.006587063011561837e-10, 2.280179864440314499e-10, 6.011344633339336604e-10
2.080000000000000000e+03, -1.785008912526873946e-09, 3.087022482881329954e-10, 2.300683790740109657e-10, 6.060848675347750457e-10
2.081000000000000000e+03, -1.830642535932833311e-09, 2.536539347713276268e-10, 2.168147176989039776e-10, 5.788224098479714990e-10
2.082000000000000000e+03, -1.892323902806662632e-09, 2.525838370638701631e-10, 2.147706240206125107e-10, 5.637533370557915735e-10
2.083000000000000000e+03, -1.786662029351758051e-09, 2.532554405690137863e-10, 2.127776311769789079e-10, 5.794378712978175747e-10
2.084000000000000000e+03, -1.813846461405109213e-09, 2.546812992024825952e-10, 2.122477790590553009e-10, 5.838763642590555443e-10
2.085000000000000000e+03, -1.767265749614067024e-09, 2.520120562351245787e-10, 2.144240317086674493e-10, 5.937077277298555730e-10
2.086000000000000000e+03, -1.729217776275063206e-09, 1.960733756246940278e-10, 1.874332998124445617e-10, 6.039151013833332313e-10
2.087000000000000000e+03, -1.802775670171012766e-09, 1.889564603754773242e-10, 1.860012434494819099e-10, 5.644952336778994795e-10
2.088000000000000000e+03, -1.661645444774023998e-09, 1.839004647905888977e-10, 1.829063324102394434e-10, 5.939668850782687053e-10
2.089000000000000000e+03, -1.761260485452070713e-09, 1.763382285488799283e-10, 1.802692464172234184e-10, 6.226121345420435326e-10
2.090000000000000000e+03, -1.781093021487848020e-09, 1.709466275474847780e-10, 1.789368222803249621e-10, 5.507303514648200541e-10
2.091000000000000000e+03, -1.731241916545605649e-09, 8.384467597086671443e-11, 1.489469208586211975e-10, 5.536516126028113568e-10
2.092000000000000000e+03, -1.664369245716626848e-09, 7.620397807978752983e-11, 1.453487199457703026e-10, 5.964815619889584845e-10
2.093000000000000000e+03, -1.853253966752168268e-09, 6.912519343369148859e-11, 1.424656555782838332e-10, 5.913240495712413000e-10
2.094000000000000000e+03, -1.722702413635817209e-09, 6.187498929488217849e-11, 1.400351921292443651e-10, 5.882646877198760203e-10
2.095000000000000000e+03, -1.743867801459447920e-09, 5.511054237592932905e-11, 1.379337420183056724e-10, 6.336479763699627315e-10
2.096000000000000000e+03, -1.616994597108654518e-09, 5.075751417062315944e-11, 1.328666865432601623e-10, 6.035441723363549227e-10
2.097000000000000000e+03, -1.620811083984198720e-09, 4.674673352272334116e-11, 1.315103659238227512e-10, 5.398604267905961825e-10
2.098000000000000000e+03, -1.708254368944723297e-09, 4.067915664776700473e-11, 1.304579410930424401e-10, 4.760885138684377661e-10
2.099000000000000000e+03, -1.733553275370607815e-09, 3.722000488727899104e-11, 1.277571241904143410e-10, 5.813615682400365660e-10
2.100000000000000000e+03, -1.718708278312545494e-09, 3.315578527196317049e-11, 1.257110392556049971e-10, 5.906255402502465800e-10
