year, MPI-ESM1-2-LR, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L
2.015000000000000000e+03, 6.610374357760825368e-10, 1.013164954244405761e-09, 5.576069250025234723e-10, 3.008661411480258600e-12, 1.320544211749791098e-10, 8.149691621528010667e-11, 8.873854651338331032e-11, 1.210499264119871598e-09, 1.005018558572179459e-09
2.016000000000000000e+03, 6.573861003199594984e-10, 9.394154869186484258e-10, 5.528800868735284398e-10, 2.449205850964118029e-12, 1.311293984322858728e-10, 8.246254780232607974e-11, 2.541960329054513845e-10, 1.259680726787777352e-09, 1.003963894655807454e-09
2.017000000000000000e+03, 6.597860116675554418e-10, 1.028542815383930582e-09, 5.487202998085299558e-10, 2.287241568307193974e-12, 1.302185205443456045e-10, 7.051366637580953669e-11, 1.424180951789370574e-10, 1.189750312375511228e-09, 9.751929249292217965e-10
2.018000000000000000e+03, 6.520596646554884535e-10, 1.183110428569921472e-09, 5.914011118999793011e-10, 2.140626322662344611e-12, 1.294346654217982230e-10, 6.125661887807488006e-11, 9.843764057653849507e-11, 1.280112586383699741e-09, 9.444994233668499795e-10
2.019000000000000000e+03, 6.463784716630375262e-10, 1.200197528506212740e-09, 6.163811779751438333e-10, 2.192264338237729461e-12, 1.292041150812087742e-10, 5.959107885685485089e-11, 8.062427747738948892e-11, 1.156225878588048290e-09, 9.319490668695757785e-10
2.020000000000000000e+03, 6.310981152144852457e-10, 1.237034935296344464e-09, 5.998196195897730779e-10, 2.086955321492975490e-12, 1.293093085275445477e-10, 5.877609707148790044e-11, 7.159174510429813160e-11, 1.324667392508712335e-09, 9.158607932886797428e-10
2.021000000000000000e+03, 6.236110064591370984e-10, 1.191157800026190370e-09, 6.233735574098174256e-10, 1.793929913470018266e-12, 1.295238974094980400e-10, 5.810867964477164231e-11, 7.136094304484387265e-11, 1.265190746827981019e-09, 9.024249174882480467e-10
2.022000000000000000e+03, 6.315697212990122047e-10, 1.083528710372330457e-09, 5.504014255317726208e-10, 1.625354181831033722e-12, 1.297877048045298655e-10, 3.691007088128754985e-11, 6.735807517451186502e-11, 1.251477156927862236e-09, 8.948206284104456170e-10
2.023000000000000000e+03, 6.413848821354378231e-10, 1.153029750749965392e-09, 5.357865730026625114e-10, 1.448851369105599829e-12, 1.301078479849432470e-10, 3.567706224515836519e-11, 6.522205144905172990e-11, 1.261167696870722793e-09, 8.837742047471407672e-10
2.024000000000000000e+03, 6.426242385710312922e-10, 1.088811319257971814e-09, 5.979215077195742497e-10, 1.379026785288508797e-12, 1.305113245664867443e-10, 1.406209413862233089e-11, 6.324512909404848458e-11, 1.182309751359142685e-09, 8.784998521055453080e-10
2.025000000000000000e+03, 6.405769801203338551e-10, 1.072552365730551516e-09, 6.095194858079134684e-10, 1.383975937981260994e-12, 1.310780310949172518e-10, 1.221239926466114902e-11, 6.129663890736492475e-11, 1.248606982493548242e-09, 8.843226354435526026e-10
2.026000000000000000e+03, 6.452252412206132993e-10, 1.032076173361495660e-09, 5.525125927145283685e-10, 1.497457976528962588e-12, 1.320326732760400647e-10, 1.200178532074858208e-11, 5.675900404256340547e-11, 1.243286515823584280e-09, 8.893890924689973811e-10
2.027000000000000000e+03, 6.428053926030300764e-10, 1.119101642686777609e-09, 5.063198739456818225e-10, 1.713323351265835470e-12, 1.331807395838690729e-10, 1.189905457757071426e-11, 5.379722986712395022e-11, 1.178508847872422129e-09, 8.967902253425416245e-10
2.028000000000000000e+03, 6.308433467971507724e-10, 1.147951718534315117e-09, 5.399099908240238915e-10, 1.865740185803598564e-12, 1.341925031129455750e-10, 1.191654974881747545e-11, 5.147557868562793388e-11, 1.210205199984177298e-09, 9.067316104570175646e-10
2.029000000000000000e+03, 6.252230740934815852e-10, 1.238575580600928553e-09, 5.782364762382547120e-10, 1.967630852225496979e-12, 1.351208711559666749e-10, 1.179806867452414302e-11, 4.937886672045939169e-11, 1.342087204464391582e-09, 9.025229026280315907e-10
2.030000000000000000e+03, 6.144816292961065780e-10, 1.202022144556680298e-09, 5.565279123624910426e-10, 1.914867357413931360e-12, 1.359850238165736915e-10, 1.167354247669759007e-11, 4.767126903330771753e-11, 1.296701312777948696e-09, 8.921428333575151203e-10
2.031000000000000000e+03, 6.273181218302371541e-10, 1.238784910796193693e-09, 5.220670229914976500e-10, 1.319936029675503163e-12, 1.367993750900464580e-10, 1.166591545112777457e-11, 5.297154114479211463e-11, 1.357277837447843392e-09, 8.856137940382129639e-10
