year, INM-CM5-0, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, CMCC-CM2-SR5, CESM2-WACCM, EC-Earth3-Veg, CanESM5, INM-CM4-8, MPI-ESM1-2-LR, GFDL-ESM4, TaiESM1, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 2.155015492050594172e+00, 2.339372545337628839e+00, 2.555824494241857092e+00, 2.227443136248568489e+00, 2.284254704795850799e+00, 2.052671165250809171e+00, 2.183961919920080152e+00, 2.317622923407638869e+00, 2.082240577147513427e+00, 2.284740211284290723e+00, 2.249801159496218617e+00, 2.059844176562557472e+00, 2.110136653249862881e+00, 2.108285747325403303e+00, 2.034264371821981499e+00, 2.259648668297240981e+00
2.016000000000000000e+03, 2.176531767568688380e+00, 2.408696368087959172e+00, 2.574727711352802650e+00, 2.228738558994061147e+00, 2.234270049482455889e+00, 2.084651104808236788e+00, 2.156083654761879576e+00, 2.250574142347693485e+00, 2.083965160292175156e+00, 2.270756126468269631e+00, 2.239630109902220223e+00, 2.097650227033607706e+00, 2.036748818847070819e+00, 2.099643127683397559e+00, 2.056277505219918922e+00, 2.216672078573812321e+00
2.017000000000000000e+03, 2.232214486540796461e+00, 2.406631570804545373e+00, 2.482410628312763823e+00, 2.250699404509433954e+00, 2.277368287892654219e+00, 2.102050011877849123e+00, 2.137517751447234104e+00, 2.290351165154457469e+00, 2.170156846139184026e+00, 2.277846861360071085e+00, 2.446247646361784600e+00, 1.972490906027415614e+00, 2.012731975039835142e+00, 2.067107683115698702e+00, 2.072449282840806095e+00, 2.235337368296624216e+00
2.018000000000000000e+03, 2.243499016806789204e+00, 2.422399357446657575e+00, 2.647508506648282189e+00, 2.341068318890483724e+00, 2.278761849807168449e+00, 2.221201093428687656e+00, 2.127010761451970211e+00, 2.228910444225342236e+00, 2.049780235841694775e+00, 2.237942954885412838e+00, 2.363476788656822869e+00, 2.065890451427850216e+00, 2.119335354664909410e+00, 2.062017474027420860e+00, 2.136664520337082873e+00, 2.394284425150482676e+00
2.019000000000000000e+03, 2.275554982284662575e+00, 2.344187937659133691e+00, 2.560952147628555498e+00, 2.300996639191860371e+00, 2.200405860123305857e+00, 2.178788852692122191e+00, 2.188416640603546348e+00, 2.267228486841242230e+00, 2.179181390894573411e+00, 2.247935765261632302e+00, 2.370265145055900469e+00, 2.224378298619009264e+00, 2.157772637426575546e+00, 2.092105064592882702e+00, 1.995998481373479239e+00, 2.348109480527626136e+00
2.020000000000000000e+03, 2.305585775529217951e+00, 2.455059863348853177e+00, 2.667275336921724804e+00, 2.300456157964213322e+00, 2.207605432036774395e+00, 2.043900815492260215e+00, 2.228578529851321210e+00, 2.176361081305889567e+00, 2.046873070035177378e+00, 2.245089126148297698e+00, 2.429116201919491402e+00, 2.061209880892150181e+00, 2.145743465945072703e+00, 2.017153897063300061e+00, 2.028926085130244861e+00, 2.232980711389960238e+00
2.021000000000000000e+03, 2.216050409815700561e+00, 2.472932792847892358e+00, 2.725201403473986872e+00, 2.275569753038311660e+00, 2.395526796782892376e+00, 2.183402197843991921e+00, 2.198023866697345952e+00, 2.297957545100586696e+00, 2.185044677790883849e+00, 2.269497271270476180e+00, 2.277920623104706888e+00, 2.049547945046974906e+00, 2.048993959818113719e+00, 2.027117952114787958e+00, 2.060536154673820342e+00, 2.295226458968406824e+00
2.022000000000000000e+03, 2.252607867957217902e+00, 2.463838293081222819e+00, 2.592987658280929697e+00, 2.248462134931817236e+00, 2.292364437511173580e+00, 2.186633704964838554e+00, 2.211609719054677292e+00, 2.238563119513147015e+00, 2.206008578528238395e+00, 2.317270327710680977e+00, 2.389477879955036244e+00, 2.156045731905316565e+00, 2.174577036334815805e+00, 1.999257974454216269e+00, 2.127062314663062281e+00, 2.345157521407358114e+00
2.023000000000000000e+03, 2.286586409082723481e+00, 2.445368680641353265e+00, 2.577045779217756571e+00, 2.308257549513463847e+00, 2.149675571310575517e+00, 1.963197505420268385e+00, 2.117180227045801555e+00, 2.240401932463830903e+00, 2.228255047816571910e+00, 2.171910960483768971e+00, 2.376062794753357466e+00, 2.127351959863691189e+00, 2.151638225294437490e+00, 1.909881143266686676e+00, 2.005547548793608303e+00, 2.282252478508014271e+00
2.024000000000000000e+03, 2.216152349777639419e+00, 2.453948652160790278e+00, 2.682934457999690547e+00, 2.295848466642482766e+00, 2.041260359383939349e+00, 2.076706630687997546e+00, 2.159531102174697459e+00, 2.224036061626199601e+00, 2.168604160700954075e+00, 2.167068487082195460e+00, 2.192613556105552863e+00, 2.049098798348572448e+00, 2.133738024769634478e+00, 1.874490468307849822e+00, 2.046896308633864514e+00, 2.399477757517621157e+00
2.025000000000000000e+03, 2.233874962016404897e+00, 2.553765839570212304e+00, 2.591338402948045516e+00, 2.310669532686357108e+00, 2.202655338973628751e+00, 2.218548133916543819e+00, 2.197560119524612166e+00, 2.302794648749913797e+00, 2.078613781036278585e+00, 2.278769407114061618e+00, 2.168059877092158416e+00, 2.114460761615255979e+00, 2.117278595151399490e+00, 1.986558113389699010e+00, 1.993232009972634167e+00, 2.363840788718171826e+00
2.026000000000000000e+03, 2.219073367390142160e+00, 2.384954851532570697e+00, 2.604616845179006379e+00, 2.468349354471817136e+00, 2.224092137942796921e+00, 2.053059705084426589e+00, 2.177146272282070694e+00, 2.317152504457503426e+00, 2.143438174099117077e+00, 2.167737236524001077e+00, 2.417113706747097357e+00, 2.107434811553742460e+00, 2.149819420994129260e+00, 1.983275304523733462e+00, 2.043215014190498557e+00, 2.381091712911477920e+00
2.027000000000000000e+03, 2.330342731052789773e+00, 2.502929750994435487e+00, 2.550937235581181017e+00, 2.382306881345551020e+00, 2.305909299646568211e+00, 2.051511918247373334e+00, 2.182665885697955499e+00, 2.300549090003095376e+00, 2.212943330440918288e+00, 2.193318190450265437e+00, 2.380863265100952475e+00, 2.139206335155544814e+00, 2.211657224674544953e+00, 2.021527851072991044e+00, 2.031266969274251544e+00, 2.390922740671365787e+00
2.028000000000000000e+03, 2.300066708405706706e+00, 2.515492518692082236e+00, 2.637505796324043583e+00, 2.341839941907000622e+00, 2.268649224419177823e+00, 2.241437592537028678e+00, 2.184067731552334912e+00, 2.427990978981727999e+00, 2.080902358076257563e+00, 2.252544664065078361e+00, 2.382030170012523040e+00, 2.128460488414720242e+00, 2.104131054385842248e+00, 2.114480740453206664e+00, 2.171975462941245549e+00, 2.285930762606647182e+00
2.029000000000000000e+03, 2.346329425453387074e+00, 2.453445278419716047e+00, 2.630090918655151100e+00, 2.289450878461443128e+00, 2.300544884983176885e+00, 2.022882796880751677e+00, 2.137078116425429997e+00, 2.237382732966036514e+00, 2.119968641430719281e+00, 2.168860392716978058e+00, 2.367959778676546723e+00, 1.995219695865144027e+00, 2.156576917961329443e+00, 2.046184610792879166e+00, 2.137516824569364537e+00, 2.363016519421940131e+00
