year, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1
2.025000000000000000e+03, 6.198535053491596614e+01, 1.152750069528686261e+01, 8.649133083888461471e+00, 8.047022209683534300e+01, 1.499721436588421319e+01, 8.899049090496452763e+00, 6.953912431685454365e+00, 1.855971026278213287e+01, 6.599552561153946328e+01, 1.022156005370370657e+01, 6.998013077844356644e+01, 1.032934275078614483e+01, 1.429354450804356080e+00
2.026000000000000000e+03, 6.199728935058902834e+01, 1.159186028717897621e+01, 8.806814152201589252e+00, 8.055990508166745201e+01, 1.516935776864367824e+01, 9.047590708126454828e+00, 6.950386896714601193e+00, 1.855563817366955348e+01, 6.608618609129000276e+01, 1.024783314575092774e+01, 7.001187955824286746e+01, 1.033977195351777745e+01, 1.424970335396083421e+00
2.027000000000000000e+03, 6.210606710913068440e+01, 1.167225876960441155e+01, 8.858884312256316562e+00, 8.071369305254229687e+01, 1.531511287972276847e+01, 8.983772494281319965e+00, 6.951586848098022742e+00, 1.869521271352205360e+01, 6.625272112546352332e+01, 1.011713003355289864e+01, 7.017628035863387481e+01, 1.034679838137348185e+01, 1.429770603356855130e+00
2.028000000000000000e+03, 6.218701342969513490e+01, 1.165044177210256571e+01, 8.900480669540748124e+00, 8.089117203721654903e+01, 1.538079863353225640e+01, 8.872854556848503549e+00, 6.969394547439978105e+00, 1.880005236097187549e+01, 6.629279533034758742e+01, 1.003221344762771317e+01, 7.042822783873474179e+01, 1.038235950288820852e+01, 1.418898679707234489e+00
2.029000000000000000e+03, 6.222909688432024922e+01, 1.167048071171038615e+01, 8.893060831412610057e+00, 8.101538889412127276e+01, 1.545750891363727497e+01, 8.824177892445025151e+00, 7.000109844406535942e+00, 1.884095642336204790e+01, 6.627987805097528451e+01, 9.994018008935892539e+00, 7.072725312714531753e+01, 1.043233764299549371e+01, 1.405455917921206277e+00
2.030000000000000000e+03, 6.235814172152073098e+01, 1.171190832027467543e+01, 8.861377680344105556e+00, 8.116964024344045470e+01, 1.556626936875717604e+01, 8.703617096753172078e+00, 6.962878150668452726e+00, 1.895051727737850200e+01, 6.621128799914383478e+01, 1.004453278379191694e+01, 7.095121517145010159e+01, 1.042617747250887916e+01, 1.401191272146727673e+00
2.031000000000000000e+03, 6.241799614989225375e+01, 1.181892605159936238e+01, 8.817652367198292040e+00, 8.133516719399682415e+01, 1.561191433961545449e+01, 8.722943148790516688e+00, 6.885568793470543625e+00, 1.883642375005951308e+01, 6.629282926385791086e+01, 1.015762047110993471e+01, 7.102862165162682118e+01, 1.042392050191693365e+01, 1.445676715448417138e+00
2.032000000000000000e+03, 6.246903762298664020e+01, 1.186161607670674201e+01, 8.942558985445870690e+00, 8.148659726529767511e+01, 1.572800862428285384e+01, 8.768798687369134370e+00, 6.975583078847515495e+00, 1.892160980259603775e+01, 6.653187009389614559e+01, 1.010810615020716519e+01, 7.135392371436603298e+01, 1.042151037534544145e+01, 1.392683826323485308e+00
2.033000000000000000e+03, 6.256276590786124103e+01, 1.186547376594949910e+01, 9.099279878152852774e+00, 8.173156211737263277e+01, 1.583080161872489100e+01, 8.762048576290114354e+00, 6.948513703942705177e+00, 1.924833663875702072e+01, 6.675305145868721013e+01, 1.015229895232338109e+01, 7.157407511654444932e+01, 1.042257967382263573e+01, 1.380889345720107242e+00
2.034000000000000000e+03, 6.268291945588183722e+01, 1.198952100821536426e+01, 9.299016937107591474e+00, 8.191731991289131543e+01, 1.589640158804275316e+01, 8.745143324463073853e+00, 7.091524103746217556e+00, 1.939693352268837501e+01, 6.690050107530116463e+01, 1.029333860400899958e+01, 7.185703703192409364e+01, 1.039262124612974070e+01, 1.352167720323257161e+00
2.035000000000000000e+03, 6.280928452916195681e+01, 1.210287360939276269e+01, 9.433610683315414747e+00, 8.213139897818030022e+01, 1.600451930269652934e+01, 8.769418872562049216e+00, 7.238483425095209256e+00, 1.943817872847222716e+01, 6.705246730781286146e+01, 1.033188904660230278e+01, 7.209528441711071878e+01, 1.038887405997242297e+01, 1.380383936151765356e+00
