year, CanESM5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, TaiESM1, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, INM-CM5-0, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM
2.027000000000000000e+03, 1.667845265127816612e+00, 1.528128633537552794e+00, 1.867571107562769006e+00, 1.690174666548951654e+00, 1.923365785459008492e+00, 1.688580350911955019e+00, 1.871174021395073828e+00, 1.499400599402778589e+00, 1.825127333436199040e+00, 1.675766221815281565e+00, 1.652090706900622319e+00, 1.786766210237850316e+00, 1.614629988234515645e+00, 1.886089793041856089e+00, 2.026760363032695800e+00, 1.660776732146188817e+00
2.028000000000000000e+03, 1.735480813962411828e+00, 1.568906025115579750e+00, 1.904757068858244473e+00, 1.815878332357551583e+00, 1.810456679183945150e+00, 1.707670492458412514e+00, 1.804149940307458122e+00, 1.482952994367288335e+00, 1.767578149700672840e+00, 1.687476584030057403e+00, 1.670689182971967668e+00, 1.816012579005946703e+00, 1.590474231647839076e+00, 1.861125052296294990e+00, 1.990184217205503536e+00, 1.661964352554675450e+00
2.029000000000000000e+03, 1.702706579565655076e+00, 1.623761049448033678e+00, 1.873136351917605191e+00, 1.790716760349911008e+00, 1.867186101359525230e+00, 1.723277878585210976e+00, 1.866496396285371340e+00, 1.549689599382965133e+00, 1.742054704495595185e+00, 1.666567509390612933e+00, 1.734928906856843200e+00, 1.798904573984416499e+00, 1.574199609770645436e+00, 1.899558281535662863e+00, 2.136801906179738531e+00, 1.604677753710955779e+00
2.030000000000000000e+03, 1.705058668057932492e+00, 1.482028432626556702e+00, 1.824706878800835819e+00, 1.731463719817772473e+00, 1.910106793460661478e+00, 1.736939976291032695e+00, 1.863199965409637393e+00, 1.521687873825062987e+00, 1.818629280204451470e+00, 1.710009407930182412e+00, 1.703536112276139214e+00, 1.735708968595489843e+00, 1.602961319976017318e+00, 1.862787658992454576e+00, 2.014485955349416990e+00, 1.671164810102665710e+00
2.031000000000000000e+03, 1.692647960496278969e+00, 1.577894547997650276e+00, 1.852028004540474893e+00, 1.748198055910923365e+00, 1.926112809337827914e+00, 1.692420570305695815e+00, 1.795303720600025743e+00, 1.534628750872685465e+00, 1.872420358107232508e+00, 1.660048495986128803e+00, 1.663681930496276218e+00, 1.835240410771785902e+00, 1.636909678148154912e+00, 1.861785584858449472e+00, 2.056354529584326407e+00, 1.701211378090800475e+00
2.032000000000000000e+03, 1.713756552946279710e+00, 1.487815651340988365e+00, 1.827557991024996165e+00, 1.844974512583789084e+00, 1.907365016923700418e+00, 1.798932874960887718e+00, 1.821191547960441692e+00, 1.613571500751105559e+00, 1.767731203992300548e+00, 1.725838331288174876e+00, 1.677399847583082693e+00, 1.814537382998998583e+00, 1.547843422822839266e+00, 1.910067831011055040e+00, 2.042551954087646227e+00, 1.577558476174473201e+00
2.033000000000000000e+03, 1.686525262775092626e+00, 1.468636491617821616e+00, 1.918000556821258806e+00, 1.767030894140953601e+00, 1.870038168504511988e+00, 1.794236023620441545e+00, 1.842979218019046739e+00, 1.553790349406440674e+00, 1.760561810205408584e+00, 1.691983315439513413e+00, 1.732180224742402963e+00, 1.879658049691775190e+00, 1.610058679151181948e+00, 1.843854456497902694e+00, 2.034037024777376246e+00, 1.652856730082097103e+00
2.034000000000000000e+03, 1.675580039889467132e+00, 1.535778179376417363e+00, 1.835811927021752998e+00, 1.763442468540185493e+00, 1.810549532740290513e+00, 1.721427143450870112e+00, 1.784823834419018596e+00, 1.515222038369254509e+00, 1.801715066779752794e+00, 1.676006399246797285e+00, 1.741838055961773435e+00, 1.818940831483629283e+00, 1.582831847334783992e+00, 1.813047433104084227e+00, 2.050042605847650634e+00, 1.701489758497608307e+00
2.035000000000000000e+03, 1.670286350035447009e+00, 1.517836061107327161e+00, 1.817057228291949711e+00, 1.854587376589802439e+00, 1.886146043245801707e+00, 1.785782879838577530e+00, 1.874089368059310257e+00, 1.562404193365927396e+00, 1.813460400591498711e+00, 1.630845130476061167e+00, 1.716276819235941442e+00, 1.853513779542165452e+00, 1.553323648275811264e+00, 1.955529028753134835e+00, 2.036781934775247827e+00, 1.701898154281926923e+00
2.036000000000000000e+03, 1.837329423018779773e+00, 1.619697947025677820e+00, 1.855102050710380590e+00, 1.804871852990633574e+00, 1.949982459325328099e+00, 1.709539686924267388e+00, 1.851515520354327426e+00, 1.546621051214924991e+00, 1.735683859860067235e+00, 1.695704499457838299e+00, 1.759186222243777076e+00, 1.872661429970217783e+00, 1.599288695861901921e+00, 1.833038839638802431e+00, 2.037351315055357937e+00, 1.673444401947327798e+00
2.037000000000000000e+03, 1.782776345462504075e+00, 1.508312412744450715e+00, 1.959904089027786789e+00, 1.843404531127628365e+00, 1.926422836484397383e+00, 1.729745330436253559e+00, 1.806888148821452100e+00, 1.545337726010201473e+00, 1.789912739081791271e+00, 1.651094031758745473e+00, 1.679223846998400438e+00, 1.796111723545529060e+00, 1.541575990542910279e+00, 1.849317121169972600e+00, 2.053828729374052031e+00, 1.655533903106843896e+00
2.038000000000000000e+03, 1.792809377711095387e+00, 1.522643958247777318e+00, 1.875008379912980416e+00, 1.823026653073788639e+00, 1.829843715849299279e+00, 1.881256442163237619e+00, 1.891597454528194833e+00, 1.556843503122238070e+00, 1.747753933838690266e+00, 1.715248017037189543e+00, 1.703084779950067240e+00, 1.823954955326921867e+00, 1.595521832722008204e+00, 1.870041778913084096e+00, 1.964195218355886174e+00, 1.659724787473604746e+00
2.039000000000000000e+03, 1.708283590492015946e+00, 1.616936426790144266e+00, 1.831834334290496580e+00, 1.821476999070038794e+00, 1.878420675576690346e+00, 1.781757818980353125e+00, 1.895701958578577040e+00, 1.579686582869380018e+00, 1.731432357983543557e+00, 1.661759662993981701e+00, 1.639748258565473904e+00, 1.857301362978515780e+00, 1.648136539738250361e+00, 1.888445598842490414e+00, 2.059268556952376539e+00, 1.705786048024575674e+00
2.040000000000000000e+03, 1.739193365043573358e+00, 1.579029256482447074e+00, 1.916078935302760300e+00, 1.798806339511674235e+00, 1.938676869541968495e+00, 1.747267948429064743e+00, 1.890979579302892288e+00, 1.572843602390304518e+00, 1.780616576484309821e+00, 1.630446403245236153e+00, 1.654390638094672461e+00, 1.830986518884130776e+00, 1.615223038793355936e+00, 1.856251416822243039e+00, 2.192508874081531722e+00, 1.748972006382210953e+00
2.041000000000000000e+03, 1.849298579366728923e+00, 1.539658350983314605e+00, 1.901769238488942637e+00, 1.780587321912422194e+00, 1.865667006176394915e+00, 1.858001488325412343e+00, 1.915046009273789318e+00, 1.636682766705887859e+00, 1.792707592637247771e+00, 1.619058972875702995e+00, 1.794597811022043743e+00, 1.921666520465411532e+00, 1.573388863700923901e+00, 1.919088230623121838e+00, 2.040741270321519085e+00, 1.660454158789804957e+00
2.042000000000000000e+03, 1.785642410463897933e+00, 1.599123644684266266e+00, 1.879187211783847067e+00, 1.735384644468000115e+00, 1.850484551450323645e+00, 1.694531647865387347e+00, 1.822577854745287551e+00, 1.537755359447400716e+00, 1.747036695739187628e+00, 1.600410626499871203e+00, 1.794819034909167943e+00, 1.794996761150225106e+00, 1.617077925494197821e+00, 1.888593123444406219e+00, 2.016836647265039417e+00, 1.712939442253394118e+00
2.043000000000000000e+03, 1.724483126115996967e+00, 1.616743477944961649e+00, 1.845088854260333866e+00, 1.825727507137729910e+00, 1.804705655808992004e+00, 1.872284450390815369e+00, 1.975199476511307672e+00, 1.569816359326588140e+00, 1.796263705917015452e+00, 1.687386964077011386e+00, 1.714065945511962230e+00, 1.917898340374718957e+00, 1.617211492911177384e+00, 1.973091196769216182e+00, 2.082241722012258656e+00, 1.664909313798941470e+00
2.044000000000000000e+03, 1.783463215216048781e+00, 1.564788071486139076e+00, 1.794446932861341715e+00, 1.782651378456299618e+00, 1.924586997736621008e+00, 1.823129935832445536e+00, 1.916342626856518905e+00, 1.518109618601143351e+00, 1.790287473787322670e+00, 1.695847586413796515e+00, 1.798551720437120860e+00, 1.884236902456589924e+00, 1.640071980509605565e+00, 1.967578914092232845e+00, 2.108975737732934341e+00, 1.729319553182507185e+00
2.045000000000000000e+03, 1.796241321616292907e+00, 1.605147389873802455e+00, 1.842747114306920064e+00, 1.735970903523343045e+00, 1.901406732339212535e+00, 1.780761949609349637e+00, 1.872382827682113726e+00, 1.576487400754751578e+00, 1.718048986588049942e+00, 1.614554688684283645e+00, 1.732055633482763923e+00, 1.801766909283989415e+00, 1.639754670822741289e+00, 1.878975897590656530e+00, 2.087366030555496188e+00, 1.724228735322327122e+00
2.046000000000000000e+03, 1.896121972429420266e+00, 1.562847917980760837e+00, 1.911749719705998052e+00, 1.845682656167520364e+00, 1.821752666611303528e+00, 1.719171310118420282e+00, 1.934566990726358959e+00, 1.562805316709608983e+00, 1.836068463843180787e+00, 1.639916732135312305e+00, 1.733029546730638915e+00, 1.802924946828505126e+00, 1.623826558991348756e+00, 1.957331591799502668e+00, 2.063502849432434338e+00, 1.718226826268742791e+00
2.047000000000000000e+03, 1.694696492149300848e+00, 1.519868389269613207e+00, 1.882591745230723035e+00, 1.792333205091814374e+00, 1.880331212728177936e+00, 1.848979896405011258e+00, 1.865343993833658232e+00, 1.666135006305413446e+00, 1.823185133430645921e+00, 1.638801949535541924e+00, 1.752564121499125216e+00, 1.802309389905034198e+00, 1.586910955601809947e+00, 1.937202289980090031e+00, 2.070344766723211549e+00, 1.670304469690011784e+00
2.048000000000000000e+03, 1.831778175454188418e+00, 1.592391581269385847e+00, 1.923445430820220237e+00, 1.753263540015606692e+00, 1.894375287671975050e+00, 1.853822378011652283e+00, 1.932269325186066755e+00, 1.679762709288208811e+00, 1.783623179235400702e+00, 1.649151490901040074e+00, 1.783109146632703368e+00, 1.817657554832447175e+00, 1.606311610675954293e+00, 1.868384975631688594e+00, 2.185956351352260185e+00, 1.702581809063737683e+00
2.049000000000000000e+03, 1.785619551272084271e+00, 1.545329307887146175e+00, 1.909404547847106004e+00, 1.843095864485179147e+00, 1.882989018084519239e+00, 1.711625351769028081e+00, 1.921405951265082068e+00, 1.585666337118942781e+00, 1.743994193767214096e+00, 1.696959189873941787e+00, 1.840977765620945839e+00, 1.816787506287700804e+00, 1.558942560824283508e+00, 1.898540659578310530e+00, 2.128302986847592226e+00, 1.791455548778439821e+00
2.050000000000000000e+03, 1.744079360334611861e+00, 1.526366299506417112e+00, 1.840788107130936213e+00, 1.832258911355410191e+00, 1.802138245469920408e+00, 1.784728078610395618e+00, 1.964481640547658836e+00, 1.634816851878008848e+00, 1.806680625941625262e+00, 1.604187864857922419e+00, 1.812836321282059293e+00, 1.838137635514464074e+00, 1.602682870557306849e+00, 1.912104747363247759e+00, 2.051680298915780742e+00, 1.738164341338058527e+00
2.051000000000000000e+03, 1.869252400653624857e+00, 1.538982894881264052e+00, 1.806484678572233715e+00, 1.811853975429428942e+00, 1.876046913488710777e+00, 1.816602757153741310e+00, 1.887382973744338166e+00, 1.639977163009985084e+00, 1.780354312238887848e+00, 1.706649517808618288e+00, 1.804531888512030058e+00, 1.816162381569880191e+00, 1.637577396605222280e+00, 1.863235383364760356e+00, 2.113765050065727458e+00, 1.622930743348079963e+00
2.052000000000000000e+03, 1.817658093982658984e+00, 1.602602556501012909e+00, 1.917553296735574175e+00, 1.850818947978740470e+00, 1.924481862145652311e+00, 1.815227009345810494e+00, 1.955072431305153069e+00, 1.615479853544502742e+00, 1.782730107117484364e+00, 1.671453640484444225e+00, 1.804205404983675765e+00, 1.880896568159212690e+00, 1.610421288320134314e+00, 1.918810409311164422e+00, 2.149124508270030098e+00, 1.654373608654742256e+00
2.053000000000000000e+03, 1.734579429078764612e+00, 1.550534785302908780e+00, 1.932780605415072683e+00, 1.758334550245054695e+00, 1.947404209400171116e+00, 1.809125476665396359e+00, 1.949026951818704001e+00, 1.569350179875747653e+00, 1.837579537909809879e+00, 1.704061209013825851e+00, 1.828818265351883410e+00, 1.846546413593281866e+00, 1.576841716658318182e+00, 1.926427279170787266e+00, 2.126071037002628561e+00, 1.688678781247999305e+00
2.054000000000000000e+03, 1.892594287227031158e+00, 1.519492487738779429e+00, 1.861099627395423228e+00, 1.769202086970134147e+00, 1.965719831404089124e+00, 1.824205062560829926e+00, 1.947129825244300783e+00, 1.605222728850375535e+00, 1.753330073618989404e+00, 1.656893638087467480e+00, 1.792952744720307301e+00, 1.820766013379732984e+00, 1.622607720544664067e+00, 1.848260392241935834e+00, 2.050512684001061903e+00, 1.627670660297903416e+00
