year, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, INM-CM4-8, GFDL-ESM4, TaiESM1, MIROC-ES2L, CanESM5, INM-CM5-0, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg
2.015000000000000000e+03, 5.956389955621277466e+01, 5.014116626266528698e+01, 3.229863662488303788e+01, 5.756709916304227193e+01, 2.287264343337337991e+01, 7.045416877836908043e+01, 8.956931809031193836e+01, 1.939208734785216848e+01, 4.884700970442058576e+01, 4.497310657161387581e+01, 7.129068145248416499e+01, 4.293703655147876930e+01, 6.732390207029503415e+01, 5.483053433890324158e+01, 4.517822114612025786e+01, 1.605932996545233493e+01
2.016000000000000000e+03, 5.960064913011032672e+01, 5.028301168176335523e+01, 3.238186451262745891e+01, 5.793488773243360868e+01, 2.315600836286843744e+01, 7.050531958656964093e+01, 8.980287927287915295e+01, 1.942644295155447765e+01, 4.893479825985841813e+01, 4.534256899997473056e+01, 7.140369044543901111e+01, 4.300376525035947850e+01, 6.744187048420722874e+01, 5.490522758752562993e+01, 4.545181229012438706e+01, 1.617347283634657629e+01
2.017000000000000000e+03, 5.986655042284405681e+01, 5.064723384098686410e+01, 3.254917193923486707e+01, 5.820003378875477296e+01, 2.337404905180452630e+01, 7.056685035431007691e+01, 9.004740860647751788e+01, 1.955413102555185390e+01, 4.894470876967272233e+01, 4.569949899797427406e+01, 7.150759004328730839e+01, 4.311872982366388385e+01, 6.775206308918718889e+01, 5.477557953699497517e+01, 4.588567298138602979e+01, 1.629719308379656084e+01
2.018000000000000000e+03, 6.049440204244791630e+01, 5.098099452237067197e+01, 3.269792843350339950e+01, 5.835737071374639129e+01, 2.364940426187533618e+01, 7.070877583837680902e+01, 9.027773701023176045e+01, 1.969085136584413220e+01, 4.893009457804826212e+01, 4.597713331133488879e+01, 7.155312579170382037e+01, 4.301843895077868041e+01, 6.804038241486129834e+01, 5.479662032899661739e+01, 4.629295437179234796e+01, 1.645995046030794740e+01
2.019000000000000000e+03, 6.093953312375884934e+01, 5.118493625351746346e+01, 3.277657326950020433e+01, 5.869740908267202428e+01, 2.400635540105240295e+01, 7.089120992639803376e+01, 9.071986461349855801e+01, 1.978880847512661134e+01, 4.914373497546866076e+01, 4.621414566540249780e+01, 7.176909880799001940e+01, 4.314751539271119896e+01, 6.830018186742555031e+01, 5.498769968942812625e+01, 4.665073758849336372e+01, 1.663400209760800408e+01
2.020000000000000000e+03, 6.114480186368420078e+01, 5.124684886881197343e+01, 3.289852181014740040e+01, 5.905623193542763971e+01, 2.434359774781468033e+01, 7.101748118798468568e+01, 9.115755015774558956e+01, 1.981078541400363946e+01, 4.940400527511828699e+01, 4.653269544707643490e+01, 7.195451260661714343e+01, 4.325840159388895501e+01, 6.850598743146736069e+01, 5.520590442701226408e+01, 4.712523881064131359e+01, 1.685316296518868029e+01
2.021000000000000000e+03, 6.143194948287747081e+01, 5.137098429191959070e+01, 3.307474085543886844e+01, 5.952388111212547983e+01, 2.472938321577469623e+01, 7.111070120423794094e+01, 9.152048082367019788e+01, 1.988769312892046770e+01, 4.957688019195921925e+01, 4.688631512612311525e+01, 7.205742820652038461e+01, 4.324763288232848879e+01, 6.874446163979091295e+01, 5.540215488881310080e+01, 4.770822429411797572e+01, 1.697294911416154406e+01
2.022000000000000000e+03, 6.180832204148668296e+01, 5.152598471302054151e+01, 3.318569588991361030e+01, 5.990517487370868110e+01, 2.514499769505588489e+01, 7.132750948390112455e+01, 9.180871317670124654e+01, 2.007109488403391140e+01, 4.970063579682037869e+01, 4.717183866151766125e+01, 7.212878992284129254e+01, 4.349694690610730419e+01, 6.905406957271664226e+01, 5.558812221010555987e+01, 4.825464378221431616e+01, 1.724131742332680162e+01
2.023000000000000000e+03, 6.207172922741799681e+01, 5.164512727154710348e+01, 3.341283172612436658e+01, 6.020603525119459931e+01, 2.550084374102015872e+01, 7.151413963964510856e+01, 9.212182793554951843e+01, 2.023499765039185050e+01, 4.995306806291969082e+01, 4.746793151566865987e+01, 7.219155188992890260e+01, 4.369778344216898347e+01, 6.940161807075902800e+01, 5.597927316632426908e+01, 4.859299518048972288e+01, 1.732681799658973532e+01
2.024000000000000000e+03, 6.225112488272969102e+01, 5.186571348819944660e+01, 3.362165575978793441e+01, 6.046298982047746051e+01, 2.581754828179340677e+01, 7.159715421242903233e+01, 9.246185889814317704e+01, 2.031351143623609090e+01, 5.044811145937010366e+01, 4.794965127294179297e+01, 7.233810029082421522e+01, 4.362801086397912087e+01, 6.971927674578435585e+01, 5.648557967670738122e+01, 4.900547605458637435e+01, 1.752246381678540388e+01
