year, GFDL-ESM4, MIROC-ES2L, TaiESM1, NorESM2-LM, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM
2.062000000000000000e+03, 1.238915049412598250e+02, 3.646044457277894821e+02, 6.114656545101264129e+01, 1.330127076309863924e+03, 3.151752510981914384e+02, 1.550268683136854122e+02, 1.003502222600122536e+03, 2.180525208564760931e+02, 2.584987717044404576e+02, 4.452477763728559808e+02, 1.985585520485943789e+02, 7.342583392628968113e+02, 7.185839213806104908e+01, 9.317153243314852489e+02
2.063000000000000000e+03, 1.238517616639231704e+02, 3.649202629799260080e+02, 6.112277153403510965e+01, 1.330070948638035134e+03, 3.152934222253323924e+02, 1.551319199960769879e+02, 1.003298160987633992e+03, 2.182536824674523928e+02, 2.587800302434048376e+02, 4.455846041138144074e+02, 1.986261831406381191e+02, 7.343090874572905022e+02, 7.203373396427518571e+01, 9.317093182282320640e+02
2.064000000000000000e+03, 1.237810487085409790e+02, 3.652360957208255172e+02, 6.110962639553756048e+01, 1.329999738851575785e+03, 3.153745819055307607e+02, 1.552271103905159464e+02, 1.003131827979826426e+03, 2.184433135342658829e+02, 2.590477932685773226e+02, 4.459096006558708609e+02, 1.986873997123259699e+02, 7.343429486997728191e+02, 7.220497260595314515e+01, 9.316862109393418905e+02
2.065000000000000000e+03, 1.237646242313482077e+02, 3.655874664307636976e+02, 6.111041548411105140e+01, 1.329947274354425872e+03, 3.154162471735113513e+02, 1.553942061592791504e+02, 1.002955289785910054e+03, 2.186585138410320326e+02, 2.592252119075262726e+02, 4.462544617778310112e+02, 1.987372850951652197e+02, 7.343746138780907131e+02, 7.240237370288657814e+01, 9.316483952394228254e+02
2.066000000000000000e+03, 1.238042597237135425e+02, 3.659086441059127992e+02, 6.109387662506640027e+01, 1.329861889054538551e+03, 3.154088228796337603e+02, 1.555139263542239405e+02, 1.002763359200713012e+03, 2.188775670058807066e+02, 2.595667074069357341e+02, 4.466011638675997801e+02, 1.987855558354032723e+02, 7.343864262817352255e+02, 7.259863661924786982e+01, 9.316132238688609277e+02
2.067000000000000000e+03, 1.237837862681068231e+02, 3.662051047356073923e+02, 6.106119886183690681e+01, 1.329773855540425075e+03, 3.153873660584312688e+02, 1.556548246014004633e+02, 1.002563690989613747e+03, 2.191092192308575761e+02, 2.597230995424421849e+02, 4.469305736152366535e+02, 1.988427988032076712e+02, 7.343999553303515313e+02, 7.276066368109204063e+01, 9.315863664699129458e+02
2.068000000000000000e+03, 1.236951213811182271e+02, 3.664909173200792907e+02, 6.103479020953191281e+01, 1.329737428107246387e+03, 3.153546981070890638e+02, 1.557679477753757453e+02, 1.002364614753429805e+03, 2.193344411686030639e+02, 2.598782092244957198e+02, 4.472521183477147133e+02, 1.988930476179665163e+02, 7.344163954294477890e+02, 7.292717368371415887e+01, 9.315561465179292782e+02
2.069000000000000000e+03, 1.237058251049381994e+02, 3.667664127240593075e+02, 6.103814807413789367e+01, 1.329725381201530809e+03, 3.153416710913662087e+02, 1.557670853602971306e+02, 1.002170525745751775e+03, 2.195742856750103726e+02, 2.598573598461024403e+02, 4.475445324299871004e+02, 1.989332754207069627e+02, 7.344135661579598491e+02, 7.308525428257783574e+01, 9.314894622241448587e+02
2.070000000000000000e+03, 1.237649316790226806e+02, 3.670537575535504971e+02, 6.104920917988987838e+01, 1.329700686766257832e+03, 3.153837155612639549e+02, 1.558507056084603164e+02, 1.002014773017007883e+03, 2.198105023357072980e+02, 2.599645582407884490e+02, 4.478352174622952475e+02, 1.989610642619026635e+02, 7.344427757817730935e+02, 7.323391306299217263e+01, 9.314278716747214730e+02
2.071000000000000000e+03, 1.237906069059684881e+02, 3.673734275455215652e+02, 6.103958381008206402e+01, 1.329666395568792495e+03, 3.154054847637813168e+02, 1.559553455314899111e+02, 1.001892936906952400e+03, 2.200550028148388719e+02, 2.601265051072330721e+02, 4.481155432586826919e+02, 1.989945768400173733e+02, 7.344857497532669868e+02, 7.340771858649037540e+01, 9.314034305421457702e+02
2.072000000000000000e+03, 1.238176102776522640e+02, 3.677245562381681907e+02, 6.103045133255318433e+01, 1.329649822264480690e+03, 3.154341144677297848e+02, 1.560920008716423411e+02, 1.001767813184635884e+03, 2.203051387244302077e+02, 2.603232349835312789e+02, 4.484237773827384785e+02, 1.990480141324109695e+02, 7.345070044173806991e+02, 7.359039690948040402e+01, 9.314110248718226330e+02
2.073000000000000000e+03, 1.237677520806385019e+02, 3.680411900570244939e+02, 6.102122629821426614e+01, 1.329636668901895519e+03, 3.154954997070460649e+02, 1.562286107730669471e+02, 1.001610088921924557e+03, 2.205676378867827054e+02, 2.604855352660116523e+02, 4.487665924880835746e+02, 1.991033198237372801e+02, 7.345235123642887629e+02, 7.374737813256044205e+01, 9.314025439263706403e+02
2.074000000000000000e+03, 1.237244683207879206e+02, 3.682584992516225384e+02, 6.100852285636124606e+01, 1.329617666875222312e+03, 3.155537577525781217e+02, 1.563141777641943975e+02, 1.001441136803695485e+03, 2.208158234591664666e+02, 2.605815708649470821e+02, 4.490849229482931833e+02, 1.991574327589843278e+02, 7.345473709142411280e+02, 7.391300684150037625e+01, 9.313759683565320984e+02
2.075000000000000000e+03, 1.237700332349646857e+02, 3.685231941032987493e+02, 6.098946295732039857e+01, 1.329539492081553362e+03, 3.156226871416944277e+02, 1.564182343178455028e+02, 1.001261865528082240e+03, 2.210519826196430699e+02, 2.606378133221814437e+02, 4.493684698448699919e+02, 1.992061400852715281e+02, 7.345980274446014846e+02, 7.408934959172776757e+01, 9.313515706945187276e+02
2.076000000000000000e+03, 1.238141727535237777e+02, 3.687754695370526292e+02, 6.097186776841722633e+01, 1.329445773155511233e+03, 3.156826976038933594e+02, 1.564841352732185840e+02, 1.001076654298041490e+03, 2.213173507613097115e+02, 2.607415753289092208e+02, 4.496445735344175887e+02, 1.992495048525926791e+02, 7.346108828468533147e+02, 7.427530344827171405e+01, 9.313408272915115731e+02
2.077000000000000000e+03, 1.237916580452064323e+02, 3.690684725561304163e+02, 6.097145854156112676e+01, 1.329361171774199647e+03, 3.156748710401877247e+02, 1.564786294869357164e+02, 1.000908551018240928e+03, 2.215801101393401211e+02, 2.609148487757747148e+02, 4.499429571733384705e+02, 1.992929925275159917e+02, 7.346058399815416351e+02, 7.443723544442129025e+01, 9.313481215860755356e+02
2.078000000000000000e+03, 1.237359788471252529e+02, 3.693876940767780184e+02, 6.095600290357053552e+01, 1.329306727752626557e+03, 3.156438496668665721e+02, 1.565362797593162156e+02, 1.000698553649134283e+03, 2.218403083910932025e+02, 2.609561773206492035e+02, 4.501922693512071305e+02, 1.993330280524819216e+02, 7.345989885374569894e+02, 7.457850080240486079e+01, 9.313391344412707440e+02
2.079000000000000000e+03, 1.237340433595806246e+02, 3.696301160497432647e+02, 6.093605412608150118e+01, 1.329266573622317310e+03, 3.156748978922140623e+02, 1.565956067251284765e+02, 1.000492808818914909e+03, 2.221162354429223171e+02, 2.610777839103377573e+02, 4.504498944166679735e+02, 1.993781920575964932e+02, 7.345874706943488945e+02, 7.473264052967458326e+01, 9.313283305599389905e+02
2.080000000000000000e+03, 1.237148193422253684e+02, 3.698315526075758157e+02, 6.092039484091316837e+01, 1.329228062383998804e+03, 3.157013438898464983e+02, 1.566224124225956871e+02, 1.000305595645691142e+03, 2.223834922632158566e+02, 2.611772122416563207e+02, 4.507132855831646907e+02, 1.994144941456204663e+02, 7.345759969120504138e+02, 7.486804360225515609e+01, 9.313217980772390092e+02
2.081000000000000000e+03, 1.236955847501441497e+02, 3.700685979524814115e+02, 6.092876587361681118e+01, 1.329213714898804483e+03, 3.156831262336975215e+02, 1.566882160599726319e+02, 1.000110287682688863e+03, 2.226553024295065484e+02, 2.612443725843282891e+02, 4.509882240355632348e+02, 1.994543434493071743e+02, 7.345869454527817197e+02, 7.500942807586228867e+01, 9.313018110720416871e+02
2.082000000000000000e+03, 1.236722729079507133e+02, 3.703500565294463627e+02, 6.092856872924591016e+01, 1.329180572946121174e+03, 3.156121851840680392e+02, 1.567594206326670303e+02, 9.999056710477133265e+02, 2.228990896263431409e+02, 2.613265387134354114e+02, 4.512265404726695124e+02, 1.995026811938489573e+02, 7.346280422404282717e+02, 7.515402508328953957e+01, 9.313031910981552528e+02
2.083000000000000000e+03, 1.236701058916107883e+02, 3.706608554172035497e+02, 6.091456626884797032e+01, 1.329164423760547834e+03, 3.155354982253541039e+02, 1.568405023738559123e+02, 9.997022894941170534e+02, 2.231521167198651483e+02, 2.614266407931532399e+02, 4.514637596456373672e+02, 1.995525108760693911e+02, 7.346821876182578990e+02, 7.530324779052212136e+01, 9.312943231297907687e+02
2.084000000000000000e+03, 1.236980784714780981e+02, 3.709272254418350485e+02, 6.087670008779751640e+01, 1.329129137078789199e+03, 3.155354512296595999e+02, 1.569894471123998301e+02, 9.995101810729794352e+02, 2.234406671825454112e+02, 2.614630128887963565e+02, 4.517222488040253552e+02, 1.996061072295593704e+02, 7.347187311451070855e+02, 7.545050057288527512e+01, 9.312789765593108768e+02
2.085000000000000000e+03, 1.237302006690550229e+02, 3.712114889241632341e+02, 6.085206891473409030e+01, 1.329065377101170270e+03, 3.156113513494098015e+02, 1.571150867912623994e+02, 9.993511296411611511e+02, 2.237338671480276844e+02, 2.615416744940069407e+02, 4.519640579209047360e+02, 1.996554257416022153e+02, 7.347724830974555061e+02, 7.561974988637575734e+01, 9.312815287511378983e+02
