year, ACCESS-ESM1-5, CESM2-WACCM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, GFDL-ESM4, INM-CM5-0, NorESM2-MM, MIROC-ES2L, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR
2.015000000000000000e+03, 2.687012673238187404e+02, 2.682699019654612016e+02, 2.659656454318540568e+02, 2.685781672063593533e+02, 2.682045261480189424e+02, 2.684086363103010626e+02, 2.674914224290703260e+02, 2.654654837236124649e+02, 2.669400146175579494e+02, 2.667718632511921442e+02, 2.671230580223833613e+02, 2.696755824693619275e+02, 2.684935753399446412e+02, 2.646557054096625734e+02, 2.666708278160862164e+02, 2.673714025993090218e+02
2.016000000000000000e+03, 2.686279011933323773e+02, 2.685020475114613987e+02, 2.662986804454430398e+02, 2.689481999794383000e+02, 2.689658306561466361e+02, 2.681316198510363620e+02, 2.675183205063842138e+02, 2.660670400296487514e+02, 2.670994360398150889e+02, 2.672165053735240008e+02, 2.655746327305840850e+02, 2.692147101616486111e+02, 2.691142412650153801e+02, 2.650938816765574870e+02, 2.668113041524267146e+02, 2.672788121928812188e+02
2.017000000000000000e+03, 2.682871320812481031e+02, 2.690156720703471933e+02, 2.661428724767623066e+02, 2.691486301753686803e+02, 2.686295410260196377e+02, 2.693516554183477751e+02, 2.679358072683396585e+02, 2.658257757781033206e+02, 2.668810547766028094e+02, 2.674881649229899949e+02, 2.659176350085857052e+02, 2.691417195591865834e+02, 2.682618285851852988e+02, 2.655692566805910246e+02, 2.665067112651316847e+02, 2.676678073872914752e+02
2.018000000000000000e+03, 2.685227595811228412e+02, 2.690708942674653485e+02, 2.664712160747548069e+02, 2.680286342822744814e+02, 2.678123923050686699e+02, 2.690184562840773310e+02, 2.674539590675410636e+02, 2.653772880969702328e+02, 2.662817705663372294e+02, 2.672089331386735580e+02, 2.664687020023880564e+02, 2.690564232324916816e+02, 2.680367328185748192e+02, 2.652378983372262269e+02, 2.659860423199650654e+02, 2.685362872041413311e+02
2.019000000000000000e+03, 2.687656409144957479e+02, 2.682322032332551771e+02, 2.661828027284325344e+02, 2.675223778923136706e+02, 2.684238678779955762e+02, 2.685026202523022221e+02, 2.678559212836823917e+02, 2.665688232650031182e+02, 2.675385881182668300e+02, 2.676045425965785967e+02, 2.659513724789857747e+02, 2.693004183579407709e+02, 2.685409575571380287e+02, 2.654144773963774924e+02, 2.670246225828825573e+02, 2.690131562605810700e+02
2.020000000000000000e+03, 2.687415250876191521e+02, 2.680487739123921074e+02, 2.665315703590396197e+02, 2.684926077697214737e+02, 2.681865580368518067e+02, 2.679417497211059072e+02, 2.679006710988062423e+02, 2.662322749605889385e+02, 2.676444049412177719e+02, 2.677612535240131706e+02, 2.673342523128990820e+02, 2.688378185280187154e+02, 2.688753428670790981e+02, 2.658138038533980421e+02, 2.673056008893079820e+02, 2.679215346262645880e+02
2.021000000000000000e+03, 2.685742893021217697e+02, 2.682229983694810471e+02, 2.665513409064018902e+02, 2.687215501738464809e+02, 2.678826574593130658e+02, 2.687091652927047676e+02, 2.680122382010742967e+02, 2.660976401256852455e+02, 2.677957834245391950e+02, 2.675523665066211265e+02, 2.667116929754706689e+02, 2.695048527523130701e+02, 2.697543423763347050e+02, 2.659751703127872702e+02, 2.666261576336558505e+02, 2.685292248382510252e+02
2.022000000000000000e+03, 2.693946281260897990e+02, 2.684320582570435363e+02, 2.671142997706052142e+02, 2.692436983242528754e+02, 2.688031841637422303e+02, 2.684463153075349169e+02, 2.676042801985117308e+02, 2.658633702578325142e+02, 2.678920811359294021e+02, 2.677219990569150241e+02, 2.669042574495995268e+02, 2.691435063529613103e+02, 2.692319113755299895e+02, 2.661565887916630118e+02, 2.666653862602978506e+02, 2.687417168094270892e+02
2.023000000000000000e+03, 2.693972338933931496e+02, 2.681696650043847967e+02, 2.668520771460323431e+02, 2.702247324907070833e+02, 2.682183225560452229e+02, 2.689487823183098385e+02, 2.670630314825364735e+02, 2.674362810981929215e+02, 2.680529031670041604e+02, 2.670421353938696711e+02, 2.672304016876026367e+02, 2.696688905848189393e+02, 2.683147450075777556e+02, 2.656537079295888475e+02, 2.673746733797829052e+02, 2.683009226853131395e+02
2.024000000000000000e+03, 2.689769393808631435e+02, 2.680203398261985512e+02, 2.667587816649859747e+02, 2.697147461237498192e+02, 2.683624734489421257e+02, 2.677617645720915789e+02, 2.676391717260768814e+02, 2.673451362873243511e+02, 2.675215535743181476e+02, 2.678248309921894474e+02, 2.669029353100537492e+02, 2.698567748613138519e+02, 2.689040170495039774e+02, 2.660281111705093053e+02, 2.660532586028651849e+02, 2.688392874100680388e+02
2.025000000000000000e+03, 2.690090048596736665e+02, 2.687391753820036797e+02, 2.673070559448809149e+02, 2.688893547150530026e+02, 2.679997976445453105e+02, 2.683370094177328724e+02, 2.672354171010293840e+02, 2.666305325862345512e+02, 2.680226799225246737e+02, 2.681705798726351304e+02, 2.665514905480095535e+02, 2.696649037530044097e+02, 2.683546018752224427e+02, 2.659821958608158639e+02, 2.674711045553180497e+02, 2.683912465825872005e+02
2.026000000000000000e+03, 2.694371405807636393e+02, 2.682589602462448966e+02, 2.667700914773420777e+02, 2.696254542707229120e+02, 2.678563525743291507e+02, 2.685317142762655749e+02, 2.675661498625306649e+02, 2.677020480749457079e+02, 2.675004859704791897e+02, 2.676772977147149390e+02, 2.669820987310760643e+02, 2.695312762065756829e+02, 2.689083403535384491e+02, 2.664631101877390051e+02, 2.670572422926946956e+02, 2.677345962032429725e+02
