year, GFDL-ESM4, ACCESS-ESM1-5, CNRM-ESM2-1, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg, TaiESM1, CMCC-CM2-SR5, NorESM2-LM, IPSL-CM6A-LR, CanESM5, MPI-ESM1-2-LR, NorESM2-MM
2.015000000000000000e+03, 5.710821935889852874e+00, 3.155074205904506712e+00, 5.532148395402904484e+00, 4.219808088352194453e+00, 6.053757262902856873e+00, 5.454854749414693060e+00, 3.321075269246589468e+00, 1.848086841813094017e+00, 5.203583346150322697e+00, 3.506046679498078245e+00, 2.908013403073068659e+00, 3.611208153901002138e+00, 5.801178624037867770e+00, 4.490314187624706577e+00
2.016000000000000000e+03, 5.632801768318677738e+00, 3.166301627062098056e+00, 5.718107358032639809e+00, 4.342476276457268192e+00, 5.915104309520773818e+00, 5.389345206799739607e+00, 3.746009068097102102e+00, 1.860628707817757466e+00, 5.453917582784217011e+00, 3.767099642248121771e+00, 2.904641246524412690e+00, 3.684923545287524416e+00, 5.566655867778012912e+00, 3.782105189198072814e+00
2.017000000000000000e+03, 5.605700436115231611e+00, 3.135348052063582358e+00, 5.626465861211837449e+00, 4.672902910221367279e+00, 5.976255943911990443e+00, 5.508067444805186952e+00, 3.660575947036755817e+00, 1.890261646858213629e+00, 5.279281301403648818e+00, 3.838819552599173068e+00, 2.966382504924252039e+00, 3.767999440616152995e+00, 5.781206721386627834e+00, 3.783700374836995728e+00
2.018000000000000000e+03, 5.476657266864853213e+00, 3.193343120411754388e+00, 5.642142892507520990e+00, 4.681691620325279857e+00, 5.943600028547268543e+00, 5.402241821250804321e+00, 2.805984096437268427e+00, 1.886294238511933008e+00, 5.236201270420976606e+00, 3.829308506709972804e+00, 3.065097288523454200e+00, 3.657722695775828203e+00, 5.661259051402328879e+00, 3.903640001432291395e+00
2.019000000000000000e+03, 5.942596202268028094e+00, 3.182391087677814756e+00, 5.731786400916486279e+00, 4.507078341632801965e+00, 6.061772641646127724e+00, 5.518768731530864002e+00, 3.454928657236180367e+00, 1.906911863234658888e+00, 5.322433534965062663e+00, 3.693508632117151524e+00, 3.072178454265392489e+00, 3.666192249576884166e+00, 5.741996032221234891e+00, 3.854802783560081991e+00
2.020000000000000000e+03, 5.819865293436650155e+00, 3.212896188635924410e+00, 5.752789771260028218e+00, 4.389975149038006563e+00, 6.104741591823246161e+00, 5.884017122301330893e+00, 3.067818956956472665e+00, 1.873584921583130392e+00, 5.237780829042843145e+00, 3.645205043986393889e+00, 3.049783279408228687e+00, 3.772951309961496413e+00, 5.877216319289741087e+00, 4.150921207057118423e+00
2.021000000000000000e+03, 6.040460972684451590e+00, 3.169951125070596731e+00, 6.127109169034450353e+00, 4.404394044905292738e+00, 6.091128847104942956e+00, 5.986652942337795658e+00, 3.607787298407028054e+00, 1.941082482650194452e+00, 5.147863854562880981e+00, 3.722613578515999055e+00, 3.095336055618847837e+00, 3.826150847113225506e+00, 5.972039831328857851e+00, 4.162578391169773795e+00
2.022000000000000000e+03, 5.776684352466222805e+00, 3.291500545930194033e+00, 5.946672729716040884e+00, 4.631602671387349268e+00, 6.057092383876504726e+00, 5.850964134424861740e+00, 3.308601384802738465e+00, 1.944005787407101060e+00, 5.282563949694279337e+00, 3.732089217398096626e+00, 3.130612222097238995e+00, 3.770741506350518080e+00, 5.936780518379537241e+00, 4.176059926363374863e+00
2.023000000000000000e+03, 5.960165314124475699e+00, 3.254498877823650105e+00, 5.889970249277437730e+00, 4.529761966719783040e+00, 6.166301008668721551e+00, 5.852183187084825988e+00, 3.509141890948410225e+00, 1.973844346317077170e+00, 5.289932861972030054e+00, 3.889739228413038763e+00, 3.150454285981940661e+00, 3.960527465042284145e+00, 5.721893267566705354e+00, 4.187826790305064328e+00
2.024000000000000000e+03, 5.992101073003450296e+00, 3.293022965286014347e+00, 5.860130666272127975e+00, 4.586079700393314695e+00, 6.289808675655057080e+00, 5.922445884501302160e+00, 3.297833878889031567e+00, 1.968066773832592098e+00, 5.380658433844299537e+00, 3.701377159517070137e+00, 3.175495369709454341e+00, 4.016082802916429273e+00, 6.078059892722921020e+00, 4.090933372509930166e+00
2.025000000000000000e+03, 6.115182816097957996e+00, 3.246899756844237928e+00, 5.827557426225770776e+00, 4.545715465645844056e+00, 6.212354450114395021e+00, 5.886086821962567051e+00, 3.411794345433606601e+00, 1.946689665191487117e+00, 5.132154183740635922e+00, 3.639868965633312303e+00, 3.220758720047374624e+00, 3.907399790023768471e+00, 6.137624846570861159e+00, 4.136209076566298215e+00
2.026000000000000000e+03, 6.135517353886359437e+00, 3.319964663264823646e+00, 5.897147593395166254e+00, 4.514145595176600523e+00, 6.208199518504378567e+00, 5.822848705659088964e+00, 3.611989099719604912e+00, 1.961551439281456810e+00, 5.120047303738910927e+00, 3.726104833667841731e+00, 3.182884766832720480e+00, 3.955368624781177012e+00, 5.840895215773032056e+00, 4.293931183554531295e+00
2.027000000000000000e+03, 5.966274939407809619e+00, 3.327986784743485416e+00, 6.037909368467303750e+00, 4.673528439187256467e+00, 6.198679629969925386e+00, 5.852213140764446209e+00, 3.274132192561044707e+00, 1.974973977378797318e+00, 5.287789287987067155e+00, 3.721652870363629795e+00, 3.168327058673275687e+00, 3.979298779955884768e+00, 5.993576957250116521e+00, 4.240309576220442800e+00
2.028000000000000000e+03, 6.025151625378065035e+00, 3.282129950682056929e+00, 6.129213367365860421e+00, 4.697864427709270707e+00, 6.428718920420559257e+00, 6.171600088874737544e+00, 3.465357824435566059e+00, 1.959701168117413461e+00, 5.423604448336253547e+00, 3.851814307675294646e+00, 3.221500713082569689e+00, 4.023552610800029683e+00, 6.160476847087268837e+00, 4.153298035620327511e+00
2.029000000000000000e+03, 6.190270554237475409e+00, 3.267318268864408015e+00, 5.784506345647565162e+00, 4.359796441684220092e+00, 6.493543489076116337e+00, 6.094805092876802277e+00, 3.476545875828907395e+00, 2.062088794969476613e+00, 5.540239276097164378e+00, 3.603703205163975465e+00, 3.262441236679675338e+00, 4.035615427384614762e+00, 6.107012313841535978e+00, 4.106721531341610998e+00
