year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, CMCC-CM2-SR5, IPSL-CM6A-LR, TaiESM1, NorESM2-LM
2.025000000000000000e+03, 7.988011619154218756e+00, 1.227474012262987024e+01, 1.080198359855012846e+01, 6.313524813163869709e+00, 1.091925450847932311e+01, 1.044516870805649766e+01, 1.054551347236248127e+01, 8.102685069471712964e+00, 9.645558388906859903e+00, 1.304068023839302981e+01, 1.012538554967691873e+01, 9.807814092521244476e+00, 1.086092973318971211e+01, 9.495198289861908947e+00, 6.088114572788503764e+00, 8.294731624670694359e+00
2.026000000000000000e+03, 7.726942158625983659e+00, 1.292239847022583987e+01, 9.567605704792750743e+00, 6.432254039801200918e+00, 1.121633624468628909e+01, 1.006962391541387447e+01, 1.112334769397916112e+01, 8.366247630055221762e+00, 9.426565730772695773e+00, 1.319007588542047316e+01, 9.437296357046683681e+00, 1.022118389907472569e+01, 1.079954996059501049e+01, 8.942799822899258899e+00, 6.275654810526173577e+00, 8.239153414198996828e+00
2.027000000000000000e+03, 7.880374132101620077e+00, 1.251169742618870906e+01, 9.989081992446955383e+00, 6.576825053909741037e+00, 1.166979708984576369e+01, 1.044978334436239464e+01, 1.092968164819877508e+01, 8.051870404019993543e+00, 9.514711401492464304e+00, 1.287646617137471239e+01, 9.739946324787682741e+00, 1.082274100764573355e+01, 1.154876422754317034e+01, 8.835477846476406327e+00, 6.037813551814065427e+00, 8.362267642367982035e+00
2.028000000000000000e+03, 8.144837939684352435e+00, 1.359320684541233781e+01, 9.911990764716124502e+00, 6.294532661784952410e+00, 1.177812509698291343e+01, 1.066006136080447142e+01, 1.163877492708119910e+01, 8.469543136327558841e+00, 8.874275445690038566e+00, 1.330812597157794031e+01, 9.860110890101266179e+00, 1.084675007333197883e+01, 1.188707110380292775e+01, 9.031329747433160193e+00, 6.370974981818864791e+00, 8.503281718811065204e+00
2.029000000000000000e+03, 7.984764491564435573e+00, 1.317496906303644266e+01, 8.992463643731035461e+00, 6.368361464258462945e+00, 1.158972570895663701e+01, 1.061566189065308663e+01, 1.164186538678407246e+01, 8.585222894139443284e+00, 9.148729255274911765e+00, 1.380938029497857400e+01, 1.029141373049119501e+01, 1.003343400022040655e+01, 1.159128959212178778e+01, 9.478714559363462300e+00, 6.501756944316198883e+00, 7.642578236753217347e+00
2.030000000000000000e+03, 8.155553488718227939e+00, 1.334224571308786089e+01, 1.026167607047400487e+01, 6.227940239219793561e+00, 1.143638161342737902e+01, 1.043720679965266029e+01, 1.191154526769462407e+01, 8.833181110004181491e+00, 9.756883917929011218e+00, 1.345254851703922050e+01, 1.052046062678465965e+01, 1.015337360178301651e+01, 1.108872008746717164e+01, 9.321799573848020160e+00, 6.419069478198803580e+00, 8.084201103350176609e+00
2.031000000000000000e+03, 8.101563987620977514e+00, 1.285468571958633888e+01, 1.025229296539035317e+01, 6.323721190934037395e+00, 1.193455522186767226e+01, 1.063671495156175162e+01, 1.120085433720475088e+01, 8.314424864798045434e+00, 1.000898295775099633e+01, 1.353502036130269026e+01, 1.017407742228408196e+01, 1.088813809845640890e+01, 1.134269790675242717e+01, 9.689587584947375376e+00, 6.462861541734610249e+00, 8.945966155193703528e+00
2.032000000000000000e+03, 7.594484384697408608e+00, 1.339785686428292344e+01, 1.038677697737887762e+01, 6.481363724487276379e+00, 1.179225158052725320e+01, 1.039319477401935288e+01, 1.147623359484124883e+01, 8.749462845014802426e+00, 9.612518722375572366e+00, 1.353641801245317922e+01, 1.031564356201609378e+01, 1.072426187039590495e+01, 1.193435263797558932e+01, 9.672313564718702850e+00, 6.510839677354936406e+00, 7.680428010485217172e+00
2.033000000000000000e+03, 7.637366578866911837e+00, 1.390401287009501807e+01, 1.080656319905350493e+01, 6.216973181649644964e+00, 1.157729539717512068e+01, 1.082711130180211789e+01, 1.171792882264950997e+01, 8.839163855620030930e+00, 9.808321066128518950e+00, 1.387746756768033407e+01, 9.825883152931103481e+00, 1.102016889404016453e+01, 1.179376069827369555e+01, 9.752046569358491013e+00, 6.545056342670328320e+00, 9.232206077809614442e+00
2.034000000000000000e+03, 7.153013161795878538e+00, 1.372747598620620302e+01, 1.111811470667395163e+01, 6.361939444179455450e+00, 1.144266198493056486e+01, 1.121032180598787775e+01, 1.134684745970056952e+01, 8.487849612115015319e+00, 1.013600589372452454e+01, 1.415695194683191716e+01, 1.015510713385923580e+01, 1.083228367882071375e+01, 1.179717143971141979e+01, 1.009318237342247215e+01, 6.772449968649923768e+00, 8.346856711510149296e+00
2.035000000000000000e+03, 7.853938412771358735e+00, 1.335844819343083678e+01, 1.138272999999410295e+01, 6.417273262190714256e+00, 1.158851740458109170e+01, 1.068715594208721598e+01, 1.139170209679778267e+01, 8.501066259018985605e+00, 9.529179403523066583e+00, 1.347572234576002437e+01, 1.014505119674149469e+01, 1.021879357850410130e+01, 1.167818920464582355e+01, 1.034191648115250572e+01, 6.627904871065556591e+00, 9.194233272753715269e+00
2.036000000000000000e+03, 8.002999864665889973e+00, 1.405541672324570968e+01, 1.118506965558955280e+01, 6.469250001243238124e+00, 1.192718206537437098e+01, 1.075630448800754380e+01, 1.191644373884043162e+01, 9.322830593379210384e+00, 9.602082729161200092e+00, 1.369386506265026959e+01, 1.030812840156435684e+01, 1.032038614663599851e+01, 1.206549911924008178e+01, 9.878513461883427382e+00, 6.602344169995117085e+00, 9.208655649850548741e+00
2.037000000000000000e+03, 7.760345113640335413e+00, 1.373150050204574590e+01, 1.119836237657782796e+01, 6.424721371870579567e+00, 1.156097145010111582e+01, 1.100065600179411796e+01, 1.141307746408731028e+01, 9.338760365245468265e+00, 9.679109607069978694e+00, 1.428186115820155955e+01, 1.008675981323334625e+01, 1.047738254608768038e+01, 1.207728226088353374e+01, 1.017939588744729917e+01, 6.521926164492368727e+00, 9.912499246883506032e+00
2.038000000000000000e+03, 8.243740704133488251e+00, 1.387733158170334313e+01, 1.134018865022790301e+01, 6.213673401429477217e+00, 1.129187682884279731e+01, 1.067321620569879670e+01, 1.186116308403453523e+01, 9.693261383437162593e+00, 9.827445890924192184e+00, 1.389483615529403515e+01, 1.020434216216766821e+01, 1.049808602924929346e+01, 1.171455315946605680e+01, 1.013790872994229098e+01, 6.463677440676165453e+00, 8.983118717888824989e+00
2.039000000000000000e+03, 7.444633567952555708e+00, 1.418080884399526909e+01, 1.126003250603836570e+01, 6.422988186043783188e+00, 1.139378288353645630e+01, 1.091873677353762417e+01, 1.155364879932293576e+01, 9.268606938593690003e+00, 9.964977665387692696e+00, 1.468090743188441394e+01, 1.095687740035332958e+01, 1.031156145493325127e+01, 1.200513619191444192e+01, 1.021850492365871865e+01, 6.798379773792695424e+00, 9.083737320881882127e+00
2.040000000000000000e+03, 6.859723982837227396e+00, 1.357831881884144920e+01, 1.159070544712234785e+01, 6.487147652141599607e+00, 1.168861910877875765e+01, 1.081674647494349983e+01, 1.212795545012485654e+01, 9.201081740790709063e+00, 9.843414419313059938e+00, 1.479530683841546690e+01, 1.018311083093572478e+01, 1.065663450529104850e+01, 1.157480291661587124e+01, 9.895294137672362211e+00, 6.995511218948264442e+00, 9.275127242714003017e+00
2.041000000000000000e+03, 7.910680743120773073e+00, 1.398122225830933729e+01, 1.227497532078699827e+01, 6.708810378376237615e+00, 1.209726108641894626e+01, 1.074838148470798060e+01, 1.119509485412589633e+01, 9.728635051971362913e+00, 1.031474792825730802e+01, 1.428868575102019278e+01, 9.976511383209812678e+00, 1.053058467143069876e+01, 1.172982801955341259e+01, 9.876382338165903718e+00, 6.808221419029395705e+00, 9.442745256052079483e+00
2.042000000000000000e+03, 7.804013794735512377e+00, 1.496963680450101108e+01, 1.156671246108986928e+01, 6.654848929505968513e+00, 1.269247548701469164e+01, 1.033550946192556452e+01, 1.247038952071535611e+01, 9.140354124982298600e+00, 1.109285789059618210e+01, 1.339923561199490010e+01, 1.038586480341688123e+01, 1.080276559063263164e+01, 1.227828811850784874e+01, 1.045624245058018076e+01, 6.802614218781672051e+00, 8.670390025692871205e+00
2.043000000000000000e+03, 7.811490347800904566e+00, 1.565283185142523692e+01, 1.049842102573776081e+01, 6.615941090638295385e+00, 1.124758389803110070e+01, 1.080630858410491868e+01, 1.214337672316667138e+01, 9.743737129286547116e+00, 1.061149724542796768e+01, 1.433410472387590140e+01, 1.041596421033342779e+01, 1.142784574497943417e+01, 1.266142277813959893e+01, 1.016268723268310126e+01, 6.781756585694974859e+00, 8.447292732428545392e+00
2.044000000000000000e+03, 8.238273797281831179e+00, 1.521056828916998249e+01, 1.169480985968159814e+01, 6.677765963176239161e+00, 1.202978301366739622e+01, 1.062582654522483061e+01, 1.190470515377340277e+01, 9.834474522707663979e+00, 1.127364726828700370e+01, 1.428589958512928071e+01, 1.038849975829056937e+01, 1.063782802756245438e+01, 1.235594407967697528e+01, 1.012351668797191095e+01, 6.730353822595797730e+00, 8.965329805062527413e+00
2.045000000000000000e+03, 8.052294423283363756e+00, 1.468286472801117881e+01, 1.105410035383427925e+01, 6.336034697765224877e+00, 1.323901537989207178e+01, 1.091789686812567517e+01, 1.225494358169088294e+01, 9.461837658550486196e+00, 1.040573257621305281e+01, 1.402624396750204916e+01, 1.046345577362139956e+01, 1.101657916181659047e+01, 1.237961565050961177e+01, 1.057752747202930976e+01, 6.728271363787981407e+00, 9.639074975552970770e+00
2.046000000000000000e+03, 8.493861893210628011e+00, 1.500518391313764255e+01, 1.192313448760009109e+01, 6.428322047227641001e+00, 1.185775548325566930e+01, 1.094092961708131462e+01, 1.212700497716028281e+01, 9.488293058049823259e+00, 1.005927198999216543e+01, 1.445941106340997528e+01, 1.065894882804540877e+01, 1.093551583220676804e+01, 1.262893215318922380e+01, 1.032304262686288432e+01, 6.984202452028467789e+00, 9.351596372733618878e+00
2.047000000000000000e+03, 9.057231376029555747e+00, 1.486814601513182943e+01, 1.118129750609543471e+01, 6.413401648598998861e+00, 1.211697293343899773e+01, 1.066910409913696967e+01, 1.222976055616085844e+01, 9.171381228968686017e+00, 1.130090651749877217e+01, 1.430632354876853896e+01, 1.008433221529774748e+01, 1.107987420373914134e+01, 1.273185344786282869e+01, 1.064151069115030701e+01, 7.033612035261308293e+00, 8.743546308023210756e+00
2.048000000000000000e+03, 8.349288417912481108e+00, 1.491220833775579102e+01, 1.278312280605302931e+01, 6.533702282796957306e+00, 1.188268713326070625e+01, 1.073374975390867014e+01, 1.183776866850014287e+01, 9.935381266149926560e+00, 1.141046207313193150e+01, 1.380317962899544249e+01, 1.016025095417169766e+01, 1.176350055882130974e+01, 1.271926059879572968e+01, 1.068406999394725787e+01, 7.011864916296795869e+00, 9.332548760016955214e+00
2.049000000000000000e+03, 9.223763097127463340e+00, 1.470830030482171402e+01, 1.096230593479080540e+01, 6.625875359586002489e+00, 1.282769654229630341e+01, 1.101937454557868179e+01, 1.194119520614913199e+01, 9.598890534000354080e+00, 1.070068488041748722e+01, 1.462303326085810973e+01, 1.062318140877855477e+01, 1.059315527200988782e+01, 1.286734847415159777e+01, 1.102625578911185045e+01, 7.020643673647374960e+00, 9.406207069810500698e+00
2.050000000000000000e+03, 8.215700498686045350e+00, 1.499187957625446010e+01, 1.190316991866679963e+01, 6.636473314420435088e+00, 1.170328378373492129e+01, 1.093673199592969603e+01, 1.225087432618535566e+01, 9.916323430133479278e+00, 1.045284448467306504e+01, 1.437353597813856254e+01, 1.061182138197788660e+01, 1.053291543065467728e+01, 1.213444087368039170e+01, 1.094730103210665462e+01, 7.139043206863341595e+00, 9.952772480430416735e+00
2.051000000000000000e+03, 7.902782093231020433e+00, 1.477439503803701548e+01, 1.207903349792714387e+01, 6.667138612095540040e+00, 1.253086484273988965e+01, 1.115682859374169489e+01, 1.192334305122817106e+01, 9.969421846934421794e+00, 1.046227205607173438e+01, 1.377307817467394457e+01, 1.041332943049856397e+01, 1.070561401754320130e+01, 1.306849000750317735e+01, 1.073606740032721873e+01, 7.071827960521543055e+00, 9.956546012746837704e+00
2.052000000000000000e+03, 7.625544600441071630e+00, 1.533767242330697300e+01, 1.285108565156701843e+01, 6.930961599028043096e+00, 1.182045024280685652e+01, 1.103225742037462886e+01, 1.194016559629455543e+01, 9.830179017188566348e+00, 1.080394288833834260e+01, 1.442389691414790853e+01, 1.075976877652490415e+01, 1.085100999065735117e+01, 1.277429493572237185e+01, 1.033153146476888473e+01, 7.184103915252571859e+00, 9.438694946122453189e+00
2.053000000000000000e+03, 7.462772758902771919e+00, 1.527839931582584221e+01, 1.145538577849519513e+01, 6.785723097844772234e+00, 1.260636566769497691e+01, 1.093517945344380493e+01, 1.253298180010632379e+01, 1.038035190649620887e+01, 1.083083294878228386e+01, 1.407535847512772165e+01, 1.030420508765962495e+01, 1.089865352000455800e+01, 1.274090397304677325e+01, 1.080285676826463437e+01, 7.005595239767320237e+00, 8.929360357395607295e+00
2.054000000000000000e+03, 7.464551594926050804e+00, 1.457100672399967678e+01, 1.213869822638866047e+01, 6.706439236900079592e+00, 1.223763526732479789e+01, 1.073894029520546312e+01, 1.216693122765274637e+01, 1.026593852125946782e+01, 1.069584847772940073e+01, 1.380861460135528063e+01, 1.053293846803854450e+01, 1.090003193360931455e+01, 1.323388323448495996e+01, 1.062879423775211407e+01, 7.179719377527964852e+00, 9.530253252201401182e+00
2.055000000000000000e+03, 7.414401569137933912e+00, 1.474750928855583076e+01, 1.243906847723743248e+01, 6.684616256966561920e+00, 1.189140293720185859e+01, 1.066791650044368112e+01, 1.228374247036636824e+01, 9.954240952523903729e+00, 1.082429594531627082e+01, 1.454226184995643578e+01, 1.057285282161612372e+01, 1.074251137892285080e+01, 1.307290248100170515e+01, 1.059237083980102767e+01, 7.049637198574878028e+00, 1.016843699205810658e+01
2.056000000000000000e+03, 8.489496516166246565e+00, 1.506842048416477020e+01, 1.143809503257109483e+01, 6.868168297318098858e+00, 1.176698510635182515e+01, 1.117071590295316774e+01, 1.203227850852744929e+01, 1.034655056046782029e+01, 1.077455706648894562e+01, 1.528284011567114220e+01, 1.017130967921873186e+01, 1.104795045070368964e+01, 1.273589060337986467e+01, 1.048517115371101660e+01, 7.141178371059205610e+00, 9.493585210462978097e+00
2.057000000000000000e+03, 9.372382014691897467e+00, 1.499944980079576062e+01, 1.229363187581083317e+01, 6.965015007581236262e+00, 1.189835529470198416e+01, 1.066256856989061674e+01, 1.183481174106754175e+01, 1.097422900221476283e+01, 1.022051181571174183e+01, 1.458481696370417069e+01, 1.036730803880872109e+01, 1.095502602841221851e+01, 1.262562147711681959e+01, 1.094484086896089359e+01, 6.941773424155013750e+00, 9.800762170637387527e+00
2.058000000000000000e+03, 9.975804780955126461e+00, 1.510141260867046320e+01, 1.240790626101357041e+01, 7.210995869767540256e+00, 1.286498053564441690e+01, 1.060107436170597772e+01, 1.248448747188058405e+01, 1.012511589042035176e+01, 1.158047064520057035e+01, 1.468731317564327910e+01, 1.068843423968884565e+01, 1.118656800341501878e+01, 1.294337991096152507e+01, 1.113282390262727972e+01, 6.830427638612646568e+00, 9.411031624246573912e+00
2.059000000000000000e+03, 9.100483180829185059e+00, 1.567001349589415327e+01, 1.195554949492390229e+01, 7.121088819522072733e+00, 1.207546189032452233e+01, 1.101271871050436779e+01, 1.198022011062795755e+01, 1.022046585401379737e+01, 1.111347989525508773e+01, 1.454065749299887322e+01, 1.027259195749351761e+01, 1.082189341967429108e+01, 1.318764940721032097e+01, 1.050192328588458501e+01, 7.183697832713303200e+00, 9.952202654144770122e+00
2.060000000000000000e+03, 9.621241221367938579e+00, 1.608791596881987829e+01, 1.172862102269554185e+01, 6.678704454983405370e+00, 1.175116255129892018e+01, 1.094244364154396010e+01, 1.272113970439391295e+01, 1.051022795206892013e+01, 1.041047225275555910e+01, 1.539974204577600858e+01, 1.057299300861676272e+01, 1.076580649387855004e+01, 1.303852417105319716e+01, 1.058809655732759580e+01, 7.305760018668780553e+00, 1.006051902752951399e+01
2.061000000000000000e+03, 8.550126499815551284e+00, 1.586821486231541911e+01, 1.163034668557544293e+01, 6.856671746195983630e+00, 1.209150747452021868e+01, 1.097620879181793896e+01, 1.205026671317355103e+01, 1.057308421590954950e+01, 1.132393923135828295e+01, 1.491108809986659622e+01, 1.056126776549383273e+01, 1.120338770129186301e+01, 1.306469695386097207e+01, 1.051575269930947520e+01, 7.062016399747927942e+00, 9.768329047741429960e+00
2.062000000000000000e+03, 8.196396470885208174e+00, 1.494140404152030044e+01, 1.223092286222537162e+01, 6.739653336567578812e+00, 1.239150704782480794e+01, 1.103436899514700009e+01, 1.216049134014207134e+01, 1.076549415160338441e+01, 1.056754989222646834e+01, 1.504608357063920998e+01, 1.072303764153101646e+01, 1.096241170402493204e+01, 1.343250861990420475e+01, 1.064926770708996884e+01, 7.070285246678231772e+00, 9.920064215410079100e+00
2.063000000000000000e+03, 8.184787467510210135e+00, 1.526538131931333275e+01, 1.224707802969952652e+01, 6.635935549467796513e+00, 1.199384137296486408e+01, 1.131684008185805190e+01, 1.271917667090285242e+01, 1.083754449475474146e+01, 1.115900402430653315e+01, 1.498909784572408554e+01, 1.033524353387234029e+01, 1.151799523470943676e+01, 1.274082380003517656e+01, 1.140289512794669413e+01, 7.407077629809204922e+00, 1.046202014466109276e+01
2.064000000000000000e+03, 8.051342534674120088e+00, 1.539551184557972086e+01, 1.196507646905967803e+01, 6.476427743433175621e+00, 1.242950262157515517e+01, 1.143605746896263753e+01, 1.196197463490502422e+01, 1.028094601923062257e+01, 1.074751348769620485e+01, 1.483032997233699035e+01, 1.077407780895541833e+01, 1.094590704148864191e+01, 1.294338855523716170e+01, 1.165166644370408200e+01, 7.023883564824650705e+00, 9.172476839400735216e+00
2.065000000000000000e+03, 8.445752653460417037e+00, 1.435986464167296361e+01, 1.165713239066044871e+01, 6.571747281535166962e+00, 1.216373681400324536e+01, 1.095965748534257500e+01, 1.167216823259214031e+01, 1.066395190435857110e+01, 1.130750095459099924e+01, 1.494333640531148077e+01, 1.112810171679627835e+01, 1.105393898036231803e+01, 1.299176136618665112e+01, 1.078631613091388886e+01, 7.301243705673800655e+00, 1.008753443501602121e+01
2.066000000000000000e+03, 8.797263531890742172e+00, 1.457233339740991873e+01, 1.159321272198627994e+01, 6.444245752230353119e+00, 1.237635452900597954e+01, 1.125190087108367365e+01, 1.207954348665387023e+01, 1.004281755488497829e+01, 1.107005383626192341e+01, 1.454720501237515151e+01, 1.040350780975821010e+01, 1.047619281030188354e+01, 1.329842572560031577e+01, 1.094184489119752079e+01, 7.176324533107637293e+00, 1.074499176993301575e+01
