year, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, GFDL-ESM4, CMCC-CM2-SR5, MIROC-ES2L, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, CanESM5, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, INM-CM5-0, NorESM2-LM
2.030000000000000000e+03, 8.037471480920620470e-01, 4.560277507206153547e-01, 1.694655443362574621e-01, 4.925611683976458544e-01, -1.863044044441750091e-01, 7.564810257320969678e-01, 5.761794800935369221e-01, 8.169071009645752224e-02, 5.846402153358813969e-01, 6.320296266654044093e-01, 8.473555334025889563e-01, 4.011356845372044955e-01, 4.820317111328625281e-01, 3.216403574755806183e-01, 2.843315238508283826e-01, 1.273215030584833318e-01
2.031000000000000000e+03, 9.013398297940778958e-01, 4.474228726413975177e-01, 2.323562442329551170e-01, 4.687845157390083672e-01, 5.624052686051578265e-02, 4.435718324501334298e-01, 6.260054097483142010e-01, 8.945923319446873190e-02, 3.179726434049492401e-01, 3.575180091767229396e-01, 7.172961342422441433e-01, 3.573098923924230563e-01, 3.890740562992905383e-01, 1.408017319440712511e-01, 4.519703728547581623e-01, 5.132312930595179790e-01
2.032000000000000000e+03, 8.842980816380128228e-01, 3.909968266803672821e-01, 3.201374049749953210e-01, 5.289494722383635272e-01, 3.489847973875130904e-01, 7.022070973066398825e-01, 6.798293680143064899e-01, 1.123257957350689562e-01, 4.107460081592012591e-01, 4.895577232904105291e-01, 6.969313092696852729e-01, 3.572303134139512282e-01, 3.275819776105852732e-01, 4.148373094313704823e-01, 5.810772915240416392e-01, -3.960064355499221672e-02
2.033000000000000000e+03, 1.013410379249086724e+00, 5.129468111454621448e-01, 1.395133060913433809e-01, 5.528835035616459503e-01, 1.915074627343846536e-01, 6.835980572007792633e-01, 5.665842207796495389e-01, 1.174862763548181616e-01, 3.403920698822612279e-01, 5.315996212716538327e-01, 7.881899998168643284e-01, 2.979292773793524307e-01, 4.165307328877017601e-01, 3.338473264870687185e-01, 4.733242390812704148e-01, 5.349349083750376543e-01
2.034000000000000000e+03, 7.141109059168110340e-01, 4.336764040898505868e-01, 1.494614577693161028e-01, 4.491905343138953843e-01, -6.973830405352647588e-02, 3.840836510662342662e-01, 6.477693740895464902e-01, 1.448139222129422032e-01, 5.142517117383478276e-01, 4.446143960587752852e-01, 7.611448038877961508e-01, 3.445389382176065052e-01, 4.870151235381428023e-01, 2.873224011190485538e-01, 4.880918677660906480e-01, 2.103018510924879181e-01
2.035000000000000000e+03, 7.193320335338339033e-01, 2.538846188764974365e-01, 3.386010511141565593e-01, 4.034607649953537156e-01, -3.113448576874677243e-01, 4.657738351517091147e-01, 7.316811751926024510e-01, 1.313604265179514619e-01, 2.973431887641172500e-01, 3.249252483274422398e-01, 5.984589036819141228e-01, 4.095761304629791377e-01, 4.566577562421085257e-01, -1.751518922226760477e-01, 3.385897848802901788e-01, 4.317622631105977327e-01
2.036000000000000000e+03, 7.178356320242935684e-01, 1.685362352064865010e-01, 2.748880897448396921e-01, 6.058362498134366447e-01, 8.682903206308369148e-02, 8.072028893436979935e-01, 6.487468769129721702e-01, 4.134175242057536864e-02, 5.759231421025806652e-01, 5.347534601936699827e-01, 8.076475621390665216e-01, 3.059743415343076922e-01, 4.757827488976461017e-01, 2.338301587169436258e-02, 4.847995171827221284e-01, 2.972387021063854773e-01
2.037000000000000000e+03, 7.951699864945476204e-01, 2.074803287952125819e-01, 2.481583266978231173e-01, 7.393882974409152764e-01, -5.619065985781763750e-01, 3.501384663865783065e-01, 6.827839835994019557e-01, 5.816229972172123203e-02, 2.915052484794131704e-01, 5.185626026743963557e-01, 6.033898222695595059e-01, -2.977261228727306336e-03, 4.163095089269682747e-01, 2.454255664249908597e-01, 1.834718293520725130e-01, 5.680970434787522283e-01
2.038000000000000000e+03, 9.947146357797829186e-01, 2.544297151515400590e-01, 1.455077490309324983e-01, 5.966327916817887322e-01, -7.153663008783278134e-03, 6.978175168422138253e-01, 6.193379774138640936e-01, 6.794790907034310712e-02, 3.242277884554572442e-01, 7.804389639936051282e-01, 7.154922564848751332e-01, 2.172669611394002220e-01, 4.103012613673343578e-01, 4.810412901267413499e-01, 3.480709212657835394e-01, 1.580680981404936347e-01
2.039000000000000000e+03, 7.636094019311021608e-01, 3.964082529372177643e-01, 1.764597916600331717e-01, 7.360204853164286076e-01, 5.047880576483407961e-02, 4.173336863539155450e-01, 7.546907491198335816e-01, 1.588593599683406909e-01, 5.875877788225172260e-01, 5.969889744962530997e-01, 7.840133898384077371e-01, 3.302852208192038064e-01, 4.072748782957802960e-01, 3.167038067644497024e-01, 5.849017765232082944e-01, 2.052465654446526955e-01
2.040000000000000000e+03, 8.857632397988799422e-01, 2.664944535759065092e-01, 2.583876705833587639e-01, 8.456828661738364783e-01, -8.893014886598499258e-02, 6.461412890897650918e-01, 5.673360456024308940e-01, 1.963203869373453536e-01, 3.548139811529815724e-01, 4.779181517177060190e-01, 4.788733291631876998e-01, 3.186557619864406332e-01, 4.449922937760618091e-01, 4.025386405105484400e-01, 4.580758036102071662e-01, 3.572425563399730386e-01
2.041000000000000000e+03, 8.357843279356366173e-01, 3.220069124994114906e-01, 3.816682157094292704e-01, 5.763048706317217551e-01, -5.532580829595908078e-02, 3.780792496330709906e-01, 4.951521693948524039e-01, 5.864067455317084621e-02, 4.724796926545843934e-01, 7.536609718271790603e-01, 6.362285085665190243e-01, 2.670316861301866296e-01, 6.341458792716656578e-01, -1.044983804686499818e-01, 4.059723731376013167e-01, 2.629083962585444523e-01
2.042000000000000000e+03, 8.651927901032687718e-01, 6.983811293982301605e-01, 2.448417207664853323e-01, 5.179834975803361274e-01, 1.617882225406155339e-01, 9.418133721028154604e-01, 7.770308419537887978e-01, 9.508708829017124831e-02, 3.649789278790577796e-01, 4.157951251024966099e-01, 7.852572348606164931e-01, 2.408379079558943814e-01, 5.161695589193637801e-01, -1.474452631666012536e-01, 2.280476575137131978e-01, 8.157352573422918529e-02
2.043000000000000000e+03, 1.088874969830476935e+00, 4.859829561290239242e-01, 3.013619200182249269e-01, 6.061588161897694116e-01, 3.606010379604501215e-01, 6.322361777834180074e-01, 4.912898146286638901e-01, 1.226108483352946893e-01, 4.237857556068459486e-01, 8.180085276080516499e-01, 7.895167315935160968e-01, 2.203222737247950147e-01, -1.344854986124416514e-02, 5.325770751994082230e-01, 4.719529244182578132e-01, -1.431044385183841659e-03
2.044000000000000000e+03, 5.685155127374649231e-01, 6.409454430446415163e-01, 2.550644093665295764e-01, 6.301620165173241750e-01, -1.878665662336808095e-01, 5.732604695220154811e-01, 5.801671111779466150e-01, 1.263762320299284814e-01, 4.010568226055505336e-01, 7.480374247338141824e-01, 7.500126717498987183e-01, 5.823260947334856219e-01, 4.264010817955894983e-01, 2.666712924011894192e-01, 3.021767381476759273e-01, 2.218228871812686631e-01
2.045000000000000000e+03, 6.850630467679326152e-01, 2.894566402217825241e-01, 8.453227747310161633e-02, 7.758090248751322582e-01, 4.118542024769386578e-02, 8.724748459074380680e-01, 6.759587694812552172e-01, 7.187035464658021733e-02, 5.348920908544207986e-01, 5.965569074216969803e-01, 7.184475524549627234e-01, 5.615948176035415740e-01, 1.926676695940264528e-01, 2.638118644246158495e-01, 2.540806303455529491e-01, 4.276905585978228452e-01
2.046000000000000000e+03, 7.243141690074523797e-01, 2.560744443688398597e-01, 9.141222541489693598e-02, 5.941427015809966905e-01, 1.405597818950954925e-01, 7.140663801058046989e-01, 5.363352613644815081e-01, 2.061114238260327025e-01, 4.620016601133741241e-01, 5.137810403226010791e-01, 6.294439579639902194e-01, 8.327424982674334897e-02, 4.984322811096386641e-01, 5.371397660081781433e-01, 3.956503320492205655e-01, 1.670979638692012548e-01
2.047000000000000000e+03, 8.604556645925354186e-01, 5.871555978222662286e-01, 1.455436651081812305e-01, 6.979703597260127346e-01, 1.386203694962294050e-02, 6.883175627096211890e-01, 5.972951688510498292e-01, 1.609308375378883660e-01, 3.702502386138156187e-01, 4.583247011190427211e-01, 5.447740496197785998e-01, 1.955194690607098273e-01, 4.581987220258283977e-01, 2.977289235469375850e-01, 3.316821156208539234e-01, 1.450754163466273505e-01
2.048000000000000000e+03, 9.308987949592706368e-01, 6.788152905980548990e-01, 2.326558150077512876e-01, 5.638478366872606840e-01, -3.363905392757055718e-02, 5.627311149004625701e-01, 5.585388959384126606e-01, 5.868733984734762765e-02, 3.473919042851992822e-01, 7.197183633505561673e-01, 4.884503778888016345e-01, 1.201040393715570725e-01, 4.550630931260336576e-01, 4.883108246743871894e-01, 3.282480810630870049e-01, 2.907824968119277487e-01
2.049000000000000000e+03, 7.999036617319296161e-01, 3.463562824997090672e-01, 2.865731445783987197e-01, 7.463688864671739198e-01, -2.669593248674405062e-01, 4.699845163492369915e-01, 7.503931291496094280e-01, 1.081630666725725554e-01, 3.850625562100128407e-01, 4.132830243826009498e-01, 5.612926368684523215e-01, 3.361386660166423290e-01, 1.346019528569880608e-01, 1.516575354862214065e-01, 5.504842513921077707e-01, 2.030574952166968317e-01
2.050000000000000000e+03, 7.128602788930605838e-01, 2.042919443822167058e-01, 2.353082995986149895e-01, 6.032578554773103674e-01, -1.958143976164979094e-01, 6.021177116919068650e-01, 6.222897502839520589e-01, 1.156689141364781181e-01, 5.021542452863201333e-01, 6.141117597324848854e-01, 3.927539361404436269e-01, 3.468569759841652056e-01, 2.185767029863635025e-01, 3.555241700648806846e-01, 3.998927182148390158e-01, 5.736823911251655028e-01
2.051000000000000000e+03, 7.409526887608045564e-01, 1.360053455126893629e-01, 1.988956206364593526e-01, 4.413575988481115986e-01, 1.675120054425925931e-01, 6.063992202537097365e-01, 5.770219834093551770e-01, 3.983182819303140304e-02, 4.267767955830085724e-01, 6.244659737102273844e-01, 5.290548198639559718e-01, 4.223650168713487529e-01, 5.876745415771348346e-01, 5.042877552340899738e-01, 4.148051255078097355e-01, 2.793725586701877872e-01
2.052000000000000000e+03, 6.314141197524844040e-01, 2.664717742445689708e-01, 2.283538005357554634e-01, 4.567071215017054486e-01, -8.101010273013263541e-03, 6.351377818964143440e-01, 6.373505010125196657e-01, 1.535261535246908726e-01, 5.072157960505042640e-01, 6.943317008123518486e-01, 6.065705069224056611e-01, 6.570401449427855367e-02, 7.133943192099996278e-01, 1.692117813920085700e-01, 4.822520507595144390e-01, 3.459704929688411368e-01
2.053000000000000000e+03, 7.622008576591169371e-01, 5.196305376069866311e-01, 2.948445261367841352e-01, 5.631418228577573792e-01, -2.465544779489912616e-02, 7.536220169669987090e-01, 5.945516419142492515e-01, 1.403597607365631439e-01, 4.904329666444338098e-01, 7.399335571121562483e-01, 6.626939149180681721e-01, 3.097741166818886449e-01, 2.951967638704637853e-01, 6.092184538213645667e-02, 6.099202124721143647e-01, 2.983671588665007257e-02
2.054000000000000000e+03, 7.506599421625042012e-01, 2.366371845049739520e-01, 2.291841257281796440e-01, 3.676720333743097591e-01, 6.145492904702118571e-03, 7.165085241482878065e-01, 4.867846639202159653e-01, 5.363906396003850774e-02, 4.613134616776611852e-01, 6.721310833611165991e-01, 3.827148514038976601e-01, 3.343925399178960256e-01, 3.303849450794221765e-01, -9.886196176777285738e-02, 4.290351128056658636e-01, 8.259656169788340274e-02
2.055000000000000000e+03, 6.541277775734578581e-01, 2.784944460856302872e-01, 2.000710695455212018e-01, 7.543816843391097926e-01, -3.391406112651915855e-02, 5.425840362995304478e-01, 5.220648437488787375e-01, 1.313386517548631172e-01, 3.485952732190566450e-01, 5.576402539895208843e-01, 4.697867573682084630e-01, 2.800023243700209830e-01, 4.637121227995884554e-01, -1.624692036652264360e-01, 2.369294142245575718e-01, 4.066024941906323242e-01
2.056000000000000000e+03, 7.983722989209643961e-01, 2.381853230163241963e-01, 2.942714665844516353e-01, 6.858070117877418381e-01, 4.041049519202657286e-02, 3.095406571586932776e-01, 5.137842307892978022e-01, 9.190780134817030933e-02, 2.967193738353562371e-01, 7.348640027362418614e-01, 4.010895836731380171e-01, 4.771474091518523863e-01, 8.872159420270464558e-02, -3.256525571347675396e-01, 4.945746466939143771e-01, 2.056256555952959142e-01
2.057000000000000000e+03, 6.413267562921934895e-01, 2.517367695389818860e-01, 2.471426079503516726e-01, 5.658683548160883259e-01, -1.525539632303945237e-01, 2.802321633945443757e-01, 5.900685162549519358e-01, 5.742285270232368871e-02, 2.595257839308088843e-01, 9.813664921309241951e-01, 3.629396293277663554e-01, 2.065256437759624697e-01, 4.672662788415926083e-01, -3.509789866540968806e-02, 5.395363957973156044e-01, 2.960170951653582350e-01
2.058000000000000000e+03, 8.823464835926559946e-01, 3.973053159285552249e-01, 4.311571631475697997e-01, 3.130956487461321602e-01, -7.625647563222593961e-01, 7.022238180970098442e-01, 7.009416027249196768e-01, 7.551933404080508894e-02, 4.259459164137694431e-01, 6.195897892047471656e-01, 5.033455383432551278e-01, 3.702491970999299276e-01, 4.279780640119976720e-01, 7.717194758607028859e-01, 5.180216233645472679e-01, 8.127872959783896678e-02
2.059000000000000000e+03, 6.526186403709088868e-01, 5.027252547356073631e-01, 3.053992292798131114e-01, 4.901441359983604862e-01, 7.574479618307243534e-02, 3.667856282951141855e-01, 4.544864418690661156e-01, 1.303535794058073016e-01, 2.395868594643301430e-01, 6.200832552181444468e-01, 4.536440985292862216e-01, 3.621861744239785463e-01, 2.259479288771128747e-01, 9.650436221357231448e-01, 3.410539360858174662e-01, 3.461677264805200216e-01
2.060000000000000000e+03, 6.652921525213384424e-01, 1.304216788552217676e-01, 2.003522877010947834e-01, 6.992111161295588850e-01, -3.071733513482537981e-01, 7.455714872415926120e-01, 5.485263453029904923e-01, 1.506104084943060140e-01, 3.500744866837418590e-01, 5.034450098479077429e-01, 5.541934096810195998e-01, 9.340590153157531106e-02, 2.255720889702382548e-01, 6.657417078735079485e-01, 4.225679015736036326e-01, 4.057349407088275961e-01
2.061000000000000000e+03, 7.211800157748371465e-01, 4.877128464415815268e-01, 1.642082878656566380e-01, 5.557775241366041952e-01, -1.840879793580736667e-01, 4.607919324825923146e-01, 4.325623654443239707e-01, 2.571546677512959525e-02, 1.486971985840745136e-01, 7.108658692952649627e-01, 4.761927988546480472e-01, 2.531371764482375220e-01, 2.643562905323149637e-01, 7.010418460356713233e-01, 2.702107664041268342e-01, 3.212687164848651578e-01
2.062000000000000000e+03, 8.108280590539452826e-01, 3.505170355484860667e-01, 1.200036147011023235e-01, 6.231340593132885797e-01, -5.879366241205644800e-02, 7.547777758894964606e-01, 5.628606684640704572e-01, 2.787771930222390782e-02, 2.682865076416374728e-01, 8.686792250474493216e-01, 3.674568459563414824e-01, 3.178837467355251634e-01, 2.907388923375525680e-01, 2.174909642915724972e-01, 3.341740689456009217e-01, 2.460081241645663552e-01
2.063000000000000000e+03, 8.388291030992759412e-01, 2.996082330504128977e-01, 6.882934330822905455e-02, 5.748613865482474772e-01, -3.371194588000427372e-01, 7.376798954658269070e-01, 5.782891170823919458e-01, 1.564674636174159250e-01, 2.605893390532423304e-01, 8.374098876618361054e-01, 4.122936381796766803e-01, 1.767178924266712692e-01, 2.970256920061367656e-01, 2.134202929045693128e-02, 4.590689163327303923e-01, 2.484160979094913735e-01
