year, NorESM2-LM, CESM2-WACCM, CMCC-CM2-SR5, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, NorESM2-MM, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, INM-CM4-8, ACCESS-ESM1-5, CanESM5, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 3.556833062745303309e+00, 4.551262785509326392e+00, 5.198495534509705251e+00, 6.532071174519080259e+00, 4.607266629552265513e+00, 6.384144563459487998e+00, 5.130165763843065108e+00, 6.805052438715692098e+00, 5.955395023829249901e+00, 3.486165079649080401e+00, 4.647481199648007433e+00, 3.461502113731586672e+00, 4.032173649953360695e+00, 2.004027870209260431e+00, 3.885310154467959798e+00, 6.300547055858663370e+00
2.016000000000000000e+03, 4.071486302812458824e+00, 4.314113361866280805e+00, 5.494469545141903666e+00, 6.624410417777690796e+00, 4.579470676342599411e+00, 6.057929669206088441e+00, 4.146567008687899403e+00, 6.382059063571026591e+00, 6.038367479107952462e+00, 3.527048150024743922e+00, 4.394183216135944647e+00, 3.520969389629284851e+00, 4.055163278891991574e+00, 1.985035974386787805e+00, 4.007632180985174486e+00, 6.246307638289957609e+00
2.017000000000000000e+03, 4.178330270204364538e+00, 4.915255765771246566e+00, 5.326207141856918348e+00, 6.587029825677829464e+00, 4.652051659102844461e+00, 6.444383628761865879e+00, 4.001915359827418861e+00, 6.498058258538172538e+00, 6.365137561783166475e+00, 3.395652140619866977e+00, 4.537585433084417197e+00, 3.625896782468995383e+00, 4.178973765253877204e+00, 2.121699564995473075e+00, 4.282397828638307757e+00, 6.346378324165534046e+00
2.018000000000000000e+03, 4.135170733463148451e+00, 5.182598824673632976e+00, 5.235805012039400630e+00, 6.420249451853235811e+00, 4.508027893941238595e+00, 6.231156770885367457e+00, 4.301144577422292059e+00, 6.286446810594420675e+00, 6.149640346293499427e+00, 3.589815775982053925e+00, 4.602588560272728557e+00, 3.572426152195073978e+00, 3.894398681368557380e+00, 2.091619307778593395e+00, 3.869898386588936035e+00, 6.310698088507353809e+00
2.019000000000000000e+03, 4.009546927841624253e+00, 4.861742975051348559e+00, 5.509476664782357425e+00, 6.760577003264331530e+00, 4.932144054645791087e+00, 6.199553756295474116e+00, 4.245006884746077347e+00, 6.914809345211465619e+00, 6.219158243286627474e+00, 3.737654726624270118e+00, 4.679995501810325642e+00, 3.565059872942866637e+00, 4.016715191605408464e+00, 2.121096958511037744e+00, 4.215088170214121632e+00, 6.795128175107342017e+00
2.020000000000000000e+03, 3.807811639053744202e+00, 4.793876493167799957e+00, 5.136201421095742958e+00, 6.788046108683815305e+00, 4.698787831867274001e+00, 6.499819232744642683e+00, 4.464467830685346250e+00, 6.588555471672503216e+00, 6.619707482481390848e+00, 3.688580576205584105e+00, 4.542615270655082860e+00, 3.457952534695612812e+00, 4.098033207573506864e+00, 1.988848083956600954e+00, 3.931696592937560020e+00, 6.683595976802286565e+00
2.021000000000000000e+03, 4.005409701085494767e+00, 5.066531856366084163e+00, 5.327718994344341930e+00, 7.148405176355272950e+00, 4.713951465775513938e+00, 6.341414776803299347e+00, 4.214760105037364646e+00, 6.657092258239393878e+00, 6.811316809641043690e+00, 3.745057606467003808e+00, 4.643569848784876442e+00, 3.608060486748901674e+00, 4.207344273947722257e+00, 2.114221136110401744e+00, 4.202675225671548276e+00, 6.713126596060112306e+00
2.022000000000000000e+03, 3.781985536812676241e+00, 5.124225824222476966e+00, 5.610060346220947736e+00, 7.064326176353178610e+00, 4.647542078304139679e+00, 6.335099396717890130e+00, 4.422784121499817367e+00, 6.614901584512178800e+00, 6.629463131396386544e+00, 3.834159690383759589e+00, 4.737628112595563046e+00, 3.695465390747419754e+00, 4.031124953299869418e+00, 2.205393786489076469e+00, 4.187250170647629055e+00, 6.658647871047297606e+00
2.023000000000000000e+03, 3.979475621257983153e+00, 4.987556290168412509e+00, 5.494048790471697252e+00, 6.935600422528060527e+00, 4.587941282045377989e+00, 6.481996348085157678e+00, 4.654491958311704813e+00, 6.919726302844372512e+00, 6.476321503722711093e+00, 3.732633703186425400e+00, 4.716959167232141148e+00, 3.747041432213234824e+00, 4.240010753814108746e+00, 2.162566500520833213e+00, 4.311613840457835245e+00, 6.852712062586896025e+00
2.024000000000000000e+03, 3.974642826823879815e+00, 4.866890206354533177e+00, 5.344708083731737780e+00, 6.830119429269171150e+00, 4.834455225046520255e+00, 6.644340847871464284e+00, 4.707498210435346664e+00, 7.095240444427750148e+00, 6.594992506463531967e+00, 3.833129716305621493e+00, 4.513872927326313622e+00, 3.647157752090514293e+00, 4.553353122080505244e+00, 2.142008284576588650e+00, 4.184987762376011666e+00, 6.816603932910641817e+00
2.025000000000000000e+03, 3.991955533785144006e+00, 5.186565945308097447e+00, 5.172493771061541956e+00, 6.709618565692884395e+00, 4.803198820950091097e+00, 6.367841745109187102e+00, 4.694437038374453586e+00, 6.549704559905448420e+00, 6.536624815188504911e+00, 4.001293674768382935e+00, 4.701203402826981126e+00, 3.579395551114129770e+00, 4.255159234874981600e+00, 2.135155722876333595e+00, 4.323682650937503702e+00, 6.947783618418763574e+00
2.026000000000000000e+03, 3.960932525374540436e+00, 4.591392247159017614e+00, 5.251953161509835155e+00, 6.970040210269679903e+00, 4.619310104743517442e+00, 6.464743837440596330e+00, 4.602848499167399687e+00, 6.929829954041160534e+00, 6.679001566756140207e+00, 3.802436370036662794e+00, 4.330441813167570153e+00, 3.638534980747198500e+00, 4.411315022541816511e+00, 2.208530156971562519e+00, 4.113416807402700215e+00, 6.986460474585919123e+00
2.027000000000000000e+03, 4.018736214697122833e+00, 4.837405606617196874e+00, 5.662364109526592415e+00, 7.284623983082629373e+00, 4.858688497729208855e+00, 6.609909864755536546e+00, 4.620961540001622403e+00, 6.810629624947500460e+00, 6.610703317317827121e+00, 3.767806406964954391e+00, 4.525798434564931583e+00, 3.722773048130680884e+00, 4.199982789321064836e+00, 2.117169360134409484e+00, 4.209395195739258355e+00, 6.850541268000369222e+00
2.028000000000000000e+03, 4.154314927148014647e+00, 4.904860878658981349e+00, 5.786087725161498163e+00, 7.319487987479243785e+00, 4.964024068361459818e+00, 6.749323059275432968e+00, 4.316258568354307101e+00, 7.244054925900169195e+00, 7.017770137070070469e+00, 3.764303354582551719e+00, 4.642674643190640715e+00, 3.539139522505573954e+00, 4.493570362260275175e+00, 2.233220919042999686e+00, 4.385554404773365000e+00, 7.112629059781321317e+00
2.029000000000000000e+03, 3.688306212482302726e+00, 4.390621378414270914e+00, 5.578863995010350685e+00, 6.893212686365846942e+00, 4.859337453070048163e+00, 6.620466175921007057e+00, 4.457731213799858594e+00, 7.237639913324210639e+00, 6.876207396200530120e+00, 3.979411617016660241e+00, 4.818437791985079599e+00, 3.557592517525562492e+00, 4.597921242919688289e+00, 2.277927233187636347e+00, 4.225465830343595464e+00, 7.391176352399327243e+00
2.030000000000000000e+03, 3.945855426740905614e+00, 5.055218657279756833e+00, 5.345280200543191640e+00, 6.959604054414507246e+00, 4.738160567586778171e+00, 6.545842283458166655e+00, 4.758570661558279014e+00, 7.427525541024064815e+00, 6.872847621962369757e+00, 3.912262721143460631e+00, 4.930234658952636018e+00, 3.498330684547148461e+00, 4.723978140962316274e+00, 2.220020102680662077e+00, 4.316682494298611061e+00, 7.079246145840608406e+00
2.031000000000000000e+03, 4.441365377710511986e+00, 5.056549208837283871e+00, 5.500251621026885473e+00, 7.385498952778831949e+00, 4.882852103315220127e+00, 6.759436813357314833e+00, 4.861789186140812014e+00, 6.956395740735825228e+00, 6.618123206162305650e+00, 4.037788051252173993e+00, 4.680189262991174992e+00, 3.540055824165641685e+00, 4.352775853867398403e+00, 2.256620137603792209e+00, 4.328163949575547065e+00, 7.249133937302620012e+00
2.032000000000000000e+03, 3.695150914963613253e+00, 5.038584169639008792e+00, 5.854327962318827794e+00, 7.284621296159501824e+00, 4.831237745715507792e+00, 6.711345249139077929e+00, 4.663388357384754990e+00, 7.145271035999368969e+00, 6.846657759989469128e+00, 4.064596707642316176e+00, 4.769459534991758787e+00, 3.650736100843835708e+00, 4.632564810806180766e+00, 2.314832200436891529e+00, 4.023046497018976098e+00, 7.115336713472457220e+00
2.033000000000000000e+03, 4.464964726482492097e+00, 5.282474415062369033e+00, 5.694217795762897438e+00, 7.459373930554392906e+00, 4.974036955945470240e+00, 6.667194768454336007e+00, 4.679514467627258867e+00, 7.285557614438978646e+00, 7.079553430682160808e+00, 4.048621701665521933e+00, 4.535736260917578200e+00, 3.453246523567074622e+00, 4.685924070508679762e+00, 2.298051666020665795e+00, 4.110612196631993953e+00, 7.392840756615545850e+00
2.034000000000000000e+03, 3.944209586005534174e+00, 5.453040188915908359e+00, 5.643907744462147491e+00, 7.297747634415408413e+00, 5.147067178788828912e+00, 6.607047566373769776e+00, 4.719678304900749133e+00, 7.025698590605816030e+00, 7.015974752576843443e+00, 4.177869456148034288e+00, 4.732211144404454117e+00, 3.519966119534127635e+00, 4.476898167863642364e+00, 2.372115579121502282e+00, 3.812302398336874454e+00, 7.402646568621683798e+00
2.035000000000000000e+03, 4.365892296689375840e+00, 5.520195965642667346e+00, 5.576370891928141837e+00, 6.987263424537350609e+00, 4.851009726356656060e+00, 6.587477492808938351e+00, 4.464789019018436278e+00, 7.075920098529530300e+00, 6.801497843669084276e+00, 4.314545452929073655e+00, 4.649161528607999472e+00, 3.643262139508051334e+00, 4.444428398722754636e+00, 2.288676520365546363e+00, 4.140935951444227214e+00, 7.082530286936049357e+00
2.036000000000000000e+03, 4.353715715405943598e+00, 5.447251265828976230e+00, 5.838490852645434437e+00, 7.055494544990399852e+00, 4.956577522393099677e+00, 6.843817999577764155e+00, 4.562212901353231764e+00, 7.409369371494595846e+00, 7.041512605258703594e+00, 4.152955251228155120e+00, 4.849041194262964538e+00, 3.603772916060834053e+00, 4.955472330137012271e+00, 2.265660209340300213e+00, 4.189475436661796337e+00, 7.366472873687731848e+00
