year, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CanESM5, TaiESM1, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1
2.027000000000000000e+03, 1.822873375400128726e+00, 1.265181614588178460e+00, 2.122089264814523535e+00, 2.943996547908414918e+00, 2.650988426072937276e+00, 1.775656815522146603e+00, 1.444806688506847792e+00, 9.349987790695719614e-01, 1.506051266605952232e+00, 4.143745039580290168e+00, 1.451317272073111342e+00, 1.706118537787680189e+00, 9.400243829995019729e-01, 1.336966795074785885e+00, 1.796394777276779431e+00, 1.603872044716744050e+00
2.028000000000000000e+03, 1.627620321389085634e+00, 1.263533025231303064e+00, 1.956550102732515839e+00, 2.723520329792064043e+00, 2.879035985429612587e+00, 1.820989433944509850e+00, 1.448301605738261832e+00, 1.031897099700595399e+00, 1.412151080994363372e+00, 4.367131970062867907e+00, 1.549573605483779204e+00, 2.028190994262556224e+00, 8.696898673468648200e-01, 1.416716612322233892e+00, 1.318162644450824539e+00, 1.887764433375646034e+00
2.029000000000000000e+03, 1.765503869953341853e+00, 1.453412302963823954e+00, 1.972628361145148057e+00, 2.799712971048084587e+00, 2.578683804390101475e+00, 1.666536594988422992e+00, 1.620270609299629072e+00, 9.782912278650313098e-01, 1.520205121757336908e+00, 4.477394424574671739e+00, 1.486479329009501082e+00, 1.798859251536404358e+00, 8.243944022469741340e-01, 1.454644353840073956e+00, 1.186660742014956638e+00, 1.528078468122348710e+00
2.030000000000000000e+03, 1.671518131350354652e+00, 1.330493057474858354e+00, 2.056994716490115227e+00, 3.137423147774226262e+00, 2.686126119089116138e+00, 1.773081680546411132e+00, 1.518742481753924789e+00, 1.028954710182800492e+00, 1.600855838678067355e+00, 4.662857727746855474e+00, 1.562988858140192505e+00, 1.561267779573446202e+00, 8.383626058598797615e-01, 1.522927061324558906e+00, 1.432165657673004855e+00, 1.777880139004343496e+00
2.031000000000000000e+03, 1.580489988523929190e+00, 1.379818026636356887e+00, 2.402471156425127763e+00, 3.130310986503590076e+00, 2.806313578470243542e+00, 1.783178655334836105e+00, 1.444080152122235505e+00, 9.436606118288587419e-01, 1.586509166905711199e+00, 4.480456251541466095e+00, 1.607127545359268161e+00, 1.244750574025132561e+00, 9.305566516178938041e-01, 1.580175342520516057e+00, 1.806778876805524847e+00, 1.563933224415499312e+00
2.032000000000000000e+03, 1.820141513556988944e+00, 1.497782392977681676e+00, 2.053059227474911097e+00, 2.812346883207223147e+00, 2.731245785223891165e+00, 1.610394588611406386e+00, 1.553990990842674336e+00, 9.423800347562134583e-01, 1.855052993969213970e+00, 4.391919447237487617e+00, 1.489383809786558821e+00, 2.028468916933098942e+00, 8.061955239966633879e-01, 1.481713176902189177e+00, 1.541260532118036819e+00, 2.175204812199815763e+00
2.033000000000000000e+03, 1.946640862525978122e+00, 1.348003781567081560e+00, 2.036357867065939242e+00, 3.110702464476113427e+00, 2.466735538057378108e+00, 1.695717759628760479e+00, 1.536445300917921974e+00, 1.001333562975314617e+00, 1.806261157146072716e+00, 4.518144370515503994e+00, 1.563978519471951989e+00, 1.560299417436082692e+00, 9.401502545832163271e-01, 1.542328389464804550e+00, 1.507514111516107258e+00, 1.625001139603708955e+00
2.034000000000000000e+03, 1.882132669134403802e+00, 1.290666564446744324e+00, 1.916085595559386734e+00, 2.846914563923514052e+00, 2.727511921628378744e+00, 1.951291832979591634e+00, 1.960172431769089396e+00, 1.033890389979555735e+00, 1.610118281999606937e+00, 4.393536123068224164e+00, 1.771097485574994801e+00, 1.541993099917459586e+00, 8.375949494956957952e-01, 1.575906059915555879e+00, 1.763604875012412032e+00, 1.676955293297363037e+00
2.035000000000000000e+03, 1.676755127708100090e+00, 1.411782709005576120e+00, 2.263748847562317756e+00, 3.004375319423240320e+00, 2.888974453532728415e+00, 1.917825262839701006e+00, 1.817075280484899746e+00, 1.141198094013466724e+00, 1.680088589102313179e+00, 4.205446090165088080e+00, 1.480757707801415135e+00, 2.179838314815795819e+00, 7.700658843570862278e-01, 1.669756458125636556e+00, 1.181289683121862000e+00, 2.123918546120669770e+00
2.036000000000000000e+03, 1.664404565275214853e+00, 1.306743395733220625e+00, 1.896817510966393616e+00, 3.203428052973919637e+00, 2.759065915565912963e+00, 1.884926147923636996e+00, 1.689839029911258450e+00, 9.760556011060876891e-01, 1.570929276411791031e+00, 4.592462464505111086e+00, 1.528908960998743849e+00, 1.605809531982583582e+00, 7.318118750781981152e-01, 1.518533882094838638e+00, 1.812915572308735790e+00, 1.986551734936974123e+00
