year, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM4-8, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CESM2-WACCM, MIROC-ES2L, CMCC-ESM2, NorESM2-MM, CNRM-ESM2-1, TaiESM1, CanESM5
2.015000000000000000e+03, 9.165467709876600200e-01, 6.778454491444834140e-01, 1.244854461175977089e+00, 9.368714351399979323e-01, 1.438403954277894803e+00, 1.618089750058733456e+00, 9.465415323814484472e-01, 1.618222016338774383e+00, 1.414783591537287055e+00, 1.026880179055298381e+00, 9.691148339260378108e-01, 1.531094603033644086e+00, 1.003367331968805010e+00, 1.613890763749350477e+00, 1.464724694252669046e+00, 1.084618540659572528e+00
2.016000000000000000e+03, 7.757273216249299663e-01, 6.841605050476344818e-01, 1.150585871323402509e+00, 1.003783911137993146e+00, 1.439599543700435191e+00, 1.622894858560321563e+00, 9.040420052177758903e-01, 1.729853162306137726e+00, 1.429534839102798882e+00, 1.018977141172588308e+00, 9.934937502495125861e-01, 1.386723491082946236e+00, 9.269899764701614586e-01, 1.578667355246259119e+00, 1.570935688559153887e+00, 1.165142269253474749e+00
2.017000000000000000e+03, 7.544479729434628856e-01, 6.833856072176588414e-01, 1.160414286212092305e+00, 9.558308224452630730e-01, 1.537787684021299839e+00, 1.621245400753561272e+00, 8.710331272564745264e-01, 1.857986108947344395e+00, 1.482758822835561707e+00, 1.026882933145155885e+00, 9.999982369918906100e-01, 1.129872802388230735e+00, 9.240682531263821886e-01, 1.532807211033117012e+00, 1.647540474927964738e+00, 1.129128700069354174e+00
2.018000000000000000e+03, 8.183758542424159899e-01, 7.290399874313462369e-01, 1.163234180892889436e+00, 9.684440331888147790e-01, 1.501931872480409158e+00, 1.609236061657663308e+00, 8.944079454817750463e-01, 1.807794045232328228e+00, 1.510024733691189835e+00, 1.036266071565769442e+00, 9.518611769821259116e-01, 1.176610992887688889e+00, 9.420625983972695794e-01, 1.484770132404547471e+00, 2.055710843528702814e+00, 1.101527622572767706e+00
2.019000000000000000e+03, 8.772441415418810173e-01, 7.041415242114100748e-01, 9.740430291585485678e-01, 1.034974198270741885e+00, 1.469940194865853478e+00, 1.567041638675797044e+00, 9.633687154225988314e-01, 1.678607214602558129e+00, 1.419002340133188156e+00, 1.130584873295461312e+00, 9.443018989451491541e-01, 1.703511699511533584e+00, 1.020043307989484171e+00, 1.539601151973375881e+00, 1.942621133337583572e+00, 1.106294094834634256e+00
2.020000000000000000e+03, 8.135920945422170369e-01, 6.692375833147463648e-01, 1.153021371960418762e+00, 9.620049355068256425e-01, 1.521298165238765154e+00, 1.680096978393630147e+00, 1.013044138618613976e+00, 1.595449354768510020e+00, 1.380324471988937152e+00, 1.102914647004874071e+00, 9.464106657407883594e-01, 1.868253063099703404e+00, 9.872479397092128739e-01, 1.524888696152639334e+00, 1.625402672000926696e+00, 1.183749683512303585e+00
2.021000000000000000e+03, 8.427870099932318615e-01, 7.080881601753659105e-01, 1.313201082441689760e+00, 1.004015624629539971e+00, 1.591459151279260187e+00, 1.576348257417165888e+00, 9.291423324585901256e-01, 1.622404265876098872e+00, 1.389591584909178001e+00, 1.066919645479998957e+00, 9.556087203440239985e-01, 1.273451826111809737e+00, 1.030102868386445492e+00, 1.648002578894731451e+00, 1.753393489861850618e+00, 1.195756840628444451e+00
2.022000000000000000e+03, 7.225484821027927662e-01, 7.358934572879627378e-01, 1.281330581408561820e+00, 1.025975681039650089e+00, 1.586389154368545773e+00, 1.589148033999040477e+00, 9.951186549585649965e-01, 1.771550780701218741e+00, 1.396372123105902974e+00, 1.080284720387930886e+00, 9.561699898631695893e-01, 1.347797840805062375e+00, 1.051247063758879774e+00, 1.638027304321483024e+00, 1.882328266461920308e+00, 1.210470224725551880e+00
2.023000000000000000e+03, 8.185969792094944797e-01, 7.425516207802370650e-01, 1.290060691388764891e+00, 9.700407770014930486e-01, 1.517272243038807256e+00, 1.501610463148727703e+00, 9.846360831819950254e-01, 1.802830775254095963e+00, 1.393312844217981628e+00, 1.126734227739829342e+00, 9.291886859601949933e-01, 1.485629166035033366e+00, 1.117245211266133076e+00, 1.590134133044535325e+00, 1.699482892537664158e+00, 1.135073148472877769e+00
2.024000000000000000e+03, 7.698925084822411113e-01, 7.073424414304754215e-01, 1.277562522240819787e+00, 1.014327344163429512e+00, 1.599901737709355842e+00, 1.535132737649318235e+00, 1.063847541863377932e+00, 1.660007907750755018e+00, 1.435345845122803388e+00, 1.125291168865536040e+00, 9.503204318172723264e-01, 1.831264673692914124e+00, 1.065474612664645493e+00, 1.398769461607134446e+00, 1.504464307523133870e+00, 1.156539565249445900e+00
2.025000000000000000e+03, 6.405168789464554813e-01, 7.286775970957024562e-01, 1.281185432305143701e+00, 9.748416240340562755e-01, 1.575530965820335361e+00, 1.565044656698143077e+00, 1.031681947360834961e+00, 1.478550146388570630e+00, 1.419362341375802750e+00, 1.112825778293658141e+00, 9.189826485995652439e-01, 2.148049424929637574e+00, 1.043550794894904321e+00, 1.485672951332510205e+00, 1.428496787065296481e+00, 1.191276716027109162e+00
