year, UKESM1-0-LL, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, CNRM-ESM2-1
2.031000000000000000e+03, -1.847966497686439571e-10, 3.004475380031073087e-09, -2.643872708594176943e-10, 2.140842200347391146e-09, 2.322147424313614829e-10, 1.724495648451749969e-09, -8.157586546603167190e-11
2.032000000000000000e+03, 9.218893554852360683e-10, 5.392756583740186437e-10, -1.899774889561449947e-09, -1.650204507662002508e-12, 5.570347768104514069e-10, -3.432102392734440279e-10, 2.162408601460670008e-09
2.033000000000000000e+03, 4.916207477048128919e-10, 6.599206217451009770e-10, -9.657672247747750664e-10, 3.184100645878343258e-10, 9.598577183042512938e-11, -2.968659010880242903e-09, -2.481053163960403195e-10
2.034000000000000000e+03, -3.978059199674341232e-10, 8.419584538149109506e-10, 1.436492709494384346e-09, -7.087118323114342232e-10, 1.806439520494192596e-09, -2.277012652136107693e-09, 2.853748932772893651e-10
2.035000000000000000e+03, 5.090032953980265886e-10, 6.619627173268286169e-10, 1.301393758982440450e-09, 1.538203659080001132e-09, 1.087039177898039009e-09, 1.789318076794889892e-09, 1.704209157342857678e-09
2.036000000000000000e+03, 3.117279762595633959e-11, 7.603366815659107806e-10, 6.410199761211178137e-10, -6.890447181015876819e-10, 8.606816229609681199e-10, 3.167108122361907260e-09, 1.504278280318148439e-09
2.037000000000000000e+03, -2.996270333111414703e-10, -1.330403519803450349e-09, -2.648320060079333207e-10, -9.516264403657010603e-11, 8.323349395855336497e-10, -2.511703013607534715e-09, 1.503372815955925772e-10
2.038000000000000000e+03, -2.723157421573597707e-10, 5.772114747582421661e-10, 5.441669874486690640e-10, -4.071934298622363204e-10, 1.443472742024314016e-10, -2.609162750658665064e-09, 1.553356535541576004e-10
2.039000000000000000e+03, -3.692195739612197231e-10, 6.973627204120338393e-10, 1.605019450655434483e-09, -1.799999002766434142e-10, 8.251987600876987864e-10, -6.333435369127648349e-10, 3.031223192132013409e-10
2.040000000000000000e+03, 1.052372885093933685e-09, -2.924933475033899125e-09, 1.498533106238854209e-09, 1.253225064931119080e-09, -1.144159518139230782e-10, 1.071350619774907920e-09, 1.848278996848132545e-09
