year, MPI-ESM1-2-LR, CESM2-WACCM, TaiESM1, GFDL-ESM4, CMCC-CM2-SR5, IPSL-CM6A-LR, CanESM5, NorESM2-MM, INM-CM5-0, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, EC-Earth3-Veg
2.015000000000000000e+03, 4.194336149329105368e+00, 5.335115471096245621e+00, 4.330794704960205799e+00, 1.523701172440089291e+00, 4.135853986685825490e+00, 2.986192352720745014e+00, 5.791888059066232941e+00, 4.938350274294206699e+00, 2.021874307485290601e+01, 2.312238826826702009e+01, 4.276940288202557561e+00, 9.581348386919847471e+00, 7.229077534942405237e+00, 1.072399985881484419e+01, 1.135617555902672215e+01, 6.196888079004025940e+00
2.016000000000000000e+03, 4.112004041511963415e+00, 5.237009484944818105e+00, 4.397801417256158807e+00, 1.492831524900854134e+00, 3.703310100341488553e+00, 3.020676058920740203e+00, 5.816962173405332059e+00, 4.834871259075474548e+00, 2.016236383922203146e+01, 2.326648193487847749e+01, 4.197961012779577672e+00, 9.438904541500003020e+00, 7.252126603538084026e+00, 1.072269868226740996e+01, 1.134610723014863964e+01, 6.303293819173926948e+00
2.017000000000000000e+03, 4.065557508188230251e+00, 5.248654211910340983e+00, 4.480183160942293519e+00, 1.479687534217100531e+00, 4.121277029176870776e+00, 2.964355029427675259e+00, 5.840656266155147769e+00, 4.746398069004854392e+00, 2.037908122756837415e+01, 2.338435710167788883e+01, 4.085848583775501197e+00, 9.381796447660805782e+00, 7.310070896434941012e+00, 1.055147368409349795e+01, 1.134266967736996001e+01, 6.480508724428428735e+00
2.018000000000000000e+03, 4.086376315665320114e+00, 5.271507407129023548e+00, 4.993675565392218019e+00, 1.477931836770400631e+00, 4.177887626610237604e+00, 2.961981718624900228e+00, 5.768510685915375191e+00, 4.638092710179616773e+00, 2.059232460501119633e+01, 2.358667675593925495e+01, 4.090887038607669446e+00, 9.344514095509891760e+00, 7.331006101887069804e+00, 1.052703368295651565e+01, 1.130595848791083213e+01, 6.540353923454945040e+00
2.019000000000000000e+03, 3.940845933711252247e+00, 5.285021247295024871e+00, 4.598619180131923834e+00, 1.491069583437207413e+00, 3.881148874892684564e+00, 3.021061099526266336e+00, 5.665541704150296454e+00, 4.623040076350064531e+00, 2.055638960647427993e+01, 2.373157213283928968e+01, 4.097770548533457458e+00, 9.326919364875838170e+00, 7.328541354515335726e+00, 1.046107836711858496e+01, 1.126368170889299236e+01, 6.464655726064449048e+00
2.020000000000000000e+03, 3.944486958383884634e+00, 5.314370990893386271e+00, 4.115056916511690588e+00, 1.460843280607492245e+00, 3.613251713105323226e+00, 2.953677433855415924e+00, 5.701058406254851718e+00, 4.555598916320045433e+00, 2.043767535393358514e+01, 2.401311515510718309e+01, 4.131151751955678186e+00, 9.227842753446761748e+00, 7.360940731523152536e+00, 1.045149823159038860e+01, 1.122292172309009040e+01, 6.417217790707010039e+00
2.021000000000000000e+03, 4.051501623359460957e+00, 5.250105064887061523e+00, 4.489441119747544562e+00, 1.455905548433717556e+00, 3.788954108188424819e+00, 2.962246179159211845e+00, 5.735017292931552824e+00, 4.522735477260083847e+00, 2.045700227410486605e+01, 2.402145534222336565e+01, 4.018283290141693165e+00, 9.197579520599202141e+00, 7.405039620879058759e+00, 1.047124702823787423e+01, 1.112328701735140335e+01, 6.304940305608628393e+00
2.022000000000000000e+03, 4.076378924138213122e+00, 5.266009586353354699e+00, 4.334759264778819343e+00, 1.374358943438951375e+00, 3.579737489277731388e+00, 2.965884656570749733e+00, 5.789556378374817847e+00, 4.536200500399152347e+00, 2.050573929806691353e+01, 2.417269203910967690e+01, 3.955975531832365277e+00, 9.193534935064397118e+00, 7.416213749775936392e+00, 1.049941732974606268e+01, 1.085185810722090061e+01, 6.395626070377439021e+00
2.023000000000000000e+03, 4.021608397512169475e+00, 5.294024010292425864e+00, 3.987936576481942108e+00, 1.358727691330893661e+00, 4.253586920025675511e+00, 2.911459113567242074e+00, 5.797430570580598186e+00, 4.546137786831049077e+00, 2.049769540258725087e+01, 2.405316066540325082e+01, 3.961929229331675906e+00, 9.199092655724518508e+00, 7.404068726391935584e+00, 1.045500230129567498e+01, 1.051888991417262176e+01, 6.328461833965930872e+00
2.024000000000000000e+03, 3.980533895131464828e+00, 5.328957659212161246e+00, 3.728784022366159245e+00, 1.317995251272163326e+00, 4.715575864934320016e+00, 2.922031174658651143e+00, 5.724447815428046482e+00, 4.469825891337228185e+00, 2.058843536366435245e+01, 2.409075008469717361e+01, 4.020202321268062207e+00, 9.170169787305042064e+00, 7.452585748134511689e+00, 1.028200276176475292e+01, 1.026568574494329233e+01, 6.135373783990185181e+00
2.025000000000000000e+03, 4.005918185762738837e+00, 5.355549265122064639e+00, 3.637698725875497807e+00, 1.229996934067476122e+00, 3.803400086611974817e+00, 2.882974317257185337e+00, 5.722129089769151022e+00, 4.385622915298069024e+00, 2.071257514908299058e+01, 2.413982690674723486e+01, 3.990594213231872356e+00, 9.151371573342752086e+00, 7.489357830686202533e+00, 1.028456307359722288e+01, 1.006035626537594396e+01, 5.654319572530847715e+00
2.026000000000000000e+03, 4.046828737780003848e+00, 5.385558488943727795e+00, 3.807198597625372827e+00, 1.211476793408936548e+00, 3.657345436882303513e+00, 2.977596773806741925e+00, 5.779442227449657743e+00, 4.372090736007110401e+00, 2.081785936141017856e+01, 2.441064627443212132e+01, 3.901520018936472045e+00, 9.190802073549473761e+00, 7.486525682571874896e+00, 1.032896203651576883e+01, 9.950023377661777246e+00, 5.408879565154953717e+00
2.027000000000000000e+03, 4.121137507448275450e+00, 5.411474682013269977e+00, 3.737463079534900423e+00, 1.195075722891361991e+00, 3.720751335246724967e+00, 3.070258203024888388e+00, 5.697992310619905965e+00, 4.312805277728063658e+00, 2.101851499926977240e+01, 2.455121494747390187e+01, 3.825474442347309711e+00, 9.143809319218519249e+00, 7.469673805637714992e+00, 1.040489482493842388e+01, 9.865316939066046231e+00, 5.405864145156773048e+00
2.028000000000000000e+03, 4.023288571164579608e+00, 5.414959291496334259e+00, 3.732620908362418000e+00, 1.150771239066471940e+00, 4.370736313743438295e+00, 2.872636656250653786e+00, 5.683061317473663721e+00, 4.252152008138220474e+00, 2.127315134346568826e+01, 2.444739732784839958e+01, 3.774394856865083359e+00, 9.177901658996313827e+00, 7.453405679457222099e+00, 1.036625294105943418e+01, 9.761350663962909735e+00, 5.398522515458513915e+00
2.029000000000000000e+03, 4.046333789830484307e+00, 5.514068107552984266e+00, 3.790544952281221569e+00, 1.115529771756524458e+00, 4.843060407317170579e+00, 2.738876465094569834e+00, 5.720932340715818576e+00, 4.279017986583393274e+00, 2.148212268412026660e+01, 2.451269393213870629e+01, 3.851128228376145213e+00, 9.207437196222583609e+00, 7.447593966662420684e+00, 1.032993312633679750e+01, 9.636958463358483939e+00, 5.302320848659853425e+00
2.030000000000000000e+03, 4.027636979908241877e+00, 5.601857462866933091e+00, 3.760453288824002538e+00, 1.080263352566874335e+00, 4.765361336178271401e+00, 2.699654976951060714e+00, 5.812741890048938487e+00, 4.286773889160225615e+00, 2.152497232119083037e+01, 2.468845835368802710e+01, 3.834611361862534373e+00, 9.195854902233142170e+00, 7.460389266990277157e+00, 1.028118371347171056e+01, 9.574502484917973177e+00, 5.252116828170078300e+00
2.031000000000000000e+03, 4.259958003442688934e+00, 5.525043178775867148e+00, 3.847685440536738888e+00, 1.074460685311467767e+00, 3.578125166338289365e+00, 2.839295966353850620e+00, 5.852788847346850787e+00, 4.315771175202948839e+00, 2.173983949161002371e+01, 2.490702719189185999e+01, 3.803344018978259022e+00, 9.228575482662300544e+00, 7.457275912866007772e+00, 1.031604639567260762e+01, 9.590027057419280965e+00, 5.204353018261921093e+00
