year, CanESM5, INM-CM4-8, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL, INM-CM5-0, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, TaiESM1, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.962725842313163866e+02, 2.943166357539152500e+02, 2.950087292651350026e+02, 2.979283181694626705e+02, 2.966699921104092823e+02, 2.939497795341615074e+02, 2.977038490764805942e+02, 2.973148333404994332e+02, 2.948195325517531273e+02, 2.947623230660168474e+02, 2.949778812380566819e+02, 2.975117013681458502e+02, 2.965705394459702688e+02, 2.965293588589082674e+02, 2.972747081603617971e+02, 2.956392847282358503e+02
2.016000000000000000e+03, 2.957730908058985051e+02, 2.943698794948770114e+02, 2.948830292794188495e+02, 2.981424047883550088e+02, 2.973377088568665840e+02, 2.936529281963242397e+02, 2.975576068577037745e+02, 2.971889588951761425e+02, 2.947753264253730663e+02, 2.946577750800021818e+02, 2.950693516551407356e+02, 2.973245648590338988e+02, 2.970833726478107337e+02, 2.962701837066824169e+02, 2.962403685777971987e+02, 2.960191392701720474e+02
2.017000000000000000e+03, 2.954411087770968720e+02, 2.944455013888932626e+02, 2.945939804750184976e+02, 2.974190668675136635e+02, 2.966246565984569088e+02, 2.943531003485671818e+02, 2.978990926310647183e+02, 2.969207985120147555e+02, 2.941407179607926992e+02, 2.944217364533907357e+02, 2.955670624869785570e+02, 2.970802326895849319e+02, 2.962597679668576802e+02, 2.962217976833869670e+02, 2.957825224409189673e+02, 2.958290071077727248e+02
2.018000000000000000e+03, 2.965884510857104033e+02, 2.941922936456726347e+02, 2.953496215036603303e+02, 2.977474372293933698e+02, 2.964893405138269600e+02, 2.938739283719063451e+02, 2.975735454284601360e+02, 2.974635221928032252e+02, 2.950014914726690449e+02, 2.948449276993897570e+02, 2.953901579251366911e+02, 2.973226588817237825e+02, 2.959290940632768070e+02, 2.958610681894786580e+02, 2.964631011340069904e+02, 2.953708821706538288e+02
2.019000000000000000e+03, 2.968954481345530780e+02, 2.946780880398981708e+02, 2.947997660860347651e+02, 2.979010397019688980e+02, 2.967318986027888172e+02, 2.937542996741052548e+02, 2.974565185662216891e+02, 2.971739859819334697e+02, 2.948349997411861523e+02, 2.947616190962560268e+02, 2.949654720425130563e+02, 2.972799699039460393e+02, 2.964683408908463775e+02, 2.964712423383697910e+02, 2.967627113775708381e+02, 2.965979912781398298e+02
2.020000000000000000e+03, 2.960859912788513384e+02, 2.943364325637433581e+02, 2.957274216412538976e+02, 2.973616690310118429e+02, 2.973649048994087138e+02, 2.937826504579656444e+02, 2.973013291683593593e+02, 2.978285615265624529e+02, 2.950213224967365022e+02, 2.947637520027799951e+02, 2.950152618058646681e+02, 2.970707099921513077e+02, 2.972438110717592394e+02, 2.962587383479664140e+02, 2.971242831937919959e+02, 2.962869454886858307e+02
2.021000000000000000e+03, 2.964805550328376285e+02, 2.946246281523835364e+02, 2.950309391551592171e+02, 2.975850688292436530e+02, 2.974463523025015093e+02, 2.939096851949352072e+02, 2.982175193718475157e+02, 2.973170033921918503e+02, 2.948889405393241532e+02, 2.940366975320008578e+02, 2.954918728715177281e+02, 2.967845420451844234e+02, 2.967404579518558307e+02, 2.960418278640398171e+02, 2.970888539225951490e+02, 2.952300767213294534e+02
2.022000000000000000e+03, 2.957113517815388377e+02, 2.947570912729896691e+02, 2.947582561844147335e+02, 2.975052496392298167e+02, 2.969963984537874921e+02, 2.938130280652154624e+02, 2.977780173847849028e+02, 2.972881918814615574e+02, 2.950011300622869612e+02, 2.945689667383020378e+02, 2.954755854929811676e+02, 2.964574242625178613e+02, 2.968016434685573017e+02, 2.958571637248501816e+02, 2.969891604729884875e+02, 2.952907012147699675e+02
2.023000000000000000e+03, 2.969249382904343975e+02, 2.949159998002046450e+02, 2.947245409506696774e+02, 2.976954684238269238e+02, 2.966680581720164014e+02, 2.941369601947350247e+02, 2.972964147844016907e+02, 2.974156037837277609e+02, 2.946428083008615317e+02, 2.946950355764078040e+02, 2.946704923424405251e+02, 2.967012273957891466e+02, 2.966336043005744045e+02, 2.964076024872818493e+02, 2.973540684677660693e+02, 2.951573570245457176e+02
2.024000000000000000e+03, 2.968860059192430754e+02, 2.946291026355096960e+02, 2.955924646887736458e+02, 2.983048886548759810e+02, 2.960361458749775920e+02, 2.937818450547607654e+02, 2.967020531176456188e+02, 2.974482537559906632e+02, 2.948328902534909730e+02, 2.953301437501554574e+02, 2.950023413165109218e+02, 2.969247410865654047e+02, 2.968414862308411557e+02, 2.967486420955564199e+02, 2.972413499330485251e+02, 2.952533691575919761e+02
2.025000000000000000e+03, 2.962958116666820843e+02, 2.952411986384676652e+02, 2.960183361220101119e+02, 2.976271719836270790e+02, 2.971910977061530161e+02, 2.943261457650986017e+02, 2.968305337771097925e+02, 2.979755485540239306e+02, 2.950936355474621564e+02, 2.949241198565743503e+02, 2.953984504201057462e+02, 2.969753003449489484e+02, 2.972310371896699621e+02, 2.959005498776717786e+02, 2.966378748406491468e+02, 2.952040959004608567e+02
2.026000000000000000e+03, 2.963159864587484549e+02, 2.947701054238330585e+02, 2.952860286565870638e+02, 2.976684017447896622e+02, 2.975176040674955402e+02, 2.935342395806621312e+02, 2.974751904184363411e+02, 2.980318109323223439e+02, 2.950252640997186404e+02, 2.948286229175193398e+02, 2.949305486675269208e+02, 2.966081054245806854e+02, 2.971760862541195252e+02, 2.967333579274749695e+02, 2.968536449976861604e+02, 2.950802386831245485e+02
2.027000000000000000e+03, 2.970304027142052519e+02, 2.950594929256139949e+02, 2.947666557894179959e+02, 2.978784901423496763e+02, 2.976955989324382585e+02, 2.932486375124604479e+02, 2.979681694817119819e+02, 2.976638197694124983e+02, 2.950716446322350635e+02, 2.950317299879729376e+02, 2.950552451027496090e+02, 2.974567909389043052e+02, 2.969234426895232559e+02, 2.963878689985057804e+02, 2.966247740502988108e+02, 2.950609748529670355e+02
2.028000000000000000e+03, 2.975431740450982829e+02, 2.951889009495668006e+02, 2.952922405572054458e+02, 2.981589480445846334e+02, 2.967214092421488090e+02, 2.947091681033016926e+02, 2.985139249519210125e+02, 2.982622650518529213e+02, 2.950583887918278947e+02, 2.946413837069121087e+02, 2.951065674777412937e+02, 2.974439577297459891e+02, 2.967351979501668779e+02, 2.964245469187903268e+02, 2.974593166810553271e+02, 2.957195134441146251e+02
2.029000000000000000e+03, 2.963253046741896810e+02, 2.950619842599738263e+02, 2.952330795647411605e+02, 2.976781654461927360e+02, 2.959938934366335843e+02, 2.950750812743930283e+02, 2.974410770148613778e+02, 2.979048669344807081e+02, 2.951631757191630072e+02, 2.950927278897746646e+02, 2.954233353359489911e+02, 2.971124472750129257e+02, 2.965856454561342161e+02, 2.964919846158181826e+02, 2.969495175047571252e+02, 2.957559206780072145e+02
2.030000000000000000e+03, 2.967682291346837928e+02, 2.946452233601632429e+02, 2.955533866409477923e+02, 2.977386094418913558e+02, 2.962548483245984698e+02, 2.939699275547226875e+02, 2.972621687176193745e+02, 2.977876410374119587e+02, 2.951623252143139666e+02, 2.955110349109004346e+02, 2.951438832466863005e+02, 2.970643088835303161e+02, 2.974861599480940413e+02, 2.964359140687523677e+02, 2.967845876551457991e+02, 2.951472262115149192e+02
2.031000000000000000e+03, 2.966125584844318723e+02, 2.952348722348236265e+02, 2.958186719672098093e+02, 2.980361668345763633e+02, 2.974344833031142343e+02, 2.937101146406173484e+02, 2.972839014614830830e+02, 2.983694018413304434e+02, 2.950423509320979747e+02, 2.955841756324159633e+02, 2.948232684828929564e+02, 2.966241051919068923e+02, 2.969655863687185047e+02, 2.965671421668726566e+02, 2.965636446759218074e+02, 2.946812549526363227e+02
2.032000000000000000e+03, 2.967554854840339544e+02, 2.949522686168737096e+02, 2.955270049077807357e+02, 2.977228696401166985e+02, 2.974731649480887086e+02, 2.939533821198679107e+02, 2.976579139696626157e+02, 2.982951807547167959e+02, 2.954586087556972984e+02, 2.948114352223284982e+02, 2.957597327487354733e+02, 2.976042213436582529e+02, 2.971309874122899259e+02, 2.969173911630842895e+02, 2.981808303921222318e+02, 2.954465177820424628e+02
2.033000000000000000e+03, 2.965559216869503416e+02, 2.948873551896335812e+02, 2.949346465395470887e+02, 2.979720117662728285e+02, 2.974995634578550039e+02, 2.946064876642627723e+02, 2.977848325654446739e+02, 2.976502677283505705e+02, 2.952934101636296305e+02, 2.949809473525120893e+02, 2.950577746713189526e+02, 2.971598553579916029e+02, 2.972808282567804099e+02, 2.966942586804286748e+02, 2.974463909230567538e+02, 2.960641210657562965e+02
2.034000000000000000e+03, 2.972153084936058463e+02, 2.954543342818254246e+02, 2.950786566646595475e+02, 2.967788230694596336e+02, 2.985441086517913618e+02, 2.941433496553401028e+02, 2.987593857365631607e+02, 2.982969053680326397e+02, 2.950708512181868173e+02, 2.956291708501921107e+02, 2.954160803043799319e+02, 2.968537236017053829e+02, 2.966952871005003658e+02, 2.961900170427408625e+02, 2.963435115151614241e+02, 2.958211770557514910e+02
2.035000000000000000e+03, 2.975176099393856930e+02, 2.953559948554783432e+02, 2.953291524049054715e+02, 2.973724478874747206e+02, 2.971264090642646352e+02, 2.949167955361680242e+02, 2.985530399012197904e+02, 2.979863126213657551e+02, 2.952856935239267955e+02, 2.947383684443395850e+02, 2.959629099458448991e+02, 2.967274706124228487e+02, 2.970481728150078311e+02, 2.963962081764952927e+02, 2.963018280072892594e+02, 2.949546371278141805e+02
2.036000000000000000e+03, 2.974533560812160999e+02, 2.950015454971893405e+02, 2.957768723637753396e+02, 2.975463795879705344e+02, 2.964036645876575449e+02, 2.948090014873727682e+02, 2.981577460162947091e+02, 2.984290928795644504e+02, 2.952297945034537747e+02, 2.942932102459972725e+02, 2.960418358463946333e+02, 2.974729722785110653e+02, 2.970455478037446255e+02, 2.970082348552902545e+02, 2.972138747115677120e+02, 2.953687142056361381e+02
2.037000000000000000e+03, 2.979853528316180586e+02, 2.951872068621443645e+02, 2.959764037176864804e+02, 2.978167882546903229e+02, 2.972177563449089348e+02, 2.945434734744042657e+02, 2.979548751424013062e+02, 2.982396580652583680e+02, 2.951484821157569627e+02, 2.950019590691986764e+02, 2.952738047248350881e+02, 2.981029548412683425e+02, 2.976235442237239681e+02, 2.966899889609795764e+02, 2.982124431593852023e+02, 2.960221277448827095e+02
2.038000000000000000e+03, 2.971984330323185759e+02, 2.951227600726273863e+02, 2.959771205680114008e+02, 2.982244943394766779e+02, 2.980458045012782122e+02, 2.949007535899600043e+02, 2.982044032161184077e+02, 2.989595985598504058e+02, 2.958156125924778621e+02, 2.948088737971309570e+02, 2.957198188603260860e+02, 2.975836338349677703e+02, 2.973011384762636453e+02, 2.972817389005474524e+02, 2.974732325661872210e+02, 2.958661966839810020e+02
2.039000000000000000e+03, 2.975840127414366520e+02, 2.955155716912254320e+02, 2.957470349520667128e+02, 2.979332813996438176e+02, 2.986704901208581759e+02, 2.948187042601751386e+02, 2.977165682818155119e+02, 2.986669314289030694e+02, 2.951477045413299152e+02, 2.956727096122186254e+02, 2.949204420876970971e+02, 2.969603185781288062e+02, 2.975849499003518872e+02, 2.967672719112077857e+02, 2.968007851334264160e+02, 2.966994913698031269e+02
2.040000000000000000e+03, 2.969699942996267055e+02, 2.947121220975283222e+02, 2.957099453861540610e+02, 2.988324199907836487e+02, 2.972585297572088052e+02, 2.945326407041202401e+02, 2.977508524009110147e+02, 2.985329608542645587e+02, 2.956455387309827643e+02, 2.950878138786866316e+02, 2.954112150644374424e+02, 2.973885853134485160e+02, 2.973596584317199358e+02, 2.969353233902663760e+02, 2.969051773291587892e+02, 2.951740825964606074e+02
2.041000000000000000e+03, 2.969906150483453189e+02, 2.949233879075572418e+02, 2.955834101749084653e+02, 2.987681085198284450e+02, 2.969934115084718087e+02, 2.954058063967904104e+02, 2.976470395743621111e+02, 2.982562459093000484e+02, 2.954258743602312620e+02, 2.952853901305392128e+02, 2.951679813878791947e+02, 2.975689687478295014e+02, 2.977760741191425495e+02, 2.966116542871976662e+02, 2.968579916381567614e+02, 2.947710982699298370e+02
2.042000000000000000e+03, 2.972027305034241067e+02, 2.949182555426006047e+02, 2.962026165851129917e+02, 2.985325194293468485e+02, 2.966754849843688930e+02, 2.955139098127858119e+02, 2.985775821482813512e+02, 2.985341618781338866e+02, 2.952622661259102301e+02, 2.956977035016593049e+02, 2.958386589314101229e+02, 2.980580452641232796e+02, 2.968547733562921280e+02, 2.967447994360863959e+02, 2.979362920976107603e+02, 2.954093424318766097e+02
2.043000000000000000e+03, 2.978778001545057350e+02, 2.958905102319956200e+02, 2.962958562140179879e+02, 2.984604744559098322e+02, 2.976957250017818524e+02, 2.946227038191627798e+02, 2.991591732311601390e+02, 2.984162503481202293e+02, 2.953583075354843572e+02, 2.955865621919190858e+02, 2.951907480765592595e+02, 2.977391103202608633e+02, 2.973147918144275081e+02, 2.971508266964099789e+02, 2.973123473669467103e+02, 2.955022239456575335e+02
2.044000000000000000e+03, 2.977561386264519570e+02, 2.954025758340131347e+02, 2.957445934843046871e+02, 2.982285866736600610e+02, 2.980043245515489616e+02, 2.952050833148649644e+02, 2.982300803961604743e+02, 2.987931829565102930e+02, 2.950447913012069421e+02, 2.957190923416881105e+02, 2.960676646914631647e+02, 2.973684741898781567e+02, 2.976631771038637453e+02, 2.967003307359658493e+02, 2.972540185775490045e+02, 2.959348559311979443e+02
2.045000000000000000e+03, 2.978332271082711031e+02, 2.957574116273694926e+02, 2.961531865912727426e+02, 2.984127877859876889e+02, 2.976942601216647404e+02, 2.947787458975275854e+02, 2.977379656563248318e+02, 2.988524882283886654e+02, 2.950675341946586627e+02, 2.954518606628633393e+02, 2.961415309070782769e+02, 2.978082307126060755e+02, 2.978609173513286237e+02, 2.967729387130483474e+02, 2.975512879186104556e+02, 2.962954016987676482e+02
2.046000000000000000e+03, 2.983187660852163958e+02, 2.956872859324670344e+02, 2.965024379199776376e+02, 2.986567402041322339e+02, 2.973139040418508898e+02, 2.947921924641419196e+02, 2.981761203651730625e+02, 2.991436934466740354e+02, 2.955630591704646690e+02, 2.959810272847652755e+02, 2.958381190667059855e+02, 2.977614463652385552e+02, 2.976078558501264411e+02, 2.968489323766536359e+02, 2.986104694296178650e+02, 2.970356330693037421e+02
2.047000000000000000e+03, 2.971980441721888155e+02, 2.956734169012053144e+02, 2.964166502825245288e+02, 2.980885964623440145e+02, 2.974301850594010261e+02, 2.953054659964148527e+02, 2.979433892948466678e+02, 2.990798937591606546e+02, 2.957093784131640177e+02, 2.963410371311551330e+02, 2.952667702310277491e+02, 2.984527936599216673e+02, 2.973886230170793965e+02, 2.970251417442479465e+02, 2.978219006535651374e+02, 2.962195477817350024e+02
