year, TaiESM1, NorESM2-LM, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1
2.015000000000000000e+03, 2.705737124031502010e-10, 1.150956773900473640e-10, 1.459746194264480519e-10, 2.570260489667255520e-10, 1.323064024606596334e-10
2.016000000000000000e+03, 3.428626508398698319e-10, 4.381543576893372014e-10, 1.108881417323620467e-10, 9.291285224051637018e-10, 1.377173515480693426e-10
2.017000000000000000e+03, 2.216169699544389453e-10, 3.568993993263525806e-10, 1.089324714164247089e-10, 6.923152414171643269e-10, 1.082804796791625729e-10
2.018000000000000000e+03, 1.176755802358022662e-10, 3.489988248108307445e-10, 1.166634558449025421e-10, 6.653111728856034283e-10, 1.938688194024706935e-10
2.019000000000000000e+03, 2.342278949506594083e-10, 2.606121889536308227e-10, 1.067929444149964812e-10, 6.229332894406955349e-10, 1.364953193565969024e-10
2.020000000000000000e+03, 2.960985626780682540e-10, 3.405241147405439518e-10, 1.076504700120988197e-10, 6.368626293915931931e-10, 1.495451081947823031e-10
2.021000000000000000e+03, 1.342987698976700213e-10, 4.254501557684329859e-10, 1.071502077542969367e-10, 4.814767498487194958e-10, 8.998247514317845931e-11
2.022000000000000000e+03, 2.229724105760256650e-10, 3.351794345188828462e-10, 1.307713331763138756e-10, 4.915653325679051490e-10, 1.241931029064735325e-10
2.023000000000000000e+03, 1.739240736170535478e-10, 2.637936136087642045e-10, 8.871072491481168818e-11, 3.641296532159917347e-10, 1.207162601292035022e-10
2.024000000000000000e+03, 2.238040356035225053e-10, 2.293587010760559905e-10, 1.025535857134701025e-10, 3.828897925960015110e-10, 1.755343274879860876e-10
2.025000000000000000e+03, 1.978325102228759755e-10, 2.686692136656144991e-10, 9.599355787045977601e-11, 3.629779969710582141e-10, 1.063970669913348523e-10
2.026000000000000000e+03, 1.818192974350853442e-10, 2.368336325936525596e-10, 8.443114353945879365e-11, 2.767673072242484515e-10, 1.216872413690381765e-10
2.027000000000000000e+03, 2.938006144013532693e-10, 2.141819450794971578e-10, 7.853347155973765568e-11, 3.100777765063440192e-10, 1.592011106866585864e-10
2.028000000000000000e+03, 2.488155591387128140e-10, 2.066379422725449332e-10, 7.517535984308333624e-11, 2.024052886326507605e-10, 1.175787599030838530e-10
2.029000000000000000e+03, 1.779301595776575429e-10, 1.768226085926567590e-10, 7.525572182873774019e-11, 3.194575114111495214e-10, 1.779416637849935921e-10
2.030000000000000000e+03, 1.772411609501731132e-10, 2.546845718980124779e-10, 8.733914444842561147e-11, 2.623454664558481565e-10, 1.178935782434683900e-10
2.031000000000000000e+03, 1.579576084351095443e-10, 1.819027408869969039e-10, 5.952265980626398900e-11, 2.440842580748792982e-10, 1.152787145396536486e-10
