year, CESM2-WACCM, CanESM5, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM4-8, TaiESM1, GFDL-ESM4, NorESM2-LM, INM-CM5-0, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L
2.015000000000000000e+03, 2.241429830253625077e+00, 1.120259964269795017e+00, 2.031560507203738819e+00, 1.977790813150979821e+00, 2.240708055107728303e+00, 3.852222554570387203e+00, 3.813080976764472219e+00, 2.188923412408681823e+00, 2.546743079602566073e+00, 2.790132381332329548e+00, 3.387151797469699410e+00, 3.135857191026778068e+00, 2.348745751303339624e+00, 2.768102470083168676e+00, 2.466218694059364225e+00, 3.204783416406907115e+00
2.016000000000000000e+03, 2.806932934155721426e+00, 1.554598785865668464e+00, 1.900381471936881672e+00, 1.848734883546105934e+00, 2.379456740455564656e+00, 3.915805130328339878e+00, 3.917384269302132349e+00, 1.943759595556146857e+00, 1.511987176006135414e+00, 3.090173726278412580e+00, 3.868761464734015831e+00, 2.679472164394983036e+00, 2.251179666366439847e+00, 2.811235554618153998e+00, 2.340803596249486862e+00, 3.389266877281796209e+00
2.017000000000000000e+03, 2.755146202421407509e+00, 1.207757141040034288e+00, 2.178968943029178984e+00, 2.049028460725362155e+00, 3.061530252691397003e+00, 3.746582995904141900e+00, 4.366624609372202315e+00, 1.830814961178009792e+00, 2.162832975763457011e+00, 3.173583647658844153e+00, 3.815446575409592977e+00, 3.152721520501740926e+00, 2.404906787815999092e+00, 2.722161889643860189e+00, 2.324969233198530105e+00, 3.273471784974382626e+00
2.018000000000000000e+03, 2.595529961445031120e+00, 9.585834421698856689e-01, 2.135451201853941772e+00, 1.794014716511391994e+00, 2.429386352281032835e+00, 3.629692393557864438e+00, 3.666882237416039025e+00, 2.106304015219983672e+00, 2.284559757613283448e+00, 3.036611916937403510e+00, 3.174154386829381558e+00, 2.841206670131556145e+00, 2.438834176105324048e+00, 2.895558293206434097e+00, 2.653085437290899407e+00, 2.969924153469617245e+00
2.019000000000000000e+03, 3.852222939224792864e+00, 1.625500021768925496e+00, 2.083473756055652437e+00, 1.520692163304077971e+00, 2.369354815343330589e+00, 3.827115607700967370e+00, 3.437838868618535049e+00, 2.159230840902429893e+00, 2.918262397128546848e+00, 2.661987103358122830e+00, 3.017116411196834491e+00, 2.815129960424894939e+00, 2.160208197351264570e+00, 2.805738711663517293e+00, 2.915276871898336175e+00, 3.123151167591465605e+00
2.020000000000000000e+03, 2.430859706580205337e+00, 1.617184688571323692e+00, 2.217633589074465394e+00, 2.263307515719228391e+00, 1.907641524174249925e+00, 4.108722604965118208e+00, 3.541630956648861073e+00, 2.305975842883483118e+00, 2.322118451541044681e+00, 2.738864031513769781e+00, 3.401816328950431956e+00, 2.773201298067254239e+00, 2.142116058385311828e+00, 2.217847034224650127e+00, 2.430534707545410011e+00, 2.862081304295013950e+00
2.021000000000000000e+03, 2.670244195005107901e+00, 1.693307549459678540e+00, 2.431825844749829990e+00, 2.278097827449236057e+00, 2.777411679112094411e+00, 3.750094336644013371e+00, 4.268194747236257136e+00, 1.869721943626100558e+00, 1.929439176789129018e+00, 2.783119007790639365e+00, 3.077022468061022309e+00, 2.913748088730009567e+00, 2.776996082582787295e+00, 3.085103754209458593e+00, 3.184822723041722092e+00, 3.137389154012688142e+00
2.022000000000000000e+03, 2.707692092626039937e+00, 1.880462877010079303e+00, 2.019850576162578015e+00, 1.942808980527878981e+00, 2.695825726068938444e+00, 3.365663446987258389e+00, 3.640843737731121799e+00, 2.181118239944464854e+00, 2.759436721546288496e+00, 2.790296320099337812e+00, 3.550265428254097522e+00, 2.991791682157951993e+00, 2.859594523668472554e+00, 2.887935041310181195e+00, 3.195458610461458626e+00, 3.022094481799908472e+00
2.023000000000000000e+03, 2.975471681464659568e+00, 9.639007758493572942e-01, 2.239774375388128291e+00, 2.162567442087891756e+00, 2.523884529805534793e+00, 3.347028337891643890e+00, 3.439348929537239030e+00, 2.463344700131889997e+00, 3.228259669188876302e+00, 2.618378482369732030e+00, 4.177207584203391555e+00, 3.015417067338793888e+00, 2.315140263942752519e+00, 2.711944664375142811e+00, 2.922326168745279507e+00, 2.977248572163539553e+00
2.024000000000000000e+03, 2.808969961593630327e+00, 1.586912497816087120e+00, 2.450250754867119518e+00, 2.331608684203264836e+00, 1.974101007695090670e+00, 3.341280459344947218e+00, 3.260620008229463629e+00, 2.056582318944251142e+00, 3.519919054635723743e+00, 2.880983131229010841e+00, 3.918204466155949195e+00, 2.850044471701314919e+00, 2.214712038579614628e+00, 3.032986602155048672e+00, 2.773734321273889414e+00, 3.140754795194046434e+00
2.025000000000000000e+03, 2.575334412500381642e+00, 1.880770256496368420e+00, 2.415355463841970529e+00, 2.066927192679953507e+00, 2.314622458101824432e+00, 3.820422925371773193e+00, 3.348558691220560490e+00, 2.169647151787112982e+00, 2.237434767057129292e+00, 2.805781097040498828e+00, 3.282067103739657377e+00, 2.637226967691842283e+00, 2.767952352230065305e+00, 2.461898591640744094e+00, 2.846872275602004176e+00, 3.142938639246148913e+00
2.026000000000000000e+03, 2.747329911106031641e+00, 1.240651070629921859e+00, 2.132943425495937628e+00, 2.384752489618915838e+00, 2.488488107139024130e+00, 3.869902194918874994e+00, 3.875298958861074006e+00, 2.271035222472870707e+00, 2.049476498712009764e+00, 3.073548382925091804e+00, 3.683590021497608724e+00, 3.131970537295740709e+00, 2.021116502399634918e+00, 3.417180125212148312e+00, 2.973411751221677779e+00, 3.125752836674421165e+00
2.027000000000000000e+03, 2.456842527480776361e+00, 1.176733531818059175e+00, 2.007009610427397117e+00, 2.279645701438807404e+00, 2.401538015846514718e+00, 3.372520955918042240e+00, 3.628552782623244433e+00, 2.290492003708877622e+00, 1.684784519887803089e+00, 3.426065176918969613e+00, 3.703028286103696498e+00, 2.767497928058845869e+00, 2.536843681391530936e+00, 2.855360291942757645e+00, 2.155548140631469156e+00, 3.379610087276721409e+00
2.028000000000000000e+03, 3.182541800051045922e+00, 1.898394746999579885e+00, 2.025515892335191914e+00, 2.260944617066277473e+00, 2.264858421891469575e+00, 3.346073016586314175e+00, 3.422963471728556417e+00, 2.238997065432421163e+00, 2.601262917791135276e+00, 3.567969203852070947e+00, 4.027830521717866041e+00, 2.868213358797882861e+00, 2.779285433996265819e+00, 2.599948006324559469e+00, 2.986547379239469002e+00, 3.103791310664120395e+00
2.029000000000000000e+03, 3.581144667077221122e+00, 1.839249301761858080e+00, 2.244078125898496090e+00, 2.255553236766480563e+00, 2.340549003878911183e+00, 3.320984139744414421e+00, 3.746035506874856313e+00, 1.943533040771653786e+00, 3.052545330036939397e+00, 3.293168792361847785e+00, 4.522187721859450171e+00, 2.395833817445566449e+00, 2.423042385886267969e+00, 2.531302798284705169e+00, 3.032173715006079906e+00, 3.089323048369396751e+00
2.030000000000000000e+03, 2.656630156993192049e+00, 1.857507592423962350e+00, 2.023351121579063605e+00, 2.685146971476987332e+00, 2.144432657590247260e+00, 4.150891686263278757e+00, 3.883699174724439818e+00, 2.138316077417362404e+00, 2.255749209389584120e+00, 3.214515315029638387e+00, 3.838010252152017632e+00, 2.885426310645025083e+00, 2.765740383854811579e+00, 2.767773205021971439e+00, 3.026056101102414964e+00, 3.176371676865483717e+00
2.031000000000000000e+03, 2.598419013389113186e+00, 1.332413260343782824e+00, 2.224429000407952550e+00, 2.339553854379957887e+00, 2.094260758076476048e+00, 3.827883187009567756e+00, 3.886243590858779129e+00, 2.395406988914279722e+00, 2.804974971134561290e+00, 3.176704204660191877e+00, 3.034155071948467786e+00, 2.897284071453538168e+00, 2.212680647317338600e+00, 2.796855973554253971e+00, 2.907654112423645021e+00, 2.938741626230850112e+00
2.032000000000000000e+03, 2.819868663778964724e+00, 1.517536138230360709e+00, 2.537381194452274613e+00, 2.410685943933608133e+00, 2.711794833244102421e+00, 3.298698286038568295e+00, 3.309776044182381138e+00, 1.880232116846459522e+00, 2.762891172799968320e+00, 3.226839590988450635e+00, 3.289089219018988874e+00, 3.232321964739589770e+00, 2.395805991418110459e+00, 2.817478038653792538e+00, 3.043330747757428512e+00, 2.701165642377877596e+00
2.033000000000000000e+03, 3.152216456796831157e+00, 1.489309200618251339e+00, 2.382749894939704127e+00, 2.059730304726499206e+00, 2.498499293871577542e+00, 3.819364462402897065e+00, 4.022055864726321595e+00, 2.210572656710404260e+00, 2.023854648036644388e+00, 3.041710461824860268e+00, 3.138370889403268027e+00, 2.678111050220681300e+00, 2.633582006355315031e+00, 2.600917964450139230e+00, 3.098247708280807533e+00, 3.396485253220553613e+00
2.034000000000000000e+03, 4.151871938275840890e+00, 1.257273143362942935e+00, 2.017950907050711340e+00, 2.408293426785994562e+00, 2.411768174443100321e+00, 3.279035743848648821e+00, 3.794868082835626932e+00, 2.019016489506427536e+00, 2.150940232001342434e+00, 3.520099065915459402e+00, 3.389123352505186482e+00, 2.685904013886849739e+00, 2.368280682202212439e+00, 2.614688745765521016e+00, 2.756273890957165129e+00, 3.575862429022548916e+00
2.035000000000000000e+03, 3.306559162102606031e+00, 1.143327322712022642e+00, 2.212154257639382227e+00, 2.389691642242095515e+00, 2.386514834423191900e+00, 3.590048215632140938e+00, 3.441870266563324066e+00, 1.741683774076056457e+00, 2.680504732604846119e+00, 3.338008350990701700e+00, 4.008549261843525890e+00, 3.583380854465561427e+00, 2.625473868758799512e+00, 2.356515835967784689e+00, 3.463263468248395593e+00, 3.223529322923782470e+00
2.036000000000000000e+03, 2.947072963043690930e+00, 1.301395814815261565e+00, 2.071655118985671784e+00, 1.975347312819288881e+00, 2.058928898984031974e+00, 4.014664397058841594e+00, 3.642440394581744290e+00, 2.042123525784255822e+00, 1.948979104873917567e+00, 3.367349170840693962e+00, 3.812460080128293072e+00, 2.894654907650944686e+00, 2.302472760359009829e+00, 2.874201389699109210e+00, 2.489631316466473621e+00, 2.993574331507523389e+00
2.037000000000000000e+03, 3.302735823091289546e+00, 1.414934113533115045e+00, 1.965277833171992672e+00, 2.100731348174675439e+00, 2.346886268577961676e+00, 3.916206996714120425e+00, 3.861306076347297722e+00, 2.066980043001344303e+00, 2.195788651322718721e+00, 3.220341116001767201e+00, 3.650171123948937169e+00, 3.047070349833301606e+00, 2.780408451348592269e+00, 2.635709013141357193e+00, 2.255697799763713540e+00, 2.825494696371120718e+00
2.038000000000000000e+03, 2.865103750797052484e+00, 1.259600332029087832e+00, 2.253271707568074600e+00, 2.071681090413530324e+00, 2.163903908018754763e+00, 3.854965321411858881e+00, 3.778205409959759287e+00, 2.273546627005371246e+00, 2.430259820777938451e+00, 3.101527468213995054e+00, 3.163258405716395050e+00, 3.139545900391590205e+00, 2.144989643767748255e+00, 2.748974649733684661e+00, 3.055671434555227162e+00, 3.217078992897873579e+00
2.039000000000000000e+03, 3.120415281635557037e+00, 1.414192844745116862e+00, 1.874615420097983209e+00, 1.987554211243235169e+00, 2.259515090583258612e+00, 3.163260130715752627e+00, 3.381114063840598316e+00, 2.204622677550881704e+00, 2.087775405961692865e+00, 3.191056279895296832e+00, 3.401846290691721730e+00, 3.116221354728777815e+00, 2.552626918715876769e+00, 2.688382850318471018e+00, 3.050305723762167354e+00, 3.508600395178539610e+00
2.040000000000000000e+03, 2.503510155285376015e+00, 1.944823935152363514e+00, 2.818582926565727842e+00, 2.606035709028720948e+00, 2.574008188964990840e+00, 4.195448386005356411e+00, 3.685459091438975321e+00, 1.930484577912571664e+00, 2.498298000027558086e+00, 2.993589594667659171e+00, 3.550065631834439461e+00, 3.235021679422480201e+00, 2.641786828938301745e+00, 2.865773315096858731e+00, 2.713721033908898850e+00, 3.347869663171750609e+00
2.041000000000000000e+03, 2.765684614986267942e+00, 1.749246276308383363e+00, 2.299845425151205269e+00, 2.607329060030088907e+00, 2.486890838350692690e+00, 3.844382843380799386e+00, 3.780614557719601532e+00, 2.278891837427407197e+00, 2.203958952656232650e+00, 3.274018622954497637e+00, 4.232032697084748385e+00, 2.781765035114908802e+00, 2.541962215665789060e+00, 2.625482315667228672e+00, 2.665974987291770848e+00, 3.297981920489081453e+00
2.042000000000000000e+03, 2.659564951780191588e+00, 1.254770803063145923e+00, 2.267075233592513062e+00, 2.096915571901080799e+00, 2.154182997765966778e+00, 3.582570574986974510e+00, 4.088345200928900525e+00, 2.076478165970303991e+00, 1.832755727320204420e+00, 3.449135666620418483e+00, 4.190499124213057591e+00, 2.754622768894050999e+00, 2.402251826086932329e+00, 2.675962324101381462e+00, 2.740940102109924670e+00, 3.143916045883271781e+00
2.043000000000000000e+03, 2.464444741321085264e+00, 1.616394179987332702e+00, 2.617074172462340087e+00, 2.492322012041532364e+00, 2.257682749763131103e+00, 3.773053829206127752e+00, 3.274959467836433991e+00, 1.941215278010902212e+00, 1.982383134809301728e+00, 3.279304181613255764e+00, 3.545122713052021535e+00, 2.834772167981656654e+00, 2.390124230105669323e+00, 2.946950539293365257e+00, 3.186769936170785300e+00, 3.062071360882477222e+00
2.044000000000000000e+03, 3.296852690818164344e+00, 1.430970586487633422e+00, 2.697078128720155288e+00, 1.839980019458780536e+00, 2.102744827914682091e+00, 3.596139219143070331e+00, 4.067338811852326153e+00, 2.117568978085940579e+00, 3.114597485509755792e+00, 3.401455557123641782e+00, 4.300773159032436510e+00, 3.031278814832101265e+00, 2.588901728595429663e+00, 2.650210137854224435e+00, 3.291141391590843401e+00, 3.152466564765278534e+00
2.045000000000000000e+03, 2.718214589341594323e+00, 1.601316923038696771e+00, 2.085163899096673212e+00, 2.090725101603573055e+00, 2.304909215726380634e+00, 3.876132423593174448e+00, 3.597873899991882674e+00, 1.711023918296092017e+00, 2.766880899879360811e+00, 3.537452374763515373e+00, 4.253973596001156210e+00, 3.034979624684832622e+00, 2.596878491234380082e+00, 2.637455343587643330e+00, 2.428413727375778208e+00, 3.188812081959272682e+00
2.046000000000000000e+03, 3.215975910212310662e+00, 2.168875477698541943e+00, 2.206260509437079520e+00, 1.696617741013521252e+00, 1.902310839261436515e+00, 3.393537271205058659e+00, 3.631688664233156505e+00, 2.251613559178498036e+00, 2.085107599396871958e+00, 3.210523499351592758e+00, 4.119560248685182557e+00, 2.661331333478767824e+00, 2.376441274745107357e+00, 2.569452942646370364e+00, 2.102482062080330394e+00, 2.882753739308450580e+00
