year, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1
2.030000000000000000e+03, 3.671288319317982562e-09, 2.658779068852627686e-09, 2.584501447894028627e-10, 1.381065246245120423e-10, 2.560147679532600457e-09, 1.190773073427973883e-11, 1.772013906067124500e-09, 1.411885664686457597e-10
2.031000000000000000e+03, 3.581547836134259293e-09, 3.594067257517353435e-09, 2.514766899857381486e-10, 1.241705404431480522e-10, 2.767242225245400020e-09, 8.818886059080651379e-12, 1.807914995334753826e-09, 1.387312640220113809e-10
2.032000000000000000e+03, 3.461738491557638764e-09, 3.229001307801776373e-09, 2.457826920073737269e-10, 1.122541664074955113e-10, 2.749568148481027435e-09, 6.928990544892577607e-12, 1.908056716840292477e-09, 1.310120331551343627e-10
2.033000000000000000e+03, 3.329446621843016880e-09, 3.181029201615456727e-09, 2.418778716265118318e-10, 1.059911332572983442e-10, 2.718874306305324702e-09, 6.489816939197250779e-12, 1.831544820996908180e-09, 1.231574121078021808e-10
2.034000000000000000e+03, 3.259044959968916741e-09, 3.663500877596837874e-09, 2.390655883241817439e-10, 1.020280562231710265e-10, 2.624191939057067218e-09, 6.641046943207653370e-12, 2.114801446383171201e-09, 1.149973036570772180e-10
2.035000000000000000e+03, 3.215102325165868437e-09, 2.702386329758855138e-09, 2.364600826735648612e-10, 9.914864544630205656e-11, 2.686006335494706762e-09, 6.280028603482185061e-12, 2.121892612622854732e-09, 1.066175815439375390e-10
2.036000000000000000e+03, 3.156379257326755151e-09, 3.474339043842297458e-09, 2.338687973511142201e-10, 8.757482982730254756e-11, 2.727703628533205948e-09, 3.672712207032775665e-12, 1.902754885531739839e-09, 1.049168247777330092e-10
2.037000000000000000e+03, 3.074542951308711112e-09, 3.396486260897875201e-09, 2.313637081154771127e-10, 8.078307064686475747e-11, 2.544439531250435831e-09, 2.321960248498686652e-12, 1.915203155998293941e-09, 1.011980272735576389e-10
2.038000000000000000e+03, 3.012134534229956120e-09, 3.312613760207398167e-09, 2.296468537108787494e-10, 7.429011778083397282e-11, 2.481207813685967600e-09, 1.745778227873692741e-12, 1.900070617096215864e-09, 9.736639458150425616e-11
2.039000000000000000e+03, 2.962967713647022870e-09, 3.347236444454333245e-09, 2.292198778555370728e-10, 6.963014951973713227e-11, 2.430108748536688144e-09, 1.451422728465114967e-12, 1.995919622715412507e-09, 9.254390732010993813e-11
2.040000000000000000e+03, 2.942062255851138542e-09, 3.670295009391704130e-09, 2.298813423430157713e-10, 6.287730333352425795e-11, 2.531494188844702651e-09, 1.286631405614150287e-12, 1.941165086485274912e-09, 8.750612225223766494e-11
2.041000000000000000e+03, 2.895732066897002131e-09, 3.328660106990841665e-09, 2.307403523529336099e-10, 7.683162756206609536e-11, 2.848330768985452787e-09, 1.193184825474787464e-12, 1.924644417944644699e-09, 8.514709534640684687e-11
2.042000000000000000e+03, 2.871568379238576587e-09, 3.249205590748396821e-09, 2.311532980976453127e-10, 8.257296521984683984e-11, 3.018361829119023688e-09, 1.184936557342505891e-12, 1.812098108948350730e-09, 8.578653611295507887e-11
2.043000000000000000e+03, 2.827401948587854813e-09, 3.303983172478954682e-09, 2.312536011354372615e-10, 8.447514647024750403e-11, 2.971818447782948029e-09, 1.186985653185028542e-12, 1.747558256442410972e-09, 8.593909598612174233e-11
2.044000000000000000e+03, 2.772962076149582680e-09, 3.550220637261894991e-09, 2.313001783324169060e-10, 8.518998641890451227e-11, 2.981628698402837663e-09, 1.121952067521187923e-12, 1.845399603344927663e-09, 8.634752933999221455e-11
2.045000000000000000e+03, 2.714774520732981696e-09, 3.254241499643828628e-09, 2.328483980494447164e-10, 8.560432311087308061e-11, 2.652613023669564912e-09, 1.010132158410113599e-12, 2.059050423470361449e-09, 8.740309869011967523e-11
2.046000000000000000e+03, 2.672077347132506569e-09, 3.398241963156781869e-09, 2.351881091391210821e-10, 8.407781387382685856e-11, 2.470704400578407610e-09, 8.720567097227204366e-13, 1.924043471472146422e-09, 8.913144520839815866e-11
2.047000000000000000e+03, 2.623912643757176417e-09, 3.415285243625073946e-09, 2.367989752110445176e-10, 8.306151762788684894e-11, 2.336499398905727898e-09, 8.013043270434934619e-13, 1.910597413463274779e-09, 8.885742685497307119e-11
2.048000000000000000e+03, 2.613995972586129218e-09, 3.168821247730092124e-09, 2.379690823072549266e-10, 8.274070502307671370e-11, 2.636995292817453888e-09, 7.319308573373309163e-13, 1.971327160431233469e-09, 8.829922585187789265e-11
2.049000000000000000e+03, 2.617343645476590434e-09, 2.963662725206199707e-09, 2.388444763888800414e-10, 8.154791770970293403e-11, 2.674447272628162125e-09, 6.831701744895442450e-13, 1.992086244297633928e-09, 8.740671445591631260e-11
2.050000000000000000e+03, 2.605624668758819486e-09, 3.346006659272049751e-09, 2.386706517909114399e-10, 8.092661951704414908e-11, 2.805983238739552338e-09, 1.974986028305529622e-12, 1.906183165742336763e-09, 8.690822370692340393e-11
2.051000000000000000e+03, 2.585796369188735650e-09, 3.476507726993164603e-09, 2.370553429971632488e-10, 6.852456930876188227e-11, 2.821865494055811162e-09, 1.577450980389893388e-12, 1.972662020076551422e-09, 8.464055662228266508e-11
2.052000000000000000e+03, 2.565691935905318259e-09, 2.995329894371952246e-09, 2.360018257602690158e-10, 6.254158927698770074e-11, 2.609035691215592730e-09, 9.313705573341165390e-13, 1.937099762395597799e-09, 8.169826542592342678e-11
2.053000000000000000e+03, 2.576903550599069799e-09, 2.682344378744150958e-09, 2.350046880656752791e-10, 5.898711254742428571e-11, 2.746105333144945468e-09, 6.668267850259376850e-13, 1.873305834323587295e-09, 7.852923368752314966e-11
2.054000000000000000e+03, 2.586466867194869633e-09, 3.845180353686673121e-09, 2.329250297680938963e-10, 5.786056083053426891e-11, 2.904333715277689644e-09, 5.477390190216712614e-13, 2.125681742535708872e-09, 7.519084027827075180e-11
2.055000000000000000e+03, 2.572509381105207980e-09, 3.711497713592620544e-09, 2.306413233927339155e-10, 5.763137030152888019e-11, 2.958207713813270568e-09, 4.844618572654503317e-13, 2.165353083542805302e-09, 7.196570274893598135e-11
2.056000000000000000e+03, 2.585886210571186331e-09, 4.281069114412640420e-09, 2.296442851434625153e-10, 6.342967191052804682e-11, 2.746582285684131291e-09, 4.265608657312526188e-13, 2.019463673326395148e-09, 6.908622356772821573e-11
2.057000000000000000e+03, 2.601051626058389515e-09, 4.154837090188698260e-09, 2.305272511560521985e-10, 5.819093335630140923e-11, 2.610597191227008034e-09, 3.842188103854595540e-13, 2.028701813012910082e-09, 6.556881606758174274e-11
2.058000000000000000e+03, 2.601135307376951929e-09, 3.520296723060800086e-09, 2.323947492943759052e-10, 5.498547639878562295e-11, 2.591297242927829813e-09, 3.512879421430290296e-13, 2.035667048454472741e-09, 6.206325125977150844e-11
2.059000000000000000e+03, 2.582882017994613908e-09, 3.568337990065849827e-09, 2.337577597769052288e-10, 5.316152085057154740e-11, 2.776342185579280852e-09, 3.256864797206977772e-13, 1.920142746329032823e-09, 5.862079659707634430e-11
2.060000000000000000e+03, 2.562967454618599248e-09, 3.921011758440030288e-09, 2.330947927283114299e-10, 5.149960970282661907e-11, 2.780148757166686390e-09, 3.007168753665849687e-13, 2.048757956176253680e-09, 5.512028801716259947e-11
2.061000000000000000e+03, 2.544567440579208205e-09, 4.179735083055200987e-09, 2.318669505649413589e-10, 4.520330295904487582e-11, 2.755575268431467793e-09, 2.826679038518762769e-13, 2.007899362648986879e-09, 5.350578187951537874e-11
2.062000000000000000e+03, 2.549744428476591405e-09, 4.567269206206632516e-09, 2.320483178375964131e-10, 4.627364436311173441e-11, 2.657678190163296899e-09, 2.650422327600630662e-13, 2.131507898297404598e-09, 5.123024121592123387e-11
2.063000000000000000e+03, 2.519042567909951260e-09, 3.933498062869900814e-09, 2.330599503042457191e-10, 4.601260157985178724e-11, 2.588240465124680160e-09, 2.477928936976697713e-13, 2.033936332919735491e-09, 4.911524570848309211e-11
2.064000000000000000e+03, 2.496431184179683370e-09, 4.704500271388740090e-09, 2.338183173782054886e-10, 4.518957692334062564e-11, 2.849577309888306844e-09, 2.320470729014852290e-13, 1.975296811907629091e-09, 4.685582088892319360e-11
2.065000000000000000e+03, 2.523920597219293293e-09, 4.415831834465862230e-09, 2.346355526735797334e-10, 4.354404025860665601e-11, 3.056932723015777086e-09, 2.187605005092710861e-13, 2.012530231412554689e-09, 4.492860394467737436e-11
2.066000000000000000e+03, 2.544949750263846119e-09, 3.960144984646408943e-09, 2.365023201658896299e-10, 6.814449394423712438e-11, 3.047972183135832152e-09, 2.065455616880175200e-13, 2.113977467437751260e-09, 4.432243929847350716e-11
2.067000000000000000e+03, 2.539323801248703009e-09, 3.989839292645790840e-09, 2.386065964077132818e-10, 5.085754025699966005e-11, 2.948827628951372829e-09, 1.975634410353432137e-13, 2.071610572152379272e-09, 4.336588192364089186e-11
2.068000000000000000e+03, 2.552912891646772957e-09, 4.807587392485098814e-09, 2.390914438246289520e-10, 4.380993350708874288e-11, 2.869354279670661205e-09, 1.889051170995476215e-13, 2.079850096620331137e-09, 4.236250741042959350e-11
2.069000000000000000e+03, 2.606887208684718368e-09, 4.170179353788109563e-09, 2.384473518045436425e-10, 4.050148534420112328e-11, 2.899118846700765579e-09, 1.756416661166285660e-13, 2.239156255405725385e-09, 4.127377616950888718e-11
2.070000000000000000e+03, 2.639030939613407406e-09, 4.104713155408068542e-09, 2.384451122962763048e-10, 3.866194177015663715e-11, 2.693557493478536983e-09, 1.584812901519419105e-13, 2.020490863775797039e-09, 4.011373262251426053e-11
2.071000000000000000e+03, 2.646437263134729981e-09, 4.817054923951606420e-09, 2.406524220218470352e-10, 3.835991017293701274e-11, 2.787513075453441150e-09, 1.492297801477909328e-13, 2.191141166294866115e-09, 3.994370510069719981e-11
2.072000000000000000e+03, 2.649170175883574393e-09, 4.522773033376435600e-09, 2.440718780070209300e-10, 3.903840085205469183e-11, 2.850247131636470126e-09, 1.404529964784484941e-13, 2.262458463751284992e-09, 3.940363091663724512e-11
2.073000000000000000e+03, 2.674371706848877900e-09, 4.625820292915677973e-09, 2.448998683328474524e-10, 3.891965494093851033e-11, 2.903685779818759918e-09, 1.340558218293154849e-13, 2.097018819918473884e-09, 3.880600944406784338e-11
2.074000000000000000e+03, 2.701754451047913215e-09, 4.139977830770510529e-09, 2.448657303361723084e-10, 3.850200483794535648e-11, 2.754198274744792168e-09, 1.298781868293076682e-13, 2.305939992209368973e-09, 3.727445835979263033e-11
2.075000000000000000e+03, 2.704577336576507813e-09, 4.317159070489658459e-09, 2.455693899994797890e-10, 3.799594736454527269e-11, 2.821528079503916216e-09, 1.462702353831510857e-13, 2.193017248884249877e-09, 3.579451461616983178e-11
2.076000000000000000e+03, 2.663996085151702583e-09, 4.791677745215851050e-09, 2.459944092263735884e-10, 6.556589794378637916e-11, 2.901623032174018636e-09, 1.938108124615516502e-13, 2.148532311265044509e-09, 3.461068699527794870e-11
2.077000000000000000e+03, 2.672103746450413580e-09, 4.942444182115584886e-09, 2.469500181633423813e-10, 4.911397789722492326e-11, 3.000298089104036467e-09, 2.296524519757707103e-13, 2.183428477923014858e-09, 3.498611518231012870e-11
2.078000000000000000e+03, 2.692185210282904402e-09, 4.037204118583088649e-09, 2.468886564709561731e-10, 4.364452117148255720e-11, 3.084579824804765583e-09, 2.251402066759531888e-13, 2.164381730595237493e-09, 3.533553077769541350e-11
2.079000000000000000e+03, 2.711200828966900716e-09, 4.062198520306421941e-09, 2.472505225058114094e-10, 4.122877034085436038e-11, 3.081789468797777229e-09, 1.964932090518563589e-13, 2.155300447349867101e-09, 3.576483825032855297e-11
2.080000000000000000e+03, 2.743174228582628268e-09, 4.342276210331692284e-09, 2.501218967826033522e-10, 3.995323454295245631e-11, 3.067975809372541460e-09, 1.796555746302977837e-13, 2.109059769866651210e-09, 3.614139705943386017e-11
2.081000000000000000e+03, 2.759123928026621902e-09, 5.125720561929527788e-09, 2.540152541771360034e-10, 7.741074340974067547e-11, 3.097019369422470777e-09, 2.649377419966368475e-13, 2.077862634278728647e-09, 3.685405300688894854e-11
2.082000000000000000e+03, 2.757819789074605329e-09, 4.177408324106691917e-09, 2.587104865603112222e-10, 6.577049413945543634e-11, 3.105626935695862642e-09, 3.809263336031608480e-13, 2.208900653434752819e-09, 3.834731696471121259e-11
2.083000000000000000e+03, 2.749094211282677547e-09, 5.102306612833405370e-09, 2.629013691800328618e-10, 6.168051630299392013e-11, 3.041861450622978801e-09, 3.834616897247126866e-13, 2.095196370233810586e-09, 4.051752348446516157e-11
2.084000000000000000e+03, 2.741762505418665621e-09, 4.807588614094828740e-09, 2.656718263612115038e-10, 6.003796763601381205e-11, 3.152230807249342882e-09, 3.545897700835991471e-13, 2.032474673593548480e-09, 4.264499407602712805e-11
2.085000000000000000e+03, 2.701401755721359251e-09, 4.325686195232118757e-09, 2.669553478724345884e-10, 5.956327474101954326e-11, 3.136716651893835872e-09, 4.393142171165574829e-13, 1.986712419693733983e-09, 4.474742763253750677e-11
2.086000000000000000e+03, 2.677531277980675802e-09, 4.054843343699619490e-09, 2.691506043233012246e-10, 4.872681241992822633e-11, 2.974051307704046396e-09, 2.781392913765705881e-13, 2.296902385044254550e-09, 4.556683416373189004e-11
2.087000000000000000e+03, 2.691218040764075514e-09, 4.434293801987548303e-09, 2.716099088701316345e-10, 4.327597963463166493e-11, 2.756882162923008340e-09, 1.772693154790991226e-13, 2.410002377996066876e-09, 4.636378509415780376e-11
2.088000000000000000e+03, 2.711483752335318830e-09, 4.545944256855580510e-09, 2.727229449148310058e-10, 4.035427763342540790e-11, 2.887613881823504808e-09, 1.450206764968227316e-13, 2.171229197602763078e-09, 4.706281928944802446e-11
2.089000000000000000e+03, 2.691833480973249533e-09, 4.132907717946479179e-09, 2.737608960452511676e-10, 3.858792531844506830e-11, 3.047148446928844329e-09, 1.275327489682600403e-13, 2.002686855072926299e-09, 4.783804752304470285e-11
2.090000000000000000e+03, 2.688239856668726963e-09, 4.097136561647501993e-09, 2.754217698835947931e-10, 3.733977555469886905e-11, 3.123709692668640812e-09, 1.582585350760110943e-13, 2.250769183173457886e-09, 4.850561195974963301e-11
2.091000000000000000e+03, 2.716513718557615168e-09, 4.301433646580264978e-09, 2.773899707666538233e-10, 4.148018869733130616e-11, 3.140216823878502280e-09, 2.896766423568925580e-13, 2.226731784599402853e-09, 4.864106185393050075e-11
2.092000000000000000e+03, 2.715300957291742078e-09, 4.629474377803161125e-09, 2.797655045411885473e-10, 4.296423085181931658e-11, 2.990514532224026825e-09, 3.957075073329916812e-13, 2.226304048258607901e-09, 4.787465342902759303e-11
2.093000000000000000e+03, 2.690079216154661622e-09, 4.628033614775101862e-09, 2.826673242721498640e-10, 4.351627971349528677e-11, 3.039244117334004839e-09, 4.302682059060409618e-13, 2.480035598843361924e-09, 4.686749215720044273e-11
2.094000000000000000e+03, 2.702644086440044503e-09, 5.126915973036296669e-09, 2.855621831210602291e-10, 4.395068031280731746e-11, 3.219938169921435899e-09, 4.460831672286346299e-13, 2.212740203520061734e-09, 4.569851817246473948e-11
2.095000000000000000e+03, 2.711876172428490243e-09, 4.986640615459632428e-09, 2.867730079680257084e-10, 4.398365516585696635e-11, 3.290126911343637216e-09, 4.265099508725085234e-13, 2.306387423653816431e-09, 4.456407385653500812e-11
2.096000000000000000e+03, 2.710480321343467987e-09, 5.546846256145624154e-09, 2.877396993734904454e-10, 4.384591601771426381e-11, 3.288551707099430539e-09, 3.336211255634602864e-13, 2.302841583004889383e-09, 4.352414381861959299e-11
2.097000000000000000e+03, 2.677768758097141110e-09, 5.048159268032278691e-09, 2.902522860882499809e-10, 4.400560917641556560e-11, 3.285970088755573526e-09, 2.836495012740867713e-13, 2.266244395420332302e-09, 4.316782875524580489e-11
2.098000000000000000e+03, 2.655681722272990461e-09, 4.475931069712361053e-09, 2.928255760399669282e-10, 4.399178994744983678e-11, 3.248659896558266698e-09, 2.658640772640965016e-13, 2.320458872755443879e-09, 4.288579461900712636e-11
2.099000000000000000e+03, 2.678908085247705289e-09, 4.359991856530985218e-09, 2.935391877316412818e-10, 4.392052650836031976e-11, 3.238342064819428337e-09, 2.615539908065203150e-13, 2.242410476769749674e-09, 4.258450036813686384e-11
2.100000000000000000e+03, 2.715049335303959595e-09, 5.169106033400137535e-09, 2.664197382891637176e-10, 4.381844964232769177e-11, 3.029768438843999844e-09, 3.362178965925731070e-13, 2.254343090340954135e-09, 4.219706143661237457e-11
