year, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1
2.015000000000000000e+03, 2.564982921746767792e-09, 2.561528118259352096e-09, 2.892374810337983552e-10, 3.851024965695649042e-11, 2.166846386080256670e-09, 3.654784754625790500e-13, 1.658541942009868874e-09, 4.439063328848954442e-11
2.016000000000000000e+03, 2.608668066430385336e-09, 2.911279783227688687e-09, 2.894164667436820380e-10, 2.190599293517200611e-10, 2.133581318338737271e-09, 1.194323395740112386e-12, 1.627110157090441897e-09, 4.479223911645737026e-11
2.017000000000000000e+03, 2.647273121450553374e-09, 2.733648302320691440e-09, 2.941704283539329471e-10, 1.979479558755409138e-10, 1.991655804992099136e-09, 1.589043724808871389e-12, 1.635927219106990884e-09, 6.517836955492336489e-11
2.018000000000000000e+03, 2.680657331909441415e-09, 2.980636287930463977e-09, 3.009277876807595212e-10, 1.984504067991717718e-10, 2.039771273315761706e-09, 1.782239903504110983e-12, 1.655431728625667943e-09, 8.100865979100341095e-11
2.019000000000000000e+03, 2.703535775955736733e-09, 3.139180257175202434e-09, 3.078449801109085825e-10, 2.017976594074328413e-10, 1.952281261529176572e-09, 1.839678589884743213e-12, 1.672169762316551351e-09, 9.493252418670431755e-11
2.020000000000000000e+03, 2.628973456682906045e-09, 2.949732434955862985e-09, 3.148370609845958274e-10, 2.040296729258146984e-10, 1.846220805801831692e-09, 1.735904234088647707e-12, 1.746937035214640438e-09, 1.133139378120614041e-10
2.021000000000000000e+03, 2.622309896615062146e-09, 3.121740712175856906e-09, 3.209345504909670554e-10, 1.910543609011852681e-10, 2.155702800379775963e-09, 1.431940823900139508e-12, 1.721610255782622887e-09, 1.256885407009869900e-10
2.022000000000000000e+03, 3.622768869411910591e-09, 3.278450846122037751e-09, 3.246244993839824153e-10, 1.883711122619725592e-10, 2.454887421986241465e-09, 1.388650353537075741e-12, 1.714724254730368155e-09, 1.409900930466944146e-10
2.023000000000000000e+03, 4.044639244276788599e-09, 3.092673095754045507e-09, 3.220942148669151499e-10, 1.893049623249931266e-10, 2.468918649856890490e-09, 1.277760880127690295e-12, 1.665804218930353681e-09, 1.527341158489367061e-10
2.024000000000000000e+03, 4.102415923185229355e-09, 3.168811340874092210e-09, 3.129707329872003455e-10, 1.913610102774454250e-10, 2.499659769207563495e-09, 1.852524152308160903e-12, 1.657738474917019966e-09, 1.658049772771345430e-10
2.025000000000000000e+03, 4.014486673915226695e-09, 3.095825541372040796e-09, 3.024836963746021172e-10, 1.936927559215383970e-10, 2.559311539383467300e-09, 2.340365132767824189e-12, 1.743957747719617062e-09, 1.800880322915922003e-10
2.026000000000000000e+03, 3.996639892213185102e-09, 3.493595079146282209e-09, 2.927096619952316028e-10, 1.633721180161952869e-10, 2.568068894814565901e-09, 3.687330032486986829e-12, 1.766268679062157568e-09, 1.776358974539566393e-10
2.027000000000000000e+03, 3.970195079543324134e-09, 3.879389038376106778e-09, 2.826255431837281392e-10, 1.493114614687442629e-10, 2.663410348058209762e-09, 5.189197052699539932e-12, 1.733557149636051366e-09, 1.671585835383014940e-10
2.028000000000000000e+03, 3.901664113867931549e-09, 2.885788656895755818e-09, 2.732743645499185528e-10, 1.425807343336788017e-10, 2.674731947267477634e-09, 5.909853022210283740e-12, 1.710595696763649175e-09, 1.578930109797319522e-10
2.029000000000000000e+03, 3.827427150228364516e-09, 2.558254748923947413e-09, 2.656921371026067676e-10, 1.390957822454953906e-10, 2.637418389588490716e-09, 6.709148253719358395e-12, 1.718463202237278779e-09, 1.489958556625311848e-10
