year, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CanESM5, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM4-8
2.025000000000000000e+03, 5.170686177930855498e-02, -3.858414118533302073e-01, 1.127014625087205818e-01, 3.191000414779595045e-03, -1.415079863388497491e-02, -6.157474769444801210e-02, 1.263049737177842358e-01, -1.990102125323296722e-01, -1.376555376564271571e-01, 5.100253053752892146e-02, -2.496403996409015114e-01, -3.650026324255602472e-01, -2.896794686324625362e-02, 9.167222068198063734e-02, -6.161865705888014411e-02, 1.005887328380735551e-01
2.026000000000000000e+03, -2.076415495984316670e-02, -3.483281423065511667e-02, 8.215669474032365194e-02, -3.854034061343641210e-02, 1.610610055347665714e-01, 2.635750994553257009e-01, 3.258835638762886400e-01, -4.203083622727308427e-02, 2.893734253251901145e-01, 1.450702234422237280e-01, -7.803091364060207868e-02, 4.070863716208346188e-03, 3.505633679989936941e-03, -7.928750911776635824e-02, 1.564382895075427382e-01, 4.352725164326672336e-01
2.027000000000000000e+03, 1.066410552548983405e-02, 1.312478237328955910e-01, 8.355988795431879002e-02, -1.443666624847839836e-02, 4.839955122569598867e-02, 5.353309889758985085e-02, 3.711305602217240818e-01, -5.797013151803280528e-02, 8.580283858006289288e-02, -5.532327487099501090e-02, -1.391914696214105462e-01, 3.010524874660333583e-02, 1.311204087613185992e-02, 1.441261070192643989e-02, -1.791583010640984130e-01, 1.634439399420934969e-01
2.028000000000000000e+03, -4.661982132482963420e-02, 2.742819300678250600e-03, 2.180602103480656917e-02, -1.241284027208394564e-01, 7.742486271358900440e-03, -4.510791760808720019e-01, 6.032669998341489981e-01, -1.225895134638093631e-01, -2.032211363070332288e-01, 1.540790567250955589e-01, -1.279408806834695933e-01, 5.350752294817917587e-01, -5.031390932382463765e-02, 9.587934109505989733e-02, 2.917091306874619247e-02, -1.051070847649564211e-01
2.029000000000000000e+03, 5.601433829815867516e-02, -4.188728667970260944e-02, 1.244174963201284817e-01, -6.357146788640823110e-02, 3.540233590814447634e-02, -9.906681970905077683e-02, 2.553169952066732251e-01, -1.322010304535207736e-01, -2.044780837835796783e-01, -2.747062538025600575e-02, -2.441889250712737658e-01, 2.601235285507215167e-01, 2.481953535671360678e-02, 1.151307286098737261e-02, -4.188859192384368491e-02, -3.292470274588692961e-03
2.030000000000000000e+03, 4.924598360436983208e-02, -1.626013854771384270e-01, 1.216718254210757411e-01, 1.964153626836663905e-02, -1.373897852124651708e-02, 1.453181300018394906e-01, 3.477282584760658657e-01, -7.332739954159968321e-02, 5.410770299738104638e-02, 1.024099886053813080e-01, -7.367576162525719952e-02, -1.297565784275022185e-02, 1.566767580231307605e-02, 5.734164674962426156e-02, -4.964085890040721705e-03, 4.668737331326712758e-01
2.031000000000000000e+03, -1.985938252916482488e-02, -2.203528629041794085e-01, 3.264690234247608069e-02, -2.605141530461672211e-02, 3.025252521790621762e-01, 4.246936196899789295e-01, 4.604342925796476860e-01, 3.373378700806532390e-03, 2.146905314500015816e-01, -1.153104792083649646e-02, -3.727157717975886075e-02, -5.801482686894152696e-01, 1.005129303818837333e-01, -2.404555459276451479e-02, 8.065991565957617015e-02, 3.616738541705876719e-01
2.032000000000000000e+03, 6.185574701600991820e-02, 2.141790352158959576e-01, 7.831311556487012548e-02, 1.299618932200274912e-01, -1.218751414168069537e-03, 7.622859314733004821e-02, 3.388401157097405414e-01, -1.685755629321907534e-01, -5.763994117431334163e-02, 3.056643906310123060e-01, -2.678177591163528048e-01, 4.127506849149882306e-01, -2.004793730050046657e-02, -1.730876586930923250e-02, -9.255922446137283821e-02, -1.622454036748426434e-02
2.033000000000000000e+03, 3.679419063931227418e-02, 2.535165025099515579e-01, 1.349457009664805328e-02, 6.930545703538736058e-02, 4.599366353188851647e-02, 9.328220141850182556e-02, -7.687280224528776542e-04, 2.871148723818974305e-02, -2.896556260668442864e-02, -3.507059687853794627e-02, -1.361475064168822524e-01, -5.586394591842262780e-02, 4.511632975222403669e-02, 4.569349089751809090e-02, -1.145722625553825119e-01, 3.303054406339265281e-01
2.034000000000000000e+03, -4.829321146527286446e-02, -2.590195943456800529e-02, 2.539660229823482163e-01, -5.608006013464643391e-02, -1.017644594749236991e-01, 1.190139169572873579e-01, 3.341846554242366985e-01, -1.320776386686562942e-01, 1.228888186101156910e-01, 4.033878832893615651e-02, 2.025072868146886584e-01, -2.566806108673838627e-01, 8.659568014661317426e-02, 7.652802879238432276e-02, 3.162276646893178444e-01, -2.789129802431470490e-02
