year, TaiESM1, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, NorESM2-MM, TaiESM1, CNRM-ESM2-1
2.039000000000000000e+03, 2.293957768993440515e-10, 1.548673169101176754e-10, 5.653901503762626127e-11, 8.075679076022257396e-11, 1.725636493325671409e-10, 1.191525197585709797e-10, 4.691055509549200201e-10, 5.296779411630506957e-11, 1.025014752936932811e-10, 1.025014752936932811e-10, 2.293957768993440515e-10, 1.725636493325671409e-10
2.040000000000000000e+03, 1.723986070008066022e-10, 1.451760032006506579e-10, 7.862614194371082459e-11, 8.258835966880304064e-11, 1.240186724890068809e-10, 2.268277210873055303e-10, 3.560092224980300635e-10, 7.509605444554305375e-11, 1.688017224066428940e-10, 1.688017224066428940e-10, 1.723986070008066022e-10, 1.240186724890068809e-10
2.041000000000000000e+03, 2.501600321875627494e-10, 1.829575564107929288e-10, 4.896585367408603481e-11, 9.772928452916272297e-11, 1.521772703500969555e-10, 1.821098437780128660e-10, 6.531899913491198459e-10, 4.552248513175877711e-11, 1.498159265792742920e-10, 1.498159265792742920e-10, 2.501600321875627494e-10, 1.521772703500969555e-10
2.042000000000000000e+03, 6.148309783592771300e-11, 2.105653392373849713e-10, 8.159762694778182127e-11, 1.072556602052940160e-10, 1.485937687310591280e-10, 2.970027014815543965e-10, 1.850701322304295764e-09, 7.815068944803564493e-11, 1.870008440274449962e-10, 1.870008440274449962e-10, 6.148309783592771300e-11, 1.485937687310591280e-10
2.043000000000000000e+03, 1.957666350889496675e-10, 2.341320467733043766e-10, 6.861943485095044964e-11, 9.619336648292525469e-11, 9.214543481056965028e-11, 2.857707187708479067e-10, 6.834436076036872569e-10, 6.498264408960037778e-11, 1.619370759952566142e-10, 1.619370759952566142e-10, 1.957666350889496675e-10, 9.214543481056965028e-11
2.044000000000000000e+03, 1.361304812622787959e-10, 1.413222442128810175e-10, 7.588933719006808220e-11, 1.062693033678663890e-10, 1.468361223817480444e-10, 1.981224904339250289e-10, 4.312453191279071217e-10, 7.230552323493673016e-11, 1.773099573287521817e-10, 1.773099573287521817e-10, 1.361304812622787959e-10, 1.468361223817480444e-10
2.045000000000000000e+03, 1.062763922318267161e-10, 1.253870101959209194e-10, 7.462646172849862225e-11, 9.231354884887206242e-11, 1.244960156424792113e-10, 1.717438582062728763e-10, 6.654266676237642514e-10, 7.094536244484515373e-11, 2.431531440359196338e-10, 2.431531440359196338e-10, 1.062763922318267161e-10, 1.244960156424792113e-10
2.046000000000000000e+03, 1.355309550414543226e-10, 1.577809658440092708e-10, 7.264263264234635643e-11, 9.679379768700439893e-11, 1.397532778038264672e-10, 2.508049568007210634e-10, 1.188206672319830538e-09, 6.896986014221382038e-11, 1.860906002831536022e-10, 1.860906002831536022e-10, 1.355309550414543226e-10, 1.397532778038264672e-10
2.047000000000000000e+03, 1.569134383446044626e-10, 1.441808957019779278e-10, 4.668983713479525113e-11, 9.032087469111279303e-11, 1.381630137257311678e-10, 2.005242939031779211e-10, 4.712929445526750152e-10, 4.323465377484273018e-11, 1.553894123807767387e-10, 1.553894123807767387e-10, 1.569134383446044626e-10, 1.381630137257311678e-10
2.048000000000000000e+03, 1.712825869844738484e-10, 1.487594235633373926e-10, 9.014770605339144610e-11, 1.136337738272966373e-10, 1.126815415017851270e-10, 1.304558090370101919e-10, 6.022467777436637616e-10, 8.645757968312649765e-11, 1.406513897465198472e-10, 1.406513897465198472e-10, 1.712825869844738484e-10, 1.126815415017851270e-10
