year, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, TaiESM1, CESM2-WACCM, CMCC-ESM2, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.050000000000000000e+03, 2.421765769470073336e-09, 2.040897238157978494e-10, 1.900427157302700390e-10, 2.069242161682919105e-09, 1.974986028878422878e-12, 7.788234550012444830e-10, 4.168983125649426296e-10, 2.480529253225867267e-10, 2.476458252626257404e-10, 1.391321413094654347e-11
2.051000000000000000e+03, 2.470511796178661045e-09, 1.839939290799772395e-10, 1.603296796425190865e-10, 2.113857219519930843e-09, 1.577450980394991777e-12, 7.823562887030471718e-10, 4.079313357421365796e-10, 2.497651969790398575e-10, 2.415740425292395324e-10, 1.588889548727189576e-11
2.052000000000000000e+03, 2.317494135437315441e-09, 1.920975459038500568e-10, 1.559309150229544588e-10, 2.228422405162441631e-09, 9.313705564103110931e-13, 7.789072108902097398e-10, 4.060291572283168325e-10, 2.468710701820587371e-10, 2.394784788500266142e-10, 1.577460886111929189e-11
2.053000000000000000e+03, 2.245684759353496056e-09, 1.856963508205197040e-10, 1.499343112371049960e-10, 2.494513456270429983e-09, 6.668267852859492686e-13, 7.696876262580765963e-10, 4.066225205695587727e-10, 2.437587689444462403e-10, 2.417370760499123648e-10, 1.533785147371178268e-11
2.054000000000000000e+03, 2.327615642884082136e-09, 1.788896183932972795e-10, 1.479324032819348418e-10, 2.415783459371305731e-09, 5.477390188114047164e-13, 7.582690427346745864e-10, 4.053403248568695973e-10, 2.413069699669956103e-10, 2.423803751949834897e-10, 1.512114172215313929e-11
2.055000000000000000e+03, 2.340272112216206198e-09, 1.843891680875989766e-10, 1.443336813652187288e-10, 2.345955480330119676e-09, 4.844618569669965591e-13, 7.425323936849146967e-10, 4.045258994227910255e-10, 2.367244172655187678e-10, 2.449733303391745322e-10, 1.524605474372052418e-11
2.056000000000000000e+03, 2.534030167792721804e-09, 1.793252843946338673e-10, 1.302653682860861998e-10, 2.421162583174629708e-09, 4.265608487995258510e-13, 7.305965993574923104e-10, 3.985921457725776005e-10, 2.373044710714866028e-10, 2.437814386401982706e-10, 1.057125431079438133e-11
2.057000000000000000e+03, 2.209583431309705165e-09, 1.763648976307017735e-10, 1.273896639355383825e-10, 2.278206223030096017e-09, 3.842188102564541135e-13, 7.199697719526457134e-10, 3.971883734850970313e-10, 2.382010300412686632e-10, 2.421793922178243614e-10, 1.089964091900979340e-11
2.058000000000000000e+03, 2.211490201561477365e-09, 1.823825271083458609e-10, 1.241726874012328252e-10, 2.328504218963196677e-09, 3.512879423107020335e-13, 7.126225439086353023e-10, 3.963631716676684638e-10, 2.393543516743380471e-10, 2.457490080548466762e-10, 1.063308740278585867e-11
2.059000000000000000e+03, 2.403149203578536847e-09, 1.736155511497530247e-10, 1.204623217515645227e-10, 2.247182785455083327e-09, 3.256864793809450536e-13, 7.093490275819732845e-10, 3.978068023297135164e-10, 2.397904428795726200e-10, 2.526871427841090595e-10, 1.047675195278055923e-11
