year, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5
2.029000000000000000e+03, 6.011653243017156534e-01, 3.312138751675469672e-02, 3.956241579920344309e-01, 1.540508537438094905e+00, 9.152248993206839600e-01, 2.593455703739611876e-03, 5.912404077762607735e-02, 2.029664996340140581e-01, 4.493151315883899266e-01
2.030000000000000000e+03, 6.038247481674002826e-01, 3.401229088787175586e-02, 3.903477183986578392e-01, 1.522278825572655148e+00, 9.058462593228991944e-01, 4.165576418296503165e-03, 5.822547125228062087e-02, 2.027049090322429747e-01, 4.504342785514315883e-01
2.031000000000000000e+03, 6.059862907462805204e-01, 3.436180495826559461e-02, 3.846709846041975189e-01, 1.506045250754335818e+00, 9.322041122087106890e-01, 3.984246112444913071e-03, 5.523560864461769110e-02, 2.024348556605230776e-01, 4.461015554457122279e-01
2.032000000000000000e+03, 6.120191611656967678e-01, 3.466256425044607348e-02, 3.793997992479727355e-01, 1.486214824699045201e+00, 9.298431974969288971e-01, 3.857795479234808322e-03, 5.252649818254167408e-02, 2.026326164772583593e-01, 4.404911553684965897e-01
2.033000000000000000e+03, 6.066795734211040125e-01, 3.492180494791238127e-02, 3.754665190839089894e-01, 1.460691278579498098e+00, 9.260386359031036463e-01, 3.948352838564625315e-03, 5.016551306050443665e-02, 2.023122803482892140e-01, 4.357873734384858921e-01
2.034000000000000000e+03, 6.237469790419247762e-01, 3.521195808129488208e-02, 3.726119127116874208e-01, 1.439140621047340307e+00, 9.143282164153723190e-01, 4.146807562998029890e-03, 4.802068927307391599e-02, 2.025412860627838207e-01, 4.316860730839078286e-01
2.035000000000000000e+03, 6.236328028627554643e-01, 3.554916197633831154e-02, 3.699549881792364436e-01, 1.424372908005397953e+00, 9.221702386293598730e-01, 4.211858076873116127e-03, 4.678563554414988390e-02, 2.028407411293943752e-01, 4.280733665296095336e-01
2.036000000000000000e+03, 6.092682836995085838e-01, 3.569041610616658505e-02, 3.681551642316454598e-01, 1.411129713588218815e+00, 9.285411875981078866e-01, 3.669593152783186350e-03, 4.510442199580623479e-02, 2.021066748448197836e-01, 4.208129598784207670e-01
2.037000000000000000e+03, 6.097597320302500234e-01, 3.581293309361083255e-02, 3.671020004213954024e-01, 1.394161809965691834e+00, 9.059244175556733225e-01, 3.277920480050955290e-03, 4.349100733211065661e-02, 2.021417049875097183e-01, 4.141900918590759040e-01
2.038000000000000000e+03, 6.075607274984097250e-01, 3.598772462518973203e-02, 3.661008892761209443e-01, 1.378445462914433595e+00, 8.992035286801073335e-01, 3.010010768405067035e-03, 4.176094724228356786e-02, 2.018813121869376392e-01, 4.072359949389933731e-01
2.039000000000000000e+03, 6.119557728984158507e-01, 3.617616531823183990e-02, 3.648910844464923198e-01, 1.364279241885248073e+00, 8.936762244332807636e-01, 2.797067451369382278e-03, 4.007445612737301627e-02, 2.017957754157665429e-01, 4.006905676007859185e-01
2.040000000000000000e+03, 6.070679419480241590e-01, 3.631582427808049268e-02, 3.638343681497636095e-01, 1.355902097125824657e+00, 9.089947333404182483e-01, 2.617692680228852434e-03, 3.861652197262889497e-02, 2.015137338566979353e-01, 3.931681523474039319e-01
