year, NorESM2-MM, UKESM1-0-LL, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1
2.032000000000000000e+03, 4.100762353640520349e-10, 1.782564220086032652e-09, 1.626708917748691692e-09, 4.390641701239050355e-10, 2.485477857387423203e-09, 3.795441526109591599e-09, 3.189273376287188087e-09, 1.479982442580595272e-09, 7.021087320525259536e-10
2.033000000000000000e+03, 4.191872881177386270e-10, 1.861390908042759812e-09, 1.343438156133693853e-09, 4.439459182320784826e-10, 2.459550196667345470e-09, 3.766915564162435839e-09, 3.142861332191776717e-09, 1.404337367084176968e-09, 7.077333026474119330e-10
2.034000000000000000e+03, 4.135908260894393322e-10, 1.674797914827035669e-09, 1.602542724693475992e-09, 4.457131375855171595e-10, 2.370500472730320810e-09, 3.980202730475681304e-09, 3.626646539762730661e-09, 1.688326999731916528e-09, 7.128690035475309736e-10
2.035000000000000000e+03, 4.094118563162279655e-10, 1.650423754596284422e-09, 1.443784490257592828e-09, 4.458630089905083843e-10, 2.421389666315227624e-09, 3.497148735626456464e-09, 2.666522179431556729e-09, 1.696407510856535401e-09, 7.062581303036471903e-10
2.036000000000000000e+03, 4.014557567278807676e-10, 1.548341343366445827e-09, 1.375379113782119183e-09, 4.408917501047942752e-10, 2.453684739450765898e-09, 3.393109428793854681e-09, 3.449254839083890758e-09, 1.478678960263482693e-09, 7.036537104208167926e-10
2.037000000000000000e+03, 3.965313898751587620e-10, 1.372885653354062350e-09, 1.322070445119549294e-09, 4.390840369129163071e-10, 2.271785783246305768e-09, 3.812496357425137026e-09, 3.371812815510206646e-09, 1.491536959015198161e-09, 6.901906918523626673e-10
2.038000000000000000e+03, 3.921133279577797311e-10, 1.445616661808760926e-09, 1.549241324270295102e-09, 4.487385078378248668e-10, 2.211346139197773348e-09, 4.236369373949181731e-09, 3.289260840763887949e-09, 1.478195437918619892e-09, 6.963218483504924648e-10
2.039000000000000000e+03, 3.924528174724391308e-10, 1.335742060252745714e-09, 1.544130943554531755e-09, 4.443197208661702006e-10, 2.159295086276129274e-09, 4.025498660625887485e-09, 3.324591843480183675e-09, 1.576171561733706114e-09, 6.890879269542702447e-10
2.040000000000000000e+03, 3.891231293430850364e-10, 1.757178407344219262e-09, 1.617950437731122655e-09, 3.645036154344509298e-10, 2.270122695683926708e-09, 3.274140939776302731e-09, 3.649010862791570890e-09, 1.523439352172967966e-09, 6.992677609609141644e-10
2.041000000000000000e+03, 3.859795593281784848e-10, 1.893195902673400563e-09, 1.535417772808200477e-09, 3.448608777281011200e-10, 2.588015841711268770e-09, 4.644664050140121929e-09, 3.304301899014118211e-09, 1.508075221517509604e-09, 7.068630152407569834e-10
2.042000000000000000e+03, 3.862029926236323404e-10, 1.876885772983956550e-09, 1.608353934211992373e-09, 3.427804786997883964e-10, 2.756561346338641209e-09, 4.346003901428995131e-09, 3.225190285293473376e-09, 1.396959316047106897e-09, 7.329066080905861117e-10
2.043000000000000000e+03, 3.870010736818244548e-10, 2.055488268618242193e-09, 1.491608863608921876e-09, 3.397095644566717234e-10, 2.708874042072576484e-09, 3.551953400817985849e-09, 3.280378776298974056e-09, 1.334484092304954026e-09, 7.390703242822883796e-10
2.044000000000000000e+03, 3.840141781415285561e-10, 2.106844321326602020e-09, 1.550800565611845641e-09, 3.376540967912544567e-10, 2.722833833700329704e-09, 4.093604507419960430e-09, 3.526882034894013547e-09, 1.434381711668613682e-09, 7.404743182767089251e-10
2.045000000000000000e+03, 3.798191540721533132e-10, 1.763640129689538108e-09, 1.545777747323227943e-09, 3.202866317060841240e-10, 2.397158743776509830e-09, 4.375893865006176169e-09, 3.231447805130053561e-09, 1.650684640435012962e-09, 7.505900401319080754e-10
2.046000000000000000e+03, 3.722132664394033673e-10, 1.648095088854851958e-09, 1.336570350461087818e-09, 3.061576094011919694e-10, 2.216843617286170507e-09, 4.175110896083226125e-09, 3.383338965164586053e-09, 1.517628839449447261e-09, 7.648990828780140049e-10
2.047000000000000000e+03, 3.698500993703334714e-10, 1.512017841216213385e-09, 1.665609169367639679e-09, 3.019663008449074051e-10, 2.086876543769013748e-09, 4.091455388249262093e-09, 3.400732561356622455e-09, 1.506198690203815220e-09, 7.620469569604337177e-10
2.048000000000000000e+03, 3.694355719117713349e-10, 1.252266415155898641e-09, 1.636236066644993481e-09, 3.003795857587919694e-10, 2.383965431522800734e-09, 4.334418764958511298e-09, 3.154320960179459788e-09, 1.568435247835603086e-09, 7.727430632623543701e-10
2.049000000000000000e+03, 3.654748380918044789e-10, 1.392387187597478603e-09, 1.584102451369512167e-09, 3.010669174018807613e-10, 2.419425524787940265e-09, 4.310373078367933303e-09, 2.949356456111890249e-09, 1.590629247258655089e-09, 7.780378818130993559e-10
2.050000000000000000e+03, 3.582980335596466096e-10, 1.625265007260615020e-09, 1.763600421959106143e-09, 3.035454831407056562e-10, 2.558335028194016636e-09, 3.541546232557401739e-09, 3.332093466422396048e-09, 1.505899535469413662e-09, 8.078070294880382004e-10
2.051000000000000000e+03, 3.449270288177168213e-10, 1.631699079230057284e-09, 1.767848315974159328e-09, 3.044978229919569340e-10, 2.580291360692418672e-09, 5.083809644512515183e-09, 3.460618821657254811e-09, 1.574034651301978382e-09, 7.710313122270119709e-10
2.052000000000000000e+03, 3.155772032491927915e-10, 1.530836257266743738e-09, 1.748327039062060676e-09, 2.870340499249531487e-10, 2.369563146448544300e-09, 4.812660590052218409e-09, 2.979555308591712590e-09, 1.539712763538786547e-09, 7.367971572476972810e-10
2.053000000000000000e+03, 3.148060453696672559e-10, 1.588731273754724820e-09, 1.756222159114336546e-09, 2.838930439545881083e-10, 2.504367251975494720e-09, 4.635502423894197573e-09, 2.667006545326542048e-09, 1.476837654185623561e-09, 7.043564922939121631e-10
2.054000000000000000e+03, 3.133192307413425731e-10, 1.755520156832279214e-09, 1.660099716124703580e-09, 2.837420282243382597e-10, 2.661952391285682681e-09, 4.602477784582564100e-09, 3.830059212717610812e-09, 1.730736357742150423e-09, 6.863171491036160979e-10
2.055000000000000000e+03, 3.116425524377192123e-10, 1.904171495634054404e-09, 2.009387463443538914e-09, 2.841509480612281160e-10, 2.713230222731550038e-09, 4.881913548979066436e-09, 3.696251678627843816e-09, 1.772091461589950241e-09, 6.739872600425443404e-10
2.056000000000000000e+03, 3.158923701548306772e-10, 1.442145707627757203e-09, 1.932990808641672707e-09, 2.847597795658879726e-10, 2.502797101691609155e-09, 5.419460117821545757e-09, 4.270497918520363232e-09, 1.627487042685094214e-09, 6.649788976061312154e-10
2.057000000000000000e+03, 3.187265565826997794e-10, 1.361722431559043960e-09, 1.750327824716055389e-09, 2.847333704593239612e-10, 2.368419390505887065e-09, 4.353073936850120130e-09, 4.143937501884671977e-09, 1.637953690106085926e-09, 6.750853213889378154e-10
2.058000000000000000e+03, 3.197164236494662526e-10, 1.584434088703552069e-09, 1.733878862971199365e-09, 2.821663636865888280e-10, 2.345555261403501223e-09, 4.994271277441140635e-09, 3.509663658462891446e-09, 1.646203358689002107e-09, 6.839698347320678821e-10
2.059000000000000000e+03, 3.169008199640152078e-10, 1.704228950186339280e-09, 1.841041210625683444e-09, 2.826894367449944729e-10, 2.523636994851955905e-09, 4.771167739175007321e-09, 3.557861214862949087e-09, 1.528476457591740190e-09, 6.778086249853540800e-10
2.060000000000000000e+03, 3.168184056650691628e-10, 1.532309322153292092e-09, 1.748407361116518661e-09, 2.811140485242435846e-10, 2.519347662590905774e-09, 5.202452941567970302e-09, 3.910535931273943226e-09, 1.656027132449940388e-09, 6.911217007771121062e-10
2.061000000000000000e+03, 3.171501176181542120e-10, 1.662490834425629163e-09, 1.822180406500413249e-09, 2.817602703159339114e-10, 2.492336980715475131e-09, 4.517927207030111522e-09, 4.167881430404077156e-09, 1.615382521592665045e-09, 7.042611887712029681e-10
2.062000000000000000e+03, 3.153770708773351864e-10, 1.789258390120822287e-09, 1.847947425437886896e-09, 2.826931692726791024e-10, 2.399174273306987744e-09, 5.755619014786843290e-09, 4.555231002289363901e-09, 1.739964450395440753e-09, 7.000225388652660579e-10
2.063000000000000000e+03, 3.155066818195116867e-10, 1.701526763147819750e-09, 1.834071827997393193e-09, 2.833614733011841205e-10, 2.329670396850353484e-09, 4.888298912174582214e-09, 3.921501412710459138e-09, 1.641917891848005615e-09, 6.843489999867509562e-10
2.064000000000000000e+03, 3.152626101430113076e-10, 1.482318582002731843e-09, 1.802896415111353507e-09, 2.834595214068926224e-10, 2.585063976847234711e-09, 4.903092696789640806e-09, 4.692575707898825234e-09, 1.584163094194188845e-09, 6.993184687360613329e-10
2.065000000000000000e+03, 3.158318786517033913e-10, 1.461261057594200552e-09, 1.682200350657823602e-09, 2.835258419690894684e-10, 2.793854812184195995e-09, 5.263082267482549390e-09, 4.403770240736072270e-09, 1.623100338450194171e-09, 7.268363151986834772e-10
2.066000000000000000e+03, 3.168545796144739971e-10, 1.357353132707927478e-09, 1.831423755554371842e-09, 2.847140593897117625e-10, 2.789507506957373373e-09, 5.581254465263779906e-09, 3.951252025828154000e-09, 1.725920531325840298e-09, 7.197606345747931207e-10
2.067000000000000000e+03, 3.162066506939331422e-10, 1.621907968100275385e-09, 1.951220872237224694e-09, 2.856120583197115578e-10, 2.692347720359143924e-09, 5.175652077594623889e-09, 3.980989604789354445e-09, 1.685090772971317481e-09, 6.950982525599260608e-10
2.068000000000000000e+03, 3.158546006230147236e-10, 1.854338387268775031e-09, 2.015834932684753124e-09, 2.861190869428001887e-10, 2.613693444797677247e-09, 4.988484548421612343e-09, 4.798696179552759910e-09, 1.694878470168762890e-09, 7.072156796760405573e-10
2.069000000000000000e+03, 3.155857087368690041e-10, 1.683608352079400157e-09, 1.691955905154550089e-09, 2.861039062449733566e-10, 2.642295190648569718e-09, 5.198730569945117137e-09, 4.161180295554553947e-09, 1.855837255926394669e-09, 7.057600071383781773e-10
2.070000000000000000e+03, 3.154829149945967932e-10, 1.808543424743087729e-09, 1.920548682236836029e-09, 2.859842403233417955e-10, 2.438321075505391890e-09, 5.947330478959272832e-09, 4.095636504191373644e-09, 1.638727450499086660e-09, 7.048463237549111653e-10
2.071000000000000000e+03, 3.156036942201427471e-10, 2.266851119109909727e-09, 1.940907290776655796e-09, 2.871415185281793915e-10, 2.531806521036784845e-09, 5.328040919520335438e-09, 4.808133535898619808e-09, 1.810613030894771474e-09, 7.005305946779119197e-10
2.072000000000000000e+03, 3.162790183486908600e-10, 1.711118094198792522e-09, 2.165607616225447145e-09, 2.881498030357057722e-10, 2.592645193224261533e-09, 5.843066947549502691e-09, 4.513674450425553363e-09, 1.883186342909646495e-09, 6.835880278257169099e-10
2.073000000000000000e+03, 3.160658065986420310e-10, 1.979997290553220370e-09, 1.872496849935761697e-09, 2.888186154430227619e-10, 2.644168568875719706e-09, 4.755355474225659490e-09, 4.616728328539447860e-09, 1.719351234653989609e-09, 6.900125682609376007e-10
2.074000000000000000e+03, 3.162476965160573382e-10, 2.037196226137973868e-09, 1.736629442989546763e-09, 2.891391952824684564e-10, 2.492524483482019780e-09, 5.964809495875782154e-09, 4.130808100870701005e-09, 1.929774987502095025e-09, 7.246119826751819998e-10
2.075000000000000000e+03, 3.161104864395801568e-10, 2.039307035271145036e-09, 1.798356367234911136e-09, 2.899155479643061817e-10, 2.560313741564235694e-09, 6.190215188020167636e-09, 4.308002508445584761e-09, 1.818177073927703148e-09, 7.305425264486194044e-10
2.076000000000000000e+03, 3.163190384928441093e-10, 2.077612162104964483e-09, 1.997382177869085730e-09, 2.906880985312794253e-10, 2.638958065581979586e-09, 4.462218204815556601e-09, 4.781245691201374620e-09, 1.773609758947242070e-09, 7.167695618375221753e-10
2.077000000000000000e+03, 3.159586361735371947e-10, 2.119846456832091218e-09, 2.082543571013713674e-09, 2.901726259981494889e-10, 2.734095291155968576e-09, 6.827221746663248601e-09, 4.931827711361429534e-09, 1.808804118104462221e-09, 7.200149438841039710e-10
2.078000000000000000e+03, 3.154532631538012166e-10, 1.884890155057884093e-09, 1.943055835272366447e-09, 2.900911433254040875e-10, 2.814516865313237075e-09, 5.907355894002898057e-09, 4.026320212134289053e-09, 1.790272993064345115e-09, 7.300656794731355092e-10
2.079000000000000000e+03, 3.150151271074115735e-10, 1.947678312825771145e-09, 1.723029459654344247e-09, 2.902988615747018286e-10, 2.811882639350416499e-09, 5.984053589643356009e-09, 4.051572429552603824e-09, 1.781917300939189917e-09, 7.243238011497071309e-10
2.080000000000000000e+03, 3.157128518971374086e-10, 1.689467696387291207e-09, 1.747360571461009109e-09, 2.906771408389612170e-10, 2.797851817637664868e-09, 5.599912254617097025e-09, 4.331630731762243369e-09, 1.735823507122021132e-09, 7.116148807105514662e-10
2.081000000000000000e+03, 3.222812880017352871e-10, 1.686512363334134853e-09, 1.929454015920621818e-09, 2.950378299149928690e-10, 2.825255470946604509e-09, 6.438882057741480195e-09, 5.114169376655153807e-09, 1.703834061960803301e-09, 7.229697843595017579e-10
2.082000000000000000e+03, 3.392742522964596257e-10, 1.839929206719631927e-09, 1.815061168464282507e-09, 3.047251676802487781e-10, 2.832868535145198888e-09, 4.971447518691197143e-09, 4.165517274049858435e-09, 1.834845022453097859e-09, 7.245760384528635437e-10
2.083000000000000000e+03, 3.385424734889068338e-10, 2.125866870073314399e-09, 1.968340936673851644e-09, 3.045177595543231493e-10, 2.766653291680847682e-09, 6.981586671183761149e-09, 5.090287195581819220e-09, 1.721058075168017398e-09, 7.200640811914789894e-10
2.084000000000000000e+03, 3.370429456128952814e-10, 1.785305877947125655e-09, 2.268449215810232382e-09, 3.043548295783227083e-10, 2.872631456896043345e-09, 5.758513392682187116e-09, 4.795286419345418137e-09, 1.659006500938316426e-09, 7.357719297376190839e-10
2.085000000000000000e+03, 3.350106388964634852e-10, 2.075171650428104109e-09, 1.939034632890204443e-09, 3.030835147449058179e-10, 2.856658449207889219e-09, 6.107400871337372970e-09, 4.313435346537074656e-09, 1.614317106883112535e-09, 7.374923279647205956e-10
2.086000000000000000e+03, 3.348868577950623346e-10, 2.536562531520438281e-09, 2.029220101933041041e-09, 3.043059944148667056e-10, 2.693863194000065928e-09, 6.610755598490173980e-09, 4.042857581991383361e-09, 1.926137806689259740e-09, 7.406289926405984373e-10
2.087000000000000000e+03, 3.331935770636147438e-10, 2.460629002631658268e-09, 2.155138971532344461e-09, 3.042555063840264786e-10, 2.476735542436841261e-09, 6.012499073590208149e-09, 4.422278099690982662e-09, 2.040880419051603407e-09, 7.217747076047041205e-10
2.088000000000000000e+03, 3.308676232023857068e-10, 2.267984082453148281e-09, 1.878794068780670034e-09, 3.045473121942490951e-10, 2.609178766291804715e-09, 5.559782559530263812e-09, 4.533934908684199695e-09, 1.803645846303282685e-09, 7.256575149855323509e-10
2.089000000000000000e+03, 3.290968613834631963e-10, 1.825734488740370403e-09, 2.147617033482972469e-09, 3.054272389772264395e-10, 2.768188574854953562e-09, 5.674943376829073444e-09, 4.120909642290418075e-09, 1.636394654380913966e-09, 7.366388398685702591e-10
2.090000000000000000e+03, 3.286408926113448276e-10, 1.790380066585870623e-09, 1.952542686536951445e-09, 3.052814898786539212e-10, 2.845330269788193683e-09, 6.453617231439926396e-09, 4.085134550831372493e-09, 1.885685020293622724e-09, 7.317559237129166943e-10
2.091000000000000000e+03, 3.280453321456339235e-10, 2.069688402093034978e-09, 1.982121814149099255e-09, 3.056560891727481069e-10, 2.859110771383589009e-09, 7.361079306730509906e-09, 4.288547209570439134e-09, 1.861882364407032553e-09, 7.377451488020044165e-10
2.092000000000000000e+03, 3.274756009460742121e-10, 2.087451325785878939e-09, 2.247737483721085094e-09, 3.051229435892806004e-10, 2.706215288088730224e-09, 5.793489531308080459e-09, 4.616401012302641752e-09, 1.858454698351630641e-09, 7.498746253305601317e-10
2.093000000000000000e+03, 3.272924522764511101e-10, 1.922238422079580621e-09, 2.394920523447331945e-09, 3.056016915669263116e-10, 2.751529431923784760e-09, 6.198049666002715961e-09, 4.614713255897344351e-09, 2.110140230341014209e-09, 7.569757524660922706e-10
2.094000000000000000e+03, 3.269547851250917408e-10, 2.265465194726646827e-09, 2.063522494413722065e-09, 3.048394578737464293e-10, 2.931404788376749107e-09, 6.843904820124276317e-09, 5.113550012013572502e-09, 1.841452438097698208e-09, 7.644908286949361472e-10
2.095000000000000000e+03, 3.272791537684275782e-10, 2.537199817361677152e-09, 2.212296554902807063e-09, 3.048713758328478613e-10, 3.000563347336731193e-09, 5.817157109004914492e-09, 4.972962685378554272e-09, 1.933996328447275004e-09, 7.550440042024082222e-10
2.096000000000000000e+03, 3.264818744568583947e-10, 2.050145190367474031e-09, 2.243803070676084362e-09, 3.043036993857320214e-10, 2.999644187097019200e-09, 6.556376714105809491e-09, 5.536485938032260040e-09, 1.929339939956453097e-09, 7.446119426755296854e-10
2.097000000000000000e+03, 3.253753010845511582e-10, 2.189967644422002781e-09, 2.057306848260779589e-09, 3.043904956237468660e-10, 2.994931737931407004e-09, 5.732927886527909670e-09, 5.037674269805931261e-09, 1.892047942605004563e-09, 7.670492912476888312e-10
2.098000000000000000e+03, 3.243015415012029875e-10, 2.165393962383597828e-09, 2.129613429879693020e-09, 3.047452677647704516e-10, 2.955564389263597487e-09, 7.095516201297261510e-09, 4.465517765425553792e-09, 1.946040785134213068e-09, 7.728953869495120951e-10
2.099000000000000000e+03, 3.243353283717337580e-10, 2.030796363480707336e-09, 2.278835795246884818e-09, 3.244398331158303793e-10, 2.945008260829041408e-09, 7.524375293777019931e-09, 4.349504889973069885e-09, 1.868159045779064834e-09, 7.830189946929079786e-10
2.100000000000000000e+03, 3.241081832198492754e-10, 1.724938684856859162e-09, 2.142828569336458637e-09, 3.260518357879810732e-10, 2.867038229914293574e-09, 6.472394920604235396e-09, 5.158514561310236565e-09, 1.880835857056548570e-09, 0.000000000000000000e+00
