year, NorESM2-MM, UKESM1-0-LL, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1
2.015000000000000000e+03, 0.000000000000000000e+00, 1.155799963952744914e-09, 1.387286713195732163e-09, 4.161519571357284132e-10, 1.884969932093584053e-09, 2.430619945921204673e-09, 2.552815792659086584e-09, 1.191184454954045267e-09, 6.044488196768979097e-10
2.016000000000000000e+03, 4.295907913924793234e-10, 1.251997010395617881e-09, 1.381648337589107585e-09, 3.660938177908464964e-10, 1.824021807722705053e-09, 3.035997294550908246e-09, 2.825220774130604359e-09, 1.165159675742086513e-09, 6.705930366749477168e-10
2.017000000000000000e+03, 4.456843246241180030e-10, 1.589430425987333627e-09, 1.105777680044195522e-09, 3.785547590535172559e-10, 1.676386714127756434e-09, 2.604325289073496657e-09, 2.645327551215300424e-09, 1.175377258751476252e-09, 7.267956160075417831e-10
2.018000000000000000e+03, 4.532197218369069644e-10, 1.407722167469117173e-09, 1.044733470456262196e-09, 3.858734337427933449e-10, 1.721268721311548295e-09, 2.859381143545217746e-09, 2.890928673388147644e-09, 1.197079072469149803e-09, 7.977735613436532282e-10
2.019000000000000000e+03, 4.606796737247636758e-10, 1.384534687289158300e-09, 1.224928108943980166e-09, 3.956069511892937648e-10, 1.635647073603516809e-09, 3.198420737026376473e-09, 3.047577699335000995e-09, 1.216667289145583661e-09, 8.920379513182359911e-10
2.020000000000000000e+03, 4.678741109695971935e-10, 1.429138268892916808e-09, 1.308386682283973020e-09, 4.034352872964074852e-10, 1.516688921119240725e-09, 2.811621661163677487e-09, 2.855738175151479251e-09, 1.294901119538381489e-09, 1.013075841895800623e-09
2.021000000000000000e+03, 4.703124424699387834e-10, 1.725417057341452841e-09, 1.228615984007015423e-09, 4.155065121565954208e-10, 1.808506727891024968e-09, 3.092495397254364212e-09, 3.043782515435374670e-09, 1.274560698750309393e-09, 1.202449620461504621e-09
2.022000000000000000e+03, 4.722699655496109690e-10, 1.452121201194571554e-09, 1.298436049969942632e-09, 4.329903968914489448e-10, 2.103097029189887546e-09, 2.676636123647817756e-09, 3.198988124108816861e-09, 1.271888227355168381e-09, 1.186393864213539862e-09
2.023000000000000000e+03, 4.604660530101995281e-10, 1.555630179393946385e-09, 1.318884533100200367e-09, 4.167076212485373668e-10, 2.114907732710955531e-09, 3.243185515753001354e-09, 3.012970051680780344e-09, 1.226632883868187236e-09, 1.028632134765552087e-09
2.024000000000000000e+03, 4.547268216255213041e-10, 1.827281880634413017e-09, 1.636569634672714196e-09, 4.110600773036916969e-10, 2.144473618196339431e-09, 3.273089285432488008e-09, 3.088620708836282289e-09, 1.221650660883708542e-09, 8.935055808050659453e-10
2.025000000000000000e+03, 4.512839808305060480e-10, 1.745319773065749867e-09, 1.446788414152981525e-09, 4.127995357328236113e-10, 2.228122383663413576e-09, 2.760065669694187510e-09, 3.014329328833705100e-09, 1.310259594834708156e-09, 8.114556773489968715e-10
2.026000000000000000e+03, 4.411475883581459408e-10, 1.438201020376663983e-09, 1.342276216290529590e-09, 4.163125216270684934e-10, 2.253197483928334473e-09, 3.195562679149058647e-09, 3.436439356977377215e-09, 1.333849883207514197e-09, 7.850327065041847042e-10
2.027000000000000000e+03, 4.419388662252203742e-10, 1.411422159993515709e-09, 1.507034984383595236e-09, 4.227312252171493604e-10, 2.351508866164394530e-09, 3.602601820411544057e-09, 3.823619448299096947e-09, 1.301767893902392512e-09, 7.445330485133624165e-10
2.028000000000000000e+03, 4.406716949542517338e-10, 1.284637102774289460e-09, 1.523192345608232928e-09, 4.282398683383771648e-10, 2.370270267986582096e-09, 3.021829505814395982e-09, 2.832255392371510105e-09, 1.279825299840789513e-09, 7.101736203876720858e-10
2.029000000000000000e+03, 4.290316098293713572e-10, 1.424332400774568329e-09, 1.440154486168383783e-09, 4.362078992617214393e-10, 2.335040857439057445e-09, 3.845748762727254328e-09, 2.503050654050089853e-09, 1.288730817030559004e-09, 7.054425528594053676e-10
2.030000000000000000e+03, 4.226913316216452448e-10, 1.529043855773963362e-09, 1.402455861430962590e-09, 4.353198070734847617e-10, 2.281328089805280847e-09, 3.537971158150614953e-09, 2.604194084469681046e-09, 1.343534964837919855e-09, 6.936482622937963252e-10
2.031000000000000000e+03, 4.184932294907555980e-10, 1.512427831860247275e-09, 1.480971225925992178e-09, 4.379019394452493738e-10, 2.498925365197781887e-09, 3.277200294526472586e-09, 3.553194710012785216e-09, 1.379557117027284242e-09, 6.923778826547095223e-10
