year, MPI-ESM1-2-LR, MIROC-ES2L, CanESM5, NorESM2-LM, ACCESS-ESM1-5, NorESM2-MM, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, CNRM-ESM2-1, CMCC-CM2-SR5
2.015000000000000000e+03, 4.992560302679572182e+00, 4.623448800316954710e+00, 6.799604168436291118e+00, 6.117864361562046494e-01, 7.334746735797809114e-01, 6.573703166683428911e-01, 2.611366693991036270e-01, 6.636523181923151826e-01, 9.278103201884881912e-01, 2.079637875847004658e+00, 1.164076750433774787e+00, 7.538445108368687642e+00, 1.320219679857322248e+00
2.016000000000000000e+03, 5.031372631684396524e+00, 4.594718451524975933e+00, 6.717577954671111407e+00, 6.594640965160611934e-01, 7.448148900515468851e-01, 6.377719096658427400e-01, 2.968050174473857439e-01, 6.370416767744394582e-01, 9.117401824772985997e-01, 2.085413761147886014e+00, 1.170147919110639645e+00, 7.600023707345515689e+00, 1.359943029109681678e+00
2.017000000000000000e+03, 4.993759207441104131e+00, 4.654661141670575653e+00, 6.756243393702801470e+00, 6.625952511916430865e-01, 7.464591661720227922e-01, 6.666698681786333847e-01, 2.457025076376354034e-01, 6.153060704970322314e-01, 9.503535093407335932e-01, 2.125525994184187528e+00, 1.124558974077106033e+00, 7.564610468005149357e+00, 1.027442108061585424e+00
2.018000000000000000e+03, 5.003916334890361028e+00, 4.663881038261538770e+00, 6.886225918613277486e+00, 6.304137522320870657e-01, 7.537800797698760435e-01, 6.701377262575841653e-01, 2.149498780562797418e-01, 6.363365658371806788e-01, 9.734596405191618951e-01, 2.129181282806843267e+00, 1.091629247284167104e+00, 7.612180864527078761e+00, 1.186570832076868198e+00
2.019000000000000000e+03, 5.059883736617758032e+00, 4.626153196051046912e+00, 6.901366119777922137e+00, 6.011444015658937712e-01, 7.629643809262338650e-01, 6.379653737537941405e-01, 4.922842769760202297e-01, 6.049706981822541296e-01, 9.966713940575925301e-01, 2.140429113698021357e+00, 1.077893384475750116e+00, 7.599244947455308541e+00, 1.293093712708901277e+00
2.020000000000000000e+03, 5.003578093045185859e+00, 4.616137677259888328e+00, 6.486510731942583874e+00, 5.861566295502959045e-01, 7.533397502391343536e-01, 6.501280797863222549e-01, 3.560831158849113720e-01, 6.315820360071584538e-01, 9.533325155434901887e-01, 2.181742463143617972e+00, 1.083745246998613077e+00, 7.678504771435626708e+00, 1.334036834999626331e+00
2.021000000000000000e+03, 5.034833386196032379e+00, 4.609097189013680484e+00, 6.545147336653134751e+00, 6.531581949140864429e-01, 7.526194119813265360e-01, 6.219587496680136773e-01, 2.101719317803882880e-01, 6.747282907693439302e-01, 9.209454345268502928e-01, 2.155277513283838431e+00, 1.079521452871498255e+00, 7.661364907790703782e+00, 1.123391026212253951e+00
2.022000000000000000e+03, 5.083254922422834277e+00, 4.602214032858584325e+00, 6.357869682679945456e+00, 6.189341306059545911e-01, 7.625545774480874117e-01, 6.110826762659306022e-01, 4.154622699954910736e-01, 6.667588854942168020e-01, 9.322863561496395057e-01, 2.197689704986803605e+00, 1.047570237692967421e+00, 7.689014641616308765e+00, 1.267595281831978893e+00
2.023000000000000000e+03, 5.084224348914841762e+00, 4.559076284782310751e+00, 6.448300150449075119e+00, 5.988896326750887678e-01, 7.756426811895316131e-01, 6.424241395750567296e-01, 3.877358625687006843e-01, 6.551427194965275813e-01, 9.765703717446525545e-01, 2.205160057301885690e+00, 9.652093436662522175e-01, 7.707231277278167703e+00, 9.041314657648198416e-01
2.024000000000000000e+03, 5.097508055597277377e+00, 4.519937327897106449e+00, 6.781429687331693046e+00, 5.881250098597345932e-01, 7.685002573699498685e-01, 6.808951239389867682e-01, 3.524777714640046078e-01, 6.283581840538615682e-01, 1.001027045622078004e+00, 2.184547155677412533e+00, 9.647982453252649249e-01, 7.756967296312885729e+00, 1.122680680082766003e+00
2.025000000000000000e+03, 5.136862266484286899e+00, 4.489997567831220948e+00, 6.634339839388740501e+00, 6.437567925253715462e-01, 7.627062411631944094e-01, 6.893328288863895814e-01, 3.188043746853165272e-01, 6.541517415608051333e-01, 9.446965381761507352e-01, 2.218073839961646421e+00, 9.429262441005380468e-01, 7.735084978085013496e+00, 1.753390078046874967e+00
2.026000000000000000e+03, 5.110282401479331327e+00, 4.431525978227771390e+00, 6.631528212015163959e+00, 7.006783143347293796e-01, 7.623580223207039319e-01, 6.612572590363789971e-01, 2.653939942930244600e-01, 6.675112838592965891e-01, 8.842315782315504080e-01, 2.179949279700017950e+00, 8.754556755338593899e-01, 7.675946414653601835e+00, 1.477895846475957065e+00
